before,reverse_color,after,length,swing_to
PBBBPP,BBBBBBPP,BPPBBB,8,P
BPBPPB,PPPPBB,BBPPBB,6,B
BPBBPB,PPPPBB,BPPPPB,6,B
PBPBPP,BBBBBPP,PBBBPB,7,P
PBBPBP,BBBBBBBBPP,PPPPBB,10,P
BBBBPP,PPPPBB,BBPBBP,6,B
BPBPBP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,PBBPBB,5,P
PBBPPB,PPPPPPBB,PBPPBB,8,B
BBPBPB,PPPBB,PBPBBB,5,B
PBBPBP,BBBPP,PBBPPB,5,P
PPPBPB,PPPBB,BPBBPB,5,B
BBBPBB,PPPPPPBB,PBPBPB,8,B
PPPBPP,BBBPP,BPPPPB,5,P
BBBPPB,PPPPBB,BPBBPP,6,B
BBBPBB,PPPPPBB,PPBPPP,7,B
BPPPBP,BBBBBPP,BBBBPB,7,P
PBPPBP,BBBBPP,PPBBPP,6,P
BPPBPB,PPPBB,PPPPPB,5,B
PPBPPB,PPPBB,BBBPBB,5,B
BBBBBP,BBBPP,PBPPPP,5,P
BPBBBP,BBBPP,PBPPPB,5,P
BPPBPP,BBBPP,BBBPBP,5,P
PBBPPB,PPPBB,BPBPPB,5,B
BBBBPB,PPPPPBB,BPBPBP,7,B
PBPBPB,PPPPBB,BBBPPP,6,B
PPPPBB,BBBPP,PPPPBB,5,P
BBBBPP,PPPPBB,BBPBPB,6,B
PBPPBP,BBBPP,BPBPBP,5,P
PBPPPB,PPPBB,BBPBPP,5,B
BPBPBB,PPPPPBB,PBPPBB,7,B
BBPBBP,BBBPP,BBPBBB,5,P
PBBBBP,BBBBPP,PBPBPP,6,P
PPBPBP,BBBBPP,BPPBBB,6,P
BPPPBP,BBBBBPP,PPBBPP,7,P
BPPBPB,PPPBB,PPPBBP,5,B
BPPPBB,PPPBB,PPBPPB,5,B
PPPPBP,BBBPP,PBPPPP,5,P
BPBBPP,BBBPP,BPBBBB,5,P
BBPPBP,BBBBPP,BBBPPB,6,P
BBBBPP,BBBPP,BBBPPB,5,P
PBBBPP,BBBPP,BPBBPB,5,P
BBPBPB,PPPPPPBB,BBBBBP,8,B
PBPPBP,BBBPP,PBBPPP,5,P
BPBBBP,BBBPP,BPPPPP,5,P
BPPBPB,PPPPBB,BBBPPB,6,B
PPPPPB,PPPPPBB,BBBBPB,7,B
BBBBBP,BBBPP,PBBBPB,5,P
BBBPBB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BBPPBB,5,P
BPPBBP,BBBBBBBBPP,BBPBBP,10,P
PPBPBB,PPPBB,BBPBBB,5,B
PBBBBP,BBBBBBPP,PBBBBB,8,P
PBPPBB,PPPBB,BPPPPP,5,B
PPPPPB,PPPPBB,BPPBPP,6,B
BBPPPB,PPPBB,BPBPPP,5,B
PBPBBP,BBBPP,PBPBPB,5,P
BPBPBP,BBBBBPP,BBPPBP,7,P
PBBPPB,PPPPBB,BBPPPB,6,B
PBPBPB,PPPBB,BPPBPP,5,B
BBBPPB,PPPBB,PBPBBP,5,B
BPPPBP,BBBBPP,BPBPBB,6,P
BPPPBP,BBBPP,BBBBBP,5,P
BPPPBP,BBBPP,PPBPBP,5,P
BPPPPB,PPPBB,BPPBBP,5,B
BPPPPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,PPBPPP,5,B
PPBBPB,PPPPBB,PBBPBP,6,B
BPBBBP,BBBPP,BBPBPB,5,P
PBBPBP,BBBPP,PPPPBB,5,P
PBBBPP,PPPPBB,PPPPPP,6,B
PBBBBP,BBBPP,BPPPBP,5,P
PPPBPP,BBBPP,BPBPPP,5,P
BPPBPB,PPPBB,BBPBPP,5,B
PPPPBP,BBBPP,PPPBBP,5,P
PBBBPP,PPPBB,PPBBPB,5,B
PBPPPB,PPPBB,BPBBPB,5,B
BPBBBP,BBBBBBBBPP,PBPPBP,10,P
PPBBPP,BBBPP,PBBPBB,5,P
BPBPBB,PPPBB,PPPPBP,5,B
PBPBPB,PPPPPBB,BPPBBP,7,B
PBBPPB,PPPBB,PBBBBP,5,B
PPPBBP,BBBBPP,BBBPBP,6,P
BBBPBP,BBBPP,PBBBBP,5,P
BBBPPP,BBBBPP,PBPBPP,6,P
BBPPBB,PPPPBB,PPPPPP,6,B
PPPPBB,PPPPPPBB,PBPBBP,8,B
BPBBPP,BBBBBBPP,PBPBPP,8,P
BPBPPB,PPPBB,PPPBPP,5,B
BPBPBB,PPPBB,BBPBPP,5,B
BPPPPB,PPPPBB,BBBBBB,6,B
BBBPPP,BBBBBPP,PBBPPB,7,P
PBPBPP,BBBPP,PBBPPB,5,P
BBBPBB,PPPPPPPBB,BBPBPP,9,B
PPBPBP,BBBPP,BBBBBP,5,P
BBBPPB,PPPPPPBB,BBPPPP,8,B
PBPBBP,BBBPP,PPPBPB,5,P
BPBBBP,BBBPP,PBPPPP,5,P
BPBBPP,BBBPP,PBPBBP,5,P
BBPPBP,BBBPP,PPPPBP,5,P
PBPPPB,PPPPBB,BBBBPB,6,B
BBPBBP,BBBBBBBPP,BBBPBB,9,P
PBPPBB,PPPBB,PBBBBP,5,B
PPPBBP,BBBBPP,BPBPPP,6,P
BPPBPB,PPPBB,BBPBPP,5,B
BBBBPB,PPPPPPPBB,PPBPBB,9,B
PBBBPB,PPPPBB,PPBPPP,6,B
BPBPBP,BBBBPP,BBBPPP,6,P
BBBBPP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,PPBPPP,5,P
BPPPBP,BBBPP,PPPBPB,5,P
BPBBBP,BBBBBPP,PPPBBP,7,P
BBBBPP,PPPBB,PBBBPP,5,B
PPPBBP,BBBPP,BBPBBP,5,P
PBBBPB,PPPBB,PPBPBB,5,B
PBPBBP,BBBPP,BBPPBP,5,P
BBBPBP,BBBPP,PBPPBB,5,P
BPBPBP,BBBPP,PBBBPB,5,P
PPBBBP,BBBBBPP,PPBBPB,7,P
BPBBBP,BBBBBBBBPP,PPPBBB,10,P
BBBBPP,PPPBB,BPBPBB,5,B
PBBPBB,PPPBB,BBPPPB,5,B
BBPPPB,PPPBB,BBBBPB,5,B
BBBBBP,BBBPP,PPBPBB,5,P
PPPPBP,BBBBBBBPP,BPPBPB,9,P
PPPPBP,BBBBBBBPP,BBPPBP,9,P
BBBBPP,BBBBBPP,BPPPPB,7,P
BBBPPB,PPPPBB,BBBBBP,6,B
PPPPBB,BBBBBPP,BPBPBB,7,P
PPBPBP,BBBBBBPP,BBBBPB,8,P
BBPBPB,PPPPPBB,BPBPPP,7,B
PBPPBB,PPPPBB,BPPPBP,6,B
BBBBPB,PPPPPBB,BPBPPP,7,B
PPBPPB,PPPBB,BPPBBP,5,B
PBBPPB,PPPPPPPBB,BPPPBB,9,B
PPPBBB,PPPBB,PBBBBP,5,B
PPPBBP,BBBBPP,PPPPPB,6,P
PPBPBB,PPPPBB,PBPBPB,6,B
BPBPBB,PPPBB,BPBBPB,5,B
BBPBBP,BBBBBBBPP,BPBPPB,9,P
PBPBPP,BBBPP,BPBBBB,5,P
PPBBBP,BBBPP,PPPBBB,5,P
PBBBPP,PPPBB,BPPBBP,5,B
BBBPBP,BBBBBPP,PPBPBB,7,P
PBBBBP,BBBBPP,BBPPPB,6,P
PBBBPP,BBBBPP,PBBBPP,6,P
BBBPPP,BBBPP,PBPPBP,5,P
PBPBBP,BBBBBPP,PBPBBP,7,P
BBBPBB,PPPBB,BPBPBP,5,B
PBBPPB,PPPBB,BPBPBB,5,B
BBBPBP,BBBPP,PBPBPP,5,P
PBPBPP,BBBPP,BBBPBP,5,P
PBBBPB,PPPPBB,PPPPBP,6,B
BPPPBB,BBBBBBPP,PPPPPB,8,P
BBBBPP,PPPPPBB,BPBBPP,7,B
BPBBPP,BBBPP,PBPPBB,5,P
BPPBPP,BBBPP,PPPPPB,5,P
PBBBPP,PPPPPBB,BBBBBP,7,B
BBBPBB,PPPPPPPBB,BPPBPB,9,B
PBPBBP,BBBBPP,PPPPPB,6,P
BBBBBP,BBBPP,PPPBBB,5,P
PBBBPP,PPPBB,BBBBPB,5,B
PBPPBB,PPPPPPBB,BBPBBB,8,B
PBPBPP,BBBBBPP,PPBBPB,7,P
BBPBPP,BBBBBPP,PBPBPP,7,P
PPPBPB,PPPBB,PPBPPB,5,B
PBPBPP,BBBPP,BPPPPP,5,P
BBBPPB,PPPPPPBB,PPPPBB,8,B
PPPPBB,PPPPBB,BPPPBB,6,B
PPPBBB,PPPBB,PBBBPB,5,B
BBBPBP,BBBPP,BBBBPP,5,P
PBBBPP,BBBBPP,BBPPPP,6,P
BBBPBP,BBBPP,BBBBBB,5,P
BBPBPP,BBBBBBPP,BBBBBP,8,P
PPPBPB,PPPPPBB,PBPBBB,7,B
PBBPBP,BBBBPP,PPPPPB,6,P
PBPPPB,PPPPPPBB,BPPPBP,8,B
PBPPBB,PPPPPBB,PBPBBB,7,B
BBBBBP,BBBBBPP,PBBBBP,7,P
PBBPBB,PPPPPPBB,BBPPBP,8,B
BBBBBP,BBBPP,BBPBBB,5,P
BBPPBP,BBBBBPP,PPPBBB,7,P
BBBBPP,PPPBB,BBPBBB,5,B
BBBBPB,PPPPBB,BPBBBP,6,B
PPBBBP,BBBPP,BPBBBB,5,P
PBPBPP,BBBBBBBBBPP,BPBPBB,11,P
PBPPBB,PPPPBB,BBBPPP,6,B
PPPPBB,BBBPP,PBBPBB,5,P
BBBPBP,BBBBPP,PPBPBP,6,P
PPBPBP,BBBPP,BPBBPP,5,P
BBBPBP,BBBBBBBBPP,BBPPPP,10,P
PBBBPB,PPPBB,BPPBPB,5,B
BBPPBP,BBBBBPP,BBPBBP,7,P
BPPBPB,PPPBB,PPBBBB,5,B
PPBPBP,BBBBPP,BBBBBP,6,P
BBBBPP,BBBBBPP,BPBPPP,7,P
BPPBPB,PPPBB,BPPPBP,5,B
PBBPBB,PPPPBB,PPPBBB,6,B
PPPPBB,PPPBB,BPPPPP,5,B
PPPPPB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,BPBPBP,6,P
BBPPBP,BBBPP,BPBPBB,5,P
BPPPPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,PPPPPP,5,B
PPPPBP,BBBBBBPP,BBBBBB,8,P
BPBPBB,PPPPPBB,BBBBPP,7,B
PPPPBB,BBBBPP,PPBBPB,6,P
BPBBPP,BBBBBPP,BPBBBP,7,P
BBPPBP,BBBPP,BBBBBB,5,P
BBPBBP,BBBBBBBPP,PBPBPB,9,P
PPPBPP,BBBPP,BBPBBP,5,P
PBBPBB,PPPBB,PPBBPP,5,B
BBBBPP,BBBPP,PBPPBP,5,P
PPPBPP,BBBBPP,PBBBPP,6,P
BPBBPB,PPPBB,BBPBPP,5,B
PBBBBP,BBBPP,BBPPBP,5,P
BPBBBP,BBBPP,PBBBPP,5,P
BBBPPP,BBBPP,PPBBPB,5,P
BPBPBP,BBBBBBPP,PPBBBB,8,P
BBBPBP,BBBBPP,PPBBBB,6,P
BPPBBP,BBBPP,PBBBBP,5,P
BBBPPP,BBBBPP,BBPBBB,6,P
BPPBBP,BBBBPP,PBBPPB,6,P
PBPPBP,BBBBBBPP,BPPBBB,8,P
BPPBPP,BBBBBPP,PPPBPB,7,P
BPBPPB,PPPPPPBB,PPBBPB,8,B
BBPBPP,BBBPP,BPBPPP,5,P
BBPPPB,PPPPBB,BPPBPP,6,B
BBBPPB,PPPBB,PPBPPB,5,B
PBBBBP,BBBBBPP,PBPBPB,7,P
PBBBPP,BBBPP,BBPPBP,5,P
BPPBPP,BBBPP,PBBPPP,5,P
PBPPBP,BBBBPP,BBBPPB,6,P
BBBBPP,BBBPP,BBBPBB,5,P
BPPPPB,PPPPPPBB,BPBBBP,8,B
PPBBBP,BBBPP,BPBPPP,5,P
BPPBPB,PPPBB,BBBBBB,5,B
BPPPBP,BBBPP,BPBBPB,5,P
PBPBBP,BBBPP,PBBBBB,5,P
BPPPBP,BBBPP,PPPBBP,5,P
PPPBPB,PPPPBB,PPBPPP,6,B
PBBPBB,PPPBB,PBBBPB,5,B
PBBPBB,PPPPBB,PPBPPP,6,B
BPBBPB,PPPPBB,PPBPPP,6,B
PBPBBP,BBBPP,BPBBBB,5,P
PPPPBP,BBBPP,PBBPBB,5,P
BBBPBB,PPPPPPBB,BPBPPP,8,B
PPBPBP,BBBPP,BBPBBP,5,P
PBPBPP,BBBPP,PBPPBB,5,P
PPBPBB,PPPBB,BBBBPB,5,B
BBPPBB,PPPBB,PBBBBP,5,B
PPPBBP,BBBBPP,BBPBPP,6,P
PBPPPB,PPPPBB,PBPBBB,6,B
PPBBPP,BBBPP,BPBBBB,5,P
BBPPBP,BBBBPP,BPBPPB,6,P
PBPBPP,BBBPP,PBBPBP,5,P
PBPBPP,BBBBPP,BPPPBB,6,P
BPPPBP,BBBBBBPP,BPPPPB,8,P
BBBPBB,PPPPBB,PBPBBP,6,B
BBPBBP,BBBPP,BPPBBP,5,P
BBBPBB,PPPPBB,BBBPBB,6,B
BBPBPB,PPPBB,BBPBPB,5,B
BBPBPB,PPPBB,PBBBBB,5,B
BBBBPB,PPPPBB,BPBBBB,6,B
PPBBBP,BBBPP,BBBBBB,5,P
PBPBPB,PPPPPBB,PBPPBB,7,B
BPBBPP,BBBPP,BBPBPP,5,P
BPPPPB,PPPPPPBB,BBBPBP,8,B
BBPBPB,PPPPPBB,PBBPPP,7,B
PBBPBB,PPPPBB,PBPBPP,6,B
BPBBPP,BBBBBBPP,PPBPBB,8,P
BPBBBP,BBBBBPP,BPPBBP,7,P
BBBBPB,PPPPBB,PBBPPB,6,B
PPPPBP,BBBBPP,PBBBPB,6,P
PPPPBP,BBBBBPP,BPBPBB,7,P
PBPBBP,BBBBPP,PBPPPB,6,P
PBBPBP,BBBBBPP,BBPBBP,7,P
PBBPBB,PPPPBB,BBBBBB,6,B
PPPPBB,BBBBBBBBBBBPP,PPBPPB,13,P
PBBPBB,PPPPPBB,BPPPBB,7,B
BPBPPB,PPPPBB,BPPBBP,6,B
PBPBBP,BBBBBPP,BPBPBP,7,P
PBPPBB,PPPBB,PPPPBP,5,B
PPPPBP,BBBBBPP,PPBBBB,7,P
BBPPBB,PPPBB,BBPBBP,5,B
BBBPBB,PPPPPPPBB,PPPBBP,9,B
PPPPBB,PPPBB,PBBPBB,5,B
PBPBPB,PPPPBB,PPBPPB,6,B
PBPPPB,PPPBB,PPPPBB,5,B
BPPPBB,PPPPBB,PBBPPP,6,B
PBBPBB,PPPBB,PPPBPP,5,B
PPBPBB,PPPPBB,PBPBBP,6,B
PPBPPB,PPPPPPBB,BPPPBP,8,B
BPPPBP,BBBBPP,PPPBBB,6,P
PPPBBP,BBBBPP,BBBPBB,6,P
PPBBBP,BBBBBPP,BPBPPP,7,P
PPBBPB,PPPBB,BPBPPB,5,B
PBPPPB,PPPPPBB,BPBPPB,7,B
BBPBPB,PPPPBB,PPPBBB,6,B
PPPPBB,PPPBB,BPPBPB,5,B
BPBPBB,PPPPBB,PPBBBP,6,B
PPBBPP,BBBPP,PBPBBP,5,P
BBBBPB,PPPBB,BPBBBB,5,B
PPPBBB,PPPBB,PPPBPP,5,B
BPPBBP,BBBBPP,PBBPBP,6,P
PBPBPP,BBBPP,PBPBBB,5,P
BPPBPB,PPPBB,BBPPBP,5,B
BPPBPB,PPPBB,BPPPPP,5,B
PPPBBB,PPPPPBB,BBPBBP,7,B
PPPPPB,PPPBB,PBBBBB,5,B
BBBPBB,PPPPPPPBB,PBBPPB,9,B
BBPPBB,PPPPBB,PPPBPB,6,B
PPPBPB,PPPBB,PBBPPB,5,B
BBPBPP,BBBPP,BPPPPB,5,P
BBBPPB,PPPPBB,PBPBPP,6,B
PBPPPB,PPPPPBB,BBBPPB,7,B
PPPPBB,BBBPP,BBBBBP,5,P
PBBPBB,PPPPPPBB,BPBBBP,8,B
PBBBPB,PPPPPBB,BBBBBB,7,B
BBPBPB,PPPBB,BBBBPB,5,B
PPPBPB,PPPPBB,PPPPPB,6,B
PPBPBP,BBBPP,PBBPBB,5,P
BBBPBP,BBBPP,BPBPPB,5,P
PBBPBP,BBBBBPP,BPPBBB,7,P
BPBPPB,PPPPPBB,BPPPBB,7,B
PPPBBB,PPPBB,BBPBPP,5,B
BBBBBP,BBBPP,BBBPPP,5,P
PBBBPP,BBBPP,PBPBPP,5,P
BBBPBB,PPPPBB,PBBPPP,6,B
PBBPBB,PPPBB,PPBBPP,5,B
PBBPBP,BBBBPP,PPPBBB,6,P
BBBBPP,PPPBB,BPPBBB,5,B
PBBBPP,BBBBBBPP,BBPBBP,8,P
BPPBPP,BBBPP,PBPBBP,5,P
PPBPBB,PPPBB,PPBBPB,5,B
PBBPBB,PPPPPBB,PBBPPB,7,B
PPBPPB,PPPBB,BBBPBP,5,B
PPBBPB,PPPPPPPBB,PBBPBB,9,B
BBBBPP,PPPBB,PBBBPP,5,B
PPPBBP,BBBPP,BBBPBB,5,P
PPBBBP,BBBPP,BBPPPB,5,P
BBPPBB,PPPBB,BPBBPB,5,B
BPBBBP,BBBBBPP,PPPPPP,7,P
BBBBPP,PPPPPPBB,BBPBBB,8,B
PBBBBP,BBBBPP,BPPPBB,6,P
BBBPPB,PPPBB,PPBPBP,5,B
PBBBBP,BBBBPP,PPBBBP,6,P
PPBBPP,BBBPP,PBPBPB,5,P
BPBPPB,PPPPBB,PBPBBB,6,B
PPBBBP,BBBBBBBPP,BBBPPP,9,P
BBBBPP,BBBPP,PPBPPB,5,P
PPBPPB,PPPPPBB,BPPBBB,7,B
PBBBPP,BBBPP,PBBPBB,5,P
PPBBPB,PPPBB,BPPBPB,5,B
PBPPBP,BBBBBBPP,BPBBPB,8,P
BPPPPB,PPPBB,BPBBPP,5,B
PBBPPB,PPPPPPPPBB,PBBPPB,10,B
PBPBPP,BBBBPP,PPPBBP,6,P
BBBBPP,PPPBB,PPPPPB,5,B
PPPBBB,PPPPBB,PPBPBP,6,B
PPPPBP,BBBBPP,BPBPPB,6,P
BBBPBP,BBBPP,PPBPBP,5,P
BPPBPP,BBBBPP,BPPPPP,6,P
BBPBPP,BBBPP,PBBBPP,5,P
BBBPPP,BBBPP,BPPBBP,5,P
PPBBPP,BBBPP,PPPBPB,5,P
PBPPBP,BBBPP,PPBPPB,5,P
PPBPBP,BBBBBPP,PBBBPB,7,P
BBBPBB,PPPPPPBB,BPBBBB,8,B
PBPPPB,PPPPBB,BPPPPP,6,B
PPPBBB,PPPPPPPBB,BBPBBP,9,B
PPPBPP,BBBBBBPP,PBBPBB,8,P
PPPBPB,PPPPBB,PPBBBP,6,B
PPBPBB,PPPPPPPPBB,BPPBBB,10,B
PPPPBB,BBBPP,BPPBBB,5,P
BPPBPP,BBBPP,BBBBPB,5,P
PBBBBP,BBBBPP,BBPPBP,6,P
BPPBPB,PPPPPBB,PBPBBB,7,B
BBPBPB,PPPBB,BBPBPP,5,B
BPBPPB,PPPBB,PBBBPB,5,B
PBBPBB,PPPPBB,PPBBPP,6,B
PPBBPP,BBBBBPP,BPPPBP,7,P
BBPPBP,BBBPP,BBPPBB,5,P
PBBBPP,BBBPP,BBBBBB,5,P
PBBBPP,BBBBBBPP,BBPBBP,8,P
PBBPBB,PPPBB,BBPBBB,5,B
BBPBPP,BBBPP,BBPPPB,5,P
BPPPPB,PPPBB,PBPPBB,5,B
BBPBPP,BBBBPP,PPPBPP,6,P
PBBPPB,PPPBB,PBBBBP,5,B
PPPBBP,BBBBPP,BBBPBP,6,P
BBBBBP,BBBPP,PBPPBB,5,P
PBPPBB,PPPPPPBB,PPBPBB,8,B
BBBBPB,PPPPBB,BPPPPB,6,B
BPBBBP,BBBBBBPP,BBPBBB,8,P
PPBBBP,BBBPP,BBPPBB,5,P
PPBBPB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,BPBPBP,6,P
PPBPBP,BBBBBPP,PPPPPP,7,P
BBBBPP,PPPPPPBB,BPBBPP,8,B
BBPBPP,BBBBBBPP,BPBPPP,8,P
BPPBPB,PPPPBB,BPBPBP,6,B
BBPBPB,PPPPBB,BPPPBP,6,B
BPBBBP,BBBBBPP,PPBBBB,7,P
PBBBBP,BBBPP,BBBBBB,5,P
BPBBPB,PPPBB,PBBPBB,5,B
PBBPBB,PPPPPPBB,PBPBBB,8,B
PBBPBP,BBBBPP,BPBBPB,6,P
BBBBPB,PPPPPBB,PPBPBP,7,B
PBPBPP,BBBBPP,BBPBPP,6,P
PPBBPB,PPPPPBB,PPBBPB,7,B
BBBBPB,PPPPPBB,PPPBBB,7,B
PPPPBB,PPPBB,BBPBBB,5,B
BBPBPP,BBBBBPP,PBBPBB,7,P
BPPPBB,PPPPPBB,BBBBPB,7,B
PBBPPB,PPPPBB,PPBPBP,6,B
PPBPPB,PPPBB,BBPBBP,5,B
PPPBBP,BBBBBBPP,BPBPBP,8,P
PPPPBP,BBBBBPP,PPBPBB,7,P
BBPBPP,BBBPP,PPBBPB,5,P
PBBPBP,BBBPP,BBBPPP,5,P
PBBBPP,BBBPP,PBPBPP,5,P
PPPBPB,PPPPPPPBB,PBPPPB,9,B
PPPBPB,PPPPBB,BBPPPB,6,B
PPPBPB,PPPBB,PBPPPP,5,B
PPBBPB,PPPPBB,PBBPBP,6,B
BBPBPB,PPPPPPBB,BBBPPP,8,B
PPPPBB,BBBPP,PPPBPB,5,P
PPPPPB,PPPBB,BBBPPP,5,B
PBPPBP,BBBBPP,BPBPBP,6,P
PBPBPB,PPPPBB,BPPPPP,6,B
PBPPBB,PPPPBB,PBPPPP,6,B
BBBPBB,PPPBB,PBPBBP,5,B
BPPBPP,BBBPP,BPPBBP,5,P
PBPPBB,PPPBB,BBBBBP,5,B
PBPPBB,PPPPPPBB,BPBPPB,8,B
BPPPBB,BBBBPP,PPPPBP,6,P
PPPBPP,BBBPP,BPPBPP,5,P
PPBPPB,PPPBB,PBBBBP,5,B
PPPBPB,PPPBB,PBPPBP,5,B
BPBPPB,PPPBB,PBBBBP,5,B
BBPBBP,BBBPP,BPBPPP,5,P
BPPBPB,PPPPBB,BBPPPP,6,B
PPBBBB,PPPPBB,PBPPBB,6,B
BBBPPB,PPPBB,BPPBPP,5,B
PBPBPB,PPPPPBB,PBPBPB,7,B
PPBBPB,PPPPBB,PBBPPP,6,B
PBPBBP,BBBPP,BBBBPB,5,P
PBPBPB,PPPBB,PBBBBP,5,B
BBBPPB,PPPPPBB,BPBPBB,7,B
BBBPBP,BBBPP,PBPBBB,5,P
BPBBBP,BBBPP,BBBPBB,5,P
PPBBBP,BBBBPP,PPBBPP,6,P
PBBBBP,BBBBPP,BPBBBP,6,P
BBPPBP,BBBPP,PBBPPB,5,P
PPPPPB,PPPBB,PBBPPB,5,B
PBBBPB,PPPPPPPPBB,BPPPPB,10,B
PPPBBB,PPPPBB,PBPBBP,6,B
BPPBPP,BBBPP,BBPPBP,5,P
BPPBPP,BBBBBBBBPP,BBPBBB,10,P
BPPBBP,BBBBBBPP,BBBBBB,8,P
BBBBPP,BBBBBBBPP,BPBBPB,9,P
PBPBPB,PPPPPPBB,BBPBBP,8,B
BBPBPB,PPPBB,BPPBBB,5,B
PPPPBP,BBBPP,PBBPBP,5,P
BBBBPB,PPPPPBB,PBPPPB,7,B
PPBBPB,PPPBB,PPPBPB,5,B
BBBPBP,BBBPP,BBBPPP,5,P
PBBBPP,BBBPP,PPPPBP,5,P
PBBPPB,PPPPPBB,PBPPBP,7,B
PBPPPB,PPPPPPPBB,BBBBBB,9,B
PPBBPB,PPPBB,PPPPPP,5,B
PPBBPP,BBBBBBPP,BPBPBB,8,P
BPBPBB,PPPPPPBB,BBPBBB,8,B
BBBPBB,PPPPBB,BPPBPB,6,B
BPBPBP,BBBPP,PBPBPP,5,P
BPBPPB,PPPPBB,PPBPPP,6,B
PBBPPB,PPPBB,BPBBBP,5,B
BPBBBP,BBBPP,BPBPBB,5,P
PBPBBP,BBBBPP,PPBPPB,6,P
BBBBPP,BBBBPP,PPBPBP,6,P
PPPPBP,BBBPP,PPBPBB,5,P
BPBBPP,BBBPP,PPBPBP,5,P
PBPPBB,PPPPBB,PPBPBP,6,B
PBBPPB,PPPPPBB,PBBBPP,7,B
PPPBBP,BBBPP,PPPBPB,5,P
PPPPBP,BBBBPP,BPBBPP,6,P
PPPPBP,BBBPP,BPPPPB,5,P
BBBPBB,PPPBB,BBPPPB,5,B
PPBBBB,PPPBB,PBPPPB,5,B
PPBBPB,PPPBB,BBBPBP,5,B
BPPBPP,BBBBPP,BBBBBP,6,P
PPPPBP,BBBPP,PBBPBB,5,P
PBBPBB,PPPPBB,BPPBBP,6,B
PBPPBB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,PPBPBB,5,B
BBPPBP,BBBPP,PPBBBB,5,P
PBPPBP,BBBBPP,PBPBBB,6,P
BPBPPB,PPPBB,PBPPBP,5,B
BPPPBP,BBBPP,PBBPBP,5,P
BBPPBP,BBBBBPP,BBBPPP,7,P
BBBBPP,BBBPP,PBPBPP,5,P
PPPBPB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BPBBBP,5,P
BPBBBP,BBBBBPP,BPPPBB,7,P
PBPPBP,BBBPP,PPPBPB,5,P
BPPPBB,BBBPP,PBPPPB,5,P
PBPBBP,BBBBBPP,PPBBPB,7,P
PPBPPB,PPPPPPPPBB,BBPBBB,10,B
PBBBBP,BBBPP,BBBBBB,5,P
BBPBPP,BBBBBPP,BBPPPP,7,P
PPPPPB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BBBBBP,5,P
BPPPBP,BBBPP,PPPBBB,5,P
PBBBPP,PPPBB,BPBPPP,5,B
PBBBPB,PPPPPBB,PPBBBB,7,B
PPBBPP,BBBBPP,BPPPBB,6,P
BPBBPP,BBBPP,BPBBPP,5,P
PPBPBP,BBBBBPP,PBPPBP,7,P
BPBBBP,BBBPP,BPBBBB,5,P
BBPPBP,BBBBBBBBPP,PPBBPB,10,P
BBBPPB,PPPBB,BPPPPP,5,B
BBBBBP,BBBPP,BPPPPB,5,P
BBBPPB,PPPPBB,BBPBPP,6,B
BPPPBP,BBBPP,PPPPPB,5,P
PBBBPP,PPPPPBB,PPPPPB,7,B
PPPPBB,PPPPPBB,BPBPBB,7,B
BPPBPB,PPPBB,PPPPBB,5,B
BPPPBB,PPPPBB,PPPBPP,6,B
BBPPPB,PPPBB,BBBPBP,5,B
BBBPBP,BBBPP,PPBBPB,5,P
PPPPBP,BBBBBPP,BPBBBB,7,P
BBPPBP,BBBBBBPP,BBPBBB,8,P
BBBPBP,BBBBPP,BBPBBP,6,P
PBPBBP,BBBBPP,PPPBPB,6,P
PBPBPP,BBBPP,PBPBPB,5,P
BBPPBP,BBBBBPP,BPPBPP,7,P
BPBBPB,PPPPBB,BPPBPB,6,B
PPPBBB,PPPPBB,BPPPPB,6,B
BPPBPB,PPPPPBB,PPBPBP,7,B
PPBBPB,PPPPPPBB,BPPPPB,8,B
PPPBBB,PPPPBB,BPPBPP,6,B
PPPBPB,PPPPPBB,BPBBBP,7,B
PPBBBP,BBBPP,PBPPPP,5,P
BBPPPB,PPPPBB,BBPPBB,6,B
PBBBBP,BBBPP,BBBBPB,5,P
PBBBBP,BBBPP,BBPPPP,5,P
BBPPBB,PPPPPBB,BBBBPP,7,B
BBPBBP,BBBBPP,PBPPBP,6,P
PBBPPB,PPPPPPPPPBB,PPBBPB,11,B
BBPPBB,PPPPPBB,BBBBPB,7,B
BPBBPB,PPPBB,PPBPBP,5,B
BPPBPB,PPPPBB,BPPBPB,6,B
BPPBPB,PPPPBB,BPPBPB,6,B
PBBPBP,BBBBBBPP,PBBBBP,8,P
PBBBPB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,PPPPPP,6,P
PPBPBB,PPPBB,BPPBBB,5,B
