before,four_cut,after,pattern
PBBPPP,BBBBPBBBBP,PBPBPB,4-1-4-1
PPBBPP,PPPPBPPPPB,BBBBBP,4-1-4-1
PBPPBB,PPPPBPPPPB,BPBBPP,4-1-4-1
BPBBPP,BBBBPBBBBP,PBPPBB,4-1-4-1
PBPPBP,PPPPBPPPPB,PBPPBB,4-1-4-1
PBBBBP,PPPPBPPPPB,PPPBBB,4-1-4-1
PBPBBP,PPPPBPPPPB,PBBPPB,4-1-4-1
BBBPBP,BBBBPBBBBP,BBBPPB,4-1-4-1
BPBPBP,BBBBPBBBBP,PBBPBB,4-1-4-1
BBBBPP,PPPPBPPPPB,PBBPBP,4-1-4-1
BBPBPP,PPPPBPPPPB,PBBBPB,4-1-4-1
BPBPBB,PPPPBPPPPB,BBBBBP,4-1-4-1
PBPBPB,PPPPBPPPPB,BBBBBB,4-1-4-1
PBBBPB,PPPPBPPPPB,PPPPPP,4-1-4-1
PPPBPB,BBBBPBBBBP,BPPBBP,4-1-4-1
BBPBPP,PPPPBPPPPB,BPPPPP,4-1-4-1
PBBPPB,BBBBPBBBBP,BBBBPP,4-1-4-1
PBBPBP,BBBBPBBBBP,PBPBBP,4-1-4-1
PPPBBP,PPPPBPPPPB,BPBBBP,4-1-4-1
BBPPBP,PPPPBPPPPB,BPBPBB,4-1-4-1
BBBPBP,PPPPBPPPPB,BPBPBB,4-1-4-1
BBBBBP,PPPPBPPPPB,BPBPPB,4-1-4-1
BPBBPP,PPPPBPPPPB,BBBPBP,4-1-4-1
PBBPPP,PPPPBPPPPB,BBPBPB,4-1-4-1
PBPBBP,BBBBPBBBBP,BPBBBP,4-1-4-1
BBPPPP,PPPPBPPPPB,BBBBPB,4-1-4-1
BBPBPB,BBBBPBBBBP,PPBBPP,4-1-4-1
PBBPPB,PPPPBPPPPB,PPBPPP,4-1-4-1
BPBBPB,PPPPBPPPPB,BPPBBB,4-1-4-1
PPPBPB,BBBBPBBBBP,BBBBPP,4-1-4-1
PBBBBP,PPPPBPPPPB,BPPBBB,4-1-4-1
BPBBBP,BBBBPBBBBP,PBPPPP,4-1-4-1
BBPPBP,BBBBPBBBBP,BPPPPB,4-1-4-1
PPPBPB,BBBBPBBBBP,PPBBPB,4-1-4-1
PBBPPB,PPPPBPPPPB,PPBPPB,4-1-4-1
PPPPBP,BBBBPBBBBP,PPPBBP,4-1-4-1
PBBBBB,PPPPBPPPPB,BBBPPB,4-1-4-1
BPBPBP,PPPPBPPPPB,PPPPBP,4-1-4-1
BBPPBB,PPPPBPPPPB,PBPBBP,4-1-4-1
BPPBPP,PPPPBPPPPB,BPPPBB,4-1-4-1
PBBBPP,BBBBPBBBBP,BPBBBP,4-1-4-1
PPPBBP,PPPPBPPPPB,BPPBPB,4-1-4-1
BBBBPB,PPPPBPPPPB,PPBPPP,4-1-4-1
PPPBBB,PPPPBPPPPB,BPPPBB,4-1-4-1
PPPBBP,BBBBPBBBBP,BBPPPB,4-1-4-1
PPBBPB,PPPPBPPPPB,PPBBBB,4-1-4-1
BPBPPB,BBBBPBBBBP,BPPBPP,4-1-4-1
PBBBBP,PPPPBPPPPB,BBBPPP,4-1-4-1
PBBPPP,BBBBPBBBBP,PPPPBB,4-1-4-1
PBPBPP,PPPPBPPPPB,PBPPBB,4-1-4-1
BPPPBB,BBBBPBBBBP,BPBPPP,4-1-4-1
PBBPBB,BBBBPBBBBP,BPPBPB,4-1-4-1
PBBBBB,PPPPBPPPPB,BPBPBB,4-1-4-1
PPPPBB,PPPPBPPPPB,BPBPPP,4-1-4-1
PPBBBP,PPPPBPPPPB,PPBBBP,4-1-4-1
PPPBBB,PPPPBPPPPB,BBBPPB,4-1-4-1
BBPBBB,BBBBPBBBBP,PPBPBB,4-1-4-1
PBPBBP,BBBBPBBBBP,PBBBBP,4-1-4-1
PBPPPP,PPPPBPPPPB,BPBPPB,4-1-4-1
PBBBBB,PPPPBPPPPB,PPBPBP,4-1-4-1
BBBBBB,BBBBPBBBBP,BPBPPP,4-1-4-1
BPBPPP,BBBBPBBBBP,PPBPPP,4-1-4-1
BPBBBB,BBBBPBBBBP,BPPPPP,4-1-4-1
BPBPBB,BBBBPBBBBP,PPPPBP,4-1-4-1
BPPPPP,PPPPBPPPPB,BPPBPP,4-1-4-1
PBPPBB,PPPPBPPPPB,BPPBPB,4-1-4-1
PPPBBP,PPPPBPPPPB,PBPPBP,4-1-4-1
BPPBPP,BBBBPBBBBP,PBPPPB,4-1-4-1
PPBBPP,PPPPBPPPPB,BPPPBB,4-1-4-1
PPBBBP,PPPPBPPPPB,PBBBPP,4-1-4-1
PBBBPB,BBBBPBBBBP,PPPPPB,4-1-4-1
BPBBBP,PPPPBPPPPB,BPBBBP,4-1-4-1
PBBBPB,PPPPBPPPPB,BPBBBP,4-1-4-1
PBBBBB,BBBBPBBBBP,PBBPBB,4-1-4-1
BPBPBB,BBBBPBBBBP,PBPBBB,4-1-4-1
BPPPPP,PPPPBPPPPB,PBBBBB,4-1-4-1
PBPPBP,BBBBPBBBBP,BBBBPB,4-1-4-1
PBPPBB,PPPPBPPPPB,BBBBBB,4-1-4-1
PBBBBB,BBBBPBBBBP,BPBBBP,4-1-4-1
BBBBPP,BBBBPBBBBP,BPBPPB,4-1-4-1
PBPPBB,PPPPBPPPPB,BPPBPP,4-1-4-1
PPPPPP,PPPPBPPPPB,BBPPBP,4-1-4-1
PBBBPP,PPPPBPPPPB,BPBBPP,4-1-4-1
PPPBPP,PPPPBPPPPB,BPPBPP,4-1-4-1
BBBBPP,PPPPBPPPPB,PBBBPB,4-1-4-1
PPBPBB,PPPPBPPPPB,PBPPBP,4-1-4-1
PBBPPB,PPPPBPPPPB,PPPPPB,4-1-4-1
BPBPBP,BBBBPBBBBP,PBBBPB,4-1-4-1
PPBBBP,BBBBPBBBBP,PPPBPB,4-1-4-1
BPBPBP,BBBBPBBBBP,PBBBPB,4-1-4-1
PBBPBB,PPPPBPPPPB,PPPBBP,4-1-4-1
PBPBBP,BBBBPBBBBP,PBBBPP,4-1-4-1
BBPBPB,BBBBPBBBBP,PPPPBB,4-1-4-1
PPPBBP,BBBBPBBBBP,PPPBPB,4-1-4-1
PBPPBP,PPPPBPPPPB,PBBPPB,4-1-4-1
BBBBBB,BBBBPBBBBP,PPPBBB,4-1-4-1
PBBBPP,BBBBPBBBBP,PPPBBB,4-1-4-1
PBBBPB,BBBBPBBBBP,PBPPBB,4-1-4-1
PPPPBB,PPPPBPPPPB,BPBPPP,4-1-4-1
BPBBPB,PPPPBPPPPB,PBBBBP,4-1-4-1
PPBBBP,PPPPBPPPPB,PBPPBP,4-1-4-1
BBBBBP,PPPPBPPPPB,BPPPBB,4-1-4-1
PBBPPP,PPPPBPPPPB,BBPPPP,4-1-4-1
BPBPPP,BBBBPBBBBP,BBPPBP,4-1-4-1
BBPBBP,BBBBPBBBBP,BPPBPP,4-1-4-1
PPPBBB,BBBBPBBBBP,PBPPPB,4-1-4-1
BBPPPP,PPPPBPPPPB,PBPPPP,4-1-4-1
BBPBBP,BBBBPBBBBP,BPPPPP,4-1-4-1
BBBBBB,PPPPBPPPPB,PBPBPP,4-1-4-1
BBPBBB,BBBBPBBBBP,BPPPPP,4-1-4-1
BPBPPB,BBBBPBBBBP,BBBPBP,4-1-4-1
PPBBPP,PPPPBPPPPB,BPPPPB,4-1-4-1
PPBBBB,PPPPBPPPPB,PBPPBB,4-1-4-1
PPPPPP,BBBBPBBBBP,PBPPPB,4-1-4-1
BPBBBP,PPPPBPPPPB,PPBBPP,4-1-4-1
PBPPBP,PPPPBPPPPB,PPPBPB,4-1-4-1
BPBPPP,BBBBPBBBBP,BPBBPB,4-1-4-1
PPPBPP,BBBBPBBBBP,PPBBPP,4-1-4-1
BBBBPB,BBBBPBBBBP,BBPPPB,4-1-4-1
BPBPBP,BBBBPBBBBP,PPBBBP,4-1-4-1
PBBPBP,BBBBPBBBBP,BBBBPB,4-1-4-1
BBBPPB,PPPPBPPPPB,BPPBBB,4-1-4-1
BBBPPP,PPPPBPPPPB,PBBPBP,4-1-4-1
PBBBBB,BBBBPBBBBP,PPBBBP,4-1-4-1
BPBBPP,BBBBPBBBBP,PBPPBB,4-1-4-1
PPPPPP,BBBBPBBBBP,BBPPPP,4-1-4-1
BBPPPP,BBBBPBBBBP,PBPBBP,4-1-4-1
PBBPBB,BBBBPBBBBP,PBPPBP,4-1-4-1
BBPBBP,PPPPBPPPPB,PPBPPP,4-1-4-1
PPBBPB,BBBBPBBBBP,BBBPBP,4-1-4-1
BBBPPP,PPPPBPPPPB,BBPBBP,4-1-4-1
BPPPPB,BBBBPBBBBP,PPBPPP,4-1-4-1
BBBPPB,BBBBPBBBBP,BBBPPB,4-1-4-1
PBBPPB,PPPPBPPPPB,BBPBPP,4-1-4-1
PPPPPP,BBBBPBBBBP,PPBPPP,4-1-4-1
BBBPBP,BBBBPBBBBP,PPPBPB,4-1-4-1
PBBBPB,PPPPBPPPPB,BBBPPB,4-1-4-1
PPBPBP,BBBBPBBBBP,BPBBBB,4-1-4-1
BBPBPB,BBBBPBBBBP,BBBBBB,4-1-4-1
BPPBPP,BBBBPBBBBP,BBBBBP,4-1-4-1
BBPBBB,BBBBPBBBBP,PPPBBP,4-1-4-1
PBBBPP,PPPPBPPPPB,PBPPBP,4-1-4-1
PPBPPB,PPPPBPPPPB,PBBPBP,4-1-4-1
BBPBPP,BBBBPBBBBP,BPBPBB,4-1-4-1
BBPBPP,PPPPBPPPPB,BBPBBB,4-1-4-1
PPBBPP,PPPPBPPPPB,BPBBPB,4-1-4-1
PPPPPP,BBBBPBBBBP,BPPPPP,4-1-4-1
BBBBBB,BBBBPBBBBP,BPPPPP,4-1-4-1
BBBBPP,PPPPBPPPPB,PPBBBP,4-1-4-1
BBPBPB,PPPPBPPPPB,BBBBPB,4-1-4-1
PPBBBB,BBBBPBBBBP,PPPPBB,4-1-4-1
PBPBPP,BBBBPBBBBP,PBBBBP,4-1-4-1
PPPBPP,BBBBPBBBBP,BBPBBB,4-1-4-1
BBPPBP,BBBBPBBBBP,PBBPPP,4-1-4-1
BBPBPB,PPPPBPPPPB,PPBPPB,4-1-4-1
BPPBBP,BBBBPBBBBP,PPBBPP,4-1-4-1
PPBPPP,PPPPBPPPPB,PPBPBP,4-1-4-1
PPPBBB,BBBBPBBBBP,PBPPBB,4-1-4-1
BPBPBP,BBBBPBBBBP,BBPBPB,4-1-4-1
BBPPPP,BBBBPBBBBP,PBPBBP,4-1-4-1
PBBPPP,BBBBPBBBBP,BBPPPB,4-1-4-1
BBBPBP,BBBBPBBBBP,PPBPPP,4-1-4-1
PBBBBB,PPPPBPPPPB,PPBPBP,4-1-4-1
PBPPPP,PPPPBPPPPB,BPBBBP,4-1-4-1
PPPPPP,PPPPBPPPPB,BPBBPP,4-1-4-1
PBBPBP,PPPPBPPPPB,BPBPBB,4-1-4-1
PPPPBB,BBBBPBBBBP,BPPPPB,4-1-4-1
PPBBPB,BBBBPBBBBP,PPBPPP,4-1-4-1
BPPPBB,BBBBPBBBBP,BPBBPP,4-1-4-1
PBPPPP,PPPPBPPPPB,BBPBPB,4-1-4-1
BBBBPP,PPPPBPPPPB,BPBBBB,4-1-4-1
BBBPPP,BBBBPBBBBP,BBPBBP,4-1-4-1
BPPPBB,PPPPBPPPPB,BPPPBP,4-1-4-1
PBPPBP,PPPPBPPPPB,BBPPBB,4-1-4-1
BPPBBB,BBBBPBBBBP,BBPBPP,4-1-4-1
BBBPPP,BBBBPBBBBP,PPPPBB,4-1-4-1
PBPBBB,BBBBPBBBBP,BBPPBP,4-1-4-1
BBPPPB,BBBBPBBBBP,PBBBBP,4-1-4-1
PBBPPB,BBBBPBBBBP,BBBPBP,4-1-4-1
PBPPPP,BBBBPBBBBP,BBPBBB,4-1-4-1
PBPPBB,BBBBPBBBBP,BBPBBP,4-1-4-1
PBPBPB,BBBBPBBBBP,BBPPPB,4-1-4-1
PBBPBP,BBBBPBBBBP,PBPBPB,4-1-4-1
BPPPPP,PPPPBPPPPB,PPPBPB,4-1-4-1
PBBPBP,PPPPBPPPPB,BBBBPB,4-1-4-1
BPBBBB,BBBBPBBBBP,PBPPPP,4-1-4-1
BBBPPB,PPPPBPPPPB,PBPPBP,4-1-4-1
PPBPBB,PPPPBPPPPB,BPBBBB,4-1-4-1
BBPPBB,BBBBPBBBBP,PPBBPP,4-1-4-1
PBPBPB,PPPPBPPPPB,BPBBBB,4-1-4-1
BBPBBP,PPPPBPPPPB,BPPBBP,4-1-4-1
BPPPPP,BBBBPBBBBP,BBBBBB,4-1-4-1
PBPPBB,BBBBPBBBBP,PPPPPB,4-1-4-1
BBPBPB,BBBBPBBBBP,PBPBPP,4-1-4-1
PBBPBB,BBBBPBBBBP,BBPBPB,4-1-4-1
BBBBPB,BBBBPBBBBP,PBPPBP,4-1-4-1
PBBBPB,BBBBPBBBBP,PPBPBP,4-1-4-1
BPPPBB,PPPPBPPPPB,PPBPBP,4-1-4-1
PBPPPB,BBBBPBBBBP,PPPPPP,4-1-4-1
PBBPPP,PPPPBPPPPB,BPPBBP,4-1-4-1
PBBPBB,PPPPBPPPPB,PPPPBB,4-1-4-1
BPPBBB,BBBBPBBBBP,PBPPPP,4-1-4-1
PPBPPP,PPPPBPPPPB,PPBPPB,4-1-4-1
BBBPBP,PPPPBPPPPB,PBBPPB,4-1-4-1
BBBBPP,PPPPBPPPPB,PPBBBB,4-1-4-1
PPPBPP,PPPPBPPPPB,BPBBPB,4-1-4-1
BPPBBB,BBBBPBBBBP,BPPBBP,4-1-4-1
PPPBPB,BBBBPBBBBP,PPBPBP,4-1-4-1
BBBPBP,PPPPBPPPPB,BPBBPB,4-1-4-1
PBBPPP,PPPPBPPPPB,BBBBBP,4-1-4-1
PPBPBP,PPPPBPPPPB,BBBPBP,4-1-4-1
BPBBPB,BBBBPBBBBP,BPBBBB,4-1-4-1
PBPBBB,BBBBPBBBBP,BPBPPP,4-1-4-1
PPPPPP,BBBBPBBBBP,PBBBPB,4-1-4-1
PPBPBP,PPPPBPPPPB,PPPPBB,4-1-4-1
BPPPBB,BBBBPBBBBP,BBBPPB,4-1-4-1
PBPPBP,PPPPBPPPPB,PBBBPP,4-1-4-1
PBBBBB,PPPPBPPPPB,PBPPBP,4-1-4-1
BBBBPB,BBBBPBBBBP,PPPBPB,4-1-4-1
BPPBPB,PPPPBPPPPB,PPBPPB,4-1-4-1
PPBBPP,PPPPBPPPPB,BBBBPP,4-1-4-1
BBBBPB,BBBBPBBBBP,BPPBPP,4-1-4-1
PBPBBB,PPPPBPPPPB,PBPBBP,4-1-4-1
BBBPPB,PPPPBPPPPB,BPPPPB,4-1-4-1
BBPPBB,BBBBPBBBBP,PPPBBB,4-1-4-1
PPBPPP,PPPPBPPPPB,BPBBBP,4-1-4-1
BBBBPP,PPPPBPPPPB,PBPPBP,4-1-4-1
PPPBBB,BBBBPBBBBP,BPPPPB,4-1-4-1
PBBPPB,PPPPBPPPPB,PBPPBB,4-1-4-1
PPPBBB,BBBBPBBBBP,BBPBBB,4-1-4-1
PBPPBP,BBBBPBBBBP,BBBPPB,4-1-4-1
PBBPPP,PPPPBPPPPB,BBPPBP,4-1-4-1
PPBBBB,BBBBPBBBBP,BPBBBB,4-1-4-1
BPPBBP,BBBBPBBBBP,PPBPPP,4-1-4-1
PPPBPP,BBBBPBBBBP,PBPBBB,4-1-4-1
PPPPPP,BBBBPBBBBP,BBBPPB,4-1-4-1
PBPPBB,BBBBPBBBBP,BPPPBP,4-1-4-1
BPPPBP,BBBBPBBBBP,BBPPBP,4-1-4-1
BBPPBP,BBBBPBBBBP,BBPBBB,4-1-4-1
PPPBBP,BBBBPBBBBP,BBPBPB,4-1-4-1
PPBPBP,PPPPBPPPPB,BBPPBP,4-1-4-1
PBBPPP,PPPPBPPPPB,BBPPPP,4-1-4-1
PPBPBP,BBBBPBBBBP,PBPPPB,4-1-4-1
PBBBBB,PPPPBPPPPB,BBBPPP,4-1-4-1
PBBPPB,PPPPBPPPPB,PPPBPP,4-1-4-1
BPBBBB,BBBBPBBBBP,BPPBBP,4-1-4-1
PPBPBP,PPPPBPPPPB,PBBPBB,4-1-4-1
PBBPBB,BBBBPBBBBP,BPBBBP,4-1-4-1
PBPBBB,PPPPBPPPPB,BBBBPP,4-1-4-1
PPPBPP,PPPPBPPPPB,BBPBBP,4-1-4-1
BPBPPB,BBBBPBBBBP,PBPBBB,4-1-4-1
BBPBBP,BBBBPBBBBP,BBPBBP,4-1-4-1
BPBPBP,BBBBPBBBBP,BBBBPB,4-1-4-1
PPPBPB,PPPPBPPPPB,PBPBPB,4-1-4-1
BPPPBP,BBBBPBBBBP,PBPBPP,4-1-4-1
PPPPBP,PPPPBPPPPB,BBPPBB,4-1-4-1
BBBBPB,BBBBPBBBBP,PBPBBB,4-1-4-1
BBPPPP,PPPPBPPPPB,PPBPPB,4-1-4-1
PBPPPB,BBBBPBBBBP,PBPBPB,4-1-4-1
PPPBPB,BBBBPBBBBP,PBPBBB,4-1-4-1
BBPBPP,PPPPBPPPPB,BPBPBB,4-1-4-1
BPPPBP,PPPPBPPPPB,BBBPPB,4-1-4-1
BBPPPP,BBBBPBBBBP,BPBBPB,4-1-4-1
PPBPPP,BBBBPBBBBP,BBBBBP,4-1-4-1
BBBBPP,BBBBPBBBBP,BBPPPP,4-1-4-1
PBPPBP,BBBBPBBBBP,PPBPBB,4-1-4-1
BBBPBB,PPPPBPPPPB,PBBBPP,4-1-4-1
BBPBBB,PPPPBPPPPB,PPBPBB,4-1-4-1
BBPPBB,PPPPBPPPPB,BBPPBP,4-1-4-1
PBPBPB,BBBBPBBBBP,PBPBPP,4-1-4-1
BBPPBP,BBBBPBBBBP,PBPPBB,4-1-4-1
PPBPPP,BBBBPBBBBP,BBBPBB,4-1-4-1
PBBPBB,BBBBPBBBBP,PPBBBP,4-1-4-1
BBBBBB,PPPPBPPPPB,PBBPBB,4-1-4-1
BPBPBP,PPPPBPPPPB,BPPBPB,4-1-4-1
PBBPBB,PPPPBPPPPB,BBPPBP,4-1-4-1
PPBBBP,BBBBPBBBBP,BPPBBP,4-1-4-1
BPBPBP,BBBBPBBBBP,BPBPPP,4-1-4-1
BBPBBP,BBBBPBBBBP,BPPPPP,4-1-4-1
PPPPBP,BBBBPBBBBP,BPBBPB,4-1-4-1
BPPBBP,BBBBPBBBBP,PPPBBB,4-1-4-1
PBPBBP,BBBBPBBBBP,PBBPPP,4-1-4-1
PBPPBB,PPPPBPPPPB,PPPPBB,4-1-4-1
BBPPBB,BBBBPBBBBP,PBBPPB,4-1-4-1
PPPBBB,PPPPBPPPPB,PBBBPB,4-1-4-1
PPPBPP,BBBBPBBBBP,PBPPPP,4-1-4-1
PPPBBB,BBBBPBBBBP,BPPBPB,4-1-4-1
PPBPBB,PPPPBPPPPB,BPBPBB,4-1-4-1
BPPPPP,BBBBPBBBBP,BBBBBP,4-1-4-1
BBPPPB,BBBBPBBBBP,PBPPPB,4-1-4-1
PBBBBB,BBBBPBBBBP,BBPPBP,4-1-4-1
PPBPBP,PPPPBPPPPB,PBPPBP,4-1-4-1
BPPPPP,BBBBPBBBBP,PBBBPP,4-1-4-1
BBPBPB,PPPPBPPPPB,PBPBBB,4-1-4-1
BBPBBP,PPPPBPPPPB,PPPPPP,4-1-4-1
PBBBPP,BBBBPBBBBP,BBPBPB,4-1-4-1
BBPPPP,BBBBPBBBBP,BPBPPB,4-1-4-1
BBPBBP,PPPPBPPPPB,PPPBBB,4-1-4-1
BPBPBB,BBBBPBBBBP,PPBPPB,4-1-4-1
BBBBPP,PPPPBPPPPB,BPPBPB,4-1-4-1
PPBPBP,PPPPBPPPPB,BBPPBB,4-1-4-1
PBBBPP,BBBBPBBBBP,BBBPPP,4-1-4-1
PPBPBB,PPPPBPPPPB,BPBPPB,4-1-4-1
BBPBPB,PPPPBPPPPB,PBBPPB,4-1-4-1
BPBPBP,BBBBPBBBBP,BPBBBB,4-1-4-1
BBBBBB,PPPPBPPPPB,PPBBBB,4-1-4-1
BBPBBB,PPPPBPPPPB,BBBPBB,4-1-4-1
PBBBPB,BBBBPBBBBP,PBPBPB,4-1-4-1
