before,red_three_cut,after,pattern
BBBBPB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PBPPBB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PPBBBP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
BPBBBP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BPBBPB,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,BBBBBP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BPPPBP,PPP-B-PPP-B
PBPPBB,PPPBPPPB,PBPBPP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
PBPPBB,PPPBPPPB,BPBBBB,PPP-B-PPP-B
PBPBBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BPBBBB,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PPBBBP,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
BPPBPB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BPPPBP,PPP-B-PPP-B
PPPBBP,PPPBPPPB,PPBPPB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PPPPBB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PBBPBB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BPPPPP,PPPBPPPB,BPPBPP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BBPPPB,PPP-B-PPP-B
PPBBPP,PPPBPPPB,BBPPPB,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PPBPPP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPBPPB,PPP-B-PPP-B
PPBBPB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
PBPPBB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBPPPP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PBPPBB,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BBPPBP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BPPBPP,PPP-B-PPP-B
PBPPBB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BBPBBB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PBBBBP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PBPBPP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BPPBBB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,PPBBBP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
PPBPBB,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BBPBBB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PBPBBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PBBBBP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PBBPPP,PPP-B-PPP-B
BBPBPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
PPBPBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BBPBBB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBBBB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PBPBPP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BPBBPB,PPPBPPPB,PBPBPB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,PPBPBP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
PPPBPP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BPPPPP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BPPBPP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PPPPPP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PPPBBP,PPPBPPPB,PPBBBP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PPBPPP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PPBPBB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BPPBPB,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BPBBBP,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
PPBBPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
PBPBBB,PPPBPPPB,PPBPBP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BPBBPP,PPP-B-PPP-B
BPBPBP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BPBBBP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BBPBBB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BPPPPP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BPBBPP,PPPBPPPB,PPBPBP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PPPBPB,PPP-B-PPP-B
PPBBBP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
BPPBPB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PPBBBP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PPBBBP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBPPPB,PPPBPPPB,PPBPBP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BPPBPB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BBPPPP,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,BPPPPB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PPBBBP,PPP-B-PPP-B
PBPBBB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BBPPPB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BBPPPB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BPPBPB,PPPBPPPB,BBPPPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BBBBBP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BPBPBB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BPPPBP,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PBPPBB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BPBBBB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
PBBBPP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PBBBPP,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BPBBPB,PPPBPPPB,PBPPBB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BPBPPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PPPBBB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PPPBBP,PPP-B-PPP-B
PPBPBP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBPPBB,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BPPPBP,PPPBPPPB,PPBBPB,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PBBPBB,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BPBBBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PBBBBB,PPP-B-PPP-B
PBBPPP,PPPBPPPB,PBBBBB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PBPBPB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PPBBPP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BPBPPP,PPP-B-PPP-B
PPPPBB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BBPBBB,PPPBPPPB,BPPPBB,PPP-B-PPP-B
PBPBPB,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PBBPBB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PBPPPP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PPBBBP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,PBPPPP,PPP-B-PPP-B
PPBPBP,PPPBPPPB,PPBBBP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BPBBBP,PPP-B-PPP-B
PPPBBP,PPPBPPPB,PPBPBP,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PPBBBP,PPPBPPPB,PPBPBP,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PPPPBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PPPBPP,PPPBPPPB,PBBPBB,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BBPPPB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BPPPPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BPPPBP,PPPBPPPB,PPBBBP,PPP-B-PPP-B
PBPBBB,PPPBPPPB,PPBPBP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PPPBPP,PPPBPPPB,BPPBBB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BPPBPP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
BBBPBP,PPPBPPPB,PPPBPB,PPP-B-PPP-B
BPPBBB,PPPBPPPB,PPBBPP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BPBPBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
