before,red_2cut,after,pattern
PBBBBP,PPBPP,PBBBBB,PP-B-PP
BBBBBB,PPBPP,BPBPPB,PP-B-PP
BPPBPB,PPBPP,BPBBPP,PP-B-PP
PBBPPP,PPBPP,PPBPBB,PP-B-PP
PBBBPB,PPBPP,BBBBBP,PP-B-PP
PBBBBB,PPBPP,PPBBBB,PP-B-PP
BBPBPP,PPBPP,BPPPBB,PP-B-PP
PBPPBB,PPBPP,PPPPPB,PP-B-PP
BBBPPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PPBPBB,PP-B-PP
PBBBPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BPBPBP,PP-B-PP
BBPBPB,PPBPP,BBBPBB,PP-B-PP
PPBBBP,PPBPP,BPBBPB,PP-B-PP
BPBPBB,PPBPP,PBBBPB,PP-B-PP
BPBBPP,PPBPP,BBBPBP,PP-B-PP
BPBPBP,PPBPP,PBPPBB,PP-B-PP
PPBBBP,PPBPP,BBBPBP,PP-B-PP
BPPPPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PBBPBP,PP-B-PP
BPPBBB,PPBPP,PPPPBB,PP-B-PP
BBPPPP,PPBPP,PBPPBP,PP-B-PP
BPPPPP,PPBPP,PPPPBP,PP-B-PP
PBPPPP,PPBPP,PBPPPP,PP-B-PP
PPBBBP,PPBPP,PBPPBB,PP-B-PP
PBBBBP,PPBPP,PBPPBB,PP-B-PP
BPBPBP,PPBPP,PBPPPB,PP-B-PP
BBBPPP,PPBPP,PBBBBB,PP-B-PP
BPBPBB,PPBPP,PPBPPP,PP-B-PP
BPPBPP,PPBPP,PBBBPP,PP-B-PP
BPBPBP,PPBPP,BBBPPB,PP-B-PP
PPBBBP,PPBPP,BPPBPB,PP-B-PP
BPBBPP,PPBPP,BBBBPP,PP-B-PP
BPBPPP,PPBPP,PBPBBP,PP-B-PP
PBBPPP,PPBPP,BPBBBB,PP-B-PP
BBBBBB,PPBPP,BBBBBP,PP-B-PP
PPPBBB,PPBPP,PBBPPB,PP-B-PP
BPPPBB,PPBPP,BPBBBB,PP-B-PP
BBPPBB,PPBPP,BBBPPP,PP-B-PP
PPPBPB,PPBPP,BPBBBB,PP-B-PP
BPBPBP,PPBPP,BBBPBP,PP-B-PP
PPPPBB,PPBPP,PBPBBB,PP-B-PP
BPBPBP,PPBPP,PBPBPP,PP-B-PP
PPPPBB,PPBPP,PPPBPP,PP-B-PP
PPPPBB,PPBPP,PPPBPB,PP-B-PP
BPBPBP,PPBPP,BPPBBP,PP-B-PP
PPPPBB,PPBPP,PPBPBP,PP-B-PP
BBPBPP,PPBPP,PPPBPB,PP-B-PP
BPBPPP,PPBPP,PBPBPB,PP-B-PP
PPBBBP,PPBPP,BBPBPP,PP-B-PP
PBBPBP,PPBPP,PPBBPB,PP-B-PP
BBBBBB,PPBPP,PPBPPP,PP-B-PP
BPPBPP,PPBPP,PBPBPB,PP-B-PP
PBBPPP,PPBPP,BPBBPP,PP-B-PP
BBPBBB,PPBPP,BBPPPB,PP-B-PP
PPBBPB,PPBPP,PPPPBP,PP-B-PP
BBPBPP,PPBPP,PPPPBB,PP-B-PP
PBBBBB,PPBPP,BBPBBB,PP-B-PP
PBBBBP,PPBPP,PBPBBP,PP-B-PP
BBBBPP,PPBPP,BPBBPB,PP-B-PP
PPBBPB,PPBPP,PPBBBP,PP-B-PP
PPPPBB,PPBPP,BPPPBP,PP-B-PP
PBPPBP,PPBPP,PBBPPP,PP-B-PP
PPPBBP,PPBPP,PBBBPP,PP-B-PP
PBBPBB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PPPPBB,PP-B-PP
PPPBPB,PPBPP,BBPBPP,PP-B-PP
PPBBBP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PBPPPP,PP-B-PP
PPPBBP,PPBPP,BBBPBB,PP-B-PP
PPBBBB,PPBPP,PPBBPP,PP-B-PP
BBBPBB,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,PBBPBB,PP-B-PP
BPPBBB,PPBPP,PPBBPB,PP-B-PP
BPBPBP,PPBPP,PPPBBB,PP-B-PP
PBBPPP,PPBPP,BPPBPB,PP-B-PP
PBBBBB,PPBPP,BBBBBP,PP-B-PP
BBBBPB,PPBPP,PPPBBB,PP-B-PP
BPBPBB,PPBPP,BBBPPP,PP-B-PP
BPBPBB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,BPPPBB,PP-B-PP
BPBBPP,PPBPP,BBPBBB,PP-B-PP
PBPBBP,PPBPP,BPBBBP,PP-B-PP
BBBPBP,PPBPP,PPPPPB,PP-B-PP
BPPPPP,PPBPP,BBBBBB,PP-B-PP
BPBBBB,PPBPP,PBBPPB,PP-B-PP
BBPBBP,PPBPP,BBBBPB,PP-B-PP
BBPPBB,PPBPP,BBPPPP,PP-B-PP
BPBBPB,PPBPP,PPBBPB,PP-B-PP
BBPBPP,PPBPP,BBBPBP,PP-B-PP
BBPPBB,PPBPP,PPPPPP,PP-B-PP
PBBBPP,PPBPP,BPPPPP,PP-B-PP
BBPPBB,PPBPP,BBPBPP,PP-B-PP
PBPBBP,PPBPP,PPBPBP,PP-B-PP
BBPBPP,PPBPP,PBBBPB,PP-B-PP
BPBPBB,PPBPP,PPPPPP,PP-B-PP
PBBPPP,PPBPP,BBBPBP,PP-B-PP
BPBPBP,PPBPP,BPBPPP,PP-B-PP
PBPBPB,PPBPP,BPPBBB,PP-B-PP
PPPBBB,PPBPP,BBPPBB,PP-B-PP
BBBPBP,PPBPP,PPBBBP,PP-B-PP
BBPPPP,PPBPP,BBBBBB,PP-B-PP
PBBBBB,PPBPP,BBBPPB,PP-B-PP
BBBBPB,PPBPP,PBBPBB,PP-B-PP
PBBBBB,PPBPP,PBPBBP,PP-B-PP
BBBPPP,PPBPP,BBPPBP,PP-B-PP
PBPPBB,PPBPP,PBBPBB,PP-B-PP
BPBBBP,PPBPP,BBPPPP,PP-B-PP
BBPBBP,PPBPP,PPPPPB,PP-B-PP
BBPPBB,PPBPP,BPBPBB,PP-B-PP
BBPBBP,PPBPP,PPPPPP,PP-B-PP
BPBPBB,PPBPP,BBPBBP,PP-B-PP
BBPBBP,PPBPP,BBPPPB,PP-B-PP
PBPBPP,PPBPP,BBPBPP,PP-B-PP
PBPPBB,PPBPP,BPBPPP,PP-B-PP
PPBBBP,PPBPP,PPBPBP,PP-B-PP
PBPBPB,PPBPP,BPBPPB,PP-B-PP
BPBPBB,PPBPP,PPBBPP,PP-B-PP
BPPBPB,PPBPP,BPPPBB,PP-B-PP
BPPPPP,PPBPP,PBBBBB,PP-B-PP
BBBPPP,PPBPP,BBBPBB,PP-B-PP
BPPBBB,PPBPP,BBPPPB,PP-B-PP
PBBBPB,PPBPP,BPPBBB,PP-B-PP
BBPPPP,PPBPP,BBBPPB,PP-B-PP
BPPBBB,PPBPP,BPPPBB,PP-B-PP
PPBPBP,PPBPP,PPBPBP,PP-B-PP
PPBBPB,PPBPP,PBBPBB,PP-B-PP
BBPBBB,PPBPP,PBBBPP,PP-B-PP
PPPBBB,PPBPP,BPBPBP,PP-B-PP
PBBBPB,PPBPP,BPPBBB,PP-B-PP
BBPPPP,PPBPP,PBBPBB,PP-B-PP
BBPPBB,PPBPP,BBBBBB,PP-B-PP
BPBPPP,PPBPP,BBBPBB,PP-B-PP
PPPBBB,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,BPPPPB,PP-B-PP
BPPBPP,PPBPP,BBBBBB,PP-B-PP
PBBPBP,PPBPP,PPBPBP,PP-B-PP
BBPPPP,PPBPP,BBPPBB,PP-B-PP
BBPPBB,PPBPP,PPPBBP,PP-B-PP
BPPBBB,PPBPP,BPPPBP,PP-B-PP
PBPPBP,PPBPP,PPPPPB,PP-B-PP
PPBPBP,PPBPP,BBPPBB,PP-B-PP
PBBBPB,PPBPP,PPBBPP,PP-B-PP
PPPPBB,PPBPP,PBBBPB,PP-B-PP
BPBPBB,PPBPP,PPPBBP,PP-B-PP
PBPBBB,PPBPP,PPBPPP,PP-B-PP
BPPBPP,PPBPP,PPPPBB,PP-B-PP
BBPBPB,PPBPP,PBBPBP,PP-B-PP
PPBBPB,PPBPP,BPBPBB,PP-B-PP
BPBPBB,PPBPP,PPBBBP,PP-B-PP
PBPPBB,PPBPP,BPPBBB,PP-B-PP
PBPBBP,PPBPP,BPBPBB,PP-B-PP
BBBBBP,PPBPP,PBPBBP,PP-B-PP
BBBPBB,PPBPP,BPPPPP,PP-B-PP
PBBPPP,PPBPP,PBBBBB,PP-B-PP
BPBBPB,PPBPP,PBPBBB,PP-B-PP
BBBBBP,PPBPP,BPBBPP,PP-B-PP
BBPBBB,PPBPP,PPBBBB,PP-B-PP
PPBPBP,PPBPP,BPPBPB,PP-B-PP
PPPBBP,PPBPP,PBBBBB,PP-B-PP
PBBBBB,PPBPP,BPPBBB,PP-B-PP
PPPBBB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BPPPPP,PP-B-PP
PPPBBP,PPBPP,PBPBPP,PP-B-PP
BPBBBP,PPBPP,PPBBBB,PP-B-PP
BBPBBP,PPBPP,PBPBBP,PP-B-PP
BBPBBP,PPBPP,BBBBPB,PP-B-PP
BBPBPP,PPBPP,BPBPPB,PP-B-PP
PBBBBP,PPBPP,BPBBPP,PP-B-PP
PPBPBB,PPBPP,PPPPPP,PP-B-PP
PBPPBB,PPBPP,BPPPPB,PP-B-PP
BPBPBB,PPBPP,PBPPBB,PP-B-PP
BBBPBB,PPBPP,BPPBPB,PP-B-PP
BBBPBB,PPBPP,BPPBPB,PP-B-PP
BPBPBB,PPBPP,BBPBPB,PP-B-PP
BBPPBB,PPBPP,BBBPBP,PP-B-PP
PPBBPB,PPBPP,PPBPPP,PP-B-PP
BPPBPP,PPBPP,PPBPBB,PP-B-PP
BBBBPP,PPBPP,BBBPBB,PP-B-PP
BBBBPB,PPBPP,BBBPPP,PP-B-PP
BBBBBB,PPBPP,BBPBPB,PP-B-PP
BPPBPB,PPBPP,BPBPPB,PP-B-PP
PPPPPP,PPBPP,BBPPPP,PP-B-PP
PBPBBB,PPBPP,BBBPPB,PP-B-PP
BBPPBB,PPBPP,PPBBBP,PP-B-PP
PPBBBB,PPBPP,PBPBPP,PP-B-PP
BBPPPP,PPBPP,PBPPPP,PP-B-PP
BBBBPB,PPBPP,PBPPPB,PP-B-PP
PBPBPP,PPBPP,BPPBBP,PP-B-PP
BBBPPP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PBBBPB,PP-B-PP
PBBBPP,PPBPP,PPBBPB,PP-B-PP
PBBBBP,PPBPP,BBPBBP,PP-B-PP
BPBBPP,PPBPP,BPPPPP,PP-B-PP
PBBBBP,PPBPP,BPPBBB,PP-B-PP
PBBBPB,PPBPP,PPBBPP,PP-B-PP
BBPPPP,PPBPP,BBPPPP,PP-B-PP
PBPBBB,PPBPP,PPBBBB,PP-B-PP
BPBBBB,PPBPP,PPPPPP,PP-B-PP
BBBBPB,PPBPP,BPPBBB,PP-B-PP
BBBBPP,PPBPP,PBPBPB,PP-B-PP
PBPBPB,PPBPP,BBBBBP,PP-B-PP
PBBPBP,PPBPP,BPPBPB,PP-B-PP
PPBPBP,PPBPP,PBBBBP,PP-B-PP
BBBBPP,PPBPP,PBBBBP,PP-B-PP
BPBPPP,PPBPP,PBPPBB,PP-B-PP
PPPBPB,PPBPP,BBPPBP,PP-B-PP
PPPPPP,PPBPP,BBBPPP,PP-B-PP
PPPBBB,PPBPP,BPBPPP,PP-B-PP
BBBPBP,PPBPP,BPPPBB,PP-B-PP
PPBBBP,PPBPP,PBPPBB,PP-B-PP
BPPBBP,PPBPP,PBPBPP,PP-B-PP
BBPPBB,PPBPP,BBPBBP,PP-B-PP
BBPBPP,PPBPP,BBBBBP,PP-B-PP
PBPBBB,PPBPP,PPPBPB,PP-B-PP
BBBBPP,PPBPP,BPBBBP,PP-B-PP
BBBPBP,PPBPP,BBBPPB,PP-B-PP
PPPPBB,PPBPP,PPBBBB,PP-B-PP
PPBBBB,PPBPP,BBBBPB,PP-B-PP
BBBPPP,PPBPP,BPPBPB,PP-B-PP
PBBPPP,PPBPP,PBPBPP,PP-B-PP
PBBPBP,PPBPP,PBBBPB,PP-B-PP
BPBPBB,PPBPP,PPBBPP,PP-B-PP
BPPPPP,PPBPP,PPBPBP,PP-B-PP
BPPPBB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BBBBPP,PP-B-PP
PPBPPB,PPBPP,BPBPBP,PP-B-PP
BPBPBP,PPBPP,PBPBPB,PP-B-PP
PPPBBB,PPBPP,PBPPBB,PP-B-PP
BBPBBB,PPBPP,BBPBPP,PP-B-PP
BBBBPP,PPBPP,PPBBBB,PP-B-PP
PBPPBB,PPBPP,BBBPPP,PP-B-PP
BPPBBP,PPBPP,PBPPBB,PP-B-PP
PPPBPP,PPBPP,BBBBBP,PP-B-PP
BPBBPP,PPBPP,BPBBBP,PP-B-PP
BPBBBP,PPBPP,BBPPBB,PP-B-PP
PBBPPP,PPBPP,PBPBBB,PP-B-PP
PBPBBB,PPBPP,BPBPPP,PP-B-PP
BPBPPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PPBPPB,PP-B-PP
BPPBPP,PPBPP,BPPBPP,PP-B-PP
BBBPBB,PPBPP,PBPBPP,PP-B-PP
BPPPBB,PPBPP,BBBBPP,PP-B-PP
PBBPBB,PPBPP,PBPPBB,PP-B-PP
BBBPBB,PPBPP,BPBPPP,PP-B-PP
PBBBPB,PPBPP,PBBPBP,PP-B-PP
PPBPBP,PPBPP,BBBPBP,PP-B-PP
BPBBBB,PPBPP,BBPBBB,PP-B-PP
PBBBBB,PPBPP,BPBBPB,PP-B-PP
PBBBPB,PPBPP,BBBBBP,PP-B-PP
BBPPBB,PPBPP,PBPPPB,PP-B-PP
BPPPBP,PPBPP,BBPBBB,PP-B-PP
PBBBBP,PPBPP,PBBPPB,PP-B-PP
PBPBPB,PPBPP,PBBBPB,PP-B-PP
BBPBPB,PPBPP,BPPPPP,PP-B-PP
PPPBPB,PPBPP,PBPPPP,PP-B-PP
BPBBPP,PPBPP,PPBBBB,PP-B-PP
PBPPPP,PPBPP,BBPBPB,PP-B-PP
BPBBPP,PPBPP,BPBBBP,PP-B-PP
BBPPBB,PPBPP,BPBPPB,PP-B-PP
BBBPBP,PPBPP,BPBPPB,PP-B-PP
BPBPPP,PPBPP,PPPBPB,PP-B-PP
PBBPBP,PPBPP,BPBBBP,PP-B-PP
PPBBBP,PPBPP,PPBPBP,PP-B-PP
PPPBPB,PPBPP,BBBPPP,PP-B-PP
PPBPBB,PPBPP,BBBPBB,PP-B-PP
BBPPPP,PPBPP,BPBBPP,PP-B-PP
PPBPBB,PPBPP,PBPPPB,PP-B-PP
BBPPPP,PPBPP,BBBBPB,PP-B-PP
PPBPBP,PPBPP,BPBPBP,PP-B-PP
BBPBBB,PPBPP,BBBPPP,PP-B-PP
BBBBPB,PPBPP,BBBPPB,PP-B-PP
PBBBBB,PPBPP,BBPBBB,PP-B-PP
BBPPPP,PPBPP,BBBBBB,PP-B-PP
PPBPBP,PPBPP,PBPPPP,PP-B-PP
BBBPBB,PPBPP,BPPBPB,PP-B-PP
PPBPBP,PPBPP,PBBBPP,PP-B-PP
PBBBBB,PPBPP,PPPBBP,PP-B-PP
PBBPPP,PPBPP,BBBBBB,PP-B-PP
BPBPPP,PPBPP,PPBPPB,PP-B-PP
PPPBPP,PPBPP,BBBPPB,PP-B-PP
PBPBBP,PPBPP,PBPPBP,PP-B-PP
PPBPBB,PPBPP,BPPBBP,PP-B-PP
BPBBPB,PPBPP,BBBBPP,PP-B-PP
PBPPPP,PPBPP,BPBBPP,PP-B-PP
BBBPBP,PPBPP,PPPPBP,PP-B-PP
PPBBBP,PPBPP,PBPBBP,PP-B-PP
PBPBBP,PPBPP,BBBBPP,PP-B-PP
PBBBBP,PPBPP,BPBBBB,PP-B-PP
PBBBPP,PPBPP,BBPPPB,PP-B-PP
BPPPBB,PPBPP,PPPPBP,PP-B-PP
PBPPPP,PPBPP,BPPBPB,PP-B-PP
PPPBBP,PPBPP,BPPBBP,PP-B-PP
BBPPPP,PPBPP,BBPBPB,PP-B-PP
PPPBPB,PPBPP,BBPPBP,PP-B-PP
PBPPBB,PPBPP,PBBPBB,PP-B-PP
BBBBBB,PPBPP,PPPPBP,PP-B-PP
BBBBBP,PPBPP,PPPPBP,PP-B-PP
PPBBBB,PPBPP,PBBPPB,PP-B-PP
PBBPBP,PPBPP,BPPBPB,PP-B-PP
PPBPBP,PPBPP,BBBPPB,PP-B-PP
BBPBPB,PPBPP,BPBBPB,PP-B-PP
BPBBBB,PPBPP,PBPPPB,PP-B-PP
PPPBBP,PPBPP,BPPBBB,PP-B-PP
PBPPPP,PPBPP,BBBPBP,PP-B-PP
BBPBPP,PPBPP,BBBBPB,PP-B-PP
BPBBPB,PPBPP,PBPBPB,PP-B-PP
BPBBBP,PPBPP,BBPBPP,PP-B-PP
BPBBPB,PPBPP,PBPBPB,PP-B-PP
BPBBBP,PPBPP,BBPBPP,PP-B-PP
PPBBPP,PPBPP,BPPBPB,PP-B-PP
BBPBPB,PPBPP,PBBBPP,PP-B-PP
BBBBPB,PPBPP,PPBPPB,PP-B-PP
BPPBPP,PPBPP,BBBPBP,PP-B-PP
BBBPBB,PPBPP,PBPBBP,PP-B-PP
BPBBPB,PPBPP,BPPPBP,PP-B-PP
BBPBBB,PPBPP,BBPBBP,PP-B-PP
PPBBPB,PPBPP,BBPBPP,PP-B-PP
BPBBBB,PPBPP,PBPBPB,PP-B-PP
PBPBBB,PPBPP,BBBPPP,PP-B-PP
BPBPPP,PPBPP,PPBPPB,PP-B-PP
PPPBPP,PPBPP,BBBPBB,PP-B-PP
PPPBBB,PPBPP,PBBBPP,PP-B-PP
PPBBBB,PPBPP,BPBBPP,PP-B-PP
PBPPBB,PPBPP,PBBBPB,PP-B-PP
BPPPPP,PPBPP,PPBBBP,PP-B-PP
PBPBBB,PPBPP,BPBBBB,PP-B-PP
BPBBPP,PPBPP,BBBBBP,PP-B-PP
PBBPBB,PPBPP,BBBBPP,PP-B-PP
PBBBBB,PPBPP,BBPBPP,PP-B-PP
BBPBPB,PPBPP,PPBPBP,PP-B-PP
BPBPBP,PPBPP,PBBBBB,PP-B-PP
BBBBBB,PPBPP,PPBBBP,PP-B-PP
PPBBBP,PPBPP,PPPBBP,PP-B-PP
PPPBBP,PPBPP,BBPPBP,PP-B-PP
PBPPBB,PPBPP,PPBPBP,PP-B-PP
PBPPBB,PPBPP,BPBPPP,PP-B-PP
BBBBPB,PPBPP,PBBBPP,PP-B-PP
BBBBPP,PPBPP,BPPBBB,PP-B-PP
BBPPBB,PPBPP,BBBPPP,PP-B-PP
BBPPPP,PPBPP,PPPPPP,PP-B-PP
PBPBBB,PPBPP,PPPBPB,PP-B-PP
BBBPBP,PPBPP,PBBBBP,PP-B-PP
PBBBPB,PPBPP,BPBPPP,PP-B-PP
PBBBBB,PPBPP,BPPBBP,PP-B-PP
PPBBPP,PPBPP,BPBPBP,PP-B-PP
BBBBBB,PPBPP,PPBBBB,PP-B-PP
PPPPBB,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,PPBBBP,PP-B-PP
PBPPBB,PPBPP,BBPBPB,PP-B-PP
BBPBPP,PPBPP,PBPPBP,PP-B-PP
PPBPBB,PPBPP,PBPBPB,PP-B-PP
PBPBBB,PPBPP,PBBPPB,PP-B-PP
PPBBBP,PPBPP,BBPPPB,PP-B-PP
PPPPPP,PPBPP,BPBPBB,PP-B-PP
PBPPPP,PPBPP,BPBPBP,PP-B-PP
PBPBPP,PPBPP,PPPBBP,PP-B-PP
PPPPPP,PPBPP,PBPBPB,PP-B-PP
PBPBPP,PPBPP,BBPBPB,PP-B-PP
BPBBBP,PPBPP,PBPBPP,PP-B-PP
BPPBBP,PPBPP,BBBBPB,PP-B-PP
BPBPBP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PPPPPP,PP-B-PP
PBPBBP,PPBPP,PPPPPP,PP-B-PP
PPPPBB,PPBPP,PBBBBB,PP-B-PP
BBBBBB,PPBPP,BBPPBB,PP-B-PP
PBPPBB,PPBPP,BPPPPP,PP-B-PP
PPBPBP,PPBPP,BPBBBB,PP-B-PP
BBBBPB,PPBPP,BBBPBP,PP-B-PP
PBBBPB,PPBPP,BPBBBB,PP-B-PP
BPPBPB,PPBPP,PPPPPB,PP-B-PP
BBBPBB,PPBPP,PPPPBB,PP-B-PP
PPBBPB,PPBPP,PPBPPB,PP-B-PP
BPPBPP,PPBPP,BBPBBB,PP-B-PP
BBBBPB,PPBPP,PBPPBB,PP-B-PP
BPBPBB,PPBPP,BPBBBP,PP-B-PP
PPBPBB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BBPPBP,PP-B-PP
PBPPBB,PPBPP,PBBBPP,PP-B-PP
PPBBPP,PPBPP,PPBPBP,PP-B-PP
BBBBPB,PPBPP,BPPBBB,PP-B-PP
PPPBBB,PPBPP,BBPPBB,PP-B-PP
BPPBBB,PPBPP,BBPPBP,PP-B-PP
BPBBBB,PPBPP,BBPPPB,PP-B-PP
PPBPBP,PPBPP,PBBBPB,PP-B-PP
BPBBPP,PPBPP,PPBBBB,PP-B-PP
PPPBPP,PPBPP,BBBBBB,PP-B-PP
PBBBBP,PPBPP,BBPBPB,PP-B-PP
PBPBPB,PPBPP,BBPPPB,PP-B-PP
BBBBPP,PPBPP,BBBBPP,PP-B-PP
PBBBPP,PPBPP,PPPBBP,PP-B-PP
BBBPBP,PPBPP,BPBPPB,PP-B-PP
PBBPBP,PPBPP,BPPBBP,PP-B-PP
BBPPPP,PPBPP,PPBPBP,PP-B-PP
BBBBPP,PPBPP,BPPBBP,PP-B-PP
BBPBBB,PPBPP,BPPPBB,PP-B-PP
PBBBBP,PPBPP,BPPBBP,PP-B-PP
BBPPBB,PPBPP,PPBPBB,PP-B-PP
BPBBPB,PPBPP,BPPBPB,PP-B-PP
BBPBPB,PPBPP,PBBBPB,PP-B-PP
PPBBPP,PPBPP,PPBPBP,PP-B-PP
PBBPBB,PPBPP,PPPBBB,PP-B-PP
BBPPPP,PPBPP,BBBBPB,PP-B-PP
BBBBBP,PPBPP,BPPPBB,PP-B-PP
PBBBPP,PPBPP,PPPPBP,PP-B-PP
PBPPPP,PPBPP,PPPBPB,PP-B-PP
PPPBPB,PPBPP,BPPPPB,PP-B-PP
BPPBBB,PPBPP,PPPPPB,PP-B-PP
BPPPPP,PPBPP,BPPPBB,PP-B-PP
BPBPBP,PPBPP,PBBBPB,PP-B-PP
PPPBBP,PPBPP,PPPPPB,PP-B-PP
BPPBPB,PPBPP,BPPBBP,PP-B-PP
BPBBBB,PPBPP,BPBBPB,PP-B-PP
PBPPBB,PPBPP,PPBBBB,PP-B-PP
PBBBBB,PPBPP,PBPBPB,PP-B-PP
PBPBPB,PPBPP,BBBPBP,PP-B-PP
PBPBPB,PPBPP,BBPBPP,PP-B-PP
BPPBPB,PPBPP,BBPPBB,PP-B-PP
BPBPBP,PPBPP,BPPBBP,PP-B-PP
PBPBPB,PPBPP,BBPBPP,PP-B-PP
PPBBPB,PPBPP,PPPPPB,PP-B-PP
BPPPPP,PPBPP,PPPPPP,PP-B-PP
BBBPPP,PPBPP,BPBPPP,PP-B-PP
BBPPBB,PPBPP,BBBBBB,PP-B-PP
PBBPPP,PPBPP,BPBBBB,PP-B-PP
BPPBBP,PPBPP,PBPPPB,PP-B-PP
PPBBPP,PPBPP,PBBBPB,PP-B-PP
BBPBPB,PPBPP,PPPPPB,PP-B-PP
PBPBBB,PPBPP,PPPPPB,PP-B-PP
PBBPPP,PPBPP,BBPBPB,PP-B-PP
BPBPPP,PPBPP,PBBBPB,PP-B-PP
BPBBBB,PPBPP,PPBBPB,PP-B-PP
BBPBBP,PPBPP,BPBPBP,PP-B-PP
BPBPBB,PPBPP,PPBBPB,PP-B-PP
PBPBPB,PPBPP,BBBBPP,PP-B-PP
BBPPPP,PPBPP,BPPBPB,PP-B-PP
PPPBPB,PPBPP,PPBPPP,PP-B-PP
BPPBPP,PPBPP,PPBPBP,PP-B-PP
PPBBBP,PPBPP,PPBPPB,PP-B-PP
PPPBPP,PPBPP,BPPBBB,PP-B-PP
PBPBBB,PPBPP,BPBPBB,PP-B-PP
PBBBPB,PPBPP,PBPPBB,PP-B-PP
BBBPBP,PPBPP,BPBPBB,PP-B-PP
PPBBPP,PPBPP,BPBPPP,PP-B-PP
