before,no_cut,after,length,structure
BPBPPB,BPBPBPBP,PBPPPP,8,BPB
BBBPPP,PBPBPB,PPBBBB,6,PBP
BBBBPB,BPBPBP,BBBPPP,6,BPB
BBBBPB,BPBPBP,PPPBPB,6,BPB
BPBPPP,PBPBPB,BBBBBB,6,PBP
BPBBBB,BPBPBP,PPBBPB,6,BPB
PPPPPB,BPBPBPBP,PBPBBP,8,BPB
PPPPBB,BPBPBPBPBP,BBPBPB,10,BPB
BPBBBP,PBPBPB,PPBPBP,6,PBP
BBPPBP,PBPBPB,BBBPPB,6,PBP
BPBBBB,BPBPBP,PPPPPB,6,BPB
PBPPPP,PBPBPBPB,PPPPPB,8,PBP
PPBBPB,BPBPBPBP,BBBPPB,8,BPB
PBPPBB,BPBPBP,PBPBPP,6,BPB
PBPPPP,PBPBPB,BPBBPB,6,PBP
BPBPPB,BPBPBP,BBPBBB,6,BPB
PBBBPP,PBPBPB,PPPBBP,6,PBP
BBPBBB,BPBPBP,BBBBBP,6,BPB
BBPBPB,BPBPBP,PBBPPB,6,BPB
PPBPBB,BPBPBPBP,PPBBBP,8,BPB
PPPBPB,BPBPBP,PBPBBP,6,BPB
PBBBBP,PBPBPB,BPBBPB,6,PBP
PPBBBB,BPBPBP,BBPPPP,6,BPB
BBBPPP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBP,BBBPBB,6,BPB
PBPBPP,PBPBPB,BPPBPB,6,PBP
PBBPPB,BPBPBPBP,PPBPPP,8,BPB
PPBPPP,PBPBPB,BBPBBB,6,PBP
BBBBBP,PBPBPB,BPBPBB,6,PBP
PBBPPP,PBPBPB,PPPPPB,6,PBP
BBPBPB,BPBPBPBPBPBP,PBBPPB,12,BPB
BBBPBP,PBPBPB,BBPPBB,6,PBP
PPBPBP,PBPBPB,BPPBPB,6,PBP
BPPPPP,PBPBPB,BPBBPP,6,PBP
BBBBPB,BPBPBP,PBBPPP,6,BPB
PBBPBP,PBPBPBPB,PPBPPB,8,PBP
BPBBPB,BPBPBPBP,BBBBPP,8,BPB
BBPBBP,PBPBPBPB,BBPPPB,8,PBP
BBPPPP,PBPBPB,BBPBBB,6,PBP
BBPBBB,BPBPBP,BBBBPB,6,BPB
PBBBPB,BPBPBP,BBPPPP,6,BPB
BBBBBP,PBPBPB,BBBBBP,6,PBP
BPPBBB,BPBPBP,PPPPBB,6,BPB
PPBPBB,BPBPBP,PBBPPP,6,BPB
BPBPPP,PBPBPB,BPBBBB,6,PBP
BPPPPB,BPBPBPBP,BBPBBP,8,BPB
BBBPPB,BPBPBP,PBBBBP,6,BPB
PBPPBP,PBPBPBPB,BPPBBP,8,PBP
PPBBPB,BPBPBP,PBPPBB,6,BPB
BPBBPP,PBPBPBPB,BBBBPP,8,PBP
BPPPBB,BPBPBP,BBPPBP,6,BPB
BPBBPB,BPBPBP,BBPBBB,6,BPB
PBPPBB,BPBPBPBPBPBP,PPBPPP,12,BPB
PPBBBP,PBPBPB,BPBBBB,6,PBP
BPBPPB,BPBPBP,PBBPPP,6,BPB
PBBPBP,PBPBPB,PPBBBP,6,PBP
BBBBPP,PBPBPBPB,PPBBPB,8,PBP
BBPBBB,BPBPBP,PPBPPP,6,BPB
PPPBPP,PBPBPBPB,BPPBPB,8,PBP
PBBBBP,PBPBPBPB,BBBBBB,8,PBP
BBBBBP,PBPBPB,BBBBPB,6,PBP
BBBPPP,PBPBPB,BBPPBP,6,PBP
BPBBPP,PBPBPB,BBBPPB,6,PBP
BBBBBP,PBPBPBPB,BBBBPB,8,PBP
BBBPPP,PBPBPB,BPPBPP,6,PBP
BBBBPP,PBPBPB,PPPBPP,6,PBP
PBBPPB,BPBPBP,BBPPBP,6,BPB
PBBBBP,PBPBPB,BPBBBB,6,PBP
PPPPBB,BPBPBP,BBBBBB,6,BPB
BBPBBB,BPBPBP,PBBPBB,6,BPB
BPBBBB,BPBPBP,PBBBBB,6,BPB
BBBBPP,PBPBPB,BBPBBP,6,PBP
BBBBBB,BPBPBP,PPBPPB,6,BPB
PBPPBB,BPBPBP,PPBPPP,6,BPB
PBPPPP,PBPBPB,PPPBPP,6,PBP
PPBPPP,PBPBPB,BPPBBB,6,PBP
PBPPPP,PBPBPB,BBPPBB,6,PBP
PPPBPP,PBPBPB,PPBBBP,6,PBP
BBPPPB,BPBPBP,PBBBBP,6,BPB
PPPBPP,PBPBPB,BPBBBB,6,PBP
BBBBPB,BPBPBP,PPBBBB,6,BPB
PPPBBB,BPBPBP,PPBBPB,6,BPB
PBBBBB,BPBPBPBP,PPPPBB,8,BPB
PPBBBB,BPBPBP,PBBBBB,6,BPB
PPBBBB,BPBPBP,PPPPBB,6,BPB
BPPPPB,BPBPBP,PPPBBP,6,BPB
BBBBBP,PBPBPB,BPBBBB,6,PBP
BBBBBP,PBPBPB,PPPPPP,6,PBP
BPBPPB,BPBPBPBP,PPBPBP,8,BPB
PPBBPP,PBPBPBPB,BPBBBB,8,PBP
BBBPBB,BPBPBP,PPPBBP,6,BPB
BBPBBP,PBPBPB,PPBBBB,6,PBP
BBBPBB,BPBPBPBP,PBBPBB,8,BPB
BPPPPB,BPBPBP,PPBPPP,6,BPB
PBPBPP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBP,BBPBBP,6,BPB
BPBBBB,BPBPBP,PPBBBB,6,BPB
PPBBPP,PBPBPB,BPPPBP,6,PBP
BPBBPP,PBPBPB,BBPPPB,6,PBP
PPBPBP,PBPBPB,BPPPPB,6,PBP
PPPBPB,BPBPBP,PBPBBP,6,BPB
BBBBBB,BPBPBP,BBPBBB,6,BPB
BBPBBB,BPBPBP,BBPPBB,6,BPB
PPPBPB,BPBPBP,BBPPPP,6,BPB
PBBBPP,PBPBPB,BBBBBP,6,PBP
PBPBBP,PBPBPB,BPPPBP,6,PBP
PPBPBB,BPBPBP,PBPBBB,6,BPB
PPPPPB,BPBPBP,PBBBBP,6,BPB
PBPPBB,BPBPBP,PBBBPB,6,BPB
PPPBBP,PBPBPB,PPPBPP,6,PBP
PPBPBP,PBPBPB,BBBBBP,6,PBP
PPPPPP,PBPBPB,PPBPPB,6,PBP
PBPBBB,BPBPBP,PPBBBB,6,BPB
PBBPBB,BPBPBP,PBBPBB,6,BPB
BBPPBB,BPBPBP,PBBPPP,6,BPB
BBBBBB,BPBPBPBPBP,PPPBPB,10,BPB
BBPPBP,PBPBPB,BBBPBB,6,PBP
PBPBBB,BPBPBP,PBBBPB,6,BPB
BBBBBP,PBPBPBPBPBPBPB,BPPBPP,14,PBP
BBPBBP,PBPBPB,PPBPBB,6,PBP
PBPBBB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,BBBBPP,6,PBP
BBPBBB,BPBPBP,BBPBBB,6,BPB
BBPBBB,BPBPBP,BBBBPB,6,BPB
PBPBBB,BPBPBP,PPPBPP,6,BPB
PPPPBB,BPBPBPBPBP,PBBPPB,10,BPB
PBBPPB,BPBPBP,PPPBBB,6,BPB
PPBPPP,PBPBPBPB,PPBPPB,8,PBP
BPBBPP,PBPBPB,BBPBBB,6,PBP
PPPBBP,PBPBPB,PPBBBB,6,PBP
PBPBBP,PBPBPB,BPPPBP,6,PBP
BBBBBP,PBPBPBPB,BPPBPB,8,PBP
PBPBBP,PBPBPB,BPPBPB,6,PBP
PBPBBP,PBPBPB,BPBPPB,6,PBP
PPBPBP,PBPBPB,PPPBPB,6,PBP
BBBPBB,BPBPBP,PPPPPB,6,BPB
PBBBBP,PBPBPBPB,PPPPBB,8,PBP
PPPBPB,BPBPBPBP,BBBPBB,8,BPB
BBBPBB,BPBPBPBPBP,BBPPPP,10,BPB
BBPBBB,BPBPBPBP,PBBBBP,8,BPB
BBPPBP,PBPBPB,PPPPPB,6,PBP
PPPPPB,BPBPBPBPBPBP,PBBPBP,12,BPB
PBBPBB,BPBPBPBPBP,PBBPPB,10,BPB
BPPBBB,BPBPBPBP,PPBBPB,8,BPB
BBPPPB,BPBPBPBP,PPPPPB,8,BPB
BBBBBB,BPBPBP,PPBBBP,6,BPB
PBBPBP,PBPBPBPB,BBBBBB,8,PBP
BBBBBP,PBPBPB,BPPPPP,6,PBP
PPBBBP,PBPBPBPBPB,BBPPPB,10,PBP
BPBBBP,PBPBPB,BPBBBB,6,PBP
BPBBPB,BPBPBP,PPPBPB,6,BPB
BBBPPP,PBPBPB,PPPPPB,6,PBP
PBPPBB,BPBPBPBPBP,BBPPBP,10,BPB
PPBBBB,BPBPBP,BBBBBB,6,BPB
PBPBBB,BPBPBP,PBPPPB,6,BPB
BBPPPB,BPBPBP,BBPPBP,6,BPB
BPBBBB,BPBPBP,BBBPBB,6,BPB
BPBBPP,PBPBPB,BBBBPP,6,PBP
PPBBBP,PBPBPB,BBBBBB,6,PBP
PPPPPP,PBPBPBPB,PPBBPP,8,PBP
PPBPPP,PBPBPB,PPPPBP,6,PBP
PPPBPB,BPBPBP,PPPPBP,6,BPB
PPBBBB,BPBPBP,BBPPBB,6,BPB
PPBPBP,PBPBPB,PPBBBB,6,PBP
BPBPBB,BPBPBP,BBPPBB,6,BPB
BBBPPP,PBPBPBPB,PPPPBB,8,PBP
BBPBPB,BPBPBP,PPBBBP,6,BPB
PPBPPB,BPBPBP,PBPBPP,6,BPB
BBPBPP,PBPBPB,PPBBBP,6,PBP
BPPBPB,BPBPBP,PBBBPB,6,BPB
BPPBPB,BPBPBPBP,PPBBPB,8,BPB
PPPPBB,BPBPBP,PPPBBP,6,BPB
PBBBBP,PBPBPB,BBPPBP,6,PBP
BBBPPB,BPBPBP,BBPPPP,6,BPB
BBBPPB,BPBPBP,BBBBBP,6,BPB
PPPBPP,PBPBPBPB,PPBPPB,8,PBP
PBPBPP,PBPBPB,PPPBBB,6,PBP
PPPBBB,BPBPBP,BBPBBB,6,BPB
PBBPBB,BPBPBP,BBPPBB,6,BPB
PBBPBP,PBPBPB,BBBPPP,6,PBP
PBPBBP,PBPBPBPB,BPBBPP,8,PBP
PBBPPB,BPBPBP,PPBBBP,6,BPB
PBBPBB,BPBPBP,PPPPPP,6,BPB
PPBBBB,BPBPBP,PBBPPB,6,BPB
BBPPPP,PBPBPBPB,PPBBPB,8,PBP
PPPBBP,PBPBPB,PPPBPB,6,PBP
PPBPBB,BPBPBPBP,PBPBPB,8,BPB
BPBPBP,PBPBPBPB,PPBBPP,8,PBP
BBPPPP,PBPBPB,BPBBBB,6,PBP
BBBPBP,PBPBPBPBPB,PPBBBB,10,PBP
PPBBBP,PBPBPB,BPBBBP,6,PBP
BBBPBP,PBPBPB,BBPPBB,6,PBP
BBBPPB,BPBPBPBP,PBBBBP,8,BPB
BBBBPP,PBPBPB,PPBPBB,6,PBP
PBPPBP,PBPBPB,PPPBPP,6,PBP
PPPBPP,PBPBPBPBPB,BPPPPP,10,PBP
PBBPBP,PBPBPB,BPBBBP,6,PBP
PPBPBP,PBPBPB,BPPPBB,6,PBP
PPBPBB,BPBPBP,PPPBPB,6,BPB
BPBPPP,PBPBPB,BPPBBP,6,PBP
BPBBPP,PBPBPB,BBBBPB,6,PBP
BBPBPP,PBPBPB,BPBPBB,6,PBP
BPBBBP,PBPBPB,BBPBBP,6,PBP
PPPPBP,PBPBPB,PPPBPB,6,PBP
PPPPPP,PBPBPBPB,BPPPBP,8,PBP
BBPPPP,PBPBPB,BBPPBP,6,PBP
BPPBBB,BPBPBPBP,PPPPPB,8,BPB
BPPPPP,PBPBPB,BPPPPP,6,PBP
PBBPPP,PBPBPB,BPBPPP,6,PBP
BPBPPP,PBPBPB,PPBPBB,6,PBP
PPPBBP,PBPBPB,BPPPPP,6,PBP
PPPBBP,PBPBPB,PPBPPP,6,PBP
BPBPPB,BPBPBP,BBBBBP,6,BPB
BBBPBB,BPBPBP,PBPPBP,6,BPB
BBPBBP,PBPBPB,BBBPBP,6,PBP
BPPBBP,PBPBPB,PPBBBP,6,PBP
PBPBBP,PBPBPBPB,PPBPBB,8,PBP
PPBPPB,BPBPBP,BBPPPP,6,BPB
BBPBBP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBP,PPPPBB,6,BPB
PPBPPB,BPBPBP,PPPPBB,6,BPB
BBPBPP,PBPBPB,BPPPPP,6,PBP
BBBPPP,PBPBPBPBPBPB,PPPPBP,12,PBP
BPBPPP,PBPBPB,BPPBPB,6,PBP
PBPBBP,PBPBPB,BPPPBB,6,PBP
BPPPBP,PBPBPB,PPBBBP,6,PBP
PBBBBB,BPBPBP,BBPBBP,6,BPB
BBBBPP,PBPBPBPB,BBPBBB,8,PBP
PPPBBB,BPBPBP,PPBBPP,6,BPB
PBPBBP,PBPBPB,BBBBBP,6,PBP
BPBBBP,PBPBPB,BBBBBB,6,PBP
BBBBBP,PBPBPBPB,PPBPBB,8,PBP
PPBPPB,BPBPBP,BBBPBB,6,BPB
PPBPBB,BPBPBP,PPPPPP,6,BPB
PBPPBB,BPBPBP,PBBPBP,6,BPB
BPBBBB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPBPBPBPB,BPBBPB,12,PBP
PBPBBP,PBPBPB,BBBBPP,6,PBP
PPPBBP,PBPBPB,BBBBPP,6,PBP
PPBBBP,PBPBPB,BBPPBB,6,PBP
BBBPPB,BPBPBP,PBPPBP,6,BPB
PPPBBB,BPBPBPBP,BBBPPB,8,BPB
PBPBBB,BPBPBP,PPPPPB,6,BPB
BBPBPB,BPBPBPBPBP,BBPBBB,10,BPB
BPPBPP,PBPBPBPBPB,BBPPPB,10,PBP
BPPBPP,PBPBPBPBPB,BBPPPB,10,PBP
PBBPPB,BPBPBP,BBBPBP,6,BPB
PBPBBB,BPBPBP,PBBBBP,6,BPB
PBPBBB,BPBPBP,PBPBBB,6,BPB
PBPBBB,BPBPBP,BBBPBB,6,BPB
PBBPBP,PBPBPB,PPBPBB,6,PBP
BPPBPP,PBPBPB,PPBPBB,6,PBP
BBPBPP,PBPBPBPB,BPBPPP,8,PBP
PPPPPP,PBPBPB,BPBPBB,6,PBP
PBPPPB,BPBPBPBP,PBPBPB,8,BPB
BPBPBP,PBPBPB,BBPBPB,6,PBP
BBBPBP,PBPBPB,BPPPPB,6,PBP
PPBBPP,PBPBPB,BPBBPP,6,PBP
PPBPBB,BPBPBP,PBPPPP,6,BPB
PBPPBB,BPBPBP,PPBPPP,6,BPB
PPBPPP,PBPBPB,BPPPBB,6,PBP
PBPPPP,PBPBPB,PPBBPP,6,PBP
PPBPBP,PBPBPB,BPBBPB,6,PBP
PBPPPP,PBPBPB,BPBBBB,6,PBP
PPPPBP,PBPBPBPB,BBPPPP,8,PBP
PPPBPB,BPBPBP,BBPBBP,6,BPB
BPPBPP,PBPBPB,BBPPBP,6,PBP
PPBBPP,PBPBPB,BBPBBP,6,PBP
BBPBBP,PBPBPB,BPPBPB,6,PBP
PBPBBP,PBPBPB,PPPBBB,6,PBP
BPBPPB,BPBPBP,PPPPPP,6,BPB
PPPPBP,PBPBPBPB,BPBBBB,8,PBP
BPBPPP,PBPBPB,PPBBBB,6,PBP
BPBPPP,PBPBPB,PPPPBP,6,PBP
PBPBBP,PBPBPBPBPB,BBPBPP,10,PBP
PBBPPP,PBPBPB,BBBBPB,6,PBP
PBPPBP,PBPBPB,PPPBPP,6,PBP
BPBPPB,BPBPBP,PPBBBB,6,BPB
PPPBBP,PBPBPB,PPPPBB,6,PBP
PBBPPB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,BPPPPB,6,PBP
BBPBPP,PBPBPBPB,BBBBPB,8,PBP
PBPBBP,PBPBPB,BPPBBB,6,PBP
PPBBPP,PBPBPB,PPPPBB,6,PBP
BPBPPP,PBPBPBPB,BPBPPP,8,PBP
PBPPPB,BPBPBPBP,BBBBBP,8,BPB
BPPBBP,PBPBPB,BPBPBB,6,PBP
PPBPPB,BPBPBP,PPPPBB,6,BPB
BPPBPB,BPBPBP,PBBBBB,6,BPB
PBBPBP,PBPBPBPB,BBBPPB,8,PBP
PPBPPB,BPBPBPBP,PPBPPP,8,BPB
BBBPPB,BPBPBPBP,PPPPBB,8,BPB
PBPPBP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBP,PBPPPB,6,BPB
BPPPBB,BPBPBP,BBBPPP,6,BPB
PPBPPP,PBPBPBPB,BBPBBP,8,PBP
PBBPPP,PBPBPB,BPBBBP,6,PBP
PBBPBP,PBPBPBPB,BBPPPP,8,PBP
PBPPPP,PBPBPB,PPPPBB,6,PBP
PBPBPP,PBPBPB,PPPPPB,6,PBP
PPPPPB,BPBPBPBP,BBBPBB,8,BPB
PBBPPB,BPBPBP,PPBPPP,6,BPB
PBBPPP,PBPBPB,PPBPBP,6,PBP
BBPBPB,BPBPBP,BBBBBB,6,BPB
BPPBPB,BPBPBPBP,PPBPBP,8,BPB
PBPBPP,PBPBPB,PPBBPP,6,PBP
BPPBPP,PBPBPBPB,BPPBBB,8,PBP
PBPPBB,BPBPBPBP,PBPPBB,8,BPB
BBBBBB,BPBPBP,PPBPPB,6,BPB
PPPPPP,PBPBPB,BBBPBP,6,PBP
PBBPBB,BPBPBP,PBBPBB,6,BPB
PBPBPP,PBPBPB,BPPBBB,6,PBP
BBPBPP,PBPBPB,BPBBBP,6,PBP
PPPPPP,PBPBPB,PPPBPB,6,PBP
PBBBPB,BPBPBP,PBBPPP,6,BPB
BPPPPB,BPBPBP,BBBPPP,6,BPB
PPPPPP,PBPBPB,BPPPPP,6,PBP
PPPPBB,BPBPBP,PPBBPP,6,BPB
BPBBPP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBP,BBPBBP,6,BPB
BPPPBP,PBPBPB,PPPBPB,6,PBP
PBPBPP,PBPBPB,BPPBPP,6,PBP
BBBPBP,PBPBPB,PPBPPB,6,PBP
PBPPBP,PBPBPBPB,BPPPPB,8,PBP
BBPPBP,PBPBPB,BPBBPP,6,PBP
BPPPPP,PBPBPB,BBPBBP,6,PBP
BPPPBP,PBPBPB,BBPPBB,6,PBP
PPBPBB,BPBPBPBP,PBPBBP,8,BPB
PBPPBP,PBPBPB,BBBPBB,6,PBP
BPBPPB,BPBPBP,PPPPBP,6,BPB
PPPPPB,BPBPBPBP,PBPPPP,8,BPB
PBBPBP,PBPBPBPBPB,PPPBBB,10,PBP
PPPBBB,BPBPBPBP,BBPPBB,8,BPB
PPPBBP,PBPBPB,BBPBBB,6,PBP
PPPBPP,PBPBPB,BBPPPP,6,PBP
PPPPPB,BPBPBP,BBPPPP,6,BPB
BBPBBP,PBPBPB,PPPPBB,6,PBP
PBPPPB,BPBPBPBPBP,PPBBPP,10,BPB
PPBBBP,PBPBPBPB,PPPBBB,8,PBP
BPPBBB,BPBPBPBP,PBBPBP,8,BPB
PBBBPP,PBPBPB,BPBPPP,6,PBP
PBBPPB,BPBPBPBPBP,PPPBPB,10,BPB
PBBBPP,PBPBPB,BBBBBP,6,PBP
BPPPBB,BPBPBP,PPPBBB,6,BPB
BBPBBP,PBPBPB,PPBBBP,6,PBP
BBPBBB,BPBPBP,PBPPBB,6,BPB
PBBBBB,BPBPBP,PBBBBP,6,BPB
BBPBBB,BPBPBP,PBBBPB,6,BPB
PBPPPP,PBPBPB,BBBBPB,6,PBP
BPBBPB,BPBPBP,BBBBBP,6,BPB
PBPBBB,BPBPBPBP,BBPBPP,8,BPB
BPPPBB,BPBPBPBPBP,PBPBBB,10,BPB
PPBBBP,PBPBPB,PPPPPB,6,PBP
PBBBPP,PBPBPBPBPB,BBBBPB,10,PBP
BPBBBB,BPBPBPBP,PBPBPP,8,BPB
PBBPBP,PBPBPB,PPBBBB,6,PBP
BBPPBB,BPBPBP,PBBBPP,6,BPB
BPPBBP,PBPBPB,BBBPPB,6,PBP
PBBBBB,BPBPBPBP,BBBBPP,8,BPB
PBBPBB,BPBPBP,BBBBPP,6,BPB
BBBBBB,BPBPBP,PPBBPP,6,BPB
BBPBPB,BPBPBP,BBBBBP,6,BPB
PPBPBP,PBPBPB,BBBPBB,6,PBP
PBBBBB,BPBPBP,PBBBBP,6,BPB
PPPPPP,PBPBPBPBPB,BBPPPP,10,PBP
BBBBBP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBP,PPPBPB,6,BPB
BBPPBP,PBPBPB,PPBPBP,6,PBP
BPPBBB,BPBPBPBPBP,PPPPBP,10,BPB
PBPPBB,BPBPBP,PBBPPB,6,BPB
BBBPBB,BPBPBP,PBPPBB,6,BPB
BPBPBB,BPBPBP,PBPPPB,6,BPB
BBBBBP,PBPBPB,BPPBPP,6,PBP
BBPPPP,PBPBPB,BPPBBB,6,PBP
PPBPBP,PBPBPB,PPPBBB,6,PBP
PBBPPP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBP,BBPPBP,6,BPB
BBBPPB,BPBPBPBP,BBBBBP,8,BPB
PPPPBB,BPBPBP,BBPBBB,6,BPB
BBPPPB,BPBPBP,BBPPPP,6,BPB
BPBBBP,PBPBPB,PPPPBB,6,PBP
BPBBBB,BPBPBP,PPBPPP,6,BPB
BPBBPB,BPBPBP,PBPBBB,6,BPB
PBPBBB,BPBPBP,BBPBBP,6,BPB
BBPBPP,PBPBPB,BPPBBP,6,PBP
PPPPBB,BPBPBP,PPPPBP,6,BPB
PPBBBB,BPBPBP,BBPPPB,6,BPB
BBPBBB,BPBPBP,PPBBPB,6,BPB
PBPPPP,PBPBPB,BPBBBB,6,PBP
BBBBBB,BPBPBPBP,PPPBBB,8,BPB
BBPBBB,BPBPBPBPBP,BBPBPP,10,BPB
BPPPPP,PBPBPB,BBBBPB,6,PBP
BPBBBB,BPBPBPBP,PBBPPB,8,BPB
BBBPPB,BPBPBP,PBPPPB,6,BPB
BBBBPP,PBPBPB,BBPBBP,6,PBP
PBBBPB,BPBPBPBP,PPPPBB,8,BPB
PBBPBP,PBPBPB,BPBBPP,6,PBP
BBPPPB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,BBPBBB,6,PBP
BPBBBB,BPBPBPBPBP,PPBBPP,10,BPB
BBPPBB,BPBPBP,PPBBPP,6,BPB
PPPPBB,BPBPBP,PBBPPB,6,BPB
BPPBBP,PBPBPB,BBBBBB,6,PBP
PBBBPP,PBPBPB,BPBBBB,6,PBP
PBPPPP,PBPBPB,PPPPPP,6,PBP
PBBBBP,PBPBPB,BBPPBP,6,PBP
BPBPPB,BPBPBP,PPPBBB,6,BPB
PPPPBP,PBPBPBPB,BBPBBP,8,PBP
PBBBPB,BPBPBP,PBPPBP,6,BPB
PBPPBP,PBPBPBPB,PPPPBB,8,PBP
PBBBBB,BPBPBP,PPPPBB,6,BPB
BBBPPB,BPBPBPBP,PPPBPP,8,BPB
BBPBBP,PBPBPB,BPPBBB,6,PBP
BBBPPB,BPBPBPBP,PPBPPP,8,BPB
BBBBBP,PBPBPBPB,BBBPBB,8,PBP
PBBBPB,BPBPBP,PPBPBB,6,BPB
PPPBPB,BPBPBP,BBBPBB,6,BPB
PBBPPP,PBPBPB,BBPPPP,6,PBP
BBBPPB,BPBPBPBP,PBBPPP,8,BPB
PPBPBB,BPBPBPBP,PBPBPP,8,BPB
PBPBPP,PBPBPB,PPBPBB,6,PBP
PPPPBP,PBPBPB,BPPBPP,6,PBP
PBBPBP,PBPBPBPB,BPPPPP,8,PBP
BPBBBB,BPBPBP,PPBPBB,6,BPB
PPPPBB,BPBPBP,PPBPBP,6,BPB
PBBPBP,PBPBPBPBPB,BPPPPP,10,PBP
BBPPBB,BPBPBP,BBBBBP,6,BPB
PBPPPP,PBPBPB,BBBBPB,6,PBP
BBBPBP,PBPBPB,BBBBPB,6,PBP
BPPBBP,PBPBPB,BPBBBP,6,PBP
PBBBBB,BPBPBP,PBBBBP,6,BPB
PBBPBP,PBPBPB,PPPPBP,6,PBP
BPBBPP,PBPBPB,PPBBBP,6,PBP
PBPBBP,PBPBPB,BBBBBB,6,PBP
PPPBPB,BPBPBP,PPBBPP,6,BPB
BBPBPB,BPBPBP,PPPBPB,6,BPB
BPBPPP,PBPBPB,BPBBBP,6,PBP
BPPPBP,PBPBPB,BPBBBP,6,PBP
PBBBPP,PBPBPB,BBBBBB,6,PBP
BBPBBP,PBPBPB,BPPBBB,6,PBP
PBBBBB,BPBPBP,PBPBPP,6,BPB
BBBPPP,PBPBPB,BPPBBP,6,PBP
BPPBPB,BPBPBP,PBPBBP,6,BPB
BPBBPB,BPBPBP,PBPPBP,6,BPB
PBPPBP,PBPBPB,PPBPBB,6,PBP
BBPBBB,BPBPBP,BBBBBP,6,BPB
BPPPBB,BPBPBPBP,PPBBBB,8,BPB
BPPBBB,BPBPBP,PBPBPP,6,BPB
BBBBBP,PBPBPB,BBBBPB,6,PBP
BBPBBP,PBPBPB,BBPBBB,6,PBP
PPPPBB,BPBPBP,PBPBPP,6,BPB
PPBPBP,PBPBPB,BPPBBB,6,PBP
BPPPBP,PBPBPB,BBPPPB,6,PBP
BPPPPP,PBPBPB,BPPBPP,6,PBP
PPBPBB,BPBPBP,BBPBPP,6,BPB
PBPBPB,BPBPBP,BBPBPP,6,BPB
BPPPBB,BPBPBP,PPBBPB,6,BPB
BBBPPP,PBPBPBPB,BBBBPB,8,PBP
PBPBBP,PBPBPBPB,BPBBPP,8,PBP
BBBPBP,PBPBPB,BBPPPB,6,PBP
BPPBBP,PBPBPB,BBPBPP,6,PBP
PBBBPB,BPBPBPBP,BBBBBP,8,BPB
PBBBPP,PBPBPBPB,BPPBPB,8,PBP
BBBPBP,PBPBPB,PPBPPP,6,PBP
BPBPPP,PBPBPB,PPPPPB,6,PBP
BPBPPP,PBPBPB,BBPPBB,6,PBP
PBPPBB,BPBPBPBP,PPPPBB,8,BPB
BPPBBP,PBPBPBPB,BPBBPB,8,PBP
BPPBPP,PBPBPBPB,PPBBBP,8,PBP
BPBPBB,BPBPBP,BBPPPP,6,BPB
BBPPBP,PBPBPB,BPPBPB,6,PBP
BBPPBP,PBPBPB,BBBPBP,6,PBP
PBPBBB,BPBPBP,PBBBBB,6,BPB
BBBPPP,PBPBPB,PPPBBP,6,PBP
BBBBBP,PBPBPBPB,PPBPPB,8,PBP
PPBBPB,BPBPBP,PPBPPB,6,BPB
PPBPPB,BPBPBP,PPPPBP,6,BPB
PBBPBB,BPBPBPBP,BBBPBP,8,BPB
BPPBPB,BPBPBP,PBPPPP,6,BPB
BPBBBB,BPBPBP,PPBBBB,6,BPB
PPBPBB,BPBPBP,BBBPBP,6,BPB
PBPBPP,PBPBPB,BBPPBP,6,PBP
BBBPBB,BPBPBPBP,PBBBBP,8,BPB
PBPPBB,BPBPBPBP,PBBPBB,8,BPB
PBPBBB,BPBPBP,BBPBBP,6,BPB
BBBBBB,BPBPBP,PPBPBB,6,BPB
BBBPPB,BPBPBPBP,BBBPBP,8,BPB
BPPPBP,PBPBPB,PPBBPB,6,PBP
PBBPPP,PBPBPB,BBPBBB,6,PBP
PBPPPP,PBPBPBPB,BBBPPP,8,PBP
BBBBBP,PBPBPB,BPBPBB,6,PBP
PPBBPP,PBPBPB,BPPPBP,6,PBP
PBPPBP,PBPBPB,BBBPPP,6,PBP
PPBPPB,BPBPBPBP,PBBPPP,8,BPB
BPBBBP,PBPBPB,PPPBBP,6,PBP
BBBPBP,PBPBPB,BPBBPP,6,PBP
PBBPBP,PBPBPB,BPBPBB,6,PBP
PPBBPB,BPBPBPBP,PPBBPP,8,BPB
PPBBBP,PBPBPB,PPPBPB,6,PBP
BPBPPP,PBPBPB,BPBBBP,6,PBP
BPBPBB,BPBPBP,BBPPPB,6,BPB
BPBBPP,PBPBPB,BPBBPP,6,PBP
BPBBPP,PBPBPB,PPBPPP,6,PBP
PBBPBB,BPBPBPBP,PPPBPP,8,BPB
BPPBBB,BPBPBP,PPPPPB,6,BPB
