before,pp_322_5hit,after,length
BPBBBP,BBPPPBBPPB,BBPBBP,10
PBPBBB,PPBBBPPBBP,PPPPBP,10
PBBBBP,BBPPPBBPPB,BPPPPB,10
BPPPBP,PPBBBPPBBP,BPPPPP,10
BPPPPB,PPBBBPPBBP,PPBBBP,10
BBBPBB,BBPPPBBPPB,PBBPPB,10
PPBPBP,PPBBBPPBBP,BBBBPB,10
BPPBPP,BBPPPBBPPB,BPPPPB,10
BPBBBP,PPBBBPPBBP,BBBBBB,10
PBPPPB,BBPPPBBPPB,BPPBPP,10
BPPPPP,PPBBBPPBBP,PBPPBP,10
BBPPPP,PPBBBPPBBP,PBBBBP,10
PBBPBB,BBPPPBBPPB,PPPBPP,10
PPPPBB,PPBBBPPBBP,PBPPPB,10
BBBBPB,PPBBBPPBBP,PBBBBB,10
BPPBPB,BBPPPBBPPB,PPPBBB,10
BBBBBP,BBPPPBBPPB,PBBPBP,10
BBBBBB,PPBBBPPBBP,BBBBBB,10
BBPPBB,PPBBBPPBBP,BBPBBP,10
PPBPPP,PPBBBPPBBP,BPBBBP,10
PBPPPP,BBPPPBBPPB,BPBBBB,10
PBPPPB,BBPPPBBPPB,BPPBBP,10
PBPPBP,BBPPPBBPPB,PPBBBP,10
BBBPPP,BBPPPBBPPB,PBBPBP,10
PBPPBB,BBPPPBBPPB,PPPBBB,10
PPPPBB,BBPPPBBPPB,PBBPBB,10
PBBPPP,BBPPPBBPPB,PBBPPB,10
PPBPPP,PPBBBPPBBP,BPBPBB,10
PBBPBP,BBPPPBBPPB,PBPBBB,10
PPBBPB,BBPPPBBPPB,PBPPBP,10
PBBPPP,BBPPPBBPPB,PBBBBP,10
BBPBBB,BBPPPBBPPB,PBBBPP,10
PBPPPP,BBPPPBBPPB,PBBBBP,10
PPBBPP,PPBBBPPBBP,BBPPPP,10
PBBPPB,BBPPPBBPPB,BPPBPP,10
PPPBBB,PPBBBPPBBP,PPPBPP,10
PPBPBB,PPBBBPPBBP,BBBBBB,10
BBBBBB,BBPPPBBPPB,PBBBPB,10
BBPPBB,PPBBBPPBBP,PPPPBB,10
BPPBPP,PPBBBPPBBP,PPPPBP,10
BBPPBP,BBPPPBBPPB,PPPBPP,10
PPPBPP,PPBBBPPBBP,BPBBBB,10
PPPPPB,BBPPPBBPPB,BPPPPB,10
PBBBPB,BBPPPBBPPB,PPPPBP,10
PPBBPP,BBPPPBBPPB,BPPPPB,10
BPPPBP,PPBBBPPBBP,PPPBPP,10
BPPBPP,PPBBBPPBBP,BBPPPB,10
BPPPPB,BBPPPBBPPB,PBBPPB,10
BPPPPB,PPBBBPPBBP,PBBBPP,10
BBPPBB,PPBBBPPBBP,PBPBBP,10
BBBBPB,PPBBBPPBBP,PPPPBP,10
PPBPBP,BBPPPBBPPB,BBPPBB,10
BPBPBP,BBPPPBBPPB,PPPBBP,10
BBPPBP,BBPPPBBPPB,BPBPBB,10
PBBPPB,BBPPPBBPPB,PBPBPP,10
PBPBPP,BBPPPBBPPB,BBBPPB,10
BBPBPB,PPBBBPPBBP,BBBBPP,10
PPBPBB,BBPPPBBPPB,BBPPPP,10
PPBBBB,PPBBBPPBBP,PPBPBP,10
BPPBPB,BBPPPBBPPB,BBBPBP,10
BBBPBB,PPBBBPPBBP,BPBBBB,10
PBPBBB,BBPPPBBPPB,BBPBBP,10
PBPPPP,BBPPPBBPPB,BBPBBP,10
PBBBBP,BBPPPBBPPB,PPPBBB,10
PPPBBB,BBPPPBBPPB,PPBBPB,10
BPBBBP,BBPPPBBPPB,PPPBPB,10
BPBPBB,BBPPPBBPPB,BPPPBB,10
PPPBPB,BBPPPBBPPB,BPBBBP,10
BPPPPP,BBPPPBBPPB,BBPPBP,10
BPBBBP,BBPPPBBPPB,BPPBPP,10
PBBPBB,BBPPPBBPPB,BPBBPB,10
PPBPBB,BBPPPBBPPB,PPPBBB,10
PBBBPB,BBPPPBBPPB,PBPPPP,10
BPBBBB,PPBBBPPBBP,BPBBBP,10
BPBBBB,BBPPPBBPPB,PBBPBB,10
BPPBBB,BBPPPBBPPB,BPPBBP,10
BBBBPB,BBPPPBBPPB,PBBBPP,10
PPPBBP,BBPPPBBPPB,PBPBBP,10
PPPBBP,PPBBBPPBBP,BPPBBP,10
BBBBBP,BBPPPBBPPB,BPPBPP,10
PBBBBP,PPBBBPPBBP,BPBBPP,10
BBBPPB,BBPPPBBPPB,BBBBBP,10
BPBPPB,BBPPPBBPPB,PBPBPB,10
BBPPPB,PPBBBPPBBP,PPBPBP,10
BBPPBB,BBPPPBBPPB,BBPBBB,10
PPPPPP,PPBBBPPBBP,BPPBBP,10
BBPPBP,PPBBBPPBBP,BBBBPB,10
BBPBBB,BBPPPBBPPB,PBPPBB,10
PBPBBP,BBPPPBBPPB,BBPBPB,10
PBBPBP,BBPPPBBPPB,BBPBBB,10
BPBBBP,PPBBBPPBBP,PPBPBP,10
BBPBBP,BBPPPBBPPB,BBBPBP,10
PBPPBP,PPBBBPPBBP,BBBBPP,10
PPPPBB,BBPPPBBPPB,BBBPPB,10
BBBBPB,PPBBBPPBBP,PPBPPB,10
PPBPBB,BBPPPBBPPB,PPBBBP,10
PPPPPB,BBPPPBBPPB,PPPBPB,10
BBBBPP,BBPPPBBPPB,BBBBBB,10
PPPPBB,PPBBBPPBBP,PBBBBP,10
BPBPPP,PPBBBPPBBP,BPBPBB,10
BBBPBB,PPBBBPPBBP,BBBBBP,10
BPBPPP,PPBBBPPBBP,BBPBBP,10
BPBBBB,BBPPPBBPPB,BPBBBB,10
BBPPBP,PPBBBPPBBP,BPBBPB,10
PBPBPP,PPBBBPPBBP,PPBBBP,10
PPBBBP,PPBBBPPBBP,BPBBPB,10
BBPBPP,PPBBBPPBBP,PPBPPP,10
BBPBPB,BBPPPBBPPB,BBBPBB,10
PPBPPP,BBPPPBBPPB,BPBPPB,10
BBPPBP,BBPPPBBPPB,PPPPBP,10
BBBPBB,BBPPPBBPPB,BBPPBP,10
BPBBBP,PPBBBPPBBP,BBBPPP,10
PBBPBP,PPBBBPPBBP,BPPBPB,10
PPPBBP,BBPPPBBPPB,BPBPPP,10
BPPPPB,PPBBBPPBBP,BBBBBP,10
BPPBBP,PPBBBPPBBP,PPPBPB,10
BPBBPB,BBPPPBBPPB,BBBBBP,10
BBBBBP,PPBBBPPBBP,BBBPBB,10
PPBBBP,PPBBBPPBBP,PBBBPP,10
BPPBPP,PPBBBPPBBP,PPBBBP,10
BBPPPB,PPBBBPPBBP,PPPPPB,10
BPBPBP,PPBBBPPBBP,PPBPBB,10
BBPPPB,BBPPPBBPPB,BPBPBB,10
BBPBBP,BBPPPBBPPB,PPPBBP,10
BBBBPP,BBPPPBBPPB,BPBBBB,10
BPPPBP,BBPPPBBPPB,PBPPPP,10
PBBBBB,PPBBBPPBBP,BBPBPB,10
PBBPBP,PPBBBPPBBP,BPBPBB,10
PPBBBB,PPBBBPPBBP,BBPPPP,10
PPBBBP,BBPPPBBPPB,PPPBPB,10
BPPPBP,BBPPPBBPPB,BPBBBP,10
BBPBBP,BBPPPBBPPB,PBPBPB,10
BPBPPB,PPBBBPPBBP,BBPPBB,10
BBPBPP,BBPPPBBPPB,BBPPBP,10
PBBPPB,BBPPPBBPPB,PBPPPP,10
BPBPBB,BBPPPBBPPB,PBPPBB,10
PPBPPP,BBPPPBBPPB,PPBPPB,10
BBPBBB,BBPPPBBPPB,BPPPPP,10
BBPBBB,BBPPPBBPPB,PPBBPB,10
BPBBPB,BBPPPBBPPB,PBBPPP,10
BBBPPP,PPBBBPPBBP,BPBPPB,10
PBBBBP,PPBBBPPBBP,BBPBBB,10
PBBPBP,BBPPPBBPPB,BPBBPP,10
BBBBBB,BBPPPBBPPB,PBBBBB,10
BBBBPB,PPBBBPPBBP,PPBPPB,10
PPBBBP,BBPPPBBPPB,BPPBBP,10
PPPBBB,PPBBBPPBBP,PPPBBB,10
PPBPPB,BBPPPBBPPB,BBPPPP,10
BBBPBP,PPBBBPPBBP,BBBPPB,10
PBBPPP,BBPPPBBPPB,BBPBBB,10
BPBPBP,PPBBBPPBBP,PBBPBP,10
BBBBBB,PPBBBPPBBP,BBPBPP,10
PPBBPP,BBPPPBBPPB,PBPBPB,10
PPBPBP,BBPPPBBPPB,BBPPBP,10
PBPPPB,PPBBBPPBBP,BPPPPP,10
PBBBPP,PPBBBPPBBP,BPPPPP,10
BBPPBP,BBPPPBBPPB,PBPBBB,10
BBBPPP,BBPPPBBPPB,PBPPBP,10
BBBBPP,PPBBBPPBBP,PPPBPB,10
PPBPBP,BBPPPBBPPB,PBBPPP,10
BBPBPB,BBPPPBBPPB,PPBBPB,10
BPPPPB,BBPPPBBPPB,BPBBPB,10
BPBBBB,PPBBBPPBBP,PPBBBP,10
BBBPBP,BBPPPBBPPB,PBBBBP,10
BPBBPB,PPBBBPPBBP,BPPPBP,10
PPBPBB,PPBBBPPBBP,BBBBBB,10
PPBPPB,BBPPPBBPPB,PBBPPP,10
BBBPBB,PPBBBPPBBP,BBPBPP,10
BPBBBB,BBPPPBBPPB,BBBBBB,10
PBBPBB,PPBBBPPBBP,BBPBPB,10
BBPPPP,PPBBBPPBBP,BBPPBB,10
PPBBBB,PPBBBPPBBP,BPPBPB,10
BPPPBB,BBPPPBBPPB,BBPBBP,10
PPBPBB,BBPPPBBPPB,PPPBBB,10
BBPPBB,PPBBBPPBBP,BPPPPB,10
BBBPBB,BBPPPBBPPB,BBPPBB,10
PPBPBP,BBPPPBBPPB,PBBPBP,10
BBPPPB,PPBBBPPBBP,PPPPBP,10
PPBBBB,PPBBBPPBBP,PBBPBB,10
BPPBPB,BBPPPBBPPB,PPBBBP,10
BPPBBP,PPBBBPPBBP,BBPPPB,10
BBBPPB,BBPPPBBPPB,BBBBBB,10
BBBBPP,PPBBBPPBBP,BPPBBB,10
PBPPPB,PPBBBPPBBP,PBBPPP,10
BBBPPP,PPBBBPPBBP,BBPPBB,10
PPBBBP,PPBBBPPBBP,BPBPBP,10
BBPBBP,BBPPPBBPPB,PBBBPB,10
BBBPBP,PPBBBPPBBP,PBBPBP,10
PPBPBP,PPBBBPPBBP,BPPBBB,10
BBPBPB,PPBBBPPBBP,PBPBPP,10
BPBBPP,BBPPPBBPPB,BBBPBP,10
BBPPPP,BBPPPBBPPB,PPBPBB,10
PPBPPP,PPBBBPPBBP,BPBPPP,10
BPBBPP,BBPPPBBPPB,PBBPPP,10
BBPPPP,BBPPPBBPPB,BPBPPB,10
BBBPPB,PPBBBPPBBP,BBBBBP,10
BBPBBP,PPBBBPPBBP,BBBBPB,10
BBPBBB,PPBBBPPBBP,PPPBBP,10
PBBBBP,BBPPPBBPPB,BPPPPP,10
BPBBPB,PPBBBPPBBP,PBBPPB,10
PBPPBB,PPBBBPPBBP,PBPPBB,10
PPPBPP,BBPPPBBPPB,PPPBBP,10
BPPPBB,PPBBBPPBBP,PPBBPB,10
PPBPPP,BBPPPBBPPB,PPBBBP,10
BBPBPP,PPBBBPPBBP,PPPPPB,10
PPBPBP,PPBBBPPBBP,BBPPBP,10
PBPPBB,PPBBBPPBBP,BPBBPP,10
PBPPPP,BBPPPBBPPB,PPBBPB,10
BPBPBB,BBPPPBBPPB,PPBPPP,10
PBBBBB,BBPPPBBPPB,PPPBPP,10
PPPPBB,BBPPPBBPPB,PPBBBP,10
BPBBBB,PPBBBPPBBP,BBPBBP,10
PPBBPB,PPBBBPPBBP,BPBPBP,10
BBBBPP,BBPPPBBPPB,PBBPPB,10
BPBPPP,PPBBBPPBBP,BBBPPP,10
BPBBBP,PPBBBPPBBP,BBPPBP,10
BBBBBP,PPBBBPPBBP,BPBBPP,10
PBPBPB,PPBBBPPBBP,BBPBPP,10
PBPPPP,BBPPPBBPPB,BBPBBB,10
BBBPBB,BBPPPBBPPB,PBBBPB,10
PBPBPB,PPBBBPPBBP,BPPPBB,10
BBBPBB,BBPPPBBPPB,BPBPBP,10
PBBPPB,PPBBBPPBBP,BBBPBB,10
BBPPPB,PPBBBPPBBP,PPPBPB,10
PPPBBP,PPBBBPPBBP,BBBPPP,10
PBBPPP,BBPPPBBPPB,PPBBBP,10
BBPPBP,BBPPPBBPPB,PPBPBP,10
PPBBPB,PPBBBPPBBP,PBBBPB,10
PBPPBB,PPBBBPPBBP,PPBBBB,10
BBPPBP,BBPPPBBPPB,BPBBBB,10
PBPPBB,BBPPPBBPPB,BBPPBP,10
BBBPPP,BBPPPBBPPB,PBBBPP,10
PBBBPB,BBPPPBBPPB,BPBPBP,10
BPPPPP,BBPPPBBPPB,BPPBBB,10
BPPBBP,BBPPPBBPPB,BPBPPP,10
BPBBBP,PPBBBPPBBP,PBBPBP,10
BBPBPP,BBPPPBBPPB,PBPBBB,10
BBPBBB,PPBBBPPBBP,BPBPBP,10
BPBPBB,PPBBBPPBBP,BBBPBB,10
BPPBPP,PPBBBPPBBP,BPBBPP,10
PPPBPP,PPBBBPPBBP,BPPPBP,10
PPPPPP,PPBBBPPBBP,PBPPBB,10
BBBPPB,PPBBBPPBBP,PPBPBB,10
BPPPPB,PPBBBPPBBP,BBPBBP,10
PBBPPB,BBPPPBBPPB,BPBBPB,10
BBBBPB,BBPPPBBPPB,BPPBBB,10
BBPPPB,BBPPPBBPPB,PPBBBP,10
BPBPBP,BBPPPBBPPB,PPPPBP,10
BPPPBP,PPBBBPPBBP,BPPPBP,10
BPPPBP,BBPPPBBPPB,BBPPBP,10
BPPPBP,BBPPPBBPPB,PPBPBB,10
PBBBPB,BBPPPBBPPB,PBBBBP,10
BBBPBP,BBPPPBBPPB,PPBPPP,10
PPBBPB,BBPPPBBPPB,BPPPBB,10
BBBBBP,BBPPPBBPPB,PPPBPP,10
PBPBPP,PPBBBPPBBP,PBPPBP,10
BBBPPP,PPBBBPPBBP,BBBBPB,10
PBPPPP,PPBBBPPBBP,PPPPPP,10
PBPBPP,PPBBBPPBBP,BBBPPB,10
PPBPPB,PPBBBPPBBP,BPBPPP,10
PBBPBB,PPBBBPPBBP,BBBPPP,10
BBBPPP,BBPPPBBPPB,PBPBBP,10
BPPBPB,BBPPPBBPPB,PPBBBP,10
BPPBPP,BBPPPBBPPB,PBBPBB,10
PPPPBB,PPBBBPPBBP,PBBBBB,10
PBBPBB,PPBBBPPBBP,BBBPBP,10
PBPBPB,PPBBBPPBBP,PBPBPB,10
BPPBBB,PPBBBPPBBP,PPBPBB,10
PPBPBP,BBPPPBBPPB,PBBBBP,10
BPBPPP,PPBBBPPBBP,PPPBPB,10
PBBPPB,PPBBBPPBBP,PBPBBP,10
BBPPPP,BBPPPBBPPB,BBBPPP,10
BPBBBB,BBPPPBBPPB,PPBBBB,10
BBBBBB,PPBBBPPBBP,PBBPPB,10
PBPPBB,BBPPPBBPPB,BPBPBP,10
PBBBBP,PPBBBPPBBP,BPBBPP,10
PBBPPB,BBPPPBBPPB,PBPBBB,10
PPBPBP,PPBBBPPBBP,PPPPBP,10
PPBBPP,PPBBBPPBBP,BBPPBP,10
PBPBPP,BBPPPBBPPB,PPPPBB,10
BPPBBP,BBPPPBBPPB,PBBPBB,10
BPBPPB,PPBBBPPBBP,BBBBPP,10
BPPBBP,BBPPPBBPPB,BBPBPP,10
PBPPBP,BBPPPBBPPB,PPBBBP,10
PBBPPB,PPBBBPPBBP,BBPPPB,10
PPBPPB,PPBBBPPBBP,BPPBPP,10
PBBPPP,PPBBBPPBBP,BPBBPP,10
PBBPBB,BBPPPBBPPB,BBBPPP,10
PPPBBP,PPBBBPPBBP,PBPPBB,10
BPPBBB,PPBBBPPBBP,PPPBBP,10
BPPBPB,BBPPPBBPPB,PBPBPB,10
BBBPPB,BBPPPBBPPB,BBPPBB,10
BPPBBP,BBPPPBBPPB,BPBPBP,10
PPPBPP,PPBBBPPBBP,PPBBPB,10
BBPBBB,PPBBBPPBBP,BBPBPB,10
PBBBPP,BBPPPBBPPB,BPPBBP,10
PPPPBB,BBPPPBBPPB,PPPBPB,10
PPPBBP,PPBBBPPBBP,PPPPBB,10
BBBBBP,PPBBBPPBBP,BBBPPP,10
PPPBBB,BBPPPBBPPB,BBPBPP,10
PBPBPP,BBPPPBBPPB,BPPBPB,10
PBBBBB,PPBBBPPBBP,PBPPPB,10
PPBBBP,BBPPPBBPPB,PBPPBB,10
BBPBPP,BBPPPBBPPB,BPBBBB,10
PBPBPP,BBPPPBBPPB,PPPPPP,10
BPPBBP,BBPPPBBPPB,PBBBPB,10
PPPBBP,PPBBBPPBBP,PPPBBP,10
PPPPPP,BBPPPBBPPB,PBBPBB,10
PPPPBB,PPBBBPPBBP,PBBBPP,10
PBPPPB,PPBBBPPBBP,PBBBBB,10
BBBPPB,PPBBBPPBBP,PPPBBP,10
PPBBBP,PPBBBPPBBP,PBPPBP,10
BPPPPP,PPBBBPPBBP,PPBBPB,10
BPBPBB,PPBBBPPBBP,BBPPBB,10
BBPBPP,PPBBBPPBBP,BPBPBB,10
PPPBPP,BBPPPBBPPB,BBPBBB,10
PBPBPB,PPBBBPPBBP,PPPPBB,10
BPBPPB,BBPPPBBPPB,BBBPPP,10
PPBPBP,PPBBBPPBBP,BPPBPP,10
BBPPBB,BBPPPBBPPB,PPPBBB,10
BBBPPB,BBPPPBBPPB,PBBBBB,10
BPPBPB,BBPPPBBPPB,PPPPBB,10
PBBPPB,BBPPPBBPPB,PBPPPB,10
BBBBBP,PPBBBPPBBP,BBBPPP,10
PPPPBB,PPBBBPPBBP,PPBBBP,10
BPPBBB,BBPPPBBPPB,BBBPPP,10
BPPBBB,PPBBBPPBBP,BBPBBB,10
BPPPPB,PPBBBPPBBP,PPBBBP,10
BPBBBB,BBPPPBBPPB,PPPPPP,10
PPBBPB,PPBBBPPBBP,BPBPPB,10
BBBBBB,BBPPPBBPPB,BPPPBP,10
BBPPBB,PPBBBPPBBP,PPBPPB,10
BPPPPB,BBPPPBBPPB,PPPBBB,10
PPBPBP,PPBBBPPBBP,BBPPBP,10
BPBPBB,PPBBBPPBBP,BBPPPB,10
BBBPPP,PPBBBPPBBP,BPPPBP,10
BPPPPP,BBPPPBBPPB,PPBBPB,10
PBBBBP,PPBBBPPBBP,PBPBBP,10
PBPBPP,BBPPPBBPPB,PBBBBP,10
BPBPBP,BBPPPBBPPB,PBPBBB,10
PBPBPB,PPBBBPPBBP,PPPBBB,10
PBBPBB,PPBBBPPBBP,BBBPPB,10
BPPBPB,PPBBBPPBBP,BPBBBB,10
BBBPPB,BBPPPBBPPB,BBBBPB,10
PPBBPB,BBPPPBBPPB,PBPBBB,10
PBPBPP,BBPPPBBPPB,BPBPPB,10
BBBPPP,PPBBBPPBBP,PPPPBB,10
BPPPPP,BBPPPBBPPB,PBBPPB,10
BPBPPP,PPBBBPPBBP,BBPBBP,10
BBPPPP,PPBBBPPBBP,PBBBBP,10
PPBBPP,BBPPPBBPPB,BBBPBP,10
BPBBBP,PPBBBPPBBP,PBPBBB,10
BBBBPP,PPBBBPPBBP,BPPPPP,10
BBBBBB,BBPPPBBPPB,PPPBPB,10
PBBBBP,BBPPPBBPPB,BBPBBP,10
BBPBPB,PPBBBPPBBP,PBBBBP,10
BBPBBP,BBPPPBBPPB,PBBPPP,10
PPPBBP,BBPPPBBPPB,BPBBPB,10
BPBPBP,BBPPPBBPPB,BBBPBB,10
BBBBPB,BBPPPBBPPB,PBBBPP,10
BPPBPB,BBPPPBBPPB,PPPBPP,10
PPBBBB,BBPPPBBPPB,BPPBBB,10
PBBPPB,PPBBBPPBBP,PPPBBB,10
BBPPBB,BBPPPBBPPB,BBPBPP,10
PPBPPB,PPBBBPPBBP,PBBPPP,10
BPBBPP,BBPPPBBPPB,PBPBPP,10
PBPBBB,PPBBBPPBBP,PBPBPB,10
PBPBPB,BBPPPBBPPB,PBBPPB,10
BPBBPB,BBPPPBBPPB,PPBPPB,10
PPBPBP,PPBBBPPBBP,PPPBBP,10
BPBBPB,BBPPPBBPPB,BBBPBB,10
BBPPBP,BBPPPBBPPB,PPBBBP,10
PBBBBP,PPBBBPPBBP,PPBPPB,10
BBPBPB,PPBBBPPBBP,BPBBBB,10
PBBPPB,PPBBBPPBBP,BBBPPP,10
BBBPPB,PPBBBPPBBP,PBBBPP,10
PPPPPB,PPBBBPPBBP,PPPPBB,10
PBPPPP,BBPPPBBPPB,BBPBBB,10
BBBBBB,BBPPPBBPPB,BBPBPB,10
BPBPBP,BBPPPBBPPB,BBBBBP,10
PBBBBP,BBPPPBBPPB,BPPPBB,10
BPBPBB,BBPPPBBPPB,BPBBBP,10
BPPBPB,PPBBBPPBBP,PBBBBB,10
PPBPPP,BBPPPBBPPB,BBPPPB,10
BBBBBB,BBPPPBBPPB,PBPPPP,10
PPPBBB,PPBBBPPBBP,BBBPBP,10
PBPBBB,BBPPPBBPPB,BPBBBB,10
BBBBPP,BBPPPBBPPB,PPPPPB,10
BBBPBB,BBPPPBBPPB,PBPBBP,10
PPBBBB,PPBBBPPBBP,PPPBPP,10
PPBBPB,PPBBBPPBBP,BBPBBP,10
PBPPPP,PPBBBPPBBP,PPPPBB,10
PBBPBB,PPBBBPPBBP,PBPBBB,10
BBBBBB,PPBBBPPBBP,PBBPBP,10
PPBPBB,PPBBBPPBBP,PPPPPB,10
BBBPBP,PPBBBPPBBP,BBPPPB,10
BPPBBP,BBPPPBBPPB,BPPBPB,10
PBBBPB,BBPPPBBPPB,BPPBBB,10
PPBBBB,BBPPPBBPPB,BBPBPP,10
PPPPBP,BBPPPBBPPB,BPPPPP,10
PBBBBP,BBPPPBBPPB,BBPBPP,10
PBBBBP,PPBBBPPBBP,PPBBPB,10
BPPPPP,BBPPPBBPPB,PBBBBB,10
PPBPPP,BBPPPBBPPB,PPPBBP,10
PPPBPB,PPBBBPPBBP,PBBPPP,10
BBPBPB,PPBBBPPBBP,BPPPBB,10
PPBPPB,BBPPPBBPPB,PBPBPB,10
PBPBBP,PPBBBPPBBP,PBBPBP,10
PBPBPP,BBPPPBBPPB,PPBBBP,10
BPPBPB,BBPPPBBPPB,PPPBBP,10
PBBPBB,PPBBBPPBBP,PPPBPB,10
BPBBPB,BBPPPBBPPB,PBPBBP,10
PBPPBP,BBPPPBBPPB,BBBBPP,10
BPPPBP,BBPPPBBPPB,BBPBPB,10
BBPBBB,BBPPPBBPPB,PPBBPB,10
PBBPBP,BBPPPBBPPB,BBBBPP,10
PBBBBB,PPBBBPPBBP,BBBBBP,10
PPBPPB,PPBBBPPBBP,PPBBPB,10
PBBPPP,PPBBBPPBBP,BPPPPP,10
BBBPPP,BBPPPBBPPB,BPPPPB,10
BPBBBB,PPBBBPPBBP,PPPPPP,10
PBBBBP,PPBBBPPBBP,BPPPBP,10
BBPBPP,PPBBBPPBBP,BPPPBP,10
BPBBPB,PPBBBPPBBP,BPPPPP,10
BBPBBP,PPBBBPPBBP,BPPPPP,10
PBPPBB,BBPPPBBPPB,PBBBBB,10
BBBPPB,BBPPPBBPPB,BPBPPB,10
PBPPPP,BBPPPBBPPB,PBPPBP,10
BPPPBB,BBPPPBBPPB,BBBBPB,10
PPPPPP,BBPPPBBPPB,PBBPPB,10
BBPBBB,PPBBBPPBBP,PBBBPB,10
BBBPBP,BBPPPBBPPB,PPPBBP,10
PPBBBP,BBPPPBBPPB,PBPPBP,10
BBBBBP,BBPPPBBPPB,PPBBBP,10
PBBBPB,PPBBBPPBBP,BBBPBB,10
PPBBBB,BBPPPBBPPB,PPBPBB,10
BBBPBP,BBPPPBBPPB,BBPPPB,10
PBBBBB,PPBBBPPBBP,BBPBBP,10
PPBPBB,BBPPPBBPPB,PBBBPB,10
BPBPPB,PPBBBPPBBP,BPPBPP,10
BBBBBP,PPBBBPPBBP,BBBBPB,10
BBPBPB,PPBBBPPBBP,PPPBPB,10
BPPBPB,PPBBBPPBBP,BBBPBB,10
BBPBPB,PPBBBPPBBP,BPPBBP,10
PPBPBP,BBPPPBBPPB,BPPPBB,10
PBBPBB,PPBBBPPBBP,BBPPBB,10
PPPPPB,BBPPPBBPPB,BPPBPB,10
BPPBPB,PPBBBPPBBP,BBBBPB,10
BBBPBP,BBPPPBBPPB,PBBBBB,10
BBPBPB,BBPPPBBPPB,BPBBBB,10
PBPBBP,BBPPPBBPPB,PBBPBB,10
BPPBPB,PPBBBPPBBP,BPPBPP,10
BBPPPB,PPBBBPPBBP,PPPBPP,10
PBBBPB,BBPPPBBPPB,PBPPPB,10
BBPPBB,BBPPPBBPPB,PPBPPB,10
BPPPPB,BBPPPBBPPB,BBPBBB,10
BPPPPB,PPBBBPPBBP,PPBBBP,10
PBPPPP,PPBBBPPBBP,PPBPBP,10
PBBPPP,PPBBBPPBBP,PPBBPP,10
PBBPPP,BBPPPBBPPB,PPPPBP,10
PBBBPB,BBPPPBBPPB,PPBPBP,10
PBBBBB,BBPPPBBPPB,PPBPBP,10
BBBPBB,BBPPPBBPPB,PPPBBB,10
BBBBBB,BBPPPBBPPB,PPBPPP,10
BBPBPB,PPBBBPPBBP,BPBBPB,10
PBPBPB,PPBBBPPBBP,BPBBBP,10
PPBPPB,PPBBBPPBBP,BBBBPB,10
BBBBBP,BBPPPBBPPB,PPBPPB,10
BPBPBP,PPBBBPPBBP,PBBBBP,10
BPBPBP,BBPPPBBPPB,PPBBBB,10
PBPPPB,PPBBBPPBBP,PBPPBP,10
BPPPPP,BBPPPBBPPB,PPBBPB,10
BBBPBB,PPBBBPPBBP,PPBPPB,10
PBBPPB,PPBBBPPBBP,BBBBPB,10
PBPBBB,PPBBBPPBBP,PBBPBB,10
BBPBBP,BBPPPBBPPB,PPPPBP,10
PBPBPB,PPBBBPPBBP,BPPPPP,10
PPPBBP,PPBBBPPBBP,BPPBPB,10
