before,dragon,after,length,color
BBPBBB,PPPPP,BPBBBP,5,P
PBPBBB,PPPPPP,BPBPBB,6,P
BPBBBP,BBBBB,PBPPPB,5,B
PBPPPP,BBBBBB,PBPPBB,6,B
PBPBBP,BBBBB,PBBPBB,5,B
BBPBBP,BBBBBBB,PPBBBP,7,B
BBBBPB,PPPPPPP,BBPPBP,7,P
PBBPPB,PPPPPP,BBPBBB,6,P
PBPBBB,PPPPP,BPBPPB,5,P
BPBBBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBPBBB,5,P
BPPBPB,PPPPP,BPBBBP,5,P
PPBBBP,BBBBB,PPPPBB,5,B
BPPPBB,PPPPP,BPBPBB,5,P
BPBBBP,BBBBBBBB,PPPPPB,8,B
BBBBBB,PPPPP,BBBPBP,5,P
PPBPPP,BBBBBB,PBBPPP,6,B
PBPBBP,BBBBB,PBBBPP,5,B
PPPPBP,BBBBBBB,PPBPPB,7,B
BPBPBB,PPPPP,BPPPPB,5,P
PPPPBP,BBBBBBB,PPBBPP,7,B
BPPBPP,BBBBB,PBPPBP,5,B
BBBBPP,BBBBB,PPBPPP,5,B
PBPPPP,BBBBBBB,PPBPBP,7,B
PPBPBP,BBBBBB,PPBBBB,6,B
BBPBPB,PPPPP,BBBPBP,5,P
BBBBPB,PPPPP,BBBPBP,5,P
PBBPPB,PPPPPPP,BBBPPP,7,P
BPBBBB,PPPPPPP,BPBPBP,7,P
BBPBBP,BBBBBBB,PPBPBP,7,B
BBPBBB,PPPPP,BBBPPB,5,P
BPBBBB,PPPPP,BPPBPP,5,P
BBBPBP,BBBBB,PPPPBP,5,B
PBPBBP,BBBBB,PPPBPB,5,B
PPBPBB,PPPPP,BPPBPP,5,P
PBBPPP,BBBBBBBB,PPPPPP,8,B
BBBBBB,PPPPPPP,BBBPBB,7,P
BPPBBB,PPPPPPP,BBBBBB,7,P
PBPPPP,BBBBB,PBBPPP,5,B
BBBPBB,PPPPPPP,BBBPPB,7,P
BPBBBB,PPPPPPP,BPPBPP,7,P
PPBPPP,BBBBB,PBBBPP,5,B
BBPBBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PBBBBP,6,B
PBPPBB,PPPPPP,BBBBPB,6,P
PBPBPP,BBBBB,PPPPBB,5,B
BBPBPP,BBBBB,PPPBPB,5,B
BBBPPB,PPPPPP,BBPPPP,6,P
BBPPBB,PPPPPP,BPPPBP,6,P
PPBBPP,BBBBB,PBBBBP,5,B
PBBBPP,BBBBBBB,PBPBBB,7,B
BBPBPP,BBBBBB,PPBBBB,6,B
BBBBPP,BBBBB,PBBBPB,5,B
PPPBPB,PPPPP,BBPBPB,5,P
BPBBBB,PPPPPPP,BPPPPP,7,P
PPPPPB,PPPPPP,BPPPBP,6,P
PBPPPB,PPPPPP,BBBPPP,6,P
PPPBPP,BBBBBB,PBBPPB,6,B
PBPPBB,PPPPP,BBPBPB,5,P
PBBPBP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBB,PPPBBB,5,B
PBBPBB,PPPPPP,BBBBPP,6,P
BPBPBP,BBBBBBBBB,PBBBPP,9,B
BBPPBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBBBPB,5,P
PBPBPP,BBBBBBBBB,PPBPBP,9,B
PPBPBP,BBBBB,PBPPBB,5,B
BBPPPP,BBBBB,PPPBBP,5,B
BBBPBP,BBBBBBBB,PPBBPP,8,B
PPBBPP,BBBBBB,PBPBBB,6,B
BBPPBP,BBBBB,PPBBPB,5,B
BBBBPP,BBBBB,PPBPBP,5,B
PPPBBB,PPPPP,BPPPBB,5,P
PPBPPP,BBBBBB,PPBPBP,6,B
BPBPBP,BBBBB,PBBPPB,5,B
BPPPBB,PPPPPP,BPBBBB,6,P
PPPPBP,BBBBBB,PPBBBB,6,B
BPBPBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PPPPBB,6,B
BPBBPP,BBBBB,PPBPBB,5,B
PBBBPP,BBBBBB,PBBPBB,6,B
BBPBBP,BBBBBBB,PPPBPB,7,B
PBPPBP,BBBBBBBBB,PBBPPP,9,B
PPPBPB,PPPPPP,BPBPBB,6,P
PBPBBP,BBBBBBBBB,PBBPPB,9,B
BPBBPB,PPPPP,BPPPBP,5,P
BPBPBP,BBBBBB,PPPPBB,6,B
BBPPPP,BBBBB,PPPPBB,5,B
PBPPBP,BBBBBB,PPBPPB,6,B
BPPBPP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPBBBB,5,P
PPPPBP,BBBBB,PBPBPP,5,B
PBPBPP,BBBBB,PBBBPP,5,B
BPBPPB,PPPPPP,BBPPBB,6,P
BPBBBP,BBBBB,PBBBPP,5,B
PBBBBP,BBBBB,PPPBPB,5,B
BPPPPB,PPPPPP,BBBPBB,6,P
BPBPPP,BBBBBBBBB,PBPBPP,9,B
BBBPPP,BBBBB,PBPPPB,5,B
PPPBPB,PPPPP,BPBPPP,5,P
PBBPPB,PPPPP,BPBPBP,5,P
BPBBPP,BBBBB,PBPBBP,5,B
BBPPBP,BBBBBBB,PBBPPP,7,B
BBBPBB,PPPPPP,BPBBBP,6,P
BBBPBB,PPPPPP,BBBPBP,6,P
BPPPPB,PPPPP,BPBPBB,5,P
BBBBPB,PPPPP,BPPPBP,5,P
PBBPPP,BBBBBB,PBPBBP,6,B
BPPPBP,BBBBBB,PPBPPP,6,B
BBBPBB,PPPPP,BPPBPB,5,P
BBPPPP,BBBBB,PBBPBP,5,B
PPPBBP,BBBBB,PBPPPP,5,B
PBBBPP,BBBBBB,PBPBPB,6,B
PBPBPB,PPPPP,BBPBPP,5,P
BBPPBP,BBBBBBBB,PBBPPB,8,B
BPPPPB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PBPBPP,5,B
PBPBPP,BBBBB,PBPBPP,5,B
BBPBPB,PPPPP,BBPBBP,5,P
BPBBPP,BBBBBB,PPPPBP,6,B
BPBBBP,BBBBB,PPBPPB,5,B
PPBBPB,PPPPPPP,BPBBBB,7,P
PPPPBP,BBBBB,PPBPBP,5,B
PBBPBP,BBBBB,PPBBPB,5,B
BBPPPP,BBBBBBBBBBBBB,PPPPBP,13,B
PBBPBB,PPPPP,BBBPPP,5,P
PBPBBP,BBBBB,PPBPBP,5,B
PPPPBP,BBBBB,PPPPBB,5,B
BBPPPP,BBBBB,PBPBBB,5,B
BBBPBB,PPPPPPP,BBPPPB,7,P
PPBPPB,PPPPPP,BBBPPP,6,P
BPBBBB,PPPPP,BBBPBB,5,P
PPBBBP,BBBBB,PPBPBP,5,B
PBPPPB,PPPPP,BBBPBP,5,P
PBPBBP,BBBBBBBB,PBBPPB,8,B
PPBBPB,PPPPP,BBBPPB,5,P
PBPBBP,BBBBBB,PBBBPB,6,B
BPPPBP,BBBBBBBBBBBB,PBBPPB,12,B
PPPBBB,PPPPP,BBBBPB,5,P
PBBPPB,PPPPP,BPPPBB,5,P
BBBPBB,PPPPPPP,BBPBBP,7,P
PBPPPB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBB,PBBPBP,5,B
PBBPBB,PPPPPP,BBBPBB,6,P
PBBBPB,PPPPP,BBBBBB,5,P
BPBPPP,BBBBBB,PBBBPB,6,B
PPPPBB,PPPPP,BPPBPP,5,P
PBBPBP,BBBBB,PPBPPB,5,B
BPPBPP,BBBBB,PBPPBP,5,B
BPBPPB,PPPPP,BBBPPP,5,P
BPBBBB,PPPPP,BBBPPB,5,P
PBBBPP,BBBBBB,PPBBPB,6,B
PBBPBB,PPPPP,BBPBBP,5,P
PPBPPB,PPPPP,BPPBPP,5,P
PPBPPP,BBBBB,PBPPBP,5,B
PPBBPB,PPPPP,BPBPPB,5,P
PPBBPB,PPPPPPP,BBPBBP,7,P
BBBBBB,PPPPP,BBPBBB,5,P
PBPPPB,PPPPPPP,BPPBBB,7,P
PPPBPP,BBBBBBBB,PBPBPB,8,B
BPBBBP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPPPP,BBBBPB,8,P
BPPBPB,PPPPPP,BPBBPP,6,P
PBPPBB,PPPPP,BPBBPB,5,P
PBBBPB,PPPPPP,BPBPPP,6,P
PPBPBP,BBBBBB,PBBPBP,6,B
PBPBBP,BBBBB,PBBPPB,5,B
PPBBBP,BBBBBBB,PPBBBP,7,B
PPBPPB,PPPPP,BBBPPB,5,P
PBPPBP,BBBBBB,PPBPBB,6,B
PBBPPB,PPPPPPPP,BBPBBP,8,P
PPBBBB,PPPPP,BBPPPP,5,P
PPPPBB,PPPPP,BPPBBB,5,P
PPBBBP,BBBBBBBB,PBPBPP,8,B
BPPBPB,PPPPP,BPBBBB,5,P
PPBPBP,BBBBBB,PPPBPB,6,B
PPPBPB,PPPPPPP,BPBPBP,7,P
BPPBBB,PPPPP,BPBPPB,5,P
PPBPBP,BBBBB,PPPBBB,5,B
BBBPBB,PPPPPP,BBBPBB,6,P
PPPBBB,PPPPPPP,BBBBPB,7,P
PPBPBB,PPPPPP,BPPBBB,6,P
PPPBPP,BBBBBB,PPPBBP,6,B
PPBBBP,BBBBB,PBBPPP,5,B
PPBPBB,PPPPPPPP,BBBPPB,8,P
BPPPPP,BBBBB,PPBPPB,5,B
BPPBPB,PPPPP,BBPBPB,5,P
PPBBPP,BBBBB,PPBPPP,5,B
BBBPBP,BBBBB,PBBBBP,5,B
PBBBPP,BBBBBB,PPBBPB,6,B
PBBBBP,BBBBBB,PBBPBP,6,B
PPBBBB,PPPPP,BPPBBP,5,P
PBPPBB,PPPPPP,BBPPBP,6,P
BBPPBP,BBBBBBB,PBPBPB,7,B
PPPPBP,BBBBB,PBBPPP,5,B
BPBBBP,BBBBBB,PPBBPB,6,B
BPBBBP,BBBBB,PBPBPB,5,B
BBPPPB,PPPPPPPP,BPBBBB,8,P
PPPPBP,BBBBB,PBPBBB,5,B
BPBPPP,BBBBBB,PPBPBP,6,B
PPBPBP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPPPP,BBBPBB,8,P
BBPBPP,BBBBBB,PPBPBP,6,B
BPBBBP,BBBBB,PPPPBB,5,B
PBBPBB,PPPPPP,BBPBPB,6,P
BBBBPB,PPPPP,BBPPBP,5,P
PPBBPB,PPPPP,BBPPBB,5,P
PPPPBP,BBBBB,PBPPPP,5,B
BBBBPB,PPPPP,BBPPPB,5,P
BBPBPP,BBBBB,PPPBBP,5,B
BPPPBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PBBPBB,6,B
PBBPBB,PPPPPP,BPBBPP,6,P
PPPBBP,BBBBBB,PPBPBP,6,B
BPPPBB,PPPPPPPPP,BPBBBB,9,P
PPPPBP,BBBBB,PPPPBP,5,B
BBPBBP,BBBBBBBBB,PBBPBP,9,B
PPPBPB,PPPPPPP,BBPBPP,7,P
BBPBPB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPBBBP,5,P
PBBBPB,PPPPPPP,BPPPBB,7,P
PPBPPP,BBBBB,PPPPBB,5,B
PPPBBB,PPPPP,BPPBBB,5,P
BPBBPB,PPPPPP,BPBPPP,6,P
PPBBPB,PPPPPP,BPBBPB,6,P
PBBPPP,BBBBBBB,PBPPBB,7,B
PBPPBB,PPPPPP,BBBPBP,6,P
PBPBBP,BBBBBBB,PBPPPB,7,B
BBBBBB,PPPPPP,BPPBBB,6,P
BBPBPP,BBBBB,PBBBPP,5,B
PBPBPB,PPPPP,BBPBPB,5,P
BBBPPB,PPPPP,BBBPBP,5,P
BBPPBB,PPPPPP,BPPPBB,6,P
PBBBBP,BBBBB,PBBBPB,5,B
PBBBPB,PPPPPPPP,BBBPPP,8,P
BPPBPP,BBBBBBBB,PPBBPB,8,B
BPPBBP,BBBBBB,PPBBBB,6,B
BBBBPP,BBBBBBB,PPBPBB,7,B
PBPBPB,PPPPPP,BBBBPB,6,P
BPBBPB,PPPPP,BPPBBB,5,P
BBBPPB,PPPPP,BPPBPP,5,P
PPPBPP,BBBBBBB,PBPBPP,7,B
BBBBPB,PPPPP,BBPBPP,5,P
BPPPBP,BBBBB,PBPPPB,5,B
BPPBBB,PPPPPP,BPPBBP,6,P
PBBPPB,PPPPP,BBPBPP,5,P
PBPPPB,PPPPPPP,BBBBBB,7,P
PPPPPP,BBBBBBBBB,PBPPBB,9,B
PPBBPP,BBBBBB,PPBPBP,6,B
BPBPBB,PPPPPP,BBBBPB,6,P
PBPBPB,PPPPP,BPBPPB,5,P
PBBPPB,PPPPP,BBPBBB,5,P
BBPBBB,PPPPP,BPBBBB,5,P
PPPPBP,BBBBB,PBPPBB,5,B
PPBPBB,PPPPPPP,BPBBBP,7,P
BPBPPP,BBBBB,PBPBPB,5,B
BBBBPP,BBBBB,PBBPPB,5,B
BBPPBB,PPPPPPPPP,BPBBBP,9,P
BBPPPP,BBBBBB,PBPPBP,6,B
PBBPBP,BBBBBBB,PBPPBP,7,B
BBPPBP,BBBBB,PPBBBP,5,B
BPBPPP,BBBBB,PPBPBB,5,B
BPBBBP,BBBBB,PPBPPP,5,B
PBPBBB,PPPPP,BPBBPP,5,P
PBPBBP,BBBBB,PPPPBB,5,B
PPBPPB,PPPPPPPP,BBBBPB,8,P
PBBBPP,BBBBBBB,PBBPBP,7,B
BBPBPP,BBBBB,PPBBPP,5,B
BBPPBB,PPPPP,BPPPBB,5,P
PPBPPP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBB,PBPBBB,5,B
PBPBBB,PPPPP,BBBPBP,5,P
PBBBPB,PPPPP,BBPPBB,5,P
PPBPBP,BBBBB,PPPBPP,5,B
BBBBPP,BBBBBBBBBB,PBBBPB,10,B
BBPPBP,BBBBBBBB,PPPPBB,8,B
PPPBBB,PPPPP,BPBBBB,5,P
PPPPBP,BBBBBBBBB,PBBBPP,9,B
PBPBBB,PPPPPPP,BBPPPP,7,P
PPPPBB,PPPPP,BBBPBP,5,P
PPBPPP,BBBBB,PBPBBB,5,B
PPPPBP,BBBBB,PPBPBB,5,B
BBPPBP,BBBBBB,PPBBPB,6,B
BPPBBP,BBBBBBB,PBPBBB,7,B
BPBBBB,PPPPP,BPBBBB,5,P
BBPPBP,BBBBB,PPBPPB,5,B
PPBPBP,BBBBBBB,PBBBBB,7,B
BPPBPB,PPPPP,BBPPBP,5,P
PPBBPB,PPPPPP,BBBPPP,6,P
PPPBPB,PPPPP,BBBPBB,5,P
BBPPBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PPPBBP,6,B
PBBPBB,PPPPP,BPBBPP,5,P
PPBPBB,PPPPPPP,BPBBPB,7,P
PBBPPB,PPPPPPPPP,BBPPBB,9,P
PPBBPB,PPPPPPP,BPBPBP,7,P
BBPPBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PBBPPB,6,B
BBPBPB,PPPPP,BPBPPP,5,P
PPPBPB,PPPPPP,BPBBBB,6,P
PPPPBP,BBBBB,PBBPBP,5,B
BBPPBP,BBBBBB,PBBPPB,6,B
BBPPBP,BBBBBB,PBBPPB,6,B
PBBPBP,BBBBBB,PPPBBB,6,B
BPBPPP,BBBBBB,PPPPPP,6,B
PBBBPP,BBBBB,PBPBPB,5,B
BPBBPP,BBBBBBB,PPPPPB,7,B
BBBBBB,PPPPP,BBBPPP,5,P
BBBBPP,BBBBBB,PPBBBB,6,B
PBBPBB,PPPPPP,BPBPPB,6,P
PPPPBP,BBBBB,PBPPPB,5,B
PPBBPP,BBBBB,PPBPBP,5,B
PPBBBP,BBBBB,PBPPBP,5,B
BPPBBP,BBBBBBB,PPBPPB,7,B
BPBBBP,BBBBBB,PBBBBB,6,B
PBBPBB,PPPPPP,BPBPPB,6,P
PBPPBB,PPPPP,BBPBBB,5,P
PPPBBP,BBBBB,PBBBPB,5,B
BPBPBB,PPPPPPPP,BBPBBP,8,P
PPBBPB,PPPPPPPP,BBBPBP,8,P
BBPBBB,PPPPP,BBPBBP,5,P
PBBPBB,PPPPPPPPP,BPPBBP,9,P
BPBPBB,PPPPPPPPP,BBPPPB,9,P
BBBBBP,BBBBBB,PPBPBP,6,B
BPPBBP,BBBBBB,PPPPPB,6,B
BBBBBB,PPPPP,BBBPBP,5,P
PBBBBB,PPPPPP,BPPPBP,6,P
PBPPPB,PPPPPP,BPBBBP,6,P
BBBPBB,PPPPPP,BPBBBP,6,P
BPBPBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPPPPB,5,P
PPPBBB,PPPPPP,BBPPBP,6,P
BPBBPB,PPPPPP,BBPBPB,6,P
PBBBPB,PPPPP,BBPBBB,5,P
BBPBBB,PPPPPP,BPPBBP,6,P
BPBPBB,PPPPP,BBBPBB,5,P
PPBBBP,BBBBBB,PPPBBB,6,B
BBBPPB,PPPPPPPPPP,BBBBBB,10,P
PPPPPP,BBBBBBB,PBPPBP,7,B
BPPBPP,BBBBBB,PPPBPB,6,B
PBBPPP,BBBBBBBBB,PPPPBP,9,B
BPPBPP,BBBBB,PBPPBP,5,B
PPPPPB,PPPPP,BBBPPP,5,P
PPPBPB,PPPPPPPPPPPP,BBPBPP,12,P
PPPBPB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPPPBP,5,B
BPPBPB,PPPPP,BPPPBP,5,P
PPBBPP,BBBBBB,PBBPPB,6,B
PPBBBP,BBBBBB,PBBPPB,6,B
BBPPBP,BBBBBBB,PPBBBB,7,B
BBPBBB,PPPPPP,BPBPPB,6,P
BPPBPB,PPPPPPPP,BPPBBB,8,P
PBBPBB,PPPPPP,BPBBBP,6,P
PPBBBB,PPPPP,BPBBPB,5,P
PBBBPB,PPPPPPPPPP,BPBBPB,10,P
BBPBPB,PPPPPPPP,BBBBBP,8,P
PPPPPP,BBBBB,PBPBPP,5,B
PPPBPP,BBBBB,PBBPPB,5,B
BBBPPB,PPPPP,BPBBBB,5,P
BBPPBB,PPPPPP,BBBBBB,6,P
PPPPPP,BBBBBB,PBPBBB,6,B
BPBPBB,PPPPP,BPBPBP,5,P
PBBBBB,PPPPPPP,BBBPPB,7,P
PBBBPP,BBBBB,PPBBPB,5,B
BBBBPP,BBBBB,PPPPBB,5,B
BBPPBP,BBBBB,PPPBPB,5,B
PBPPPP,BBBBBBB,PPBPBB,7,B
BBPPPP,BBBBB,PBBPBP,5,B
PPPBBB,PPPPP,BPBPBB,5,P
PBPBBP,BBBBBB,PPPPBB,6,B
PBPPBP,BBBBB,PBPPBP,5,B
PPBBBP,BBBBBBB,PPBBBP,7,B
BBPBBB,PPPPP,BPPBPP,5,P
PPBPBB,PPPPP,BPPPBP,5,P
BBBPBP,BBBBBB,PBBBBB,6,B
BBBBBP,BBBBB,PBPPPB,5,B
PPBBPB,PPPPPPP,BPPPPB,7,P
BPBBPB,PPPPPP,BPBBBP,6,P
BPBPBB,PPPPPP,BBBPPB,6,P
PBPBBP,BBBBBBB,PBPPBB,7,B
PBPBBB,PPPPP,BBPBBP,5,P
PPPBPP,BBBBB,PBBPPP,5,B
PPBPBP,BBBBB,PBPPPB,5,B
BBPPPP,BBBBB,PBPPPP,5,B
PBBBPB,PPPPP,BPBPPB,5,P
BPPPBP,BBBBBBB,PBPPPB,7,B
BPBBBP,BBBBBB,PBBPPP,6,B
PBBPPP,BBBBBBB,PPPPBB,7,B
PPPBBP,BBBBBBBBB,PPBBBB,9,B
BBPPBB,PPPPP,BPPPBP,5,P
PBBPBB,PPPPPPPPP,BPBPBP,9,P
BPBPBB,PPPPPPP,BBBPBP,7,P
BPPBPB,PPPPP,BPPBPP,5,P
PBBBPB,PPPPPPP,BBBBPP,7,P
PPBBBB,PPPPPPP,BPBBBP,7,P
BBBBBP,BBBBB,PBPBBP,5,B
BBPPBP,BBBBBB,PPPBBB,6,B
BPPBBP,BBBBBBBBBB,PPPPBP,10,B
PPPBPP,BBBBBB,PBBPPB,6,B
BPPBPB,PPPPP,BBBPBP,5,P
PBBBPB,PPPPP,BPBBBB,5,P
PBPBPB,PPPPPPPPP,BPBPPB,9,P
PBPBPB,PPPPPP,BPBPBB,6,P
PBBBPB,PPPPPP,BBBPBP,6,P
BPPBPP,BBBBB,PPBBPP,5,B
BPBPBB,PPPPPPPPP,BPBPPP,9,P
PPPBPB,PPPPPPPPPP,BBBPPP,10,P
PPBBBP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBBB,PPBBPP,6,B
BPBPBP,BBBBB,PBBBPB,5,B
PPBPPB,PPPPP,BPBPPB,5,P
BBBPBB,PPPPP,BPBBPB,5,P
PBBPBB,PPPPP,BPBBBP,5,P
PPBBBB,PPPPPPP,BBPPPB,7,P
PPBBBB,PPPPPP,BBBPPB,6,P
BPPBBB,PPPPP,BPBBBB,5,P
PPPPBP,BBBBBB,PBPBBP,6,B
BBBBPP,BBBBBB,PBBPPB,6,B
BBPBBB,PPPPP,BBBPPB,5,P
BPPPBP,BBBBB,PPBPBB,5,B
PBBPPB,PPPPPP,BPPBBP,6,P
BBPBPB,PPPPP,BBBPPB,5,P
BBBPPP,BBBBBB,PBBBBP,6,B
PBPBPB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPP,BPBBBB,5,P
BPBBBP,BBBBBB,PPBPBB,6,B
BBPPBP,BBBBBB,PPPPPB,6,B
BBBBBB,PPPPP,BPPPPP,5,P
PBPBBB,PPPPP,BBPPPB,5,P
PBPBBP,BBBBBB,PPBBBP,6,B
BBPBPB,PPPPP,BBBPPB,5,P
PBPBBB,PPPPPP,BPPBPB,6,P
BBPBPB,PPPPP,BBPBPP,5,P
BPBPPP,BBBBBB,PPPBPB,6,B
BPBPBB,PPPPPP,BPPBBB,6,P
BPPBBB,PPPPP,BPBPPB,5,P
PBBPPP,BBBBB,PPBPBP,5,B
BBPBBB,PPPPPPPPP,BPBPPP,9,P
BPPBBB,PPPPP,BPPBBB,5,P
PPPPBP,BBBBBB,PBPPBP,6,B
PPBBPP,BBBBB,PPBPPB,5,B
PBPPBP,BBBBB,PPBBPP,5,B
PPPBBB,PPPPPP,BPPBBB,6,P
PPPBPP,BBBBBBB,PBPPPP,7,B
BBBBPB,PPPPP,BBBPBB,5,P
PPBBBP,BBBBBB,PBPBPB,6,B
PBPPPB,PPPPPP,BBBPBP,6,P
BPPPBP,BBBBB,PPBPPP,5,B
BBBPPB,PPPPP,BBPPPP,5,P
PPPPBB,PPPPP,BPPBBB,5,P
PPPBPP,BBBBBB,PBPBBP,6,B
BBBBPB,PPPPP,BPPPPB,5,P
PPBBPB,PPPPPP,BPPBPB,6,P
PPBPBP,BBBBBB,PBPPPB,6,B
PBPPPB,PPPPPP,BPPBPB,6,P
PPPPBB,PPPPP,BBPBPP,5,P
PPBBPB,PPPPPPPPP,BPBBBP,9,P
PBBPBP,BBBBB,PPBBBP,5,B
BPBPPP,BBBBBB,PPBBPB,6,B
PPBPBP,BBBBBBB,PPPPBB,7,B
PBBPPB,PPPPPP,BPPBPP,6,P
PPPBPP,BBBBB,PPBPBP,5,B
PBPPBB,PPPPPP,BPPBBP,6,P
PPPBBP,BBBBBBBB,PPBPPP,8,B
BBBPPB,PPPPPP,BPBBPB,6,P
PPPBBB,PPPPP,BPBPPB,5,P
PPPPPP,BBBBBB,PBBBPB,6,B
PPBPBP,BBBBBB,PBBBBB,6,B
BBBBBP,BBBBB,PBPBPP,5,B
PPBPBP,BBBBB,PPPBPP,5,B
BBPPPB,PPPPPP,BPBBPP,6,P
BBPPBB,PPPPP,BPBPPP,5,P
PPPBPB,PPPPP,BBPPBB,5,P
BBBPBB,PPPPP,BBPPBP,5,P
PPPBPP,BBBBBBB,PPBBBB,7,B
BBBBPP,BBBBBB,PBBPBP,6,B
PBPBBP,BBBBBB,PBPPBB,6,B
BBPBPB,PPPPPP,BPPBBB,6,P
BPPPPB,PPPPP,BBBPPP,5,P
PPPBBB,PPPPPP,BPBPPB,6,P
PPBBBP,BBBBBB,PPBPBP,6,B
PBBBBP,BBBBB,PBBBPB,5,B
PBPBBB,PPPPP,BPBPPP,5,P
PPPBPB,PPPPP,BBBBPB,5,P
BBBBPP,BBBBBB,PBBPPB,6,B
BBBPBP,BBBBBB,PPPBBP,6,B
BPPPBP,BBBBBBB,PBPPBP,7,B
BBPBBP,BBBBB,PBBBPB,5,B
PPPPPP,BBBBB,PBBBPB,5,B
BBBPBB,PPPPPP,BBPPPP,6,P
BPBPPP,BBBBB,PPPPBB,5,B
PBBBBP,BBBBBB,PPBBBB,6,B
BBBPPP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBBB,PBPPPP,6,B
BBBBPB,PPPPP,BPPPPB,5,P
BBPBBP,BBBBBBBB,PPPPPP,8,B
BBBBBB,PPPPPPP,BPPPPB,7,P
PBBPBB,PPPPPPPPP,BPBPBB,9,P
PBPBBB,PPPPPP,BBBBPB,6,P
BBBBPB,PPPPP,BPBPPP,5,P
BPPPBP,BBBBBB,PBPPBB,6,B
BBPBPP,BBBBB,PPPBPB,5,B
PPPBPP,BBBBB,PBBPBB,5,B
PPBBBP,BBBBB,PBBPBB,5,B
PBBBBP,BBBBB,PPBPPB,5,B
