before,pingpong_tikhu,after,repeat,length
PBPPPB,PPBBPPBB,BBBPBP,2,8
PPBPPP,PPBBPPBB,BPBPBB,2,8
PPBPBP,BBPPBBPP,PPBBBP,2,8
PBBBPP,PPBBPPBB,BPBPBP,2,8
PPPBPP,PPBBPPBB,BPPPPB,2,8
BBPBPB,BBPPBBPP,PBBPPB,2,8
BBBBPB,BBPPBBPPBBPP,PBPBPB,3,12
PPBBPB,BBPPBBPP,BPBBPB,2,8
PPPPBP,BBPPBBPP,PBBPPB,2,8
PBBBPB,BBPPBBPP,BPBPPP,2,8
BPPPBB,BBPPBBPP,PBBBBB,2,8
PPPBBP,PPBBPPBB,BBPPPP,2,8
PBPBPP,PPBBPPBB,BBPBBP,2,8
PPBBBB,BBPPBBPP,PBBBPP,2,8
BBBBPP,PPBBPPBB,PBPPBB,2,8
PBPBBP,BBPPBBPP,BBBPPP,2,8
PPPPBP,PPBBPPBB,BBBPPP,2,8
PBBPPB,BBPPBBPP,BBPBBP,2,8
PBPPBB,BBPPBBPP,PPPPBB,2,8
BPBPPP,PPBBPPBB,BBBPPB,2,8
BBBBPP,PPBBPPBB,BBBPPP,2,8
PBBPPB,PPBBPPBB,PBBBBB,2,8
BBBPBP,PPBBPPBB,PBPBPP,2,8
BPPPPP,PPBBPPBB,BBBBPB,2,8
PPBBPB,PPBBPPBB,BPBPPB,2,8
PBBPBP,PPBBPPBB,PPBPPP,2,8
PPBBBP,BBPPBBPPBBPP,PPPPPB,3,12
PPBPBB,BBPPBBPPBBPP,PBPPPB,3,12
PPBBPB,BBPPBBPP,PPBBPP,2,8
PPBBPP,PPBBPPBBPPBB,BBBBPP,3,12
BPPBBP,BBPPBBPP,PBBPBB,2,8
BBPBBB,BBPPBBPP,PBPPBB,2,8
PPBBBP,BBPPBBPP,PPPPPP,2,8
PBPBPB,BBPPBBPP,BBBBBB,2,8
BBBPPB,BBPPBBPP,PBBPBB,2,8
PPPBBP,PPBBPPBB,BPPPBB,2,8
BPPPPB,BBPPBBPP,PPPPPP,2,8
BBBPPB,BBPPBBPP,PBBPBB,2,8
BPBPPP,PPBBPPBB,PPBPPB,2,8
BBPBPB,PPBBPPBB,PBPBBB,2,8
BBBPBB,BBPPBBPP,PPPBPP,2,8
