before,chainok_13,after,pattern
BPPPBB,PBBBP,BBPPBP,1-3-1
BBPPBP,BPPPB,PBPPPB,1-3-1
BBBPBB,PBBBP,BBPPPP,1-3-1
PPBBPP,BPPPB,PBBBBB,1-3-1
PPBBBB,PBBBP,BPPPBP,1-3-1
BBBBPB,PBBBP,BBBPPP,1-3-1
BBPBBB,PPPBPPP,BPPBPP,3-1-3
BPBPBB,PPPBPPP,BBBBPB,3-1-3
BBBBPB,PBBBP,BPPBPB,1-3-1
PPBBPP,BPPPB,PPPBBB,1-3-1
BBPPBB,PBBBP,BBPBPB,1-3-1
BBPBBP,BPPPB,PPBPBB,1-3-1
PPBPPB,PBBBP,BPPBBB,1-3-1
PBBPPB,PBBBP,BBPPPP,1-3-1
PBPPBP,BPPPB,PBBPPP,1-3-1
BBBBBB,PPPBPPP,BBBPBP,3-1-3
BPPPBB,PBBBP,BBBBPB,1-3-1
BPBBBB,PBBBP,BPBBPB,1-3-1
BBPPPB,PBBBP,BPBPBP,1-3-1
PPPBBP,BPPPB,PBBBPP,1-3-1
BPPPBP,BPPPB,PBBBPP,1-3-1
PPPBPB,PBBBP,BPBPBB,1-3-1
BBPBPB,PBBBP,BBBBBP,1-3-1
BPBBPB,PBBBP,BBBPPB,1-3-1
BPBBPP,BPPPB,PPPPBP,1-3-1
PPPPBP,BPPPB,PBPBBP,1-3-1
PBBBPP,BPPPB,PPBBBP,1-3-1
PBBBBP,BPPPB,PBBPPB,1-3-1
BPBPBP,BPPPB,PPPBBB,1-3-1
PPPBPB,PBBBP,BBBBBB,1-3-1
BBPPBB,PBBBP,BBBPBP,1-3-1
BBBBPB,PBBBP,BBPPPP,1-3-1
PPPPPB,PBBBP,BBBPPP,1-3-1
PBBPPB,PBBBP,BBBBBP,1-3-1
PBBBPB,PBBBP,BPPPPB,1-3-1
BPBPPB,PBBBP,BBBBBP,1-3-1
PPPPPB,PBBBP,BPBBBP,1-3-1
PPPBPB,PBBBP,BBBBBB,1-3-1
PPBBBB,PPPBPPP,BBBBBB,3-1-3
BBBPPB,PBBBP,BBPPBB,1-3-1
BBPPBB,PBBBP,BPPBPP,1-3-1
BPBPPB,PBBBP,BBPBBB,1-3-1
BBBPBB,PBBBP,BPPPPP,1-3-1
PPPPPB,PBBBP,BPBPPB,1-3-1
BPBBPP,BBBPBBB,PPPPPB,3-1-3
BPPPPB,PBBBP,BPBBBB,1-3-1
BPBPBP,BPPPB,PPPBPP,1-3-1
PPPBPP,BBBPBBB,PBPPBP,3-1-3
BPPPBB,PBBBP,BPPBBP,1-3-1
PBBPBB,PBBBP,BPBBBP,1-3-1
BPBBPB,PBBBP,BBBPBP,1-3-1
PBBBBB,PBBBP,BBPPBB,1-3-1
PPPPPP,BPPPB,PPPPPP,1-3-1
PPPBBB,PPPBPPP,BPPBBB,3-1-3
BPBBBB,PPPBPPP,BPPBBB,3-1-3
BBBPBP,BPPPB,PPPBPP,1-3-1
PBPPPB,PPPBPPP,BPBPBP,3-1-3
BBPPBP,BPPPB,PBBBPB,1-3-1
PBPPPP,BBBPBBB,PPBPBB,3-1-3
BBBBPB,PBBBP,BPPPBB,1-3-1
PPBPBP,BPPPB,PPBBBP,1-3-1
BPBPBB,PBBBP,BBBBPB,1-3-1
PPBPBB,PBBBP,BBBPPP,1-3-1
BPPPPB,PBBBP,BBBBBP,1-3-1
PPPBPB,PBBBP,BBPBBP,1-3-1
PPPPPP,BBBPBBB,PPBPBP,3-1-3
BBBPBP,BPPPB,PPBBBP,1-3-1
PPBBPP,BPPPB,PBBBPP,1-3-1
BBBBBP,BPPPB,PBBBPP,1-3-1
BBBPBP,BPPPB,PPPBPB,1-3-1
BPPPBB,PBBBP,BPPBPB,1-3-1
PBPPBP,BPPPB,PBPPPB,1-3-1
PPBPBP,BPPPB,PPBPPB,1-3-1
BBBBBB,PBBBP,BBPPPP,1-3-1
BPPPPP,BPPPB,PBPBPP,1-3-1
BPPBBP,BPPPB,PPPPBB,1-3-1
PBPPPP,BPPPB,PBPBBP,1-3-1
BPBBPP,BBBPBBB,PBBPBB,3-1-3
PPBPBB,PBBBP,BPPBPB,1-3-1
BPPPPB,PBBBP,BBBBBP,1-3-1
PBPPBB,PBBBP,BBPPPP,1-3-1
BPBBBB,PPPBPPP,BPBBPB,3-1-3
BPPBPP,BPPPB,PPPBBP,1-3-1
BPPPBB,PPPBPPP,BBBPPP,3-1-3
BBPPBP,BPPPB,PBPPBP,1-3-1
BPPBPP,BPPPB,PPPPPB,1-3-1
BPBPBP,BPPPB,PBPPBB,1-3-1
BBBBBB,PBBBP,BPBPPP,1-3-1
BBBPPB,PBBBP,BBBBBB,1-3-1
PPPBPP,BBBPBBB,PBPBPB,3-1-3
PBBPBP,BPPPB,PPPPPB,1-3-1
BPBPBP,BPPPB,PBPBBB,1-3-1
PPPBPB,PBBBP,BPBPBB,1-3-1
PPPPPP,BBBPBBB,PBPPPP,3-1-3
BBBBBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBPPPP,1-3-1
PPBBPB,PBBBP,BPBBBP,1-3-1
PPBBPB,PBBBP,BBPBBP,1-3-1
PBBPBB,PBBBP,BBPPPB,1-3-1
PBBBPP,BBBPBBB,PPBBPP,3-1-3
PPBPPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPPPPP,1-3-1
BBPPPP,BBBPBBB,PBPBBP,3-1-3
BPBPPB,PBBBP,BPPPPP,1-3-1
PPBBBP,BPPPB,PBBPBB,1-3-1
BBBPPB,PBBBP,BPBPPB,1-3-1
PPBPBP,BPPPB,PPBPBP,1-3-1
PBBBBP,BPPPB,PPPPBB,1-3-1
BPPPBB,PBBBP,BPBPPB,1-3-1
BBBBPP,BPPPB,PBBPPB,1-3-1
PPBBBP,BPPPB,PBPPBP,1-3-1
PPBPBB,PBBBP,BBPPBP,1-3-1
BPBBBB,PBBBP,BBBBPB,1-3-1
BBBPBB,PBBBP,BBBBBB,1-3-1
BBPPBB,PBBBP,BBBBBP,1-3-1
PBPBPP,BBBPBBB,PPBBPP,3-1-3
BPBBPB,PBBBP,BBPPPB,1-3-1
BBBBPB,PBBBP,BBBBBP,1-3-1
BPBPBB,PBBBP,BBBBPB,1-3-1
PPPBPB,PBBBP,BBBBBP,1-3-1
PBBPBB,PBBBP,BPBBPB,1-3-1
PPBBBB,PBBBP,BPPBBB,1-3-1
PPBPBP,BPPPB,PBPPBP,1-3-1
PPPBBP,BPPPB,PBPPPP,1-3-1
PPPPPB,PBBBP,BPPPPP,1-3-1
PPBPBB,PBBBP,BBPPPB,1-3-1
PBPBPB,PBBBP,BBPPBP,1-3-1
BPBBBB,PBBBP,BPBPBP,1-3-1
BBPPBP,BPPPB,PPPPBP,1-3-1
BPPPBB,PBBBP,BPBPBP,1-3-1
BBPPPB,PBBBP,BBBPPB,1-3-1
BBBBPB,PBBBP,BPPBPP,1-3-1
PBBBBB,PBBBP,BBPPPB,1-3-1
PBBPBB,PBBBP,BBBPBP,1-3-1
PBPBBP,BPPPB,PPPPBP,1-3-1
BPPBPP,BPPPB,PPPPPP,1-3-1
BPPPBP,BPPPB,PPBBPP,1-3-1
PPBPPP,BBBPBBB,PBBBPP,3-1-3
BPPPPB,PBBBP,BBPBBP,1-3-1
PPBPBB,PBBBP,BBPBPP,1-3-1
BBBPPB,PBBBP,BBBBBP,1-3-1
PBBBBB,PPPBPPP,BPBBPB,3-1-3
PBBPPB,PBBBP,BBPBBB,1-3-1
BBPBPB,PBBBP,BBPPBP,1-3-1
PPBBPP,BBBPBBB,PBPPBB,3-1-3
BBPBPP,BPPPB,PBBBPP,1-3-1
BBBBBB,PBBBP,BBBPPB,1-3-1
PPPPBB,PBBBP,BPBPPB,1-3-1
PPPPBP,BPPPB,PPBPPB,1-3-1
PPPPBB,PPPBPPP,BBBBBP,3-1-3
BBBBPB,PBBBP,BPBBBB,1-3-1
PPPPBB,PPPBPPP,BPBPPP,3-1-3
BPPPPP,BBBPBBB,PPPBPP,3-1-3
PBBPBB,PBBBP,BBPPPB,1-3-1
BBBPBB,PPPBPPP,BPBBPP,3-1-3
PBPPPB,PBBBP,BPBBPP,1-3-1
PPBBBB,PBBBP,BPPPBB,1-3-1
BPBBPB,PBBBP,BPBPBB,1-3-1
BBBBBP,BPPPB,PBPPBB,1-3-1
BPBBBB,PBBBP,BPBBPB,1-3-1
BBPBBP,BPPPB,PBPBPP,1-3-1
BBBPPB,PBBBP,BPBBPB,1-3-1
BPBBPB,PBBBP,BBBBBB,1-3-1
PBBBBB,PBBBP,BBPBPP,1-3-1
PBBBPP,BBBPBBB,PPPBPP,3-1-3
BBBBPP,BPPPB,PBPPBB,1-3-1
PPPPPP,BPPPB,PPPPPP,1-3-1
PPPPPB,PBBBP,BPPBPB,1-3-1
PPPPPB,PBBBP,BBPBBB,1-3-1
BBPBPP,BPPPB,PPPBPB,1-3-1
PPBBPB,PBBBP,BPPPPP,1-3-1
BBBPBB,PBBBP,BPPBPP,1-3-1
BPPPPB,PBBBP,BBBBPB,1-3-1
BPPBPB,PBBBP,BBPPPB,1-3-1
BBPPPP,BPPPB,PBPBPB,1-3-1
PPPBBP,BPPPB,PPBPPB,1-3-1
BPPPBP,BPPPB,PPPBBB,1-3-1
BPPPPP,BPPPB,PPBBPP,1-3-1
PBPPBP,BPPPB,PBPBPP,1-3-1
BPBBPP,BBBPBBB,PPPPPP,3-1-3
BPBPBB,PBBBP,BPBPBB,1-3-1
BPPPBB,PBBBP,BBBPBP,1-3-1
PPPBPB,PBBBP,BPBBPP,1-3-1
PPPPPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPBPPP,1-3-1
BBPBPP,BBBPBBB,PPPPBB,3-1-3
PPPBBB,PPPBPPP,BPPBBP,3-1-3
PBPPBB,PPPBPPP,BPBPPP,3-1-3
PPBPBB,PBBBP,BPBPPP,1-3-1
PPBPPB,PBBBP,BPBPBP,1-3-1
PPBPBP,BPPPB,PBBPPB,1-3-1
PBBPPB,PBBBP,BPBPBP,1-3-1
BBPBPP,BBBPBBB,PBPPBP,3-1-3
BBBBPP,BBBPBBB,PPPPPB,3-1-3
BBPBBP,BPPPB,PPPBBB,1-3-1
PPPPPB,PBBBP,BBPBPB,1-3-1
PPBPBP,BPPPB,PPPBPB,1-3-1
BBBPPB,PBBBP,BPBPPP,1-3-1
PBPPBB,PPPBPPP,BPPBBP,3-1-3
BBBPBB,PBBBP,BBPPBB,1-3-1
BPPBBP,BPPPB,PBBBBB,1-3-1
BBBBBP,BPPPB,PBPBBP,1-3-1
BBPPPP,BBBPBBB,PBBBBB,3-1-3
PPBPPB,PBBBP,BBBPPB,1-3-1
PPBPBP,BPPPB,PBBBPP,1-3-1
BPPPPP,BPPPB,PBBBPP,1-3-1
PBBBBB,PBBBP,BPPPPP,1-3-1
PPPPPB,PBBBP,BBPPBP,1-3-1
BPBBPP,BPPPB,PBPPBB,1-3-1
PBBBPB,PBBBP,BBBBPP,1-3-1
BPBBPP,BPPPB,PPBBBB,1-3-1
BBPPBP,BPPPB,PPBBBP,1-3-1
PBPPBB,PBBBP,BBBBPP,1-3-1
PPBBPB,PBBBP,BBPBPP,1-3-1
BBPBBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPPPPP,1-3-1
BPBPPB,PBBBP,BPPBPP,1-3-1
PPBBPP,BPPPB,PPPBPP,1-3-1
PPBBBB,PPPBPPP,BBPPBP,3-1-3
PBBBBB,PBBBP,BPBPPB,1-3-1
PBPBPP,BPPPB,PPPPBB,1-3-1
BPPBPB,PBBBP,BPBPPP,1-3-1
BPBBBB,PBBBP,BBBBBB,1-3-1
BPBBPP,BPPPB,PPPBPB,1-3-1
PPPBBP,BPPPB,PBPBBP,1-3-1
PPPPBP,BPPPB,PPBPBP,1-3-1
PBPBPP,BBBPBBB,PPBPPB,3-1-3
PBPBBP,BPPPB,PBBBPP,1-3-1
PBPBPB,PBBBP,BBBBPP,1-3-1
BBPPBP,BPPPB,PPPBPP,1-3-1
PBPPBP,BPPPB,PPPBBB,1-3-1
BBBPPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBBPPP,1-3-1
PPBPBB,PPPBPPP,BPPBPB,3-1-3
BPBPPB,PBBBP,BBPBPP,1-3-1
BPBBPB,PBBBP,BPPBBP,1-3-1
BBBBBP,BPPPB,PPPPPP,1-3-1
PPPPPB,PBBBP,BBPBBB,1-3-1
BPPBBB,PPPBPPP,BPBBPP,3-1-3
BPPPBB,PBBBP,BPPBBP,1-3-1
BPBBPP,BPPPB,PPPBBP,1-3-1
BPBPPB,PBBBP,BBPBBP,1-3-1
BBPBPB,PBBBP,BBPPBP,1-3-1
PBBPPB,PBBBP,BPBPPP,1-3-1
BBBBBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPBBPB,1-3-1
BPPBBP,BPPPB,PPBPPB,1-3-1
PBPPBP,BPPPB,PPBBBP,1-3-1
BBBBPP,BPPPB,PPPBBB,1-3-1
PBBBBB,PBBBP,BPPPPB,1-3-1
BBPBPP,BPPPB,PBPBPB,1-3-1
BBPBPP,BPPPB,PBPBPB,1-3-1
BBPPBB,PBBBP,BBBPBP,1-3-1
BBPBPB,PBBBP,BPPPPB,1-3-1
BPBPPB,PBBBP,BPPBBB,1-3-1
BPBBPP,BPPPB,PBBPBP,1-3-1
BPPBPP,BPPPB,PBBBBB,1-3-1
PBBBBB,PBBBP,BBBPBB,1-3-1
BPBBBP,BBBPBBB,PBPPBP,3-1-3
BBBPBB,PBBBP,BBBBPB,1-3-1
BBPBPB,PBBBP,BBPPBB,1-3-1
BBBBPP,BPPPB,PBPBPP,1-3-1
PPBBBP,BPPPB,PBPBPB,1-3-1
BPPBPB,PBBBP,BPBBPP,1-3-1
BBBBBB,PBBBP,BPBBPP,1-3-1
BPBPPB,PBBBP,BPPPBB,1-3-1
BPBBPB,PBBBP,BPPBPB,1-3-1
BPBPPB,PBBBP,BPBPPB,1-3-1
BBBPBP,BPPPB,PPPBBB,1-3-1
PBBPBB,PBBBP,BBBBBP,1-3-1
BBPPPB,PBBBP,BPBBBB,1-3-1
BBBBBP,BPPPB,PPPBBB,1-3-1
BBPPBB,PBBBP,BBBBBP,1-3-1
BPPBBP,BPPPB,PBPPPB,1-3-1
BPPPBB,PBBBP,BBPBPP,1-3-1
PBPPPP,BPPPB,PPBPBP,1-3-1
PBPBPP,BBBPBBB,PPBBBB,3-1-3
BBPPBP,BPPPB,PBBPPB,1-3-1
BPBBPP,BPPPB,PBPBBB,1-3-1
PPPBPB,PBBBP,BBPPBP,1-3-1
BPBBBB,PBBBP,BPPBPB,1-3-1
PPPPPP,BPPPB,PBPBPP,1-3-1
BBPPBP,BPPPB,PBPPPP,1-3-1
BBBPBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBBPPB,1-3-1
PBPBPB,PBBBP,BPPPPB,1-3-1
BBPBBB,PPPBPPP,BPBPPP,3-1-3
PBPBPP,BBBPBBB,PBBBBP,3-1-3
PPBPBB,PBBBP,BBPBBB,1-3-1
PPBPBP,BPPPB,PPPPBP,1-3-1
BPBBPB,PBBBP,BBBPBB,1-3-1
BBPPBP,BPPPB,PPBPBB,1-3-1
PPPBBP,BPPPB,PBPBPB,1-3-1
PBBBPB,PBBBP,BPPBPP,1-3-1
PPPPBB,PBBBP,BBPPBP,1-3-1
PBPPBB,PBBBP,BBPBPP,1-3-1
PBBPPB,PBBBP,BPBBPP,1-3-1
BBPBPP,BPPPB,PPBBBP,1-3-1
BPBBBB,PBBBP,BBPPBP,1-3-1
BBPPBP,BPPPB,PPPBBB,1-3-1
BPBPBP,BPPPB,PPPBPB,1-3-1
PBBBBB,PBBBP,BBBBPP,1-3-1
PBBBBP,BPPPB,PPBPBP,1-3-1
PPBBBB,PBBBP,BBPBPB,1-3-1
BBPBBP,BPPPB,PPBPPB,1-3-1
BPBBBB,PBBBP,BBBPBB,1-3-1
BPBPBB,PBBBP,BBBBBP,1-3-1
BBPPPB,PBBBP,BBPPPB,1-3-1
PBPBPB,PBBBP,BBPPBP,1-3-1
PBPBPB,PBBBP,BBPBBP,1-3-1
PBBPBP,BPPPB,PPPBBB,1-3-1
BBBPPB,PBBBP,BPBBBP,1-3-1
PBBBPB,PBBBP,BPBBPB,1-3-1
BPBPBP,BPPPB,PBPBPP,1-3-1
BBBBPP,BPPPB,PBPBPB,1-3-1
BBBPBP,BPPPB,PPBPPB,1-3-1
BPPPBB,PBBBP,BPBPPB,1-3-1
PPBBBP,BPPPB,PBPPPB,1-3-1
BPPPBP,BPPPB,PBPBBP,1-3-1
BBBBBP,BPPPB,PBPBBP,1-3-1
BPBPBB,PBBBP,BBBBPP,1-3-1
PBBBBB,PBBBP,BBPBBP,1-3-1
BBPPBB,PPPBPPP,BPPPBB,3-1-3
PPBPBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPBBBB,1-3-1
PPBBPB,PBBBP,BBPBPB,1-3-1
PPBPBB,PBBBP,BBBBPP,1-3-1
BBPPBB,PBBBP,BBPPPB,1-3-1
PPBPBP,BPPPB,PBPBBP,1-3-1
PPPBPB,PBBBP,BBPPBB,1-3-1
PBBPPB,PBBBP,BPPBPP,1-3-1
BBPBPP,BPPPB,PPBBPB,1-3-1
PPPBPB,PBBBP,BBPBPP,1-3-1
PBPPBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPBPBP,1-3-1
PBBBPB,PBBBP,BPPPPP,1-3-1
PPPPPB,PBBBP,BPBPBP,1-3-1
BBBPPB,PBBBP,BBPBPP,1-3-1
BPBBBB,PBBBP,BBPPBP,1-3-1
BBPPBP,BPPPB,PBBPPB,1-3-1
PBPBBB,PPPBPPP,BBPBBB,3-1-3
BPPBPB,PBBBP,BBBPPP,1-3-1
PBBBPP,BPPPB,PPBBPB,1-3-1
PBPPPP,BPPPB,PBPBBB,1-3-1
BBBBPP,BBBPBBB,PBBBPP,3-1-3
PBPPBP,BPPPB,PPPPBB,1-3-1
BBPPPP,BPPPB,PPPPBB,1-3-1
PPBBPP,BPPPB,PPBPBB,1-3-1
BBPPPB,PBBBP,BPPBBB,1-3-1
BBPBPP,BPPPB,PBBPBB,1-3-1
BPBBPB,PBBBP,BBPBPP,1-3-1
BPPBPP,BPPPB,PPPBPB,1-3-1
BBPBBP,BPPPB,PPBPBB,1-3-1
BPPBPP,BPPPB,PBBPBP,1-3-1
BBPBPP,BPPPB,PPPPPB,1-3-1
BBPPPP,BPPPB,PBBBPP,1-3-1
BPBPPB,PBBBP,BPPBBB,1-3-1
PPPPPP,BPPPB,PPPBBB,1-3-1
BPPPPB,PBBBP,BBPBBB,1-3-1
PPPPBB,PPPBPPP,BBPBBP,3-1-3
BBBBBB,PBBBP,BBPPBB,1-3-1
BBBPPB,PBBBP,BPBPBP,1-3-1
PPBPPB,PBBBP,BBBPBB,1-3-1
PBPBBP,BPPPB,PPPPPP,1-3-1
PBBBBB,PBBBP,BPBBPB,1-3-1
PPPPBB,PBBBP,BPBPBB,1-3-1
BBPPPP,BBBPBBB,PBPBBB,3-1-3
BBPPPP,BPPPB,PPPPBP,1-3-1
BPBBBP,BPPPB,PBPPPB,1-3-1
PPBBPP,BPPPB,PPPPBB,1-3-1
BBPPPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BBPPPB,1-3-1
PPPPPB,PBBBP,BBPPPP,1-3-1
BPPBPB,PBBBP,BPBPPP,1-3-1
BBBBBB,PBBBP,BPBPPB,1-3-1
PPBBPB,PBBBP,BPBPPB,1-3-1
PBPBPP,BPPPB,PBBBBB,1-3-1
BPPPPB,PBBBP,BBBBBB,1-3-1
PPPPPP,BPPPB,PPPPPB,1-3-1
BBBBPB,PBBBP,BBPBBP,1-3-1
PBBBBB,PBBBP,BBBBBP,1-3-1
PPPPBP,BPPPB,PPBPPP,1-3-1
PPPBPP,BPPPB,PPBPPB,1-3-1
BPPBPP,BPPPB,PBPPPB,1-3-1
BBBBBB,PBBBP,BPBBPP,1-3-1
BBBBBP,BPPPB,PBBBBP,1-3-1
BBPPBB,PBBBP,BPPBBB,1-3-1
BBBPBP,BPPPB,PPPBPP,1-3-1
BBPBPP,BPPPB,PPPBBP,1-3-1
BPPPBP,BPPPB,PPBPBP,1-3-1
BBPBBP,BPPPB,PBPBBP,1-3-1
BBPPBB,PBBBP,BBPPBP,1-3-1
PPBBPP,BPPPB,PPBBBB,1-3-1
PBBBBB,PBBBP,BBBBBB,1-3-1
PPBBBB,PBBBP,BPBBPB,1-3-1
PPBBPP,BPPPB,PPBPPP,1-3-1
PBPPBB,PBBBP,BBPPPB,1-3-1
BPBPPP,BBBPBBB,PBPBBP,3-1-3
BBBPPP,BBBPBBB,PPBBBB,3-1-3
BBBBPB,PBBBP,BPPBPB,1-3-1
PBPBPP,BPPPB,PBPPPB,1-3-1
PPPBPB,PBBBP,BBPBPB,1-3-1
BPPPPB,PBBBP,BBBBBP,1-3-1
BBBPBB,PBBBP,BBBPBB,1-3-1
BPBBBP,BBBPBBB,PPBBPP,3-1-3
BPPBPB,PBBBP,BBBPPP,1-3-1
PPPBBP,BPPPB,PPPPPB,1-3-1
BBBPPP,BBBPBBB,PBPPPB,3-1-3
BPBBBP,BPPPB,PPBPPB,1-3-1
PBPPPB,PPPBPPP,BBBPBP,3-1-3
BBBPPB,PBBBP,BBPBPB,1-3-1
BPBPBP,BPPPB,PBBBBB,1-3-1
PPBPPB,PBBBP,BBPBPB,1-3-1
BPBBPB,PBBBP,BPBBPB,1-3-1
BBBPBB,PPPBPPP,BBPBBP,3-1-3
PPPPPB,PBBBP,BPPPPP,1-3-1
BPPBPP,BPPPB,PPBBPP,1-3-1
PBPBPB,PBBBP,BBPBPB,1-3-1
BBPPPP,BPPPB,PPPPPP,1-3-1
BPPBBB,PPPBPPP,BBPBBP,3-1-3
PBPBBP,BPPPB,PPBPBB,1-3-1
PBPPBB,PBBBP,BPPPBB,1-3-1
BPBPBP,BPPPB,PPPPBB,1-3-1
BPBBBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPBBPP,1-3-1
PPBBPB,PBBBP,BBPBPB,1-3-1
PBBPBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPPBBB,1-3-1
BBPPPP,BPPPB,PBBPBP,1-3-1
BBPBPB,PBBBP,BBBBBB,1-3-1
BBPPPB,PBBBP,BPBBPB,1-3-1
BPPPBB,PBBBP,BBBBBP,1-3-1
PBPPPB,PBBBP,BPBPBP,1-3-1
PBPPBP,BPPPB,PBPBPP,1-3-1
PPBBPP,BPPPB,PPPPPP,1-3-1
PPBBPB,PBBBP,BPPPPB,1-3-1
BBBPBP,BPPPB,PBBPBP,1-3-1
BBBPBP,BPPPB,PBPPPP,1-3-1
PBBPBB,PBBBP,BPPBBB,1-3-1
PBBBBB,PPPBPPP,BBPBBB,3-1-3
BBPBBP,BPPPB,PBBPBB,1-3-1
BPBPBB,PBBBP,BBBBPB,1-3-1
BBPPPB,PBBBP,BBPBPP,1-3-1
BBBBPB,PBBBP,BPPPBB,1-3-1
PPBPPB,PBBBP,BBPBBP,1-3-1
PBBBBB,PBBBP,BBPPBB,1-3-1
BPPBBP,BPPPB,PBBBPP,1-3-1
PBBBPP,BPPPB,PBBPBP,1-3-1
BPBPBB,PBBBP,BBBPBP,1-3-1
BBBBBB,PBBBP,BBBPBP,1-3-1
BBBBPB,PBBBP,BBBPPB,1-3-1
PPBBBP,BPPPB,PPBPBP,1-3-1
BPBPBB,PBBBP,BBBBBP,1-3-1
PPPBPP,BPPPB,PPBBPB,1-3-1
PBPPBP,BPPPB,PPPBPP,1-3-1
PBPPBP,BPPPB,PBBBBB,1-3-1
BPBPBB,PBBBP,BBPBBB,1-3-1
PPBBPP,BPPPB,PPBPBP,1-3-1
BPBBPP,BPPPB,PPBPPP,1-3-1
BPPPBP,BPPPB,PBBBPP,1-3-1
BBBPPB,PBBBP,BPBPBB,1-3-1
BBBPBB,PPPBPPP,BBBPBP,3-1-3
BBPPBP,BPPPB,PPPPBB,1-3-1
BPPBPB,PBBBP,BPPPBB,1-3-1
PPPPPP,BPPPB,PPPBPP,1-3-1
BPPBPP,BPPPB,PPBBBP,1-3-1
BPBBPP,BPPPB,PPBBBP,1-3-1
BPBBPB,PBBBP,BBBPBB,1-3-1
BPBBPB,PBBBP,BPBBPP,1-3-1
PPPPBP,BPPPB,PPPPBP,1-3-1
PPPBPP,BBBPBBB,PPPBPB,3-1-3
PPPPBB,PBBBP,BBBBBB,1-3-1
PPBBPB,PBBBP,BPBPBB,1-3-1
BBPPPP,BPPPB,PPPPPB,1-3-1
PBBPBP,BPPPB,PPBBPB,1-3-1
BPPPBB,PBBBP,BPBPBP,1-3-1
PBPBPB,PBBBP,BPBBPB,1-3-1
PPBBPP,BBBPBBB,PBBPPP,3-1-3
PPPPPP,BPPPB,PPBPBB,1-3-1
PPPPBB,PBBBP,BBBBBB,1-3-1
BBBBPP,BPPPB,PBBBBB,1-3-1
BBBBPB,PBBBP,BBPBPP,1-3-1
PPBBPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPBPBB,1-3-1
BBPBPB,PBBBP,BPBBBP,1-3-1
BBPPBP,BPPPB,PBPBBB,1-3-1
BPBBBB,PBBBP,BPBPBP,1-3-1
PPBBBB,PBBBP,BPPBBB,1-3-1
PPPPPP,BPPPB,PPBBBB,1-3-1
BBBBPB,PBBBP,BBBPBB,1-3-1
BBPBPP,BPPPB,PBPPPB,1-3-1
BPPPBP,BPPPB,PBBBBP,1-3-1
BBBPBP,BPPPB,PBBPBP,1-3-1
PPBBPB,PBBBP,BBBPPP,1-3-1
BPPBBP,BPPPB,PPPBPB,1-3-1
PBPBPB,PBBBP,BPBBBP,1-3-1
BBPPBP,BPPPB,PPBPBP,1-3-1
BBBBBB,PBBBP,BPBBPP,1-3-1
PPPBPB,PBBBP,BBBBPB,1-3-1
BBBBPB,PBBBP,BPBBPP,1-3-1
PPBBBP,BPPPB,PBBPPB,1-3-1
PPBBPP,BPPPB,PPBPBB,1-3-1
BPPPPB,PBBBP,BPPBBB,1-3-1
BBBBBP,BPPPB,PBBBPP,1-3-1
PBBPBB,PPPBPPP,BBPPBP,3-1-3
BPBBBB,PBBBP,BBBPBB,1-3-1
BPPBPP,BPPPB,PBBPBB,1-3-1
PPBPBP,BPPPB,PBBBBP,1-3-1
PPPPBP,BPPPB,PBPPBB,1-3-1
PBBPBB,PBBBP,BPBBPB,1-3-1
BPPPPB,PBBBP,BPPPBB,1-3-1
PPPPPB,PBBBP,BPPBPB,1-3-1
BPPPBB,PBBBP,BPPBPP,1-3-1
BBPPBB,PBBBP,BPBPBP,1-3-1
PBPBBP,BPPPB,PBBPBP,1-3-1
PPPPPB,PBBBP,BBPBBP,1-3-1
PBPPBB,PBBBP,BBPBBB,1-3-1
BBBPBB,PBBBP,BBBPBB,1-3-1
BBPBPP,BBBPBBB,PBBPBP,3-1-3
PBPBPP,BPPPB,PBPPPP,1-3-1
BBPBPP,BBBPBBB,PPBBPB,3-1-3
BPBPBB,PBBBP,BPPBBP,1-3-1
BBPBPB,PBBBP,BBPPPP,1-3-1
BBPBPP,BPPPB,PBBPPP,1-3-1
PBPPBB,PBBBP,BPBPBB,1-3-1
BBPPBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBPPPB,1-3-1
BPPBPP,BBBPBBB,PBBBPB,3-1-3
BBPBBB,PBBBP,BPPBBP,1-3-1
PPPBBP,BPPPB,PPPBBP,1-3-1
BBPBPB,PBBBP,BBPBBP,1-3-1
PPPBPB,PBBBP,BBPBPP,1-3-1
