before,triple,after,pattern
BBPBBB,BBBPPPBBB,PPPPBB,3-3-3
BPPBPP,BBBPPPBBB,BBBBPB,3-3-3
PBPBBB,BBBPPPBBB,BPBBPB,3-3-3
BBBBBP,BBBPPPBBB,PPPBPB,3-3-3
PPPBPP,PPPBBBPPP,BBBBBP,3-3-3
BPPBPB,PPPBBBPPP,PPPBPP,3-3-3
PBPBPP,BBBPPPBBB,PBBBBB,3-3-3
PPBPPB,PPPBBBPPP,BBPBPB,3-3-3
BPPBPB,BBBPPPBBB,BBPBBB,3-3-3
BPPPBP,BBBPPPBBB,PPBPBB,3-3-3
BBBPBP,BBBPPPBBB,BBBPBB,3-3-3
BPBPPB,BBBPPPBBB,PBBBPB,3-3-3
PBBPBB,BBBPPPBBB,PPBBBB,3-3-3
BBPBBB,BBBPPPBBB,BBBBPP,3-3-3
BBPBPB,BBBPPPBBB,PBBBPB,3-3-3
PPBBBP,PPPBBBPPP,BBPPBP,3-3-3
PPBBPP,PPPBBBPPP,BPPBPB,3-3-3
PBBBPB,BBBPPPBBB,BBPPBB,3-3-3
PPPPBB,BBBPPPBBB,BPPPPP,3-3-3
BPPPBP,PPPBBBPPP,PBPPPB,3-3-3
PBPPBP,PPPBBBPPP,BBBPPB,3-3-3
PPBBBP,BBBPPPBBB,PPBBBB,3-3-3
BBBPBP,PPPBBBPPP,BPPPBP,3-3-3
PBBBBB,BBBPPPBBB,PBBBBP,3-3-3
PBPBBP,PPPBBBPPP,PPBBBP,3-3-3
PBPBPP,PPPBBBPPP,PBBPPB,3-3-3
PBPPPP,PPPBBBPPP,BBPBPP,3-3-3
BBPPPP,PPPBBBPPP,BBBBBP,3-3-3
BBPPPB,PPPBBBPPP,BBPBPB,3-3-3
BBPPBB,BBBPPPBBB,BBBPBP,3-3-3
PPPBBP,PPPBBBPPP,PPBPPB,3-3-3
BPPBBP,PPPBBBPPP,PBBPBP,3-3-3
PPPPPB,PPPBBBPPP,BPBPBB,3-3-3
BPBPBB,BBBPPPBBB,BPBBPP,3-3-3
BPPBPP,PPPBBBPPP,PBBPPP,3-3-3
PBPBPP,PPPBBBPPP,PBBBBB,3-3-3
BPPBPB,BBBPPPBBB,PPPBPB,3-3-3
BPBPPP,PPPBBBPPP,PBBBBB,3-3-3
BBPPBP,PPPBBBPPP,BPBPBB,3-3-3
PBPPBP,BBBPPPBBB,PPBPPB,3-3-3
BBBBBB,BBBPPPBBB,PBPBPB,3-3-3
BPBBBB,BBBPPPBBB,PBBPBP,3-3-3
PPBPBP,PPPBBBPPP,BBBBPB,3-3-3
BBBPBB,PPPBBBPPP,BBBBBP,3-3-3
PBBBPP,BBBPPPBBB,PBBBPB,3-3-3
PPPBBP,BBBPPPBBB,PBPBBP,3-3-3
BBBPPB,BBBPPPBBB,BBBPBB,3-3-3
PBBPPB,PPPBBBPPP,BBBPPB,3-3-3
BBBPBB,BBBPPPBBB,PBBPPP,3-3-3
PPPBPB,PPPBBBPPP,BPBPPP,3-3-3
PBBBBP,PPPBBBPPP,BPBBBB,3-3-3
BBPBBP,PPPBBBPPP,BPPPBB,3-3-3
BBPPPB,PPPBBBPPP,PBBPBB,3-3-3
PBBBPB,BBBPPPBBB,BBPPPB,3-3-3
BPPBPB,PPPBBBPPP,BBPBPB,3-3-3
PPBBPB,BBBPPPBBB,BPPPBB,3-3-3
BPBPPB,PPPBBBPPP,PPBPPP,3-3-3
BPPBPB,PPPBBBPPP,PBPBBB,3-3-3
BPPBPB,PPPBBBPPP,BBBPPB,3-3-3
BBBBBB,BBBPPPBBB,PBPPPP,3-3-3
BPBBBP,PPPBBBPPP,PBBPPB,3-3-3
BPBPBP,BBBPPPBBB,BPPPPP,3-3-3
BBPBPP,PPPBBBPPP,BPBBBP,3-3-3
PBBBPP,PPPBBBPPP,BBBPPP,3-3-3
PPBPBP,BBBPPPBBB,PBPPBP,3-3-3
PPPPBP,PPPBBBPPP,PBBPBP,3-3-3
BBPBBP,BBBPPPBBB,BPBPPP,3-3-3
PBPPPP,PPPBBBPPP,BBPBPP,3-3-3
BBBPPB,BBBPPPBBB,BBPPPB,3-3-3
PPBPPB,PPPBBBPPP,BBBPBP,3-3-3
PPBPBB,PPPBBBPPP,PPBBBP,3-3-3
PBPPPB,PPPBBBPPP,BBBBPB,3-3-3
BPPBPP,BBBPPPBBB,PBPPPP,3-3-3
PPBPPB,PPPBBBPPP,PBPPPB,3-3-3
PBPBBB,BBBPPPBBB,BPBBPB,3-3-3
PBPBPB,PPPBBBPPP,BPBBPB,3-3-3
BBBBPB,BBBPPPBBB,BBBPBB,3-3-3
PPBPBB,BBBPPPBBB,BBBPPP,3-3-3
PBPBBP,PPPBBBPPP,BPBBBB,3-3-3
PBPBBP,BBBPPPBBB,PPBPPB,3-3-3
PPPBBP,BBBPPPBBB,PBBPBP,3-3-3
PPBPPB,BBBPPPBBB,PBPPBP,3-3-3
PBBPBB,BBBPPPBBB,PPBBBB,3-3-3
PPBBBP,BBBPPPBBB,BBPBPB,3-3-3
PPBBPB,BBBPPPBBB,BBPBPP,3-3-3
PPBBPP,BBBPPPBBB,BBPBPB,3-3-3
PBPPBB,PPPBBBPPP,PPBBBP,3-3-3
PBBPBP,BBBPPPBBB,PPBPPP,3-3-3
BBBBBB,BBBPPPBBB,PPBPPP,3-3-3
BPPBPB,BBBPPPBBB,PBPPBB,3-3-3
PBBPBB,BBBPPPBBB,BBBBBB,3-3-3
BBBPPP,PPPBBBPPP,BBBPBP,3-3-3
BBBBPP,BBBPPPBBB,PPBBBP,3-3-3
PBPBPB,BBBPPPBBB,PPBBPB,3-3-3
PPPBPP,PPPBBBPPP,PPBBPB,3-3-3
PPPBPP,BBBPPPBBB,PBBPBB,3-3-3
BPBBPB,PPPBBBPPP,BPBPPB,3-3-3
BPBBPB,PPPBBBPPP,BBBPPB,3-3-3
BPBBPP,PPPBBBPPP,PBBPPP,3-3-3
BBBPBP,PPPBBBPPP,PPPPBB,3-3-3
BBPBBP,BBBPPPBBB,PBBBBP,3-3-3
BBPBPB,BBBPPPBBB,PBBPPB,3-3-3
BPPPBP,BBBPPPBBB,PBBBBP,3-3-3
BBBBBB,BBBPPPBBB,PBBPPB,3-3-3
BPBPBP,BBBPPPBBB,PPPPPB,3-3-3
BBPBBP,PPPBBBPPP,BBPBPB,3-3-3
PBPPBP,PPPBBBPPP,BPPBBB,3-3-3
BPPPBP,PPPBBBPPP,BPPBPB,3-3-3
PBPBPB,BBBPPPBBB,BBBPPP,3-3-3
PPBPPB,PPPBBBPPP,PPPPPP,3-3-3
PBPBPP,BBBPPPBBB,PPBPPP,3-3-3
BBBPBP,BBBPPPBBB,PBBBPB,3-3-3
BPBPBP,PPPBBBPPP,PPBPPB,3-3-3
BPPPPP,PPPBBBPPP,BPPPPP,3-3-3
BBPBPB,PPPBBBPPP,BBBPBB,3-3-3
BBBBBB,BBBPPPBBB,PBBPPB,3-3-3
BBPBBP,BBBPPPBBB,BBPBBB,3-3-3
PBPPBB,PPPBBBPPP,PPPPBP,3-3-3
BBBBPB,PPPBBBPPP,PBPPPB,3-3-3
BPBPBP,BBBPPPBBB,PBBPPP,3-3-3
PPBPBP,PPPBBBPPP,PBPPPP,3-3-3
PPPBPP,PPPBBBPPP,BBPPBP,3-3-3
PPBBBP,BBBPPPBBB,PBPPBP,3-3-3
PBBPPB,PPPBBBPPP,BBPBPB,3-3-3
PPBPBB,PPPBBBPPP,BBPBPP,3-3-3
BPPBPP,PPPBBBPPP,BBBBBB,3-3-3
BBBPPP,PPPBBBPPP,PBPPPB,3-3-3
BPPBPB,PPPBBBPPP,BPBPPP,3-3-3
PPBPBP,BBBPPPBBB,BBPPPP,3-3-3
PPPBBP,PPPBBBPPP,PPPPPB,3-3-3
PPBPBB,BBBPPPBBB,PPBBBP,3-3-3
PBBBPP,BBBPPPBBB,PPBBPB,3-3-3
BPBBPB,PPPBBBPPP,PPPPPP,3-3-3
BPBPBB,BBBPPPBBB,PPBPBB,3-3-3
BPBPBB,BBBPPPBBB,PPBPBB,3-3-3
PPBBPB,PPPBBBPPP,PBBPBP,3-3-3
PPPPPB,PPPBBBPPP,PBPPPP,3-3-3
PBPPBB,PPPBBBPPP,BPPBBB,3-3-3
BBBPBB,PPPBBBPPP,BPPBBB,3-3-3
BPPPBB,BBBPPPBBB,BBBPBP,3-3-3
BPBBBP,BBBPPPBBB,BBBBBB,3-3-3
PBBBBP,PPPBBBPPP,BBPBPP,3-3-3
PBBBBP,BBBPPPBBB,PPBBPB,3-3-3
BPBBPB,BBBPPPBBB,BBPBPP,3-3-3
PPBPBB,BBBPPPBBB,BPPPPP,3-3-3
PBPPPB,PPPBBBPPP,BBPBPB,3-3-3
BBPPPB,PPPBBBPPP,BPPBBB,3-3-3
PBBPPB,PPPBBBPPP,PBPBPB,3-3-3
BPPPPB,BBBPPPBBB,BBBPBP,3-3-3
BPPBPP,PPPBBBPPP,PBPPBB,3-3-3
BBBBPP,PPPBBBPPP,BPBPBB,3-3-3
PBPPPB,PPPBBBPPP,BBPPPP,3-3-3
BPBPPB,BBBPPPBBB,PPPPPP,3-3-3
BPBPBP,PPPBBBPPP,BBBBPB,3-3-3
BPPPBP,BBBPPPBBB,PBPBPB,3-3-3
BBPBBB,BBBPPPBBB,PPPBBP,3-3-3
PPPPBB,BBBPPPBBB,PPBPPP,3-3-3
BPBPPB,PPPBBBPPP,BBBBBP,3-3-3
PBBBBB,BBBPPPBBB,BPBPPB,3-3-3
BPBBPB,BBBPPPBBB,BPPBBB,3-3-3
PPPBPP,PPPBBBPPP,BPPBBB,3-3-3
BPPPPB,BBBPPPBBB,PBPBBB,3-3-3
PPBPBB,PPPBBBPPP,BBPPBB,3-3-3
BBBPBB,BBBPPPBBB,PBBBBB,3-3-3
PBBPPB,BBBPPPBBB,BPPBPB,3-3-3
PBPPPB,BBBPPPBBB,PBPBBP,3-3-3
BBBBBP,PPPBBBPPP,BBBPBP,3-3-3
PPBBPB,BBBPPPBBB,PBPPPP,3-3-3
PBPPPB,BBBPPPBBB,BBPBPP,3-3-3
PBBPBP,PPPBBBPPP,BBBBBB,3-3-3
BPBBBP,BBBPPPBBB,PPBPBP,3-3-3
PBBPBP,PPPBBBPPP,BPBPBP,3-3-3
BPPPBP,BBBPPPBBB,BPBPPP,3-3-3
BPBPBP,BBBPPPBBB,PPPPBP,3-3-3
PBPBBP,BBBPPPBBB,PPBBBB,3-3-3
BPBBPP,BBBPPPBBB,PPPBPB,3-3-3
PBBPBB,PPPBBBPPP,PBBBPP,3-3-3
PBBBPP,BBBPPPBBB,PPBPBB,3-3-3
PPPBPP,BBBPPPBBB,BBPBBB,3-3-3
BBPPPB,BBBPPPBBB,BPPPBP,3-3-3
PBPPBB,PPPBBBPPP,BBBPBB,3-3-3
BPPBBP,BBBPPPBBB,BPBPBB,3-3-3
BBPBBP,BBBPPPBBB,BBPBPB,3-3-3
BBPPBB,BBBPPPBBB,PPPPBB,3-3-3
PBBBPB,PPPBBBPPP,PPPBPB,3-3-3
PBPBPP,BBBPPPBBB,BBBBPP,3-3-3
BPPBPP,PPPBBBPPP,PBBBPP,3-3-3
PBPBBP,BBBPPPBBB,BPPBPB,3-3-3
PPPBPP,PPPBBBPPP,PPPBBB,3-3-3
PPPPPB,BBBPPPBBB,BPPBPP,3-3-3
BPPPBP,BBBPPPBBB,BPBBPP,3-3-3
BPBBPP,BBBPPPBBB,BBPBPP,3-3-3
PPBBBB,BBBPPPBBB,PPPPPB,3-3-3
PPBPBP,PPPBBBPPP,PPBPPB,3-3-3
PPPBPP,BBBPPPBBB,BBBBBB,3-3-3
BPBPPP,PPPBBBPPP,BBPPPB,3-3-3
PBPBPP,PPPBBBPPP,PPBPPP,3-3-3
PBBPBP,PPPBBBPPP,BPBBPP,3-3-3
BBPBPB,BBBPPPBBB,PPBBPB,3-3-3
PBBPBP,PPPBBBPPP,BBPBBB,3-3-3
PPBBPP,PPPBBBPPP,PPPPBP,3-3-3
PPBPPB,PPPBBBPPP,BPPPBB,3-3-3
BBBBBP,BBBPPPBBB,PPPPPB,3-3-3
BBBBPB,PPPBBBPPP,PBPPBP,3-3-3
PPPBBP,BBBPPPBBB,PPBBBP,3-3-3
BBPPBP,BBBPPPBBB,BBPPBP,3-3-3
PBBBPP,PPPBBBPPP,PPBPPP,3-3-3
BBBPBB,PPPBBBPPP,PBPPBP,3-3-3
PBBBBP,BBBPPPBBB,PPPPBP,3-3-3
PBPPPB,BBBPPPBBB,BBBBPB,3-3-3
BBPPPP,PPPBBBPPP,BPPBPB,3-3-3
PBPPPB,BBBPPPBBB,PBBBPB,3-3-3
BPBBBP,BBBPPPBBB,BBPBPP,3-3-3
BPBPBP,PPPBBBPPP,PPPPPP,3-3-3
BBPBPB,BBBPPPBBB,PPPPPB,3-3-3
BPBPPB,BBBPPPBBB,PPPPBP,3-3-3
BBPPBB,PPPBBBPPP,PPPPPB,3-3-3
PPBPBP,PPPBBBPPP,PPBPPP,3-3-3
BBBPPB,PPPBBBPPP,BBPPPB,3-3-3
PPPBBP,PPPBBBPPP,PPBPPP,3-3-3
BBBPPB,BBBPPPBBB,PBBBBB,3-3-3
BBPBPP,PPPBBBPPP,PPBPPP,3-3-3
BBBBPB,PPPBBBPPP,BBBPPP,3-3-3
PPPBPP,PPPBBBPPP,PPPBBB,3-3-3
BBPBPB,PPPBBBPPP,PBPBPP,3-3-3
PBBBBP,BBBPPPBBB,PPPPBB,3-3-3
PBBPBB,PPPBBBPPP,PBPPPB,3-3-3
BBBBBP,BBBPPPBBB,PBBBBP,3-3-3
PPPPBP,PPPBBBPPP,PPPBBB,3-3-3
BBBPPP,PPPBBBPPP,PBPPBP,3-3-3
PBPBPP,BBBPPPBBB,BBPBPP,3-3-3
BBBBBB,BBBPPPBBB,PBPPBB,3-3-3
BPPPBB,BBBPPPBBB,PBPPBB,3-3-3
BBBBBP,PPPBBBPPP,BBPPBB,3-3-3
PBPPPP,PPPBBBPPP,PPBBPP,3-3-3
BPBBPP,BBBPPPBBB,BPPBPB,3-3-3
BPBBPB,PPPBBBPPP,PBPBPP,3-3-3
PPPBBP,BBBPPPBBB,BPPPBP,3-3-3
BPBBPB,PPPBBBPPP,PBBBPB,3-3-3
BPPBPP,BBBPPPBBB,BBBBBP,3-3-3
PPPBBB,BBBPPPBBB,BPPPBP,3-3-3
BBBPBB,BBBPPPBBB,BPPBPP,3-3-3
BBBBPP,PPPBBBPPP,PPBBBP,3-3-3
BBBPBP,BBBPPPBBB,BPBBPP,3-3-3
PBPBBP,BBBPPPBBB,BBPPPP,3-3-3
BPPPBB,PPPBBBPPP,BBBPPB,3-3-3
PPBPBB,BBBPPPBBB,BBPBBP,3-3-3
BPBPPP,PPPBBBPPP,PPPBPB,3-3-3
PBPBPP,BBBPPPBBB,BBBPPB,3-3-3
BBPPPP,PPPBBBPPP,BPBPBP,3-3-3
BBBBPB,BBBPPPBBB,PBPBBP,3-3-3
BPPBPP,BBBPPPBBB,PPPBBB,3-3-3
PPPPPP,PPPBBBPPP,PBPPBB,3-3-3
PPBBBB,BBBPPPBBB,BPBBBB,3-3-3
PPBPPB,PPPBBBPPP,PBBBBB,3-3-3
BPPPBP,BBBPPPBBB,BBPBBP,3-3-3
PBPPBB,PPPBBBPPP,PBPBBP,3-3-3
BBBBPB,BBBPPPBBB,PPBPPP,3-3-3
BBPPBB,PPPBBBPPP,BPPPBP,3-3-3
PBPPBP,PPPBBBPPP,BPPBPB,3-3-3
PPPPPB,PPPBBBPPP,PPBPPP,3-3-3
PBBBBB,BBBPPPBBB,BPBPPB,3-3-3
PBPBPP,PPPBBBPPP,PBBBPB,3-3-3
BBPPPP,PPPBBBPPP,PPPBPB,3-3-3
BBPBPB,PPPBBBPPP,PBPPPP,3-3-3
PPPPPP,PPPBBBPPP,BBBPPB,3-3-3
PPPPPB,BBBPPPBBB,BBPBBB,3-3-3
PBBPBB,PPPBBBPPP,PPBPBB,3-3-3
PPBPPB,PPPBBBPPP,PBBPBP,3-3-3
PPBPBB,PPPBBBPPP,BBPPPP,3-3-3
BBPBBP,PPPBBBPPP,BBBBPB,3-3-3
PPPPBB,BBBPPPBBB,PPPPPB,3-3-3
BBBPBB,BBBPPPBBB,BPBBBP,3-3-3
PBPBPB,PPPBBBPPP,BPBBBB,3-3-3
PBPPPB,PPPBBBPPP,PPBBBB,3-3-3
BPPBPP,PPPBBBPPP,BBBBBP,3-3-3
BBBBPP,BBBPPPBBB,PBPPPB,3-3-3
PPBPPB,PPPBBBPPP,BBPBBP,3-3-3
PPBBBP,PPPBBBPPP,PBPBPP,3-3-3
BPPBBB,BBBPPPBBB,PBPPPB,3-3-3
PBBBPB,PPPBBBPPP,BBPBBB,3-3-3
PBPPPP,PPPBBBPPP,BPPBBB,3-3-3
PBPBBP,BBBPPPBBB,BBPBBB,3-3-3
BPBBBB,BBBPPPBBB,BBBPPP,3-3-3
PPBBPP,PPPBBBPPP,PPPPBP,3-3-3
BPPPPB,PPPBBBPPP,PPPPPP,3-3-3
BBBPPP,PPPBBBPPP,BBBBPB,3-3-3
PBBPBB,BBBPPPBBB,PBBBPP,3-3-3
PBPPBP,PPPBBBPPP,BBPBBP,3-3-3
BBPPBB,PPPBBBPPP,PPPPBP,3-3-3
PPPPBB,BBBPPPBBB,PBBPBB,3-3-3
PPBBBP,PPPBBBPPP,BBPBPB,3-3-3
BBPBBP,PPPBBBPPP,BPBPBB,3-3-3
PPPPPP,PPPBBBPPP,BBPBBP,3-3-3
BPBPBP,BBBPPPBBB,BBPPBP,3-3-3
PPBBBB,BBBPPPBBB,BBBPBP,3-3-3
PBPBPP,PPPBBBPPP,BBBPBP,3-3-3
PPPPPB,BBBPPPBBB,BPPPPB,3-3-3
PBBPPP,PPPBBBPPP,BPBBBP,3-3-3
PBPBPP,BBBPPPBBB,PBBBPB,3-3-3
BBPBPP,PPPBBBPPP,PPPBBB,3-3-3
BPPBBB,BBBPPPBBB,BPPPPB,3-3-3
BPPBBP,BBBPPPBBB,PPBBPB,3-3-3
PBBPBB,PPPBBBPPP,PBBBPP,3-3-3
BPBBBB,BBBPPPBBB,PPBBPB,3-3-3
PPPPBP,BBBPPPBBB,PPBBBP,3-3-3
PPBBBP,BBBPPPBBB,PPPBBP,3-3-3
PBPBBP,PPPBBBPPP,BPPPBP,3-3-3
BPBPPB,PPPBBBPPP,PBBPBB,3-3-3
PBPPPP,PPPBBBPPP,PBBPPP,3-3-3
PBBPBB,BBBPPPBBB,BBPBBP,3-3-3
BPPPBB,BBBPPPBBB,BBBBPP,3-3-3
PBPPBP,PPPBBBPPP,PBBBBP,3-3-3
BPPPPB,BBBPPPBBB,BPBBBB,3-3-3
BPPBPP,BBBPPPBBB,PPBPBP,3-3-3
BBBPBP,PPPBBBPPP,PBBPBB,3-3-3
BPPPBB,BBBPPPBBB,BPBBBP,3-3-3
BPPBBP,BBBPPPBBB,PPPBPB,3-3-3
PBPPBB,PPPBBBPPP,BPPPPB,3-3-3
PPPBPB,PPPBBBPPP,BPPBPP,3-3-3
PPBBPB,PPPBBBPPP,PPBBBB,3-3-3
BPBBBP,BBBPPPBBB,PBBBBP,3-3-3
BBPBPP,BBBPPPBBB,PBBBPP,3-3-3
BBPPBP,BBBPPPBBB,PPPPBB,3-3-3
BPPPPB,PPPBBBPPP,PPPBPB,3-3-3
