before,three_cut,after,pattern
BBPPPB,BBBPPPPP,BPPPPB,3-1-3-1
BPBPPB,PPPBPPPB,BPBPPB,3-1-3-1
PBPPBB,BBBPBBBP,BBBBBB,3-1-3-1
BPBPPB,BBBPBBBP,BPBBPB,3-1-3-1
BPBPPB,BBBPBBBP,PBPPPB,3-1-3-1
BPPPBB,PPPBBBBB,BBBBPP,3-1-3-1
PPBBBB,PPPBBBBB,PBPPBP,3-1-3-1
PPPBBB,PPPBBBBB,PPPPBB,3-1-3-1
BPBPPP,BBBPBBBP,BPBBPB,3-1-3-1
BBBPPP,BBBPBBBP,PBBBBB,3-1-3-1
BBBPBP,BBBPPPPP,BBPPPP,3-1-3-1
BBPBBP,BBBPBBBP,BBBPPB,3-1-3-1
PBBPPB,PPPBBBBB,BBBBBP,3-1-3-1
BPBPBB,PPPBBBBB,BBBPPB,3-1-3-1
PPBBPP,BBBPPPPP,BPPPPB,3-1-3-1
PPBPBP,BBBPBBBP,PPBPBB,3-1-3-1
BBBPPP,BBBPBBBP,BPPPBP,3-1-3-1
PBBPPB,PPPBPPPB,PPPBBB,3-1-3-1
PBPPBB,BBBPBBBP,PBBPBB,3-1-3-1
BBBPBB,PPPBPPPB,BPBBPB,3-1-3-1
PBPPBP,BBBPPPPP,PPPPBP,3-1-3-1
BPBBBP,PPPBPPPB,PPPPPP,3-1-3-1
BPPBBB,PPPBPPPB,BPBBPB,3-1-3-1
BBPBBP,BBBPPPPP,BPBBBB,3-1-3-1
BBPBPP,PPPBBBBB,BPBPBP,3-1-3-1
PPBBPB,BBBPPPPP,BBPBPB,3-1-3-1
PPBPPB,PPPBBBBB,PPBPBP,3-1-3-1
PPPBBP,BBBPPPPP,PPBBBP,3-1-3-1
PPBPPP,PPPBPPPB,BBPBPP,3-1-3-1
BPPBBP,PPPBPPPB,BPPPBP,3-1-3-1
BPPPBP,PPPBBBBB,BPPBPB,3-1-3-1
PBPBPB,BBBPBBBP,BPPPBP,3-1-3-1
BPBBBB,BBBPPPPP,PBBBPP,3-1-3-1
PPBPBP,BBBPPPPP,BBBBPP,3-1-3-1
PBBBBB,PPPBPPPB,BPBBBB,3-1-3-1
PBPBBP,PPPBBBBB,PBPPBB,3-1-3-1
BPBPPB,BBBPPPPP,BBBPBB,3-1-3-1
PPBBBB,PPPBBBBB,PPPBPP,3-1-3-1
PBPPPP,PPPBBBBB,BPPBBB,3-1-3-1
BBPPBB,BBBPPPPP,BBPBPP,3-1-3-1
BBBPBB,BBBPBBBP,BBPPBB,3-1-3-1
PBPPPP,PPPBBBBB,BBPPBP,3-1-3-1
PPBPPP,PPPBBBBB,BBPPPB,3-1-3-1
PPBBPB,PPPBBBBB,BPBBBP,3-1-3-1
BBBBBP,BBBPBBBP,BPPBBP,3-1-3-1
BBBPBP,BBBPBBBP,PBBPPB,3-1-3-1
PPPBPB,PPPBBBBB,PBPPBB,3-1-3-1
BPBPBB,PPPBBBBB,BPBBPP,3-1-3-1
PPPBBP,BBBPPPPP,PPBPPB,3-1-3-1
BPPBBP,BBBPPPPP,PPPBPB,3-1-3-1
BPPBPB,PPPBPPPB,PPBPPB,3-1-3-1
PPBBPB,BBBPBBBP,PPBBBB,3-1-3-1
BPBBPP,BBBPPPPP,BPBPPP,3-1-3-1
PPPBPB,BBBPPPPP,BBBPBP,3-1-3-1
BPBBPP,BBBPPPPP,BBPBPP,3-1-3-1
PBBPBB,BBBPPPPP,BBPPPP,3-1-3-1
BBBPBB,PPPBPPPB,BBPBPB,3-1-3-1
PBPPPB,BBBPPPPP,BPPPBB,3-1-3-1
PPPPPB,PPPBBBBB,BBPBPP,3-1-3-1
BBPBBP,PPPBPPPB,BBBBBB,3-1-3-1
BPBPPB,BBBPBBBP,PBPPPP,3-1-3-1
BBBPBP,BBBPPPPP,PPBPPP,3-1-3-1
PPPPPB,PPPBPPPB,PPBPPB,3-1-3-1
BBPBBB,BBBPBBBP,PPBPBB,3-1-3-1
PPBPPB,BBBPPPPP,PPBBBP,3-1-3-1
PBBPBP,BBBPBBBP,BBPPBB,3-1-3-1
PPPBPP,BBBPBBBP,PPBPBP,3-1-3-1
BBBBPB,BBBPPPPP,BBPBBB,3-1-3-1
BPBPPP,BBBPPPPP,PBPPBB,3-1-3-1
BPPPPB,BBBPPPPP,BPBBPP,3-1-3-1
PPBBPP,BBBPBBBP,BBPPPP,3-1-3-1
PBBPPP,PPPBPPPB,PPBPBB,3-1-3-1
BBPBBB,PPPBBBBB,BPBBPB,3-1-3-1
PPBBBB,PPPBBBBB,PBPPBB,3-1-3-1
PPPPPP,PPPBBBBB,BPBBPP,3-1-3-1
BBBBPB,BBBPBBBP,BPBPBP,3-1-3-1
BPBPPB,BBBPBBBP,PPPBPP,3-1-3-1
BPPPPB,BBBPBBBP,BPPBBB,3-1-3-1
BPPBBP,BBBPPPPP,PBBBPP,3-1-3-1
BPBPPP,PPPBPPPB,PPBBBB,3-1-3-1
BBBPBP,BBBPBBBP,BBPBBP,3-1-3-1
PBBPBP,BBBPBBBP,PPPBPP,3-1-3-1
PBBBBB,BBBPBBBP,BPBBPP,3-1-3-1
PBPBPB,BBBPPPPP,PBPPPB,3-1-3-1
PBPBPB,BBBPPPPP,PPPBPP,3-1-3-1
PPBPBB,PPPBBBBB,PPBBBB,3-1-3-1
PBBPBB,PPPBPPPB,BPPBPB,3-1-3-1
PBPPBB,PPPBBBBB,PPPBBP,3-1-3-1
BPBBPB,BBBPBBBP,BBBPBB,3-1-3-1
PPBBPB,PPPBBBBB,BBBPBB,3-1-3-1
BBBPBB,BBBPPPPP,PPBPPB,3-1-3-1
BBBPBB,PPPBBBBB,PPPBBB,3-1-3-1
PBPBPP,PPPBPPPB,BBBBBP,3-1-3-1
BPPBBB,BBBPBBBP,PPPPPB,3-1-3-1
BPBPBP,PPPBPPPB,BPPPPB,3-1-3-1
BBPBBP,BBBPBBBP,BBPBPP,3-1-3-1
BBPBPP,BBBPBBBP,BBPBPP,3-1-3-1
BBBPPB,BBBPBBBP,PPPPPB,3-1-3-1
PPBPBB,PPPBBBBB,PPBPBB,3-1-3-1
BPPBBB,BBBPPPPP,BBPBPP,3-1-3-1
BPBPPB,PPPBBBBB,PBPBBP,3-1-3-1
PBBBBB,PPPBBBBB,BBBPBB,3-1-3-1
BBPBBB,BBBPBBBP,PBPPBP,3-1-3-1
BPPBPP,BBBPBBBP,BBBPBP,3-1-3-1
PPPPBP,PPPBBBBB,BBBPBP,3-1-3-1
PBPPBP,PPPBBBBB,PPBPBP,3-1-3-1
PPBBBP,PPPBBBBB,PPPPPB,3-1-3-1
PBBPPP,PPPBBBBB,BPPBPB,3-1-3-1
BBBPBB,BBBPBBBP,PPPBBP,3-1-3-1
PPPPBB,PPPBBBBB,BPBPPB,3-1-3-1
BPBBBB,BBBPBBBP,PPPBPB,3-1-3-1
PBBBPB,BBBPPPPP,BBPPBP,3-1-3-1
PPBPBB,PPPBBBBB,PPPPBP,3-1-3-1
BBBBBP,PPPBPPPB,PBBBBB,3-1-3-1
BBBBBB,PPPBPPPB,PPPPPB,3-1-3-1
BBBPBB,BBBPPPPP,BBBPBB,3-1-3-1
BPPPPP,BBBPBBBP,BPBPBB,3-1-3-1
PPBBPP,BBBPPPPP,BBBBBP,3-1-3-1
PBPBBP,PPPBBBBB,BPBPBP,3-1-3-1
PBBBBB,BBBPPPPP,BPBPPB,3-1-3-1
PPBPBP,PPPBBBBB,BPBBBB,3-1-3-1
BBPPPP,BBBPPPPP,PPPBPB,3-1-3-1
PPBBPB,BBBPBBBP,PBBBBP,3-1-3-1
PBPPBP,PPPBBBBB,PBBBBB,3-1-3-1
BBBBBB,BBBPBBBP,PPBPBB,3-1-3-1
PBBPBB,BBBPBBBP,BPBPPP,3-1-3-1
BPPPBP,BBBPBBBP,BBPBPB,3-1-3-1
