before,wait_double,after,length,double_color
PPPPPP,BPBPBB,PBBPPB,6,B
PBPPBB,BPBPBB,PBBBBB,6,B
BBBPBB,PBPBPP,BBPPPB,6,P
PBBBBP,PBPBPP,PBBBBP,6,P
BPPBPB,PBPBPP,BPPBBB,6,P
PPPBPB,BPBPBB,PBPPBP,6,B
PBPPBB,BPBPBB,BPBPPP,6,B
PBBPBP,BPBPBB,BBPPBB,6,B
BBPPPP,PBPBPP,BPBBBP,6,P
BPPBBP,PBPBPP,PPPBPB,6,P
PPBPBB,BPBPBB,BPPPBP,6,B
BBPPBP,BPBPBB,BPPPBB,6,B
BPPPPP,BPBPBB,BPBBBB,6,B
PPPPBB,BPBPBB,PPPBPP,6,B
PBBBBP,BPBPBB,BBPBBP,6,B
BBPPBP,PBPBPP,BPPBPB,6,P
BBPBBP,BPBPBB,PPPPPB,6,B
BBBBPP,BPBPBB,BBBBPP,6,B
PPBBBB,PBPBPP,PPPBBB,6,P
PBPBBB,PBPBPP,BBPPPP,6,P
PBBBPP,PBPBPP,PPBPBP,6,P
PBPPPP,BPBPBB,PBBBBP,6,B
BBPPBP,BPBPBB,BBPBBP,6,B
PBBPPP,PBPBPP,BBPPPP,6,P
PBBPBP,BPBPBB,PBBPBP,6,B
BBBBBP,PBPBPP,BBBPPB,6,P
BBBBBB,PBPBPP,BPBBPP,6,P
BBPPBB,PBPBPP,BBBBPP,6,P
PPBPBB,BPBPBB,BBBPPP,6,B
PBPPBP,BPBPBB,PPBBPP,6,B
PBBPBB,PBPBPP,BPPBBB,6,P
BBBPPP,BPBPBB,PBBBBP,6,B
BPPBPB,BPBPBB,PPPBPB,6,B
BPPPBP,BPBPBB,BBBPPP,6,B
PPBBBP,BPBPBB,PPBPPP,6,B
BPPPBB,BPBPBB,BPPPBP,6,B
PBBBPP,PBPBPP,PPPPPP,6,P
BBBBBB,PBPBPP,BBBPPB,6,P
BBPBBP,BPBPBB,PBBBBB,6,B
PBBBPB,BPBPBB,PPPPBP,6,B
PBPBPB,PBPBPP,PBPPPB,6,P
PBPPBB,BPBPBB,PPPBPB,6,B
PBBBPP,BPBPBB,PBBBBP,6,B
PBPPBB,PBPBPP,BBPPPP,6,P
BBBBPP,PBPBPP,BBPPPP,6,P
PBBPPP,PBPBPP,PBBPPB,6,P
BPBPPB,PBPBPP,BBBPPB,6,P
PPPBPB,PBPBPP,BBPBBP,6,P
PBBPBB,BPBPBB,BPPBBB,6,B
BPBBPP,PBPBPP,BBPPBB,6,P
BBPBBB,BPBPBB,BPPBBB,6,B
PBBPPP,PBPBPP,PPPBBP,6,P
PPPPPB,BPBPBB,BBPPPP,6,B
BBPBBP,PBPBPP,BBPPPP,6,P
PPPPPB,BPBPBB,BBBPBB,6,B
BPBBBB,PBPBPP,PBPPPB,6,P
BPPPBP,BPBPBB,PPBPBP,6,B
PBPBBP,PBPBPP,PBPBBB,6,P
BBPPBP,BPBPBB,BBBBBB,6,B
BPPBBP,PBPBPP,BBBBBB,6,P
BBBBPP,BPBPBB,BBBPBP,6,B
BBPPPP,BPBPBB,BPPBPB,6,B
BBPPBB,BPBPBB,BBBBBB,6,B
PBBBBB,BPBPBB,BPBPPP,6,B
PBBPBP,PBPBPP,PBBPPB,6,P
PBBPPP,BPBPBB,BBPPBB,6,B
BBBBBP,PBPBPP,PBBBPP,6,P
PBBBPP,PBPBPP,BPBPPP,6,P
BBPPBP,BPBPBB,BBBPBB,6,B
BBPPPP,BPBPBB,PPBPPP,6,B
BBPPPB,PBPBPP,PBPPBB,6,P
PPBPPB,BPBPBB,PBBBPB,6,B
BPPBBP,BPBPBB,PPBPBB,6,B
PBBPPP,PBPBPP,PPPPBP,6,P
BBBBPP,BPBPBB,PBBBBB,6,B
BBPPBB,BPBPBB,PBPPPB,6,B
BPPPPB,BPBPBB,PBPPPP,6,B
PPBBBP,BPBPBB,BBBBPP,6,B
PPPBBB,BPBPBB,BBPPPP,6,B
BPBBBB,PBPBPP,BBPBBB,6,P
PBBBBB,PBPBPP,BBBBBP,6,P
PPBBBP,PBPBPP,PPBPBB,6,P
BBBPPP,BPBPBB,BPBBPB,6,B
PPBBPP,PBPBPP,BPPBPB,6,P
BPBBBP,PBPBPP,PBBBBB,6,P
BBBBBB,PBPBPP,PBPPBB,6,P
BPPBBB,PBPBPP,PBPPPB,6,P
PPPBPP,PBPBPP,PPPBPB,6,P
PBPPPP,PBPBPP,PPBBPP,6,P
PBBPBP,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,PBBBPB,6,P
PPPPPB,PBPBPP,PBPPBP,6,P
PBPPPP,BPBPBB,PPBBBB,6,B
PPBBBB,BPBPBB,PBBBPP,6,B
BPPPPP,BPBPBB,BPPBBP,6,B
PBPPPB,PBPBPP,BBBPPP,6,P
PBBBBP,PBPBPP,BBBPPP,6,P
BPPPBB,PBPBPP,BBBBPP,6,P
PPBPPP,BPBPBB,PBBBBP,6,B
BPPPPB,BPBPBB,PBPBBP,6,B
BBBPBB,PBPBPP,PBBBBP,6,P
PPBBBB,PBPBPP,PBBPBB,6,P
BBBBPB,PBPBPP,PPPBBP,6,P
PBBBBB,PBPBPP,BBBBBP,6,P
PBBBBB,PBPBPP,PPPBBP,6,P
PPPPBB,PBPBPP,PPBBPB,6,P
BBBPPB,BPBPBB,PPBBBB,6,B
BPBBBB,PBPBPP,BBBBPB,6,P
BBBBPP,BPBPBB,PBBBBP,6,B
PPPBPB,BPBPBB,BBBPPB,6,B
BPBBPB,BPBPBB,PBBBBB,6,B
BBBPPB,PBPBPP,PPPPPB,6,P
PBBPBP,PBPBPP,BBPPPB,6,P
BBPBPP,PBPBPP,BBPPBB,6,P
BPPPPB,BPBPBB,PBBPPB,6,B
BBBBBP,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,BPPBBP,6,P
PPBBPB,PBPBPP,PBPBPP,6,P
BPPPBP,BPBPBB,PBBBBB,6,B
BBPBBB,PBPBPP,PPBBPP,6,P
BPBPPP,BPBPBB,PPPPBB,6,B
PBBPPB,PBPBPP,BBBBPB,6,P
PBBBPB,PBPBPP,BBPBBB,6,P
PBBPPP,PBPBPP,BBBPPP,6,P
BBPBBP,PBPBPP,PBBBBP,6,P
BBPBBP,PBPBPP,PBBBPP,6,P
PPBBPP,PBPBPP,BBPPPB,6,P
PPBBPP,PBPBPP,BPBBBP,6,P
BPPPPP,PBPBPP,PBBPBB,6,P
PPPPBB,PBPBPP,PBPPPP,6,P
BBBBPB,BPBPBB,PBPBBB,6,B
BBPBPB,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,BPBPBP,6,B
BPBBBP,BPBPBB,PBBPPP,6,B
PBBBBB,PBPBPP,PBBBBB,6,P
BBPBPP,PBPBPP,PPBBPP,6,P
PBBPPP,BPBPBB,PPPBPB,6,B
PBBPPP,BPBPBB,BPPPBB,6,B
PBBPPB,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,BPPBPB,6,B
BPBBBP,PBPBPP,BPBPPB,6,P
PBPBPP,BPBPBB,PPPPBB,6,B
PBBBPP,PBPBPP,BBBPBB,6,P
PBPPBB,BPBPBB,PBPPBB,6,B
BPBPPB,BPBPBB,PPBPPB,6,B
PPBPBB,PBPBPP,BPBBPB,6,P
PBBPBB,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,BPBBPB,6,B
PBPPBB,BPBPBB,PPBPPB,6,B
PBPPPP,PBPBPP,BBPBPP,6,P
BPPPPB,BPBPBB,PPPBPP,6,B
BBBBBP,BPBPBB,PBBBPB,6,B
PPPBBP,PBPBPP,PPPPBP,6,P
PBBBBP,BPBPBB,PPBBPP,6,B
PBPBBP,BPBPBB,PPPPPB,6,B
BBBPBB,BPBPBB,PBPPBP,6,B
BPPPPP,PBPBPP,PBPPPB,6,P
BBBPPP,BPBPBB,BBBBPB,6,B
BPPPPB,BPBPBB,BPPPBP,6,B
BPBBPP,BPBPBB,PPPBPP,6,B
PBPBBB,PBPBPP,BPBBBB,6,P
BBPBBP,PBPBPP,BBBBPB,6,P
PPPPBB,PBPBPP,BBBBPP,6,P
BPPBBB,PBPBPP,BBBPBB,6,P
PBBPPB,PBPBPP,PBPPBP,6,P
BPPPBP,PBPBPP,PPPBPB,6,P
PBBBBP,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,BBBBPP,6,B
PBPBBB,BPBPBB,BPPPPB,6,B
BBBPPP,PBPBPP,PPPPPB,6,P
PPPPPB,PBPBPP,BPPBPP,6,P
BBPPPP,PBPBPP,BPBBBP,6,P
BPPPPP,PBPBPP,PPBBPP,6,P
BPPBBP,PBPBPP,PPPBBP,6,P
BPBBBB,PBPBPP,PBBBBP,6,P
BBPBBB,PBPBPP,BBPBBP,6,P
BBPBPP,PBPBPP,BPBBPP,6,P
PBBPPB,BPBPBB,BPPPBB,6,B
BPPBBB,PBPBPP,BBPPPP,6,P
BBPBPB,PBPBPP,PPBPBB,6,P
BPPBPP,BPBPBB,BBPBBP,6,B
BPBBBB,PBPBPP,BBBPBB,6,P
BBBBPB,BPBPBB,BPBBPP,6,B
BPBBBB,BPBPBB,BPBBBB,6,B
BPBPBP,BPBPBB,PPBPPB,6,B
PBBPPB,PBPBPP,BPBBBB,6,P
BPBBBB,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,BBBPPP,6,B
PBBBBP,BPBPBB,PBBBPB,6,B
PBBBBP,BPBPBB,BBPBPB,6,B
BPBBBB,PBPBPP,PPBPPB,6,P
BBBBBP,PBPBPP,PPBBBP,6,P
BBPBPB,PBPBPP,BBPPBP,6,P
BBPPBP,PBPBPP,PPPPPB,6,P
BBPPBB,PBPBPP,PPBBBP,6,P
PPPBPB,PBPBPP,BPPBPB,6,P
PBPPBP,PBPBPP,BBPBPB,6,P
PBBPPP,BPBPBB,BPBBBB,6,B
PBBPBB,BPBPBB,PBBPPP,6,B
PPPPPB,BPBPBB,BBPPBP,6,B
PBBPPB,PBPBPP,BBBBPP,6,P
BPBBPP,BPBPBB,PPPBPB,6,B
PBBPPB,BPBPBB,PPBPPP,6,B
PPPBBP,PBPBPP,BPPBPP,6,P
BBPPBP,BPBPBB,PPBPBP,6,B
BPBBPP,BPBPBB,PPBPBP,6,B
BPBBPP,BPBPBB,PBPPBB,6,B
BBBBPB,BPBPBB,BPPBBB,6,B
PBBBPP,PBPBPP,BPBPBP,6,P
BPBPPB,PBPBPP,PBPBPP,6,P
BBPBPP,PBPBPP,PPBBBB,6,P
BBBBPP,PBPBPP,PBBPBP,6,P
BBPBBB,PBPBPP,PPPPBB,6,P
BPPBPB,PBPBPP,PPBBBP,6,P
BPPPPP,PBPBPP,PBPBPB,6,P
BBPPPB,BPBPBB,PPPBBB,6,B
BPPBBB,BPBPBB,PBPPBB,6,B
PBBPBP,BPBPBB,BPBBPP,6,B
BPBPBP,BPBPBB,PPPPPB,6,B
PPBPPP,PBPBPP,PBBPBP,6,P
BBBBPB,PBPBPP,BBBBPB,6,P
PBPPBB,BPBPBB,PPBBBB,6,B
BPBBBP,PBPBPP,PPBBBB,6,P
PPBPPB,PBPBPP,PPPBBP,6,P
PBPBPB,PBPBPP,BBPBPP,6,P
BBPBPB,PBPBPP,BBPPBP,6,P
BBBBPB,PBPBPP,PBBPBB,6,P
PPPPBB,BPBPBB,BPPPBP,6,B
BBBBBB,BPBPBB,BPBPPB,6,B
BBPBBP,PBPBPP,BBBBPB,6,P
BPPPPB,BPBPBB,PBBPBB,6,B
BBBPBB,BPBPBB,PPBBBP,6,B
PPBBPB,PBPBPP,PPPPBB,6,P
BBBBBB,PBPBPP,PBBBPP,6,P
BBPPPB,BPBPBB,PBPPPB,6,B
PPBPPP,PBPBPP,PBBBBP,6,P
PBPPBP,BPBPBB,BBBBBP,6,B
BBBBPP,BPBPBB,PPPPPP,6,B
BBPBBB,BPBPBB,PPBBBP,6,B
BBPPBB,BPBPBB,BPBPPP,6,B
PPBPBP,BPBPBB,BPPPBP,6,B
PBBBPP,PBPBPP,PBPPBB,6,P
PBBBPP,BPBPBB,PBBBBP,6,B
BBBPPP,PBPBPP,PPBPBB,6,P
PBBPBB,PBPBPP,PPBPBP,6,P
PPBPPP,PBPBPP,BPBBPP,6,P
BPPPPB,PBPBPP,PPPBPB,6,P
PBPPPP,PBPBPP,BBPPPP,6,P
BPBPBP,BPBPBB,PPBPPP,6,B
BBBBBP,BPBPBB,BBBBPP,6,B
BPBBBB,PBPBPP,BPPPBB,6,P
PPPBBP,BPBPBB,PPBPPP,6,B
PBBBPP,PBPBPP,PBBBBB,6,P
PPPBPB,BPBPBB,PBBBBB,6,B
BBBBBP,BPBPBB,BPBBPP,6,B
BPBBPP,PBPBPP,BBPBBP,6,P
PBBPPP,BPBPBB,BBBPPP,6,B
PPPPBB,BPBPBB,PBPPPB,6,B
PBBPPP,PBPBPP,PBPPBP,6,P
PBPPBP,PBPBPP,PBBPPP,6,P
PPBBBB,BPBPBB,BPPPPB,6,B
BBBBBB,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,BBPPBB,6,B
PPPBPB,BPBPBB,PBBBBP,6,B
BBPBBP,PBPBPP,BBBPPP,6,P
PBBBPP,BPBPBB,BBBBBP,6,B
BBBPPP,PBPBPP,BPBPPP,6,P
PPPBBP,PBPBPP,BPBBBB,6,P
PPPBPP,PBPBPP,PPPBBB,6,P
BPPBBB,BPBPBB,PBPBBB,6,B
PPPBPB,BPBPBB,PBBPBB,6,B
PBBBBP,PBPBPP,BBBBPB,6,P
PPPPBP,PBPBPP,BBBPBP,6,P
PPPBPB,PBPBPP,BBPPBP,6,P
BPPPPB,PBPBPP,PPBPPP,6,P
PPBPBB,BPBPBB,PPBBPP,6,B
PBBPPB,BPBPBB,PPBPPP,6,B
PPBPBB,PBPBPP,PPPBPB,6,P
PBPPPP,PBPBPP,PPPPBP,6,P
PPPBBP,PBPBPP,BPBBBP,6,P
BPPBBP,PBPBPP,PPBBBP,6,P
BPPBBP,PBPBPP,PPBBBP,6,P
PPBPPB,BPBPBB,BBBBPP,6,B
BBBBBP,BPBPBB,PPBBBB,6,B
BBBPBP,PBPBPP,BPBPPB,6,P
BPBPPB,PBPBPP,BBBBPB,6,P
BPPPPP,PBPBPP,BBPPBP,6,P
BPPBPB,BPBPBB,BPBPBP,6,B
BPBBBP,BPBPBB,PPBBBP,6,B
BBPBPP,PBPBPP,BBPPBB,6,P
PPPBPB,PBPBPP,PPBBBB,6,P
BBBPBB,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,PBBBPP,6,P
PBPPBB,PBPBPP,BPBPPB,6,P
PBPPBP,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,PBBBPB,6,B
PBPPPB,PBPBPP,BBBPPB,6,P
PPBPBB,BPBPBB,PBBPBP,6,B
BPBBPB,BPBPBB,BPBBBB,6,B
BPPPPP,PBPBPP,BPBBPB,6,P
PPBPBB,PBPBPP,BBBPBB,6,P
PBBBPP,PBPBPP,BBPPPP,6,P
BPBBPB,PBPBPP,PBBPBP,6,P
PPPBBB,PBPBPP,PPBBPB,6,P
BBPPPB,BPBPBB,BBPBBB,6,B
BBBBPP,BPBPBB,BPPBPP,6,B
BPPBBP,BPBPBB,PPPPPP,6,B
PPBBPP,PBPBPP,BBPBBB,6,P
BBBBBP,PBPBPP,BPBBPB,6,P
BBPPPP,BPBPBB,PBBPPB,6,B
BBPBBB,BPBPBB,BBPBBB,6,B
BPPBPP,PBPBPP,BBPBBB,6,P
PPPPPB,BPBPBB,BBPBBP,6,B
PPPBPP,PBPBPP,PPBPPB,6,P
BPPBBP,BPBPBB,BBBPPP,6,B
PPPPPB,BPBPBB,BPBPPP,6,B
PPPBBB,BPBPBB,PBBPPB,6,B
BBPPBB,BPBPBB,PPPPPB,6,B
BBPBBB,BPBPBB,BBPPBP,6,B
BBBBPP,BPBPBB,BPBBPP,6,B
PPPBPB,PBPBPP,BPPBBB,6,P
PBBBPP,PBPBPP,PPPPPP,6,P
BBBBPP,PBPBPP,PBPPPB,6,P
BBBPPP,PBPBPP,PPPBBB,6,P
BBPBBP,PBPBPP,PPPBPP,6,P
BBBPBP,PBPBPP,PBPBPB,6,P
PBPPPB,PBPBPP,PBBBPB,6,P
BBBBPP,PBPBPP,BPPBBP,6,P
BPPBBP,PBPBPP,PPPPPP,6,P
BPBPBB,BPBPBB,PBPPPB,6,B
BBPPBP,PBPBPP,PBBBBP,6,P
PBBBBP,BPBPBB,PBBBPB,6,B
BPBBBP,BPBPBB,PPBBPB,6,B
BBPBPP,BPBPBB,BBPPPP,6,B
BPBPBB,BPBPBB,PPBPBP,6,B
BBPPBP,BPBPBB,PBBPPP,6,B
BBPPBB,PBPBPP,PBBBPP,6,P
PBBPPB,BPBPBB,PPBBPP,6,B
PPPBPB,BPBPBB,BBPPPP,6,B
BBPBBB,PBPBPP,PPPPPP,6,P
PBBBBB,PBPBPP,BBPPBB,6,P
BPPPBP,BPBPBB,PPBBPP,6,B
PBBBBB,BPBPBB,BPPBBP,6,B
BBBPPB,BPBPBB,PPPPPB,6,B
PPPBPB,PBPBPP,BBPBBP,6,P
PBBPPB,PBPBPP,PBPBBP,6,P
PBBBPB,PBPBPP,BPBPBP,6,P
BPPBPB,PBPBPP,BBPPPP,6,P
BPPBBB,BPBPBB,PBBPPB,6,B
BBBBPB,BPBPBB,BPPPBB,6,B
BPPPPP,BPBPBB,PBBBBB,6,B
PBPBPB,PBPBPP,BBBBBP,6,P
BPPPBB,BPBPBB,PPBPPP,6,B
PBBBPP,BPBPBB,PBBBPP,6,B
BBPBPP,BPBPBB,BPPBBB,6,B
PPBBPB,PBPBPP,BBBBPP,6,P
PPBBBP,PBPBPP,PBPBPP,6,P
PPBPPP,PBPBPP,PBPPPP,6,P
PBBBPB,BPBPBB,BBPBBB,6,B
BBPPPB,PBPBPP,BPBBPB,6,P
PPBPPB,PBPBPP,PBPPPB,6,P
PPBPBP,BPBPBB,PPPPPP,6,B
BBPBPP,BPBPBB,PBBBPP,6,B
PBBPBP,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,PPPBBP,6,B
PBPBBB,PBPBPP,PPBPBP,6,P
PBPPPP,BPBPBB,PPBBPB,6,B
BBPPBB,BPBPBB,BPPPPP,6,B
PBBPPP,BPBPBB,BBBPBP,6,B
PPBPBP,BPBPBB,BBPPPB,6,B
PBPBBB,BPBPBB,PPPPBB,6,B
PBPPPP,PBPBPP,BBBPPB,6,P
BPBPPP,BPBPBB,PBPBBB,6,B
PBBBPP,BPBPBB,BPBBPB,6,B
PPBPPB,PBPBPP,PBPBBB,6,P
PPPPBP,BPBPBB,PPPBPB,6,B
BPPPBP,BPBPBB,PPPPPP,6,B
PPPPBB,BPBPBB,BPPBPP,6,B
BBPPBP,PBPBPP,PPPBPP,6,P
BPPBPP,PBPBPP,BBBPPB,6,P
BPBBBP,PBPBPP,BBBBBB,6,P
BPBBBB,BPBPBB,PBPBBP,6,B
PPPBPB,BPBPBB,BBPBBB,6,B
BBPPBP,PBPBPP,PPPBBB,6,P
BPPPPP,BPBPBB,BPPBPB,6,B
BPBBBP,PBPBPP,PBPPBB,6,P
BBBPPP,PBPBPP,PPBBBB,6,P
PBPBPB,PBPBPP,PPPPPP,6,P
PPPPPP,PBPBPP,BBPBBB,6,P
BBPPBB,BPBPBB,BPPBBB,6,B
BBBBPB,PBPBPP,PPPPBP,6,P
PPPPPP,BPBPBB,PPPPPB,6,B
BBPPPP,BPBPBB,PBPPPB,6,B
BBPPPB,BPBPBB,BPBBPB,6,B
BPPPPB,PBPBPP,BPBBBP,6,P
PPBBPP,BPBPBB,PPPPPP,6,B
PPPPPP,PBPBPP,PPPPPP,6,P
PBBPPB,PBPBPP,BPPPBB,6,P
BPPBBP,BPBPBB,BBBPBB,6,B
BBPBBB,PBPBPP,BPPBPP,6,P
PPPBPB,BPBPBB,PBPPPP,6,B
PBBPPP,PBPBPP,BPPPBP,6,P
BPPBBP,PBPBPP,BBBPBP,6,P
BPBBPP,BPBPBB,BBPBPB,6,B
PBPBBB,BPBPBB,PBBPPP,6,B
PBBPPB,PBPBPP,BBBPPP,6,P
PBBBBB,BPBPBB,PPBPBP,6,B
BBPBBP,PBPBPP,BBPBBP,6,P
BPPBBP,BPBPBB,PPPPBP,6,B
BBPPBP,PBPBPP,BBBPBP,6,P
BPBBPP,BPBPBB,BPBPBP,6,B
PBPBBB,PBPBPP,PPPBBB,6,P
BBBPPB,BPBPBB,PPBBBP,6,B
BPPPBP,PBPBPP,BBBBPP,6,P
PPBPPP,PBPBPP,BPPBBB,6,P
PPBBPB,BPBPBB,BPPPPP,6,B
PBPPBB,PBPBPP,PPPBBP,6,P
BBPPPB,BPBPBB,BPPBPP,6,B
BPBPPP,BPBPBB,PPPPPP,6,B
BBPPPP,PBPBPP,BPPPPB,6,P
PBPBPB,PBPBPP,PPBPBP,6,P
PBPPPP,BPBPBB,PPBPBP,6,B
BPBBPP,BPBPBB,PPPBBB,6,B
PPPPPP,PBPBPP,PBPPBP,6,P
PPBPPB,PBPBPP,BBBPBB,6,P
BBPPPB,BPBPBB,BBPBBB,6,B
PPPBPB,BPBPBB,PPBPBP,6,B
PBPBBP,PBPBPP,BBBBPB,6,P
BPPPBP,BPBPBB,BPBBBB,6,B
BPBBBP,PBPBPP,BBBPBP,6,P
BPPBBP,PBPBPP,PBPPPB,6,P
BPPBBP,PBPBPP,PPBBBB,6,P
PPBBBB,PBPBPP,PBBPPB,6,P
PBPPBP,PBPBPP,PBPPPB,6,P
PPPPBB,BPBPBB,BPPBPB,6,B
PBBBBB,BPBPBB,PBBPPB,6,B
PBPBBP,PBPBPP,BPBBBP,6,P
BPBBPP,BPBPBB,BBBBPB,6,B
BPBPPB,BPBPBB,BBBPPB,6,B
PPBBPP,PBPBPP,PBBBBB,6,P
PBBBPP,BPBPBB,BBBBBP,6,B
BPPBPB,PBPBPP,BPBBBB,6,P
BPPBBP,PBPBPP,BPBBBP,6,P
PBPPBP,PBPBPP,BBPPPP,6,P
BPPBBP,BPBPBB,BPBBPP,6,B
PBPBBB,PBPBPP,PPPPPB,6,P
PBPPPP,PBPBPP,BPPBBP,6,P
BPPBBB,PBPBPP,BBPBPP,6,P
BBPPPP,PBPBPP,BPBBPP,6,P
PPBPBB,BPBPBB,PBPPBB,6,B
PBBBBB,PBPBPP,BPBPBP,6,P
BPBPBP,BPBPBB,PBBPBP,6,B
BPBBPP,BPBPBB,BBBPPP,6,B
BBPPPP,PBPBPP,PPPBBP,6,P
BPBPPB,BPBPBB,PBBBBP,6,B
PPBBPP,BPBPBB,BBBPPB,6,B
PBPPBP,PBPBPP,PBPPBB,6,P
BBBBPB,BPBPBB,PBBBBB,6,B
BBPPBB,PBPBPP,BPPBPB,6,P
BBBPBP,BPBPBB,BPPBPB,6,B
BPBBBB,PBPBPP,PPPPBP,6,P
PBPPBB,BPBPBB,PBPBPB,6,B
BPBPBP,BPBPBB,PBBBBP,6,B
BPPPPP,PBPBPP,BPBPPB,6,P
BBBBBP,PBPBPP,PBBBBP,6,P
PPBPBP,BPBPBB,BPPPBP,6,B
PPBPBP,BPBPBB,BPPPBP,6,B
BBPPPP,PBPBPP,PPPBBB,6,P
BPBPBB,PBPBPP,BPPPBB,6,P
BBBPBB,BPBPBB,BBBBPP,6,B
PBPPBB,BPBPBB,PPBBBP,6,B
BPPBBP,BPBPBB,BPBPPP,6,B
BPBBBB,PBPBPP,BBBBPB,6,P
BPBBBB,PBPBPP,BPBBBB,6,P
PBBBBP,BPBPBB,BPBBPP,6,B
BBPBBB,BPBPBB,BBPBPP,6,B
PBPPPB,PBPBPP,BPBBBB,6,P
BPPPBP,BPBPBB,PBPPPP,6,B
BBPPBB,BPBPBB,BBPBBB,6,B
PBPBBP,PBPBPP,BBPPBP,6,P
PPPPPP,BPBPBB,PBPBBB,6,B
PBPPPP,PBPBPP,PBBPBP,6,P
PPBBPB,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,PPPBPP,6,B
BBBPBB,BPBPBB,PPPBPB,6,B
BBPBPP,BPBPBB,PPPPBP,6,B
BPBBPP,PBPBPP,BPBBBP,6,P
PBBPPP,BPBPBB,PBBPPB,6,B
