before,tuek_ku,after,length,repeat
PBBBBB,BBPPBBPPPPBB,BPBBPB,12,3
PBPPPP,PPBBBBPPPPBB,BBBPBB,12,3
PBPPPP,PPBBBBPPPPBB,BBBPBB,12,3
PPPBPB,PPBBPPBBBBPP,BPBPBP,12,3
PPPBPB,BBPPBBPPBBPP,BBBPPP,12,3
PPPPPP,PPBBBBPPBBPP,PBBBBP,12,3
BPBPBP,PPBBPPBBBBPPBBPP,BPBBBB,16,4
PBBBBB,BBPPPPBBBBPP,PBPPPP,12,3
PBBBBB,BBPPPPBBBBPP,PBPPPP,12,3
PBPPPP,PPBBPPBBBBPP,PBBBPB,12,3
PBBBBP,BBPPPPBBPPBB,PBBBBP,12,3
BPBBPB,PPBBBBPPBBPPPPBB,BBBBBP,16,4
PBBBPP,PPBBPPBBPPBB,PPPPBB,12,3
PBPPPP,PPBBBBPPPPBB,PBBPBP,12,3
PPBBPP,PPBBPPBBPPBB,PBPPBP,12,3
BBBBPB,PPBBPPBBPPBB,BPPPBP,12,3
PPBPPB,PPBBBBPPPPBB,PBBPBP,12,3
PPPPBP,PPBBPPBBPPBB,PPPBBP,12,3
PPBPBP,BBPPBBPPBBPP,PBBPPB,12,3
BPBPPB,PPBBBBPPPPBB,PBBBBP,12,3
BBPBBP,BBPPBBPPPPBB,PBPPPP,12,3
PBBPBP,BBPPPPBBPPBB,BBBPBB,12,3
BBBPBP,PPBBPPBBPPBB,BBPBPP,12,3
PBBPPP,PPBBBBPPBBPP,PPBPBB,12,3
BBPPBP,BBPPPPBBPPBB,BPPBBB,12,3
PBBPPB,BBPPPPBBPPBB,BPPPBB,12,3
PPBPBB,BBPPBBPPBBPP,BPPPBP,12,3
BBPBPB,BBPPBBPPBBPP,BPPPBP,12,3
PPPBBP,BBPPBBPPPPBB,BPBPPP,12,3
PBBBBB,BBPPPPBBPPBB,BPBPPP,12,3
BBPBPP,PPBBPPBBBBPP,BPBPPP,12,3
PPBBBP,BBPPPPBBBBPP,BBPBPB,12,3
BBBBBB,BBPPPPBBBBPP,PPPBPP,12,3
PBBPPB,PPBBPPBBBBPP,PBBBPP,12,3
BPPPBP,BBPPPPBBBBPP,PBPPBP,12,3
BBBBPB,PPBBBBPPPPBB,BPBBBB,12,3
PPPBPB,PPBBPPBBBBPPPPBB,BPPBBP,16,4
PPBPBP,BBPPPPBBPPBB,BBBPPB,12,3
PPPPPB,PPBBPPBBPPBB,BBBPBP,12,3
PPPBPB,PPBBBBPPBBPP,BBBBPB,12,3
BBBPPB,PPBBBBPPPPBB,BBPBBP,12,3
BBBBPB,BBPPPPBBPPBB,PPPBPP,12,3
BBPBBB,BBPPBBPPBBPP,BPPBBB,12,3
PPBBBP,PPBBPPBBBBPP,BBBPPP,12,3
BPBBPB,PPBBPPBBBBPP,PPPPPB,12,3
PPPPBP,BBPPBBPPPPBB,PBPPBP,12,3
BBPPBP,PPBBPPBBBBPPPPBB,BPBBBB,16,4
BBPPBB,BBPPPPBBPPBB,PBPBPB,12,3
PBBPBP,PPBBBBPPBBPP,PPPBBB,12,3
PPPPPP,PPBBBBPPBBPP,PPBPPB,12,3
BPBBPB,BBPPBBPPPPBB,PPPBBB,12,3
BBPBPB,BBPPPPBBPPBB,BPPBBP,12,3
PBBPBB,BBPPPPBBBBPP,BPBBPB,12,3
PBBBBB,BBPPPPBBBBPP,PBBPBP,12,3
BBBBPB,BBPPPPBBPPBB,PBPBBB,12,3
BBPBBB,BBPPPPBBPPBB,BPPPPB,12,3
PPPBBB,PPBBPPBBPPBB,PBBPPB,12,3
PPBPBP,PPBBPPBBPPBBPPBB,BPBBPB,16,4
PPBPPB,PPBBBBPPBBPP,BPPPPB,12,3
BPBPBP,BBPPBBPPBBPP,PBBBPB,12,3
PPPPBP,BBPPPPBBBBPP,PPPPPB,12,3
BBPPBP,PPBBPPBBPPBB,BBBPBB,12,3
PBBBBP,BBPPBBPPBBPP,PBBPPB,12,3
BPBPBP,BBPPBBPPPPBB,BPBPBB,12,3
BPBBPB,BBPPPPBBPPBB,BBBBBB,12,3
BBPPPB,BBPPBBPPBBPP,PBPPPB,12,3
PBBBBB,BBPPPPBBBBPP,PPPBBP,12,3
BPPPBB,BBPPPPBBBBPP,PBBPBB,12,3
BPBBPB,PPBBPPBBPPBB,BBBBPP,12,3
BPBBPB,PPBBPPBBPPBB,BBBBPP,12,3
BPPBPB,PPBBBBPPPPBBPPBB,PBBBBB,16,4
PPBBBP,PPBBBBPPBBPP,PPBPBP,12,3
PPBBPB,PPBBPPBBBBPP,BPBBPP,12,3
PPPBPB,PPBBBBPPBBPPPPBB,PBBBBB,16,4
BPBBPB,PPBBPPBBPPBB,PBBPPB,12,3
PPPBPB,PPBBPPBBBBPP,PBBPBP,12,3
BBBPBP,BBPPBBPPBBPP,BBBBPP,12,3
BPBBBB,BBPPPPBBPPBB,PPPBPP,12,3
PPPBBP,PPBBPPBBPPBB,BBPBBP,12,3
PBBBBP,BBPPPPBBBBPP,PBBPPB,12,3
PPPPBP,PPBBBBPPPPBB,BPBPPP,12,3
PPBBPP,PPBBPPBBPPBB,PBBBBP,12,3
PPBPBP,BBPPBBPPPPBB,BPPPPB,12,3
PBPBBB,BBPPBBPPBBPP,PPPBBB,12,3
PPPBBP,PPBBBBPPPPBB,PPPPBB,12,3
BPBBBP,BBPPPPBBBBPP,PPBPPP,12,3
BBBPPP,BBPPPPBBBBPPPPBB,PPBPPB,16,4
BPPPBP,PPBBPPBBBBPP,PPPBPP,12,3
PBBPBP,PPBBPPBBBBPP,BPBPPB,12,3
PBPBBP,BBPPPPBBBBPPBBPP,BPPPBP,16,4
PBPBBB,BBPPPPBBBBPP,PBPPPB,12,3
PPBBPB,PPBBBBPPPPBB,PBPBPB,12,3
BBBPPB,BBPPBBPPPPBB,BBPBBB,12,3
PPBBPB,BBPPPPBBPPBB,BBBBBB,12,3
BBBPPB,PPBBPPBBPPBBBBPP,BPBPPP,16,4
BPPBPB,PPBBPPBBPPBB,PPBPPP,12,3
BBBPPP,PPBBPPBBPPBB,PBBBPP,12,3
BBPBPB,PPBBPPBBPPBBBBPP,PBPPPB,16,4
PBPPPB,PPBBBBPPPPBB,PPPPPB,12,3
PBBBPB,BBPPPPBBPPBB,BBBBPB,12,3
BPBBPB,BBPPPPBBPPBB,BBBBPB,12,3
BPPBBB,BBPPBBPPPPBB,PPPBBB,12,3
PBPPBP,BBPPBBPPBBPP,BPBPBB,12,3
BPBBPB,BBPPPPBBBBPP,PPPPPB,12,3
PPPBPB,BBPPPPBBPPBB,PPPBBB,12,3
PPPBBB,BBPPBBPPPPBB,BPPPPB,12,3
BPBPPP,PPBBBBPPPPBB,BPPBPP,12,3
PBBPPP,PPBBBBPPPPBB,PBPBPP,12,3
BPPPBP,PPBBPPBBBBPP,PPBPPB,12,3
PBBBBB,BBPPPPBBPPBB,BPBPBB,12,3
PPBPBP,BBPPBBPPBBPPBBPP,PPPPPB,16,4
BPBBBB,BBPPPPBBPPBB,BPBPBB,12,3
BPPBPB,PPBBPPBBBBPP,PBPPBP,12,3
BBBBBP,BBPPPPBBBBPP,PBBPPP,12,3
PBPPPB,PPBBBBPPBBPP,BPBBBB,12,3
PPPBPB,BBPPBBPPBBPPBBPP,BPBPBB,16,4
PBBBPP,PPBBBBPPPPBB,PBPPBP,12,3
PBPBPB,PPBBBBPPBBPP,PPBPPP,12,3
BPBPPP,PPBBPPBBBBPP,PBBPBP,12,3
PBPBPP,PPBBPPBBPPBB,PPBPBB,12,3
PBPPBP,BBPPPPBBBBPP,PPPPPP,12,3
PBPBBB,BBPPBBPPBBPP,PPBPBP,12,3
BBPBPB,BBPPBBPPPPBB,BPBPBP,12,3
BBPBPP,PPBBBBPPPPBB,BPPPBP,12,3
BBPPBP,PPBBBBPPPPBB,PPBPPP,12,3
BBBPBP,PPBBBBPPPPBB,PBBBPP,12,3
PPPBBB,PPBBBBPPPPBB,BPBPPP,12,3
BBBPBP,PPBBPPBBBBPP,BPBPBB,12,3
BPBBPB,BBPPPPBBPPBB,PBPPPB,12,3
BPBPBP,PPBBBBPPPPBB,BPBPBP,12,3
BPBBBB,BBPPBBPPPPBB,BBBPBB,12,3
BPBBPB,PPBBBBPPPPBB,BPBPBB,12,3
BBBBBB,BBPPPPBBBBPP,BPBBPB,12,3
BBBPPB,BBPPPPBBPPBB,PPPBBB,12,3
BBBPBB,BBPPPPBBPPBB,PBBBPB,12,3
PPBPPP,PPBBPPBBPPBB,PBBBBP,12,3
BPBPPP,PPBBPPBBPPBB,PPPPPB,12,3
BBBPBP,BBPPBBPPPPBB,BPPPPB,12,3
BBBPBP,BBPPBBPPPPBB,BPPPPB,12,3
PPPBPB,PPBBPPBBBBPP,PBBPBB,12,3
BPPBBB,BBPPPPBBPPBB,BBPBBB,12,3
PPBBPP,PPBBBBPPBBPP,BBPBPP,12,3
BBBBPB,PPBBBBPPBBPP,PPBPPB,12,3
BBBBPB,PPBBBBPPBBPP,PPBPPB,12,3
BPPBBB,BBPPPPBBBBPP,PBPBPB,12,3
BBBPPB,BBPPPPBBPPBB,BPPBBB,12,3
BPPPBP,BBPPPPBBBBPP,BPPPBP,12,3
BBPBPP,PPBBPPBBPPBB,PBPBBP,12,3
BBPPBP,BBPPPPBBPPBB,BPPBPP,12,3
PBBPBP,BBPPBBPPPPBB,PPPBBP,12,3
PBBPBP,BBPPBBPPPPBB,PPPBBP,12,3
PBPBPB,BBPPPPBBPPBBBBPP,BBBPPP,16,4
PBPPBP,PPBBPPBBBBPP,BBPBBB,12,3
PPPPBP,PPBBPPBBPPBB,BBPBBP,12,3
PBBBPB,BBPPBBPPPPBB,PBPBPP,12,3
PBBPPB,BBPPBBPPBBPP,PPPBPB,12,3
BPPBPB,PPBBPPBBPPBB,PPPPPB,12,3
BBPBPB,PPBBPPBBPPBB,PBBPPP,12,3
BPBPBP,PPBBPPBBBBPP,BPBBBP,12,3
PPBBBP,BBPPPPBBPPBB,BPBPPB,12,3
BBBPPP,PPBBBBPPBBPP,PBPPBP,12,3
BBBBPB,BBPPBBPPPPBB,BPBBPP,12,3
PPPBBB,BBPPPPBBBBPP,BPPPPP,12,3
BBBPPP,PPBBPPBBPPBB,BPPPBB,12,3
PPBBPB,BBPPBBPPPPBB,PPPPPP,12,3
BPPBPB,PPBBBBPPBBPP,BBBBBB,12,3
BPBPPB,PPBBBBPPPPBB,PBBBBB,12,3
PBPPBP,PPBBPPBBPPBBPPBB,BBPBBB,16,4
PPPBBP,PPBBPPBBPPBB,PBBBBP,12,3
BBBPBP,BBPPBBPPPPBB,BPPBPB,12,3
BPBPPB,PPBBBBPPPPBB,PBBPPP,12,3
PPBPBP,BBPPPPBBPPBB,PBPBPB,12,3
PPBPBP,BBPPPPBBPPBB,PBPBPB,12,3
PBBPBB,BBPPPPBBBBPP,BBBPPP,12,3
PBBPBB,BBPPBBPPBBPP,PBBPBB,12,3
PPBBPB,BBPPBBPPPPBB,BPBBBP,12,3
BBBBBP,BBPPBBPPPPBB,BPBBPB,12,3
BBBBBP,BBPPBBPPPPBB,BPBBPB,12,3
BBBBBP,BBPPBBPPPPBB,BPBBPB,12,3
PBBPBB,BBPPBBPPBBPP,PBPPBB,12,3
BBBPPP,PPBBBBPPPPBB,PPPPBB,12,3
BBBPBP,BBPPBBPPBBPP,BBBPPB,12,3
BBPPPB,BBPPPPBBPPBB,BBPBPB,12,3
BBPPBP,PPBBBBPPPPBB,BBPBBP,12,3
BBPBBB,BBPPPPBBPPBB,BPPBBB,12,3
BPBPBP,PPBBBBPPBBPPPPBB,BBPBBP,16,4
PBPPPP,PPBBBBPPPPBB,BBPBBP,12,3
BBPBPB,BBPPPPBBBBPP,PBBPPB,12,3
BPBPPP,PPBBPPBBBBPP,BBBPBP,12,3
PBBPBB,BBPPBBPPBBPP,PBBBPB,12,3
PBPPPB,PPBBPPBBBBPP,PPBPBP,12,3
PPPBBB,BBPPBBPPPPBB,BPBBBB,12,3
PPBBBP,PPBBBBPPPPBB,PBPPBB,12,3
BBBPBB,BBPPPPBBPPBB,BBBBPP,12,3
BBBBBB,BBPPPPBBBBPP,PBPPBP,12,3
PPPBBP,PPBBPPBBBBPP,PPPBPB,12,3
BPPBBB,PPBBBBPPPPBB,BBBPPP,12,3
PPBPBB,BBPPBBPPPPBB,PBPBBB,12,3
BBPPBP,PPBBPPBBPPBB,BBBBPB,12,3
BBPPPB,BBPPPPBBBBPP,BPPPBB,12,3
BPPPBP,BBPPBBPPPPBB,PPPBBB,12,3
BBPBPB,BBPPBBPPBBPP,BBBPBP,12,3
BPPPPB,PPBBBBPPPPBB,PBPBPP,12,3
BBPPBP,PPBBBBPPBBPP,BPBPPB,12,3
BPBPBP,PPBBBBPPBBPPBBPPBBPP,BPBPBB,20,5
BBBPPB,BBPPPPBBBBPPBBPP,PBBBBB,16,4
BBBBBB,BBPPPPBBPPBB,BPPPBB,12,3
PBPBPP,PPBBPPBBBBPP,BPPBPP,12,3
PBPPBP,BBPPBBPPPPBB,PBPPPB,12,3
PBPPBP,BBPPBBPPPPBB,PPPBBP,12,3
PPBPBB,BBPPPPBBBBPP,BPPPBP,12,3
BPBPPP,PPBBBBPPBBPP,PBPPBP,12,3
PBPPBP,PPBBPPBBPPBB,BBBPPP,12,3
BPBBBP,BBPPPPBBPPBB,PPPPBP,12,3
BPPBBP,BBPPBBPPPPBB,BBBBBB,12,3
PBBPPB,PPBBBBPPPPBB,BBBBPB,12,3
BPBPBB,BBPPBBPPBBPP,BPPPPP,12,3
BPPBPB,BBPPPPBBBBPP,PBBPPP,12,3
BBPBPP,PPBBBBPPBBPP,PPBPPB,12,3
PBPBPB,BBPPPPBBPPBBPPBBPPBB,PPPPBB,20,5
PPPPPB,PPBBBBPPBBPP,BBPBPP,12,3
PPPBBB,BBPPBBPPBBPPBBPPBBPPPPBB,PPPPBB,24,6
PPBBPP,PPBBPPBBPPBB,BBBBPP,12,3
PPBBBB,BBPPBBPPBBPP,BBBBBB,12,3
PPBBPP,PPBBPPBBBBPP,PPPPBB,12,3
PPPPPP,PPBBBBPPBBPP,BBBBBP,12,3
BBBPPB,BBPPBBPPBBPP,BPPPBB,12,3
BBPPBP,PPBBBBPPBBPP,BPPPBB,12,3
PBBBBP,BBPPPPBBBBPPPPBB,BBBBPP,16,4
PPBPPB,PPBBPPBBPPBB,BPPPPP,12,3
BPPPBP,PPBBPPBBBBPP,PBBBPP,12,3
PPBBPP,PPBBBBPPPPBB,BPPBBB,12,3
BPPBBB,PPBBPPBBPPBB,BBBBBB,12,3
BPBPPP,PPBBBBPPBBPP,BBPBPB,12,3
BBBPPP,PPBBBBPPPPBB,BPBBBP,12,3
BBPPBP,BBPPPPBBBBPP,PBBPPP,12,3
PPBPPP,PPBBBBPPPPBB,BPBBPP,12,3
PBPPBP,PPBBPPBBBBPPBBPP,PBPPBB,16,4
PBBPBP,PPBBBBPPBBPP,BBBBPB,12,3
PPBPBP,BBPPBBPPBBPP,BBBBBB,12,3
BPBBBB,BBPPPPBBBBPP,PBPPPB,12,3
PPBBBP,BBPPBBPPBBPP,PBPPBP,12,3
PPBPPP,PPBBPPBBBBPP,BPPBBP,12,3
BBPBBB,BBPPBBPPPPBB,BPPPPP,12,3
BPBBBB,BBPPPPBBBBPP,PPPPPP,12,3
BBPPBB,BBPPPPBBPPBB,BPPPBB,12,3
BPBPPP,PPBBBBPPPPBB,BBBBPB,12,3
PBPBBP,BBPPPPBBPPBB,BPBBPB,12,3
BPPBPP,PPBBPPBBBBPPPPBB,PBPPBB,16,4
BBPBBB,BBPPBBPPPPBB,BBBBPP,12,3
BBBPPP,PPBBBBPPBBPP,PPPPPB,12,3
PBPBPB,BBPPBBPPBBPP,BBBPBP,12,3
BBBBBB,BBPPBBPPPPBB,PPBPPP,12,3
PPBBPB,PPBBBBPPPPBB,BBPBBP,12,3
PPBPPP,PPBBPPBBPPBB,PPPPBP,12,3
BBPBPP,PPBBBBPPPPBB,PBBBPB,12,3
BPBPBP,PPBBPPBBPPBBPPBB,PPPBBP,16,4
PPBBPB,BBPPBBPPBBPP,BBPBBB,12,3
BPPBPP,PPBBBBPPPPBB,BPBBPP,12,3
BBBBBP,BBPPPPBBBBPP,PPBPBB,12,3
BBPPPB,PPBBPPBBPPBB,PBPBPB,12,3
BBPPBP,BBPPBBPPPPBB,PBBPBB,12,3
BPBPBB,BBPPBBPPBBPP,BPPPPB,12,3
BBPPPP,PPBBBBPPBBPP,BBPBPB,12,3
BBBPBP,PPBBPPBBPPBB,PPPBPP,12,3
BBBPPP,PPBBBBPPBBPP,PPPBPP,12,3
PBPBPB,BBPPPPBBBBPP,PBPPBP,12,3
PBPBPP,PPBBBBPPBBPP,BBPBBB,12,3
BPPBPP,PPBBBBPPPPBB,BPPPBB,12,3
PPPBPB,BBPPBBPPBBPPBBPP,PPPPBB,16,4
BBPPPP,PPBBPPBBPPBBPPBB,BBBPPB,16,4
BPPBBB,BBPPBBPPPPBB,BPBPPB,12,3
PBBBBB,BBPPBBPPPPBB,BPPBPP,12,3
BPPBBB,BBPPBBPPPPBBBBPP,PPPPBP,16,4
PBBBBP,BBPPPPBBBBPP,BBBPBB,12,3
PBBPPP,BBPPBBPPPPBB,BPPPPP,12,3
PBPBBB,BBPPBBPPBBPP,PBPBBB,12,3
BBPBBB,BBPPBBPPBBPP,BPBPBP,12,3
PPBPPP,PPBBBBPPPPBBPPBB,PPPPBB,16,4
BPPPPB,PPBBPPBBPPBB,BPPPPP,12,3
BBPBBB,BBPPPPBBPPBB,PPPPBP,12,3
BPBPBB,BBPPPPBBBBPPPPBB,PPPBBB,16,4
PPPBBB,BBPPBBPPPPBB,PBBPPB,12,3
PBBBPB,BBPPBBPPPPBB,PPPPBB,12,3
PBBPBB,BBPPPPBBPPBB,PBPBBB,12,3
PBBBBB,BBPPBBPPPPBB,PPPPPP,12,3
BPPBBP,BBPPBBPPBBPP,PBPPBP,12,3
PBBPBB,BBPPPPBBPPBB,BPBBBP,12,3
PPBPBB,BBPPPPBBPPBB,PBBPBB,12,3
BPPBPP,PPBBPPBBPPBB,PPPPPP,12,3
BBBBPB,PPBBPPBBBBPP,BBPBBB,12,3
PBBBPB,PPBBBBPPBBPP,BBBBPP,12,3
BBBBBP,BBPPBBPPBBPP,BBBPPP,12,3
PBBPBP,BBPPPPBBPPBB,PBPPPP,12,3
BPPPPB,PPBBBBPPBBPP,PBPBBB,12,3
BPPBPP,PPBBPPBBBBPP,PBPBPB,12,3
PPPPPP,PPBBPPBBBBPP,BPBPBP,12,3
PPBBPB,BBPPPPBBPPBB,PPPPPP,12,3
PBBBBP,BBPPPPBBBBPP,BPPPBB,12,3
PPPPPP,PPBBBBPPPPBB,BPBBBP,12,3
PPPPPP,PPBBPPBBPPBB,BPPPPP,12,3
PPPBBB,PPBBPPBBPPBB,PBBBBP,12,3
PPPBBB,PPBBPPBBPPBB,PBBBBP,12,3
PPPBBB,BBPPPPBBPPBB,BPPPBB,12,3
BPPPPB,PPBBPPBBPPBB,BBPBBB,12,3
BBPPBB,BBPPPPBBPPBB,BPPPPP,12,3
BBPPBB,BBPPPPBBPPBB,BPPPPP,12,3
BBBPBB,BBPPPPBBBBPP,BPPPPB,12,3
PPPBPP,PPBBBBPPPPBB,BBBPBB,12,3
BPBPBP,BBPPPPBBBBPPBBPPBBPP,BPPBPP,20,5
PBBPPP,PPBBPPBBPPBB,PBBPPP,12,3
PPPPBP,BBPPPPBBBBPP,PPPPPB,12,3
BPPBBP,PPBBBBPPBBPP,BPPPBP,12,3
BBBBBP,BBPPPPBBPPBB,BBBBBP,12,3
BBBBBP,BBPPPPBBPPBB,BBBBBP,12,3
BBBBBP,BBPPPPBBPPBB,BBBBBP,12,3
PPPPPB,PPBBPPBBPPBB,PBPPBB,12,3
PPPPBP,BBPPPPBBPPBB,PPPPBB,12,3
PPPPPP,PPBBBBPPBBPP,BBBBBB,12,3
BBPPPB,BBPPPPBBPPBBPPBB,PBPPBB,16,4
BPBBBB,BBPPBBPPBBPP,BPPBBB,12,3
BBBBBB,BBPPBBPPPPBB,BBBBBP,12,3
PPPPPP,PPBBBBPPBBPP,PPPPPP,12,3
PBPBPP,PPBBBBPPBBPP,BBBBBB,12,3
PPBBBB,BBPPBBPPBBPP,PPPPPP,12,3
PPBBPP,PPBBPPBBPPBB,PPPPBB,12,3
BBBPBB,BBPPBBPPPPBB,PPPPBB,12,3
PPBBBP,PPBBPPBBBBPP,BBBBBB,12,3
PBBBPP,PPBBBBPPBBPP,PPBPBB,12,3
PBPBPP,PPBBBBPPBBPP,BBBPPB,12,3
BBPPPB,BBPPBBPPPPBB,BBBPPP,12,3
BBPPPB,BBPPBBPPPPBB,BBBPPP,12,3
BBPPBB,BBPPPPBBBBPP,PPPPBP,12,3
BPBPBP,PPBBBBPPBBPP,PPPPPP,12,3
PPPPPB,PPBBPPBBPPBB,PPBPPP,12,3
PPPBBB,PPBBPPBBBBPP,PPBPBP,12,3
BBPPPB,BBPPPPBBPPBB,BBPBBP,12,3
PPPBPP,PPBBBBPPBBPP,PBBBBB,12,3
BPPBBB,PPBBPPBBBBPP,PBPPPB,12,3
BBBBBB,BBPPBBPPPPBBBBPP,BBPBPP,16,4
BPPBBP,PPBBBBPPBBPP,PBPPPB,12,3
BPPPBP,PPBBBBPPPPBB,BBBBPB,12,3
BBBPBP,BBPPPPBBPPBB,PPPPBB,12,3
PPBPPP,PPBBPPBBPPBB,BBPBBB,12,3
BBBBPB,PPBBPPBBPPBB,PPPPBP,12,3
PBBPBP,BBPPBBPPPPBB,BPPPPB,12,3
PPBBPB,PPBBBBPPPPBB,BPBPBB,12,3
PPPBPP,PPBBBBPPPPBB,PBBPPB,12,3
PPBBBB,BBPPBBPPPPBB,BBBBPP,12,3
PPBBBB,BBPPBBPPPPBB,BPPPBB,12,3
BBBPBP,PPBBPPBBPPBBPPBB,PBBPPP,16,4
PBPBPB,BBPPBBPPPPBB,BPBPBB,12,3
PBPPPP,PPBBBBPPBBPP,PBBBPP,12,3
PPBBBB,BBPPPPBBPPBB,BBBPBB,12,3
BBBPBB,BBPPBBPPPPBB,PPBPBP,12,3
BPBPPP,PPBBPPBBPPBB,PBPBBP,12,3
BPBBBP,BBPPPPBBBBPPPPBB,BPBBBP,16,4
BBPPPP,PPBBBBPPBBPP,PBBPBB,12,3
BBPBPB,PPBBBBPPBBPP,BBBBPP,12,3
BPBBPB,BBPPBBPPPPBB,BBBBBP,12,3
BBBBBB,BBPPPPBBBBPPPPBB,BPPBPP,16,4
PPPBBP,BBPPPPBBPPBB,BPPBPP,12,3
BBBPPP,BBPPBBPPBBPP,PBBBPP,12,3
PPBPBP,PPBBBBPPPPBBPPBB,PBBBBB,16,4
PPPBBP,BBPPPPBBBBPP,PBBPBP,12,3
BPPPPP,PPBBPPBBBBPP,PBBBBP,12,3
BBBBBB,BBPPPPBBBBPP,BBBPPB,12,3
PPBBBB,BBPPPPBBPPBB,BBBBPB,12,3
PBBBPP,PPBBBBPPPPBB,BBBBBP,12,3
PBBPPP,BBPPPPBBPPBB,BBBBBP,12,3
BPPPBP,PPBBBBPPPPBB,BPBBPB,12,3
PBPBPP,PPBBPPBBPPBB,BPBPPP,12,3
PPBPBP,BBPPBBPPPPBB,PBBPPP,12,3
PPPBPB,BBPPPPBBPPBB,PPPPPB,12,3
BBBPPP,PPBBBBPPPPBB,BBBBBP,12,3
BPBPBP,BBPPBBPPBBPP,PPBPPP,12,3
BPBPBB,BBPPPPBBPPBBPPBB,BPBPPP,16,4
BPPBPP,PPBBBBPPPPBB,BPPPBB,12,3
PPBPBB,BBPPPPBBBBPPBBPP,BPPPPP,16,4
PPBBBP,BBPPPPBBPPBB,PBBPBB,12,3
BBPBPB,BBPPPPBBPPBB,PBPPBP,12,3
BBPPBP,PPBBBBPPBBPP,PBPBBP,12,3
BBPBBP,BBPPBBPPBBPP,BPPBPP,12,3
PBPPBP,PPBBBBPPPPBB,BBPBPP,12,3
BBPBPP,PPBBBBPPPPBB,BPPPBP,12,3
PPBBPB,PPBBBBPPPPBBBBPP,PPBPPP,16,4
BPBPBB,BBPPBBPPBBPP,BPPBBP,12,3
PPBBBP,BBPPPPBBBBPP,PBPPPB,12,3
BPBBBB,BBPPPPBBPPBBBBPPPPBB,BBPBPP,20,5
BBBPBB,BBPPPPBBPPBBBBPP,PPPPPP,16,4
BBBBBB,BBPPPPBBPPBB,PPPPPP,12,3
PBBBBB,BBPPPPBBBBPP,PPPBBP,12,3
BBPPPP,PPBBBBPPBBPP,PPPPPP,12,3
PPBPPB,PPBBPPBBPPBB,PBBBBP,12,3
BPPBPP,PPBBPPBBBBPP,PPBPBB,12,3
BPBBBP,BBPPBBPPBBPP,PBPPPP,12,3
PPBPBP,PPBBPPBBBBPP,BBPBBB,12,3
PPPBBP,PPBBPPBBPPBBBBPPPPBB,PBPBBP,20,5
PPPBBP,PPBBPPBBPPBBBBPPPPBB,PBPBBP,20,5
PPBPBP,PPBBBBPPPPBB,PPPPBB,12,3
BBBPPP,BBPPPPBBPPBBPPBB,PPPPPP,16,4
BPPPPP,PPBBPPBBBBPP,PBPPPP,12,3
PPBBBB,BBPPBBPPPPBB,BPPBBP,12,3
PBBBPB,BBPPPPBBBBPP,BBPBBP,12,3
BPBBPB,PPBBPPBBBBPPPPBB,BPBPPB,16,4
PBBPPB,BBPPPPBBBBPP,PPPPPP,12,3
BBBPPP,PPBBPPBBPPBB,PPPBBP,12,3
BPBBBB,BBPPBBPPPPBB,PBBPPB,12,3
BPBBBB,BBPPBBPPPPBB,PBBPPB,12,3
PBPPBP,BBPPPPBBBBPP,BPPPPP,12,3
PPPPPP,PPBBBBPPBBPP,BBBPPP,12,3
BPPBPB,PPBBBBPPPPBB,BPPPBB,12,3
PPPPBP,PPBBPPBBPPBB,BPPBPB,12,3
PBBBPB,PPBBPPBBPPBB,BBBBBP,12,3
PPBPPP,PPBBBBPPPPBB,BBBBBB,12,3
PPBBBP,PPBBPPBBBBPP,BPBPBB,12,3
PPPPPB,PPBBBBPPPPBB,BBBBPP,12,3
PPPBBP,PPBBBBPPPPBBBBPP,BBBPPP,16,4
PBBPBP,BBPPBBPPBBPP,BBPBPB,12,3
BBBPPP,BBPPBBPPPPBB,PBPPPP,12,3
PPPPPP,PPBBPPBBPPBB,PPPBPP,12,3
BPBBPB,PPBBPPBBBBPP,BPPPBP,12,3
BBBPPP,PPBBPPBBBBPPBBPPBBPP,PPPPBP,20,5
BPPBBB,BBPPBBPPBBPP,BPBBPP,12,3
BBBPPB,PPBBBBPPBBPP,PBBBBP,12,3
PPBBBP,PPBBPPBBBBPP,BBBBBB,12,3
PPBPPP,PPBBBBPPBBPP,PPPPPB,12,3
BPPPPB,PPBBPPBBBBPPPPBB,PBBBBB,16,4
BPPBBB,BBPPBBPPPPBB,BBPBBB,12,3
BPBBBP,BBPPPPBBBBPP,BPBPPB,12,3
BBBPBP,PPBBBBPPPPBB,PBPBPB,12,3
PPPPPB,PPBBPPBBPPBB,BBBPPB,12,3
PPPBBB,PPBBBBPPPPBB,PPPBBB,12,3
PBPBBP,BBPPBBPPBBPP,BBBBBB,12,3
PPBBPB,PPBBBBPPBBPP,PBPPBP,12,3
BBBPBP,PPBBBBPPPPBB,PBBBBB,12,3
BBBPPP,BBPPBBPPBBPP,BBPBPP,12,3
PPPBPP,PPBBBBPPBBPP,BBBPBB,12,3
BPBBBB,BBPPPPBBPPBB,PBBBBB,12,3
BBBPPP,BBPPBBPPPPBB,BBBBBP,12,3
BPBBBB,BBPPPPBBPPBB,PPBPPP,12,3
PBBPBP,PPBBPPBBPPBB,PPPPPP,12,3
PBBBPB,PPBBPPBBBBPP,BBBBBB,12,3
