before,pingpong_L,after,length
BPBBPP,BPBPP,PBBBBP,5
BPBBPP,BPBPP,PBBBPP,5
PBBPPP,BPBPP,BBPPPB,5
PBBPPP,BPBPP,BPBBBP,5
PPPPPP,BPBPP,PBBPBB,5
PBBPPB,BPBPP,BBBPPB,5
PPPBBP,BPBPP,PBPPPP,5
BBBPBB,PBPBB,PBPBBB,5
BPBPBB,PBPBB,BBPPPP,5
BPBPBP,BPBPP,PBPBPB,5
PBPPPB,PBPBB,BPBPBP,5
PBBBPB,PBPBB,PBBPPP,5
BBBPBB,BPBPP,PPPBBB,5
BBBBBP,BPBPP,PBBBBB,5
BBBPBB,BPBPP,PBPBPP,5
BPBPPP,BPBPP,PPBBPP,5
BBPPPB,PBPBB,PPPBPB,5
BBPPPB,PBPBB,BPPPBB,5
BBPPBB,BPBPP,BPBPPP,5
BBPPBB,PBPBB,BPBPBB,5
PBPBBB,PBPBB,BPPBPB,5
PBBBPP,BPBPP,BPBPPB,5
PBPBPP,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PPPPBB,5
PPBBBB,BPBPP,BPPPPP,5
PPPBBB,BPBPP,PPBPBP,5
BBBPPP,BPBPP,BBBPBB,5
PPBBPB,BPBPP,BBBPBP,5
BPPBBB,PBPBB,PBPPBB,5
PBPPBB,PBPBB,PPBPPB,5
PBBBPP,PBPBB,PBPBPP,5
PBPBBP,BPBPP,BPBBPB,5
BPPBPB,BPBPP,BBPBPB,5
BBPBBP,BPBPP,BBPBPB,5
PBPPBB,PBPBB,BPBBPB,5
BBPBBP,PBPBB,PPPBBP,5
PPBBPB,BPBPP,BBBPBP,5
BPPBBB,PBPBB,PPBPPB,5
BBPPPB,BPBPP,PPPBPB,5
BPPPPP,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PPPPPB,5
PPPPBB,PBPBB,PPPBPP,5
BPPPBP,PBPBB,BPBPPP,5
PPBPBB,BPBPP,PBPPPP,5
BBBBPB,PBPBB,PBBBPB,5
PPBBPP,BPBPP,PPPPBP,5
BBBBPB,PBPBB,PPBBPP,5
BBPPPP,PBPBB,PBPBPB,5
BPBBPB,PBPBB,PPPPPB,5
BBPBBB,PBPBB,PBPPBP,5
PBBPBP,PBPBB,BPBPPP,5
PPBPBB,BPBPP,PPPPBP,5
PPPPPP,BPBPP,PBPPPB,5
BBPPPB,PBPBB,BBBBPB,5
BBBBPB,BPBPP,BPPPPB,5
PPPPBB,PBPBB,BPPPBP,5
BBBBBB,BPBPP,PPBPPB,5
PBPPBB,BPBPP,PBPBBP,5
BBPBPP,PBPBB,PBBBBB,5
PPBPPB,BPBPP,PBBBPP,5
PPBBBP,PBPBB,PPBPBP,5
PBBPPB,PBPBB,PPPBPP,5
BBBBBP,PBPBB,BPBPBP,5
BPBBBP,BPBPP,BPBBBB,5
BBBBBP,PBPBB,PBPPPP,5
BPBBPB,PBPBB,PPBPPP,5
BPBBPP,BPBPP,BBBBPB,5
PPPBBP,BPBPP,BBBBPP,5
PPBBBP,BPBPP,BBBPBB,5
BBPPBP,BPBPP,PBPPBP,5
PPPBPP,BPBPP,PPPBPB,5
PBPPPP,PBPBB,BBPPBP,5
BBBBPP,BPBPP,BPBPBB,5
BPBPPB,PBPBB,BBBBPP,5
BPBBBB,PBPBB,BPPPPB,5
BBPPPP,BPBPP,PPPPPB,5
PPPPBP,BPBPP,BPPBPP,5
BPPPPP,BPBPP,BPBBBP,5
PBBPPB,BPBPP,BBBPBP,5
BPPBBB,BPBPP,PBPPPP,5
PPPPPP,BPBPP,PPBBPP,5
BPBBPP,PBPBB,PPPPPP,5
PPBBPP,BPBPP,PPPBBP,5
PBBBBP,BPBPP,PBBBBP,5
PPPBBB,BPBPP,BPPPBB,5
BPBBBP,BPBPP,BBPBBP,5
BPPBPP,PBPBB,PPBBBP,5
BBPPBB,BPBPP,PBPBPP,5
BPBPPP,BPBPP,BPBBPP,5
BBPBBB,PBPBB,BBBPBB,5
PBBPPP,PBPBB,PBBBPB,5
BBPBBP,PBPBB,BPPBBP,5
BBPPBB,PBPBB,BPPPBB,5
BBBBPB,BPBPP,BBBPPB,5
PBPPPB,BPBPP,BBBBPP,5
PPBBBP,BPBPP,BBPPPP,5
PPPBBP,PBPBB,BBBBBP,5
BPBPBP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,PBBBPP,5
BBPBBB,BPBPP,PPBBBP,5
BBBPPP,PBPBB,BBBPBB,5
PPBPPB,PBPBB,BBPBBP,5
PBBPPB,BPBPP,BBPPPB,5
PPBBPP,PBPBB,PPBPBB,5
PBPBBP,PBPBB,BBPBPB,5
PBBBBP,BPBPP,BBBPBB,5
BBBPBB,PBPBB,BPBBPP,5
PPPPPP,PBPBB,BBBPBP,5
PBBBBB,PBPBB,BPBBBB,5
BBBPPB,BPBPP,PBBBBB,5
PBPBPB,PBPBB,PPBPPB,5
BBPPBP,BPBPP,BPBBBB,5
PBBBBP,BPBPP,BPBPBB,5
BPBPPB,PBPBB,BBBPPP,5
BBBBPB,PBPBB,PBBBPB,5
BBBBPB,PBPBB,BBPBPB,5
PBBBBP,BPBPP,PPBPPB,5
PPBPPB,BPBPP,BPBBBB,5
BBBBPP,BPBPP,PPBBBP,5
BPBPBP,BPBPP,BBPPBP,5
BPPBPP,BPBPP,PPPPPB,5
BPPBBP,BPBPP,PPBBBP,5
PPBPBP,BPBPP,BPPBPB,5
BPPBPP,BPBPP,BBPBPB,5
BBPPPB,PBPBB,BPBBBB,5
BBPBBB,PBPBB,PBBPPP,5
PPPPBB,PBPBB,BBPPBP,5
PBBBBP,PBPBB,PBBBPB,5
BPPBBB,BPBPP,PPPBBP,5
BBPPBP,BPBPP,BBBBPP,5
BBBPPB,BPBPP,PPPBBP,5
PPBPPP,PBPBB,BBBPBP,5
BPBBBB,BPBPP,PPPBBP,5
BBBPBB,BPBPP,BBBBBP,5
BPPPPP,PBPBB,PPBPBP,5
PBBPPB,PBPBB,PPPBPB,5
BPBBPP,PBPBB,BBPBPB,5
BBPPBB,PBPBB,PPBPPP,5
PPBBPP,BPBPP,BPPBPP,5
BPPBPB,PBPBB,PPBPBP,5
PBBPPB,PBPBB,PPBPBP,5
PBBPPB,PBPBB,PBPPBB,5
PPPPPP,PBPBB,BBBPPP,5
BBBPPP,PBPBB,PBPPBB,5
PPBBPP,PBPBB,PBBPBB,5
BBBPBB,PBPBB,BPPBBB,5
BBBPPP,BPBPP,BPBPBP,5
PBPPBP,BPBPP,PBPBPP,5
PPPPPP,BPBPP,PPPPPB,5
PPPPPB,BPBPP,PBPBPP,5
BPBPPP,BPBPP,PPBBBB,5
BBBPPP,BPBPP,PBBPBP,5
PBPPPB,BPBPP,PPBBPB,5
BPBBBP,BPBPP,PPPPBB,5
BBPPPP,PBPBB,BPBPPP,5
PPBPBB,BPBPP,PPPPPB,5
BPPPBP,PBPBB,BBPPBP,5
PPBPBP,BPBPP,PPBBBP,5
PBBBPB,BPBPP,PPPPBP,5
PPPPPP,BPBPP,PBPBPB,5
BBBPBP,BPBPP,BBPPPP,5
BPPPPB,BPBPP,PPPPBP,5
BPPPPP,PBPBB,PBBBPB,5
BPPPBB,PBPBB,PPPBBB,5
BBBBBB,BPBPP,BBPPPP,5
PPPPBB,BPBPP,BPPBPP,5
PPBBBB,PBPBB,PBPPBB,5
PPBBPP,PBPBB,PBPBPB,5
BBPBPB,PBPBB,BPBBPP,5
BBPBBP,PBPBB,PBBBBB,5
PBPBPB,PBPBB,PPPPPB,5
PPBBPP,BPBPP,PBPPPP,5
PBPPPP,BPBPP,PBBPBP,5
PBPPPB,BPBPP,BPPPBB,5
BBBPBP,BPBPP,BBBBPB,5
BPPBBB,PBPBB,PPBBBB,5
PBBBPP,BPBPP,PPBBBB,5
BPPPPB,BPBPP,BBBBBP,5
PBPPBP,BPBPP,PPPBBP,5
BPBPBP,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PPBBPB,5
BPBPBP,BPBPP,BBPPBP,5
BPPBBP,PBPBB,PBBBPP,5
BBBPBP,BPBPP,PBBPBB,5
PPPBBB,PBPBB,BPPPBP,5
PBBBPP,PBPBB,BPBBBP,5
BBBBBB,PBPBB,BPBPPB,5
BPBPBB,BPBPP,BPPBPP,5
PBBBBP,PBPBB,BPPPBB,5
BPBBPP,BPBPP,BBBBPB,5
BPPPBB,BPBPP,PPPPPP,5
PPPPBB,PBPBB,PBBPBB,5
BBPBBB,PBPBB,PPBBBP,5
PBBPBP,BPBPP,PPPPBB,5
PPBBPB,BPBPP,PPPBPP,5
BBBBBP,BPBPP,PBBBPP,5
BBPPBB,BPBPP,PPBPBB,5
BPBPPP,PBPBB,BPPPBB,5
BPPPBB,PBPBB,PBPPPB,5
PBPPPP,BPBPP,PBBBBP,5
BPPBPP,PBPBB,PBBPBB,5
BBPBBB,BPBPP,PPPBBP,5
PPPPPB,BPBPP,PBBPPP,5
PPBBPP,PBPBB,BBBPBP,5
PPPPPB,BPBPP,BPBPBP,5
BPPBPB,PBPBB,BBBBBP,5
BBBBBB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PBBPPP,5
BBBPPB,PBPBB,PPPPPP,5
BPBBBB,PBPBB,PPBBBP,5
BPPBBB,PBPBB,BPBPPP,5
PBPBPB,PBPBB,BPPPBP,5
BBBPPP,BPBPP,PBPPBB,5
PBBPBB,BPBPP,BPPPPB,5
BBBPPB,PBPBB,PBBBBP,5
BBPPPP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,BPPPPB,5
BBBPPP,PBPBB,BPBBPB,5
BBPBBP,BPBPP,PPBPBP,5
PBPPPP,BPBPP,BPBBPP,5
PPPPBP,BPBPP,PPPBPB,5
BPPPPP,BPBPP,BBPPPP,5
PBPBPB,PBPBB,PPBPPP,5
BBPPPP,PBPBB,BBBPBP,5
BPBBBB,BPBPP,BBBBBP,5
PBBPPP,PBPBB,BBPPBP,5
PBBBBP,PBPBB,PPBPBB,5
PBPBBP,PBPBB,PPPPPP,5
PPPPPP,PBPBB,BPPBPP,5
BBPPPB,BPBPP,PBBBBB,5
BBBBPB,PBPBB,BBBBPP,5
PPPPPP,PBPBB,BPPPBB,5
PPPBBP,PBPBB,BPPPPB,5
PBBBBB,BPBPP,BPBBBB,5
BBBBPP,PBPBB,BBPBPP,5
BPBPBB,PBPBB,BBBBBP,5
BBBBBB,BPBPP,BPBBBB,5
PBBBBP,BPBPP,BPPPBB,5
PBPPPB,BPBPP,BPPBPB,5
PBBBPB,BPBPP,BBPBBP,5
BPBBPP,PBPBB,BPPPBB,5
PPBBPB,PBPBB,PPBPPP,5
BBBBBP,PBPBB,BBBPPB,5
BBBPPP,BPBPP,PBBBBB,5
BBBBBP,PBPBB,BPBBBB,5
PPBPPP,BPBPP,BBPPBP,5
BPPBBB,BPBPP,BPBBBP,5
BBPPPP,PBPBB,PPPBPP,5
PPPBPP,PBPBB,PBPBBP,5
PPBPBB,PBPBB,PBBBBB,5
BBPBBP,PBPBB,BPBBPB,5
BBBBPB,PBPBB,BPBBPP,5
BBBPBB,BPBPP,BBBBBP,5
PBBPPP,BPBPP,BBPBBP,5
PPBBPB,BPBPP,BPPPBP,5
BPPBPP,PBPBB,BPPPPP,5
PPPPBB,BPBPP,PPPBBP,5
PPBBPP,PBPBB,PPBBBP,5
PPBBBP,PBPBB,PPPBPB,5
BBPPPB,PBPBB,BBBPPP,5
BPBBBP,PBPBB,BBBBBB,5
BBPPPP,PBPBB,BBBBBB,5
PPPBBB,BPBPP,PBPBBP,5
BPBBPP,PBPBB,BPPPPP,5
PPPBBB,PBPBB,PBPPPB,5
BBPPPP,BPBPP,PBPPBP,5
BPPBPP,BPBPP,PBBPPP,5
PBBBBB,PBPBB,BPPPPB,5
PPPPPP,PBPBB,BBBPPB,5
BBBBBP,PBPBB,BBBBPP,5
BBBBBB,PBPBB,BPBPBB,5
PBPBBB,PBPBB,BBPPBB,5
PPBPBB,PBPBB,PBBBBP,5
BBPPPP,PBPBB,BBPBBP,5
BPBBPP,BPBPP,BBBPPP,5
BPPBBP,PBPBB,BBBPPB,5
