before,no_column,after,length
BBPPBB,BPBPBPBPBP,PBPBBP,10
BBBBPB,BPBPBPBPBP,PBBPBP,10
BBBBPP,PBPBPBPBPB,PBPBBB,10
BBBBPP,PBPBPBPBPB,PBPBBB,10
BBBPPB,BPBPBPBPBP,PBPPBP,10
PPBPPB,BPBPBPBPBP,BBPPBP,10
BBBPPP,PBPBPBPBPB,PPPPPB,10
BBBPPP,PBPBPBPBPB,PPPPPB,10
BBBPPP,PBPBPBPBPB,PPPPPB,10
BPPPPB,BPBPBPBPBP,BBPBBP,10
PPPBBP,PBPBPBPBPB,BPBPBP,10
BBBPBB,BPBPBPBPBP,PPBPPP,10
BPBBPP,PBPBPBPBPB,PBPPPB,10
PBPBBB,BPBPBPBPBP,BPBPBP,10
PPBPBB,BPBPBPBPBP,BPBPPB,10
BPBPPB,BPBPBPBPBP,PBBBBP,10
BPBPPB,BPBPBPBPBP,PBBBBP,10
PPPPPB,BPBPBPBPBP,PPPBPB,10
BPPPPB,BPBPBPBPBP,BPPBPB,10
BPPBBB,BPBPBPBPBP,PBBBPB,10
PBBBBP,PBPBPBPBPB,BPPBPB,10
PPBPBP,PBPBPBPBPB,PBBBPP,10
PBBPBP,PBPBPBPBPB,PPPPPP,10
BBBBPP,PBPBPBPBPB,PBPBBP,10
BBBPPP,PBPBPBPBPB,BPPPBP,10
BBPPBB,BPBPBPBPBP,PPBBPP,10
BPPBPB,BPBPBPBPBP,PPPPBP,10
BBBPBB,BPBPBPBPBP,PPBPPB,10
PPBBPP,PBPBPBPBPB,BBBBPB,10
PBBPPP,PBPBPBPBPB,BPPPBP,10
BPBBPP,PBPBPBPBPB,BPPBBP,10
BPBBPP,PBPBPBPBPB,BPPBBP,10
PBBPBP,PBPBPBPBPB,BPBPBP,10
PBPBPB,BPBPBPBPBP,BPBPPB,10
PPBPPB,BPBPBPBPBP,BPBPBP,10
PPBPPB,BPBPBPBPBP,BPBPBP,10
BBPBPB,BPBPBPBPBP,PPPBPP,10
BBBBBP,PBPBPBPBPB,PBBBPB,10
PPPBBB,BPBPBPBPBP,BPBBPP,10
BBBBBP,PBPBPBPBPB,PBPPBB,10
BPBPBB,BPBPBPBPBP,BBPPPP,10
PBBPBP,PBPBPBPBPB,PBBPBB,10
PBPPBP,PBPBPBPBPB,BPPBPB,10
PPBPBB,BPBPBPBPBP,PPPPBB,10
PBPBPB,BPBPBPBPBP,BBPBPP,10
BBBBPB,BPBPBPBPBP,BPBBBB,10
BBPPBP,PBPBPBPBPB,BPBPBB,10
PPBPPB,BPBPBPBPBP,BBBBBB,10
PPPBBB,BPBPBPBPBP,PPBBPP,10
PPBBBB,BPBPBPBPBP,BBPBBB,10
PPPBPP,PBPBPBPBPB,BBPPPP,10
PPPBPP,PBPBPBPBPB,BBPPPP,10
PPPBPP,PBPBPBPBPB,BBPPPP,10
PPPBBB,BPBPBPBPBP,BPPPBP,10
PBBBBB,BPBPBPBPBP,PBPPPB,10
PBBBBB,BPBPBPBPBP,PBPPPB,10
PBBBBB,BPBPBPBPBP,PBPPPB,10
BPBPPB,BPBPBPBPBP,PBBPBP,10
PPBBBB,BPBPBPBPBP,BBPPPB,10
PBPBBP,PBPBPBPBPB,BPBPPP,10
PBPBPP,PBPBPBPBPB,BPBPPP,10
BPPPBP,PBPBPBPBPB,BBPPPB,10
PBPBBP,PBPBPBPBPB,BPPBPB,10
PBPBBP,PBPBPBPBPB,BPPBPB,10
PBBBPP,PBPBPBPBPB,BBBPBP,10
PPPPPB,BPBPBPBPBP,PBPBBB,10
PPPPBP,PBPBPBPBPB,BBBBPB,10
BBBPPP,PBPBPBPBPB,PBPPBP,10
PPBBPP,PBPBPBPBPB,PPPBPP,10
BBBPBP,PBPBPBPBPB,PBPBPB,10
PPPBPB,BPBPBPBPBP,BBBBPP,10
PPPBPB,BPBPBPBPBP,BBBBPP,10
PBBPPB,BPBPBPBPBP,BBPPBB,10
BPPBBB,BPBPBPBPBP,PPPPBB,10
PPPPBP,PBPBPBPBPB,BBPBBB,10
PPPPBP,PBPBPBPBPB,BBPBBB,10
PBPPBP,PBPBPBPBPB,PBPPBP,10
BPBBBB,BPBPBPBPBP,PBPPPP,10
BBBBPB,BPBPBPBPBP,PPPBPB,10
BBBBPB,BPBPBPBPBP,PPPBPB,10
PBPBBP,PBPBPBPBPB,BBBBPB,10
BPBBBP,PBPBPBPBPB,BBBPBB,10
BPBBBP,PBPBPBPBPB,BBBPBB,10
BBPBPP,PBPBPBPBPB,BBPBBP,10
PBBBBP,PBPBPBPBPB,PPPBBB,10
PBBBBP,PBPBPBPBPB,PPPBBB,10
PBBBBP,PBPBPBPBPB,PPPBBB,10
BPBPBB,BPBPBPBPBP,BBBBPB,10
BBBPBP,PBPBPBPBPB,PBBBBP,10
BBBPBP,PBPBPBPBPB,PBBBBP,10
BPPBBB,BPBPBPBPBP,BBPPPB,10
PPBBPP,PBPBPBPBPB,PBBBBP,10
BPPPPB,BPBPBPBPBP,PPPPPB,10
BBPBBP,PBPBPBPBPB,PPPPBP,10
BBPPBB,BPBPBPBPBP,BPBPBP,10
BBPBPB,BPBPBPBPBP,BPBBPP,10
BBPBPB,BPBPBPBPBP,BPBBPP,10
PPPBBP,PBPBPBPBPB,BBPPPB,10
BPPPBB,BPBPBPBPBP,BPPPBP,10
BBBPBP,PBPBPBPBPB,PPPBPB,10
BPPBPB,BPBPBPBPBP,BBBBBP,10
BPPPPP,PBPBPBPBPB,PPPBPB,10
PPPBPP,PBPBPBPBPB,BBBPPP,10
BBPBBB,BPBPBPBPBP,PBBBBB,10
PBPBBB,BPBPBPBPBP,PPPPBB,10
BPPPBP,PBPBPBPBPB,PBPPBB,10
PBPBBP,PBPBPBPBPB,BPPPBP,10
BBBBBB,BPBPBPBPBP,BPPBBB,10
BPPPBP,PBPBPBPBPB,BBPBBB,10
BPPPBP,PBPBPBPBPB,BBPBBB,10
BBBPPB,BPBPBPBPBP,BBBPBP,10
BPPPBP,PBPBPBPBPB,BBPPPB,10
BPPPBP,PBPBPBPBPB,BBPPPB,10
BPBBPP,PBPBPBPBPB,PPBBPB,10
PPBPPP,PBPBPBPBPB,PPBBBB,10
BPBBBB,BPBPBPBPBP,BPBBPB,10
BPBBBB,BPBPBPBPBP,BPBBPB,10
BPBBBB,BPBPBPBPBP,BPBBPB,10
PBBBBB,BPBPBPBPBP,PPBBBP,10
BBPPBP,PBPBPBPBPB,BBPBPP,10
BPPPBP,PBPBPBPBPB,PBPBPB,10
PPBBPP,PBPBPBPBPB,PBBPBB,10
BBBBBB,BPBPBPBPBP,PPPBBP,10
BBBBBB,BPBPBPBPBP,PPPBBP,10
BBBBBB,BPBPBPBPBP,PPPBBP,10
BBBBBB,BPBPBPBPBP,PPPBBP,10
BPBPBP,PBPBPBPBPB,BPBBPB,10
BPPBBB,BPBPBPBPBP,PPPBPB,10
BBBBBB,BPBPBPBPBP,BPPPPB,10
BPPPBP,PBPBPBPBPB,PPBPBB,10
BBPPBP,PBPBPBPBPB,PBPBPP,10
BBPPBP,PBPBPBPBPB,PBPBPP,10
BBPPBP,PBPBPBPBPB,PBPBPP,10
BBPPBP,PBPBPBPBPB,PBPBPP,10
BPPBPP,PBPBPBPBPB,BBPBPB,10
BPPBPB,BPBPBPBPBP,BPBBBB,10
BBBPPB,BPBPBPBPBP,PPPPPB,10
PPPPBB,BPBPBPBPBP,BBPBBP,10
PBPPPP,PBPBPBPBPB,BPBPBB,10
BPBPBP,PBPBPBPBPB,BBBPBB,10
BBBPBB,BPBPBPBPBP,BBBPPB,10
PPBPBB,BPBPBPBPBP,PBPBPB,10
PPBPBB,BPBPBPBPBP,PBPBPB,10
BPBPPP,PBPBPBPBPB,PPPBBP,10
BPPPPB,BPBPBPBPBP,BPBPPP,10
PPPPPB,BPBPBPBPBP,PBBBBP,10
BPPPBB,BPBPBPBPBP,PPBBBB,10
PBBBPB,BPBPBPBPBP,BBPBBP,10
PBBBPP,PBPBPBPBPB,BBBPPB,10
BPPPPB,BPBPBPBPBP,BBBPBP,10
BPBPBB,BPBPBPBPBP,BBBBBP,10
PBPPPP,PBPBPBPBPB,BPPBPP,10
PPPBPB,BPBPBPBPBP,PBPPPB,10
BPPPBB,BPBPBPBPBP,BBPBPB,10
BPPPPP,PBPBPBPBPB,BBBPPP,10
PBBPBB,BPBPBPBPBP,BPPPBB,10
BBBBPP,PBPBPBPBPB,BBBBBB,10
BPBBBB,BPBPBPBPBP,PBPBBP,10
PPPPPP,PBPBPBPBPB,PPBBPP,10
BBPBPB,BPBPBPBPBP,PPPPBP,10
PPBPPP,PBPBPBPBPB,BBPPBP,10
PPBPPB,BPBPBPBPBP,BBPBPB,10
BPBBPB,BPBPBPBPBP,BBBBPB,10
PBPPPB,BPBPBPBPBP,PBBBBP,10
BPBBBB,BPBPBPBPBP,BPBPBP,10
PBPBPB,BPBPBPBPBP,BBBPPB,10
BPBPPB,BPBPBPBPBP,BBPBBP,10
BPBPBP,PBPBPBPBPB,PPPPBB,10
BPPPBP,PBPBPBPBPB,PBBPPB,10
PPPPPB,BPBPBPBPBP,BPBPBP,10
BPBPBP,BPBPBPBPBP,PPPPBB,10
PPPBBP,PBPBPBPBPB,PPPBBB,10
BPBBPP,PBPBPBPBPB,BPBBBB,10
PPBBPP,PBPBPBPBPB,BBPBBB,10
BBPBPB,BPBPBPBPBP,PBBPPB,10
PPBBPP,PBPBPBPBPB,PPPPBP,10
PBPBPP,PBPBPBPBPB,BBPBBB,10
BBBBBB,BPBPBPBPBP,PPBBBB,10
BPBPBB,BPBPBPBPBP,PPBPBB,10
PBBPPB,BPBPBPBPBP,PPBBBP,10
BBBBBB,BPBPBPBPBP,BBBBPP,10
PBPBBB,BPBPBPBPBP,PBPBPB,10
PPPPBB,BPBPBPBPBP,PPBBPB,10
PBBPBB,BPBPBPBPBP,PBBBPP,10
PPBBPP,PBPBPBPBPB,PPPBBB,10
PBPPBP,PBPBPBPBPB,BPBPPB,10
PBPPBB,BPBPBPBPBP,BPPPPB,10
BBBPPB,BPBPBPBPBP,PPPPPB,10
BPPBPB,BPBPBPBPBP,PBPBPP,10
PBBBPP,PBPBPBPBPB,BBBPBP,10
BPBBBB,BPBPBPBPBP,BPPPBB,10
PBBBBP,PBPBPBPBPB,BPBBBB,10
PPBPPP,PBPBPBPBPB,BBPPPP,10
PBPBBP,PBPBPBPBPB,PPBBBB,10
PBPPBB,BPBPBPBPBP,PPPPBP,10
PBBBPB,BPBPBPBPBP,PPBBBP,10
PBBBBB,BPBPBPBPBP,BPBBPB,10
BBBPPP,PBPBPBPBPB,PBPPBB,10
PBBBPP,PBPBPBPBPB,PPBPBB,10
PBBPBP,PBPBPBPBPB,PPBBPP,10
BPBPPB,BPBPBPBPBP,BBBBPB,10
PPBBBP,PBPBPBPBPB,BBBBBB,10
BBPPPB,BPBPBPBPBP,BBPPPP,10
PPBBBB,BPBPBPBPBP,PPBPBB,10
BBBPBP,PBPBPBPBPB,PBBBBP,10
PPPBPP,PBPBPBPBPB,PBBPPB,10
PBBBPP,PBPBPBPBPB,BPBBBB,10
BBPPPB,BPBPBPBPBP,BBPBPP,10
PPBPBB,BPBPBPBPBP,BBPBPP,10
BBBBBB,BPBPBPBPBP,BBPPBP,10
BPPBPB,BPBPBPBPBP,PPBBPP,10
BBBBPP,PBPBPBPBPB,PPBPPB,10
BBBPBP,PBPBPBPBPB,PPBBBB,10
BPPBPB,BPBPBPBPBP,BBBPPB,10
PPBPPP,PBPBPBPBPB,BPBPBB,10
PPBPPP,PBPBPBPBPB,BPBPBB,10
BPBPBP,PBPBPBPBPB,BBPBBB,10
BBBBBB,BPBPBPBPBP,PBBBBP,10
BPPPBP,PBPBPBPBPB,BBBBBP,10
BBBPPP,PBPBPBPBPB,PPPBPP,10
PBPBPP,PBPBPBPBPB,BBBBBB,10
PBBBBB,BPBPBPBPBP,PBBPPB,10
PBPPPB,BPBPBPBPBP,BBBBPP,10
BPBBBP,PBPBPBPBPB,PPPPBP,10
BBPPBP,PBPBPBPBPB,BPPBPB,10
BBPPPP,PBPBPBPBPB,BPPBPP,10
PBBPBB,BPBPBPBPBP,PBPBPB,10
PPBPBP,PBPBPBPBPB,BPPBPB,10
BBBBBP,PBPBPBPBPB,BPBBBP,10
PBBBBB,BPBPBPBPBP,BBPBPB,10
BBBBPB,BPBPBPBPBP,PPPBPP,10
BBBPBB,BPBPBPBPBP,BPBPBP,10
BBBPBP,PBPBPBPBPB,BBBPPP,10
PPBPBP,PBPBPBPBPB,PBBBPB,10
PPPPPB,BPBPBPBPBP,BBBBPP,10
PPPBPP,PBPBPBPBPB,BPBPPB,10
BBBPPB,BPBPBPBPBP,PBPPPB,10
BPPBPP,PBPBPBPBPB,PPBBBB,10
BBBBPP,PBPBPBPBPB,PBPPPB,10
PPPBPP,PBPBPBPBPB,BBPPBP,10
PPPBPP,PBPBPBPBPB,BBPPBP,10
PPPBPP,PBPBPBPBPB,BBPPBP,10
BPPPPB,BPBPBPBPBP,PPPBBP,10
BPPBBB,BPBPBPBPBP,BBPPBP,10
PPPBBB,BPBPBPBPBP,PPPPBB,10
PBPPPP,PBPBPBPBPB,BPPBBP,10
PPBPBP,PBPBPBPBPB,PBBPBP,10
BPPPBP,PBPBPBPBPB,PPBPBB,10
PPBBPB,BPBPBPBPBP,BBPBBP,10
BPPBBB,BPBPBPBPBP,PPBPPB,10
PPPPBB,BPBPBPBPBP,BBPBPP,10
PBPPPP,PBPBPBPBPB,BPBPBB,10
BPBBPB,BPBPBPBPBP,PBBBPP,10
PBPPPB,BPBPBPBPBP,PPPBBP,10
BPPBBB,BPBPBPBPBP,BBBBBB,10
PBBPPP,PBPBPBPBPB,PPBPBB,10
PBPPBP,PBPBPBPBPB,PBBBPP,10
PBPPBP,PBPBPBPBPB,PBBBPP,10
PPPPBB,BPBPBPBPBP,PPBPBB,10
PPPPPP,PBPBPBPBPB,PBBPBB,10
BPBPBB,BPBPBPBPBP,PBPPPP,10
PPBPBP,PBPBPBPBPB,PPBBBP,10
BPBBBB,BPBPBPBPBP,BPPPPP,10
BBPPBP,PBPBPBPBPB,BPBBBB,10
BPBBBB,BPBPBPBPBP,BBPPPB,10
BBPBPB,BPBPBPBPBP,PBPPBP,10
PPBBPB,BPBPBPBPBP,BBPPPB,10
BBBPBB,BPBPBPBPBP,PPPPBP,10
PBPPPP,PBPBPBPBPB,PBPBPP,10
PBPBBP,PBPBPBPBPB,BBPPPP,10
PPBPBP,PBPBPBPBPB,PBPBBP,10
BPBBPP,PBPBPBPBPB,BPPBBB,10
BPBBPP,PBPBPBPBPB,BPPBBB,10
PBBPPB,BPBPBPBPBP,BPBPBP,10
PPPPPB,BPBPBPBPBP,BPPPBB,10
BBBPBB,BPBPBPBPBP,BPBPPP,10
BPPPPB,BPBPBPBPBP,PPPBPB,10
BPBBPP,PBPBPBPBPB,PPBPPB,10
BBPPBB,BPBPBPBPBP,PBPBPB,10
BPBPBP,PBPBPBPBPB,PPBBBB,10
PBPPPB,BPBPBPBPBP,BBBBPP,10
BBPPBP,PBPBPBPBPB,BBBPPP,10
PBPBPP,PBPBPBPBPB,BPBBBB,10
BBBPPB,BPBPBPBPBP,BPBPBB,10
BBPBPB,BPBPBPBPBP,PPBPPB,10
PBBBPP,PBPBPBPBPB,PPPBPP,10
BBPBPP,PBPBPBPBPB,PBBPBP,10
BBBPPB,BPBPBPBPBP,PPBPBB,10
BBPBBP,PBPBPBPBPB,BBBBPB,10
PPBBPP,PBPBPBPBPB,PPBPBP,10
PPBPPB,BPBPBPBPBP,PBPPBP,10
PBBPBB,BPBPBPBPBP,BPPBBB,10
BPBBPP,PBPBPBPBPB,BPBBPP,10
BPPBPP,PBPBPBPBPB,BBPBPP,10
PBPBPP,PBPBPBPBPB,BBPPBP,10
BBPPPB,BPBPBPBPBP,PBBPPB,10
BBPPPB,BPBPBPBPBP,PBBPPB,10
BBBBPP,PBPBPBPBPB,PBBPPP,10
BPPBPB,BPBPBPBPBP,BPBBPP,10
PPBBBB,BPBPBPBPBP,BPPBBP,10
PPBBBB,BPBPBPBPBP,BPPBBP,10
PBPBBB,BPBPBPBPBP,BPPBBB,10
BBPPPP,PBPBPBPBPB,PBBBBB,10
BBPBBB,BPBPBPBPBP,PBPPPB,10
PPBBBP,PBPBPBPBPB,BPPBPP,10
BPBPPP,PBPBPBPBPB,PPBBBB,10
BPBBBP,PBPBPBPBPB,PBPBBB,10
BPPBPP,PBPBPBPBPB,PPPBPP,10
BPPPPP,PBPBPBPBPB,BPPBPP,10
PPBPBP,PBPBPBPBPB,BPPBPP,10
BPPPBB,BPBPBPBPBP,BBPBBP,10
PPBPPB,BPBPBPBPBP,PBBBBB,10
BPPBPP,PBPBPBPBPB,PPPBBB,10
PPBPBB,BPBPBPBPBP,PPBPPB,10
PBBBBP,PBPBPBPBPB,BBBPPP,10
BPBPBB,BPBPBPBPBP,BBPBPB,10
PBBBBB,BPBPBPBPBP,BBPPBP,10
PPPBBP,PBPBPBPBPB,BBBBBP,10
PPBPBP,PBPBPBPBPB,BBBBBB,10
PBPBBB,BPBPBPBPBP,PBBPBB,10
BPPPPB,BPBPBPBPBP,BBBPPP,10
PBPPBB,BPBPBPBPBP,BBBBBB,10
PPBBPP,PBPBPBPBPB,PPBPBP,10
BBPPPP,PBPBPBPBPB,BBBPBP,10
PPPBPB,BPBPBPBPBP,BBBBPB,10
BPPPBB,BPBPBPBPBP,PBBBBB,10
PPPBBP,PBPBPBPBPB,BPPBPB,10
BBBBPP,PBPBPBPBPB,PPBPBB,10
BBBBPP,PBPBPBPBPB,BPBPBP,10
BBBBPP,PBPBPBPBPB,PBBBPB,10
PPPBPB,BPBPBPBPBP,PBBBBP,10
PPPBPP,PBPBPBPBPB,PBBPBP,10
PPBPPB,BPBPBPBPBP,PPPPBB,10
BPBPBB,BPBPBPBPBP,PPBBBP,10
BPPPBP,PBPBPBPBPB,PPBBPB,10
BBPPBP,PBPBPBPBPB,PPBBBP,10
PPBBPP,PBPBPBPBPB,PBPBPB,10
BBPPPP,PBPBPBPBPB,BPBPPB,10
PPPBPP,PBPBPBPBPB,BBPPPP,10
PPPBPP,PBPBPBPBPB,BBPPPP,10
PPPPPB,BPBPBPBPBP,BPBPPP,10
PPPPPB,BPBPBPBPBP,BBPPBP,10
BPBPBB,BPBPBPBPBP,BBBBPB,10
BBPPPB,BPBPBPBPBP,BPPPBB,10
PBPPBP,PBPBPBPBPB,BPBBBP,10
BPBBBB,BPBPBPBPBP,PPPBBP,10
PBPPBP,PBPBPBPBPB,BPBBBP,10
BPBBBB,BPBPBPBPBP,PPPBBP,10
BPPPBP,PBPBPBPBPB,PBBBPP,10
PPPBBB,BPBPBPBPBP,BPPPPB,10
PPBPBP,PBPBPBPBPB,BBPPPP,10
BBBBBP,PBPBPBPBPB,BPBBBP,10
BPPPPB,BPBPBPBPBP,BBPPPB,10
PPPBBP,PBPBPBPBPB,BPBPBB,10
BBPBBP,PBPBPBPBPB,BPPPBP,10
PPBPPB,BPBPBPBPBP,PPBBBP,10
BBPPPP,PBPBPBPBPB,BPBBPP,10
BBPBBP,PBPBPBPBPB,PPPPPP,10
PPPBBB,BPBPBPBPBP,PBPPBP,10
PBBPBB,BPBPBPBPBP,PBPBBB,10
BBPPPP,PBPBPBPBPB,PBBPBP,10
BPBPBP,PBPBPBPBPB,BPBPPP,10
BPPBPP,PBPBPBPBPB,BPPPBB,10
BBPBPP,PBPBPBPBPB,BPBPPB,10
PPBPBB,BPBPBPBPBP,PBPBPB,10
PPPPBP,PBPBPBPBPB,BBBPBB,10
PBBPBB,BPBPBPBPBP,PPPBPP,10
BPBBPP,PBPBPBPBPB,PPBBBB,10
BBBPBB,BPBPBPBPBP,PBPBBB,10
BBBBPB,BPBPBPBPBP,BPPBBB,10
PPBPBB,BPBPBPBPBP,BBPPBB,10
PBBBBB,BPBPBPBPBP,BPBBBP,10
PBPBBB,BPBPBPBPBP,BBBBBP,10
BBBPPB,BPBPBPBPBP,BPBPBP,10
BPPBBB,BPBPBPBPBP,BPBBPB,10
PBBBPP,PBPBPBPBPB,PBBPBB,10
PBBBPB,BPBPBPBPBP,PBBBPB,10
BBPBBP,PBPBPBPBPB,PPPBBP,10
PPBPBB,BPBPBPBPBP,PBPBBB,10
BPBBBP,PBPBPBPBPB,PPPPBP,10
BBPBBB,BPBPBPBPBP,PPBPPB,10
PPPBBP,PBPBPBPBPB,BBBPBB,10
BPPPBP,PBPBPBPBPB,PPBPPB,10
BBBPBP,PBPBPBPBPB,BPPBPB,10
PBBBBB,BPBPBPBPBP,PPBBBB,10
PBBBBB,BPBPBPBPBP,PPBBBB,10
BPPPBB,BPBPBPBPBP,BPPBBB,10
BPBBBP,PBPBPBPBPB,PPBBPP,10
PBBBBB,BPBPBPBPBP,PPPBPB,10
PPPPPP,PBPBPBPBPB,PPBBBB,10
BBPPPB,BPBPBPBPBP,BPBPPB,10
PBPBBB,BPBPBPBPBP,PPPPPP,10
BBPBBB,BPBPBPBPBP,BPPBBP,10
PBPPBB,BPBPBPBPBP,PPBBPB,10
PBBBBB,BPBPBPBPBP,BPPBPP,10
PBBBBB,BPBPBPBPBP,BPPBPP,10
BPPBPP,PBPBPBPBPB,PBBPPB,10
BBBBPB,BPBPBPBPBP,BBBBBB,10
BPBPBP,PBPBPBPBPB,BPBBBB,10
BPBPBP,PBPBPBPBPB,BPBBBB,10
PBBBBP,PBPBPBPBPB,PBBPBB,10
BBPPBP,PBPBPBPBPB,BPPPPB,10
PPPPPB,BPBPBPBPBP,PBBPBP,10
BPBBPP,PBPBPBPBPB,PPBBBP,10
PBBPPP,PBPBPBPBPB,BBPPBB,10
PPBBPB,BPBPBPBPBP,PBBPBP,10
PBPPBB,BPBPBPBPBP,BBBPPP,10
BBBPPP,PBPBPBPBPB,BBPPPB,10
BBBBBB,BPBPBPBPBP,PBPPPP,10
BPBPPP,PBPBPBPBPB,PPBPBB,10
PBBPPB,BPBPBPBPBP,PBPBBB,10
PBPBPP,PBPBPBPBPB,BBPBPP,10
PPBBPP,PBPBPBPBPB,BBPPPP,10
BPBPBP,PBPBPBPBPB,PBPBPP,10
BBPBBB,BPBPBPBPBP,BBPPPP,10
BBPBBB,BPBPBPBPBP,BPPPPB,10
BPBPBP,PBPBPBPBPB,PPBBPB,10
BBBPPB,BPBPBPBPBP,PPPBPB,10
PPBPPP,PBPBPBPBPB,PBPPBB,10
PBBBBP,PBPBPBPBPB,BBBBBB,10
BBBBBB,BPBPBPBPBP,BPPPPB,10
BPBBPP,PBPBPBPBPB,BPPBBP,10
BPBBBP,PBPBPBPBPB,PBPBPP,10
PPPBBP,PBPBPBPBPB,BBPPBP,10
BPPBBP,PBPBPBPBPB,PPPPBP,10
BPBPBB,BPBPBPBPBP,PBPBBP,10
PBBPBB,BPBPBPBPBP,PPPBPB,10
BPPPBB,BPBPBPBPBP,PPPPPB,10
BBPPBP,PBPBPBPBPB,PBPPPB,10
PBPPPP,PBPBPBPBPB,PPBPBP,10
BBPPPB,BPBPBPBPBP,PBBPPB,10
BBBBPP,PBPBPBPBPB,BPPBPP,10
BBBPBP,PBPBPBPBPB,BPPPBB,10
BPPBBP,PBPBPBPBPB,PBPBBB,10
PBPBBP,PBPBPBPBPB,PBBPPB,10
PBBBPB,BPBPBPBPBP,PPBPBB,10
BBBBPB,BPBPBPBPBP,BBBBBB,10
BBPPPB,BPBPBPBPBP,BPPPPB,10
PPBPBB,BPBPBPBPBP,BPPPBP,10
BPBBPB,BPBPBPBPBP,PBBBBP,10
PBBBBB,BPBPBPBPBP,PPBBPB,10
PPPPBP,PBPBPBPBPB,PPBBBP,10
BPPBBB,BPBPBPBPBP,BBBBPB,10
BPPBPB,BPBPBPBPBP,BPBBBB,10
PPPPPP,PBPBPBPBPB,BPBPBP,10
BBBPPB,BPBPBPBPBP,PBPBPB,10
BBBPPP,PBPBPBPBPB,BBBPBB,10
PPPPBP,PBPBPBPBPB,PPPBPP,10
PBPPBB,BPBPBPBPBP,BBPPBB,10
PPBPPB,BPBPBPBPBP,PBPBBB,10
BBBPBB,BPBPBPBPBP,PPPPBB,10
PBBPBP,PBPBPBPBPB,PPPPBP,10
BPBBPP,PBPBPBPBPB,BPPPBB,10
BBBPBP,PBPBPBPBPB,BPPPBB,10
BPBPPB,BPBPBPBPBP,PPBPBP,10
BPBBBP,PBPBPBPBPB,PPBPPP,10
BPPPPB,BPBPBPBPBP,PBBBPP,10
BPPPPB,BPBPBPBPBP,PBBBPP,10
BPBPBB,BPBPBPBPBP,PPPPPP,10
BBBBPP,PBPBPBPBPB,BBBBBP,10
PPBPBB,BPBPBPBPBP,BBPPBB,10
BPBBBB,BPBPBPBPBP,BPPPBB,10
PBBPBB,BPBPBPBPBP,BPPPPB,10
BPPPBB,BPBPBPBPBP,PPBBPB,10
PBPBBB,BPBPBPBPBP,BPBBBP,10
PBPBBB,BPBPBPBPBP,BPBBBP,10
BPPBPB,BPBPBPBPBP,PBBPPP,10
BPBPBP,PBPBPBPBPB,BBBBPB,10
BBBPBP,PBPBPBPBPB,BBBBBP,10
PBBPPP,PBPBPBPBPB,PBPBBB,10
BBPPBP,PBPBPBPBPB,BPPBPB,10
PBPBPP,PBPBPBPBPB,PPBPPP,10
BBBPBB,BPBPBPBPBP,PBBPPP,10
BPBBPP,PBPBPBPBPB,PPPPBB,10
BBPBPP,PBPBPBPBPB,BBBBBP,10
BPBBPP,PBPBPBPBPB,PBPBBB,10
BBBBBB,BPBPBPBPBP,BPBPBB,10
PBBPPB,BPBPBPBPBP,PPBPBP,10
BBPPBP,PBPBPBPBPB,PBPBBP,10
BBBPPP,PBPBPBPBPB,PPBBPP,10
BPBPBB,BPBPBPBPBP,BBBBPB,10
BBPPPB,BPBPBPBPBP,BBPPBP,10
BBBBBP,PBPBPBPBPB,BPBPBP,10
BBBPBP,PBPBPBPBPB,PBBBPP,10
BBBBPP,PBPBPBPBPB,PBBPBB,10
BPBBPB,BPBPBPBPBP,PPPPBP,10
BBBPBP,PBPBPBPBPB,PBBBPB,10
PBBBBB,BPBPBPBPBP,PPBBBP,10
PBBPPP,PBPBPBPBPB,PBPPBB,10
BBBPBB,BPBPBPBPBP,BBPBBP,10
PBPBPP,PBPBPBPBPB,BBPPPB,10
BPBBBB,BPBPBPBPBP,PBPPPP,10
BPPPPB,BPBPBPBPBP,BPPPPB,10
BBPPBB,BPBPBPBPBP,PBPBPB,10
BPBPBP,PBPBPBPBPB,BPBPPB,10
PBBPPP,PBPBPBPBPB,BPBPBB,10
BBBBBP,PBPBPBPBPB,PBBPPB,10
BBPBPB,BPBPBPBPBP,PBPBPP,10
BPPBBB,BPBPBPBPBP,BPBPBP,10
BPPPPB,BPBPBPBPBP,BBPBPP,10
PPPPBB,BPBPBPBPBP,PPPBBB,10
PPPPBB,BPBPBPBPBP,PBBPPB,10
BBPBBB,BPBPBPBPBP,PPPBBB,10
BBBPBP,PBPBPBPBPB,BBPBBB,10
PPPPBP,PBPBPBPBPB,PBPPPB,10
PBPBBP,PBPBPBPBPB,PBPPPP,10
BBPPBP,PBPBPBPBPB,BBPBBB,10
BPPPPB,BPBPBPBPBP,PBBBBB,10
BBBBPB,BPBPBPBPBP,BPPPBB,10
PPPPBB,BPBPBPBPBP,PPBBBB,10
BBBPPP,PBPBPBPBPB,PPBBBB,10
BBPBBP,PBPBPBPBPB,BBPBBP,10
PPPBBP,PBPBPBPBPB,PPPBPB,10
PBBPBP,PBPBPBPBPB,BBPBPP,10
PPPPPP,PBPBPBPBPB,PBBBPP,10
PPPBBB,BPBPBPBPBP,PPBPBP,10
PPBPPP,PBPBPBPBPB,PBBBBB,10
BPPBBP,PBPBPBPBPB,BPPBPP,10
