before,flip_trigger,after,length,flip_to
BBPPPB,BPBPPP,PPBPBP,6,P
BPBPPB,BPBPPP,PPPPBB,6,P
BPPPBP,PBPBBB,PBPPPB,6,B
PPBPBB,BPBPPP,BPPPPP,6,P
PPBBPP,BPBPPP,PPPBPB,6,P
PBBPBP,PBPBBB,PBPPPP,6,B
PPBPBB,BPBPPP,PPPBPB,6,P
BBPPPB,PBPBBB,BBBPBB,6,B
PPPPBB,PBPBBB,PPPBPP,6,B
BBBBBB,BPBPPP,PBPPBB,6,P
PBPPBB,BPBPPP,BPBBPB,6,P
PPBPPB,BPBPPP,BBBPPB,6,P
BBBBBP,PBPBBB,PBPBPP,6,B
BPBPBP,PBPBBB,BBBPPB,6,B
BPPBPB,BPBPPP,PBPPPB,6,P
BBPPBP,BPBPPP,BPPBPB,6,P
PPPBPP,BPBPPP,PPBPBB,6,P
PBPPPP,PBPBBB,BPPBPB,6,B
BPBPPB,PBPBBB,BBBPPP,6,B
BPBBBB,PBPBBB,PPPPBP,6,B
BBPPPP,BPBPPP,PPPPBP,6,P
PPBPBP,PBPBBB,PPPPBP,6,B
BPPBBB,BPBPPP,BPPPPB,6,P
PPPPPP,BPBPPP,PBBPPB,6,P
PPBBPP,BPBPPP,PPBBPB,6,P
PBBBBP,BPBPPP,BBBBPB,6,P
BBPPBB,BPBPPP,BPBPPB,6,P
BBPBBB,PBPBBB,BBPBBB,6,B
BBPBBP,PBPBBB,PPBBPP,6,B
BBPPBB,PBPBBB,PPPBBB,6,B
PPPBBP,PBPBBB,BBBBPB,6,B
BPBPBP,BPBPPP,PBPBBP,6,P
BBPBBB,BPBPPP,PBBBPP,6,P
BBBPPP,PBPBBB,BBPBBP,6,B
PPBPPB,PBPBBB,BPBBPB,6,B
PBPBBP,PBPBBB,BPBPBP,6,B
BBBPBB,PBPBBB,PBBPPP,6,B
PPPPPP,PBPBBB,BBPBPB,6,B
PBBBBB,PBPBBB,PBBBBB,6,B
BBBPPB,BPBPPP,BBBBBB,6,P
BPBPBP,PBPBBB,BPBPBP,6,B
BPBPPB,PBPBBB,BBPPPP,6,B
BBBBPB,PBPBBB,BPBPBP,6,B
PBBBBP,BPBPPP,PBPPBB,6,P
BBBBPP,BPBPPP,PBBBPB,6,P
BPPBPP,BPBPPP,PPPPBB,6,P
BPPBBP,BPBPPP,PBBBPP,6,P
BBPPPB,PBPBBB,PBBBBB,6,B
BBPBPB,BPBPPP,BBPBBP,6,P
PPPPBB,PBPBBB,BPPBPB,6,B
BPPBBB,BPBPPP,PPBBPP,6,P
BBBPPB,BPBPPP,PPBBPP,6,P
PPBPPP,PBPBBB,BBPBPP,6,B
BPBBBB,BPBPPP,PPBBPP,6,P
BPBBPP,PBPBBB,BPBPBB,6,B
PPPPPP,PBPBBB,BBPPPP,6,B
BBBPBB,PBPBBB,PPBBBP,6,B
PBPPBP,BPBPPP,BPBPPB,6,P
PPPPPP,BPBPPP,PPPPBB,6,P
PPPPPB,BPBPPP,BPBPPP,6,P
BPBPPP,BPBPPP,PBBBBP,6,P
BBBPPP,BPBPPP,BBPBPP,6,P
PBPPPB,BPBPPP,PBBPBB,6,P
BPBBBP,BPBPPP,PPPBBB,6,P
BBPPPP,PBPBBB,PBPPPP,6,B
PPBPBB,BPBPPP,PPPPBP,6,P
BPPPBP,PBPBBB,BPPBPB,6,B
PPBPBP,BPBPPP,PBBBPP,6,P
PBBBPB,BPBPPP,PPPBPB,6,P
BPPPPB,BPBPPP,PPPBPB,6,P
BBPBPB,PBPBBB,PBBPPB,6,B
PPBBPP,BPBPPP,BPPPPB,6,P
PBPPPP,BPBPPP,BBPBPP,6,P
PBBBPP,BPBPPP,PBBBBP,6,P
PBPPBP,BPBPPP,PPBBPB,6,P
BPBPPB,BPBPPP,PBBPBB,6,P
BBBPBP,BPBPPP,BBPBBB,6,P
PPPBBB,PBPBBB,PPPBPB,6,B
PBBBPP,PBPBBB,PBBBPP,6,B
BBBBBB,PBPBBB,PBPPBP,6,B
PBBBBP,PBPBBB,PPPBBP,6,B
BPPPBB,BPBPPP,PPPPPB,6,P
PBBPBP,BPBPPP,PPPBBB,6,P
PPBBPB,BPBPPP,PPBPPB,6,P
BBBBBP,BPBPPP,BBBPPB,6,P
BBPPBB,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,PPPBBP,6,B
BBPBPB,BPBPPP,BPPPPB,6,P
PBPPPP,BPBPPP,BBBBPP,6,P
BBPBBB,BPBPPP,PPBBPB,6,P
PPPPPB,BPBPPP,BBPPPB,6,P
PPBBPP,PBPBBB,BBPBPP,6,B
BPBPPB,BPBPPP,BBPPPP,6,P
PBPBPB,PBPBBB,PPPBPB,6,B
BBBPPP,BPBPPP,BPPBBP,6,P
BBPPPP,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,PPPPBP,6,B
BBBPPP,PBPBBB,PBBPBB,6,B
PPPPBP,BPBPPP,PPBPBP,6,P
BBPPPP,PBPBBB,BBPBPP,6,B
PBBPPP,PBPBBB,BPPBPB,6,B
PPPPPP,PBPBBB,PPBPPP,6,B
BBPPPB,BPBPPP,BBBBBP,6,P
BBBBPB,PBPBBB,BBBPPP,6,B
PPPPPP,PBPBBB,PPPBBP,6,B
PPPBBP,PBPBBB,PPPPBB,6,B
BBBPBP,PBPBBB,BPPPBP,6,B
BBBBPP,PBPBBB,BPBPPP,6,B
BPBPBB,PBPBBB,BBBBPB,6,B
BBBPBP,PBPBBB,BPBPBP,6,B
BPBBPP,PBPBBB,PPPBBP,6,B
BBBBBP,PBPBBB,BBPPBB,6,B
BBBPPP,BPBPPP,BBBBBP,6,P
BBBBBP,PBPBBB,PBBBBB,6,B
BBBPBP,PBPBBB,PPPPPB,6,B
BBPBBP,PBPBBB,PBBPBB,6,B
BBBBPB,PBPBBB,PBBPPB,6,B
BPPBPP,PBPBBB,PPPPPB,6,B
PPPPBB,BPBPPP,PPBBPP,6,P
BBPPPB,PBPBBB,BBPPPB,6,B
BPBBBP,PBPBBB,BBBBBP,6,B
BBPPPP,PBPBBB,BBBBBB,6,B
PPPBBB,BPBPPP,BPBBPP,6,P
BPBBPP,PBPBBB,PPPPPP,6,B
BBPPPP,BPBPPP,BPPBPP,6,P
BPPBPP,BPBPPP,BBPPPP,6,P
PBBBBB,PBPBBB,PPPPBB,6,B
PPPPPP,PBPBBB,BBPPBP,6,B
BBBBBP,PBPBBB,BBBPPB,6,B
BBBBBB,PBPBBB,PBPBBB,6,B
PBPBBB,PBPBBB,BPPBBP,6,B
BBPPPP,PBPBBB,BPBBPP,6,B
BPPBBP,PBPBBB,BBPPBP,6,B
PBBBPB,BPBPPP,PBBBPP,6,P
BBBPPB,PBPBBB,BBBBPB,6,B
PBPBPP,BPBPPP,PPBBPP,6,P
PPBPBP,PBPBBB,BPPBBP,6,B
PBBPPB,BPBPPP,PPPBBB,6,P
PPBPPP,BPBPPP,PPBBBP,6,P
BPBPBB,PBPBBB,BPBBBP,6,B
BPPBBB,BPBPPP,PBPPBP,6,P
PPBPPP,PBPBBB,BPBBPB,6,B
BPPPPB,BPBPPP,PPPPBP,6,P
PPPPBP,BPBPPP,PBPPPB,6,P
PBPBPP,PBPBBB,PBPBBP,6,B
PBPBBP,BPBPPP,PPBPBP,6,P
BPPPPP,BPBPPP,PPPBPB,6,P
BPPPPP,PBPBBB,BBPBBP,6,B
BBBBPB,BPBPPP,BBPPBP,6,P
PPBBPP,BPBPPP,PBBBPP,6,P
PBPBBP,PBPBBB,BBBPBB,6,B
PPBBPP,BPBPPP,PBBBPP,6,P
PBPBBP,PBPBBB,BBBPBB,6,B
PBPPBB,PBPBBB,BBBPPP,6,B
BBBPBB,BPBPPP,BBBBBB,6,P
PPBPBB,PBPBBB,PBPBPB,6,B
PPBPPP,PBPBBB,BBPBPP,6,B
BPBBBB,BPBPPP,BPBPPB,6,P
PPBPBP,BPBPPP,PBBBBP,6,P
PPBBBP,PBPBBB,BPBBBP,6,B
PBPBBP,BPBPPP,BBBPPP,6,P
BPBBPB,BPBPPP,BPBPBP,6,P
PPBBBP,PBPBBB,PBPBBP,6,B
PBBPBB,PBPBBB,PBBBBB,6,B
PBBPBP,BPBPPP,BBPBPP,6,P
PBPPPB,BPBPPP,PPPPPB,6,P
PPBBBP,BPBPPP,PBBPBB,6,P
BPPPBB,PBPBBB,BPBBBB,6,B
BBBPPB,PBPBBB,PPBPPB,6,B
BPBBBB,PBPBBB,BPBBBB,6,B
BPPPPP,PBPBBB,PBPPBP,6,B
PPPPBB,PBPBBB,BPBBPP,6,B
BPPPPP,PBPBBB,PBBPBB,6,B
PPBPPP,BPBPPP,PBPPBP,6,P
PPBBPB,PBPBBB,BBPPPP,6,B
PBBPBP,PBPBBB,BPBPPB,6,B
BBBPBP,PBPBBB,BPPPBB,6,B
BPPBPB,BPBPPP,PPPBBP,6,P
PPPPBB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PPBBPB,6,P
PBBBPP,PBPBBB,BPBBPB,6,B
BBBPPP,PBPBBB,PBBBBP,6,B
BPBBBB,PBPBBB,BPPBPP,6,B
BBBPPB,PBPBBB,PBBPPP,6,B
BBBPPP,BPBPPP,PPPPPP,6,P
PPPPPB,BPBPPP,BPPBPP,6,P
BBBPPP,BPBPPP,BPPPBB,6,P
BBPPPP,BPBPPP,PPBBBB,6,P
BPBBPP,BPBPPP,PPBPPP,6,P
PBBBPP,PBPBBB,BPBPPB,6,B
BBPBPP,BPBPPP,BPBPBP,6,P
BPPPBP,BPBPPP,BBBPBB,6,P
PPBBBP,PBPBBB,BBBBPP,6,B
PPBBPP,BPBPPP,PPPPPB,6,P
BBPBPB,BPBPPP,BBBPPB,6,P
BPPBPP,BPBPPP,BBBBPB,6,P
BBBPBB,BPBPPP,PBBPBP,6,P
BPBPPB,PBPBBB,BPPPPP,6,B
BPPPPP,PBPBBB,PBPPPB,6,B
PPBPBB,BPBPPP,BPPBPP,6,P
BPPBBP,BPBPPP,BBBPPP,6,P
PPBPBB,PBPBBB,BPPPPB,6,B
BPBBBP,BPBPPP,PPPPPB,6,P
BBPBPB,BPBPPP,PBPPBB,6,P
BBPBBP,PBPBBB,PPBPPP,6,B
PBPPPP,PBPBBB,BPBBBB,6,B
BBBBBB,PBPBBB,PPBBPB,6,B
PPPPBP,PBPBBB,PBPBPB,6,B
BBPPBP,BPBPPP,BPBBPP,6,P
PBPBBP,PBPBBB,BBPPPB,6,B
BBBBPP,PBPBBB,PPPPPP,6,B
BPPBBP,PBPBBB,PBPBPB,6,B
BBPPBB,BPBPPP,BBBBPP,6,P
BBBPBB,PBPBBB,PPPBBB,6,B
BBBPBP,PBPBBB,BBPBPP,6,B
PPBBPB,BPBPPP,BPPPBB,6,P
BPBPPB,PBPBBB,PPBBBP,6,B
PBBBPB,BPBPPP,BBBBPB,6,P
BPBBBB,BPBPPP,BBBPPB,6,P
PBBPPB,BPBPPP,PPPPBP,6,P
BPBBPB,BPBPPP,PPPBPB,6,P
BPPPPP,PBPBBB,PBBPBP,6,B
BBBPBB,PBPBBB,BPBBBP,6,B
PPPPBB,BPBPPP,PBBPBP,6,P
PBPPBP,BPBPPP,BPPPBP,6,P
PBBBBP,PBPBBB,PBPBPP,6,B
BPBBBP,BPBPPP,PBPBPB,6,P
BPPBBB,PBPBBB,PPPPPB,6,B
BBPPPB,PBPBBB,BBPBPP,6,B
BPBBBB,BPBPPP,BPPBBP,6,P
PBPBPB,PBPBBB,BPPPBP,6,B
BBBBPP,PBPBBB,BPBPBB,6,B
PPBBBB,BPBPPP,PBBBBP,6,P
BPBPBB,BPBPPP,PPBPBP,6,P
BBBPPB,BPBPPP,BPBBBB,6,P
BBPBPP,PBPBBB,BBBBPB,6,B
BBBBBB,BPBPPP,BPBPBB,6,P
PPPPBP,PBPBBB,PBBBPP,6,B
BBBPPB,PBPBBB,PBBPBP,6,B
BPPBBB,BPBPPP,PPPPPB,6,P
PBPPBP,BPBPPP,BPBBBP,6,P
PBPBPP,PBPBBB,PPPBPP,6,B
PPPBPP,PBPBBB,PPBBBB,6,B
PPPBBB,PBPBBB,PPBPPB,6,B
BPPBPP,BPBPPP,PPBPPB,6,P
BBBPBB,BPBPPP,PPPPBB,6,P
PPPPPP,PBPBBB,PBBPPB,6,B
BBPBPB,BPBPPP,PBBBBP,6,P
PPBPBB,PBPBBB,BPBBBB,6,B
BPPBPP,BPBPPP,PPBBBP,6,P
PPPPPB,PBPBBB,PPBPBP,6,B
PBBBPP,BPBPPP,BPPBBB,6,P
PBPPBB,BPBPPP,PPBPBB,6,P
PBPPPP,PBPBBB,BPBBBP,6,B
BPBPBP,BPBPPP,PPPPPP,6,P
BPPBBB,PBPBBB,PPBBBB,6,B
BBBPBP,BPBPPP,PPPBPB,6,P
PBPBPB,BPBPPP,BBBBPP,6,P
BPPPBB,PBPBBB,PBBPBP,6,B
PBBBPB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PBPPPP,6,B
PPBPBB,BPBPPP,PPPBBB,6,P
BPBPBP,PBPBBB,PBPPBP,6,B
PPPPPP,BPBPPP,PPPPPP,6,P
PPBBPB,PBPBBB,BBPBBB,6,B
BBPBPB,BPBPPP,PBBPPP,6,P
PPPPPP,PBPBBB,BPBPPB,6,B
BBPPPP,PBPBBB,PPBBPP,6,B
BPBPBB,PBPBBB,BPBBPB,6,B
PBBPPB,PBPBBB,BPBPBB,6,B
BBPPPP,PBPBBB,BBBPBP,6,B
PBPBBP,BPBPPP,BBBBPP,6,P
PPBBPP,PBPBBB,BBPPBP,6,B
PPPPBP,PBPBBB,PPBBPP,6,B
PBBPPB,PBPBBB,PBPBPP,6,B
BPBBBP,BPBPPP,PPBBBP,6,P
PBPPPP,PBPBBB,BPBBBP,6,B
BBBBBP,PBPBBB,BBBPPP,6,B
BPPPBP,PBPBBB,PPPPPB,6,B
BPPBBP,PBPBBB,PPPBBB,6,B
PBBPBB,PBPBBB,PPPPPP,6,B
BPPBBP,BPBPPP,PPBBPB,6,P
PPPPPB,BPBPPP,BBBBBB,6,P
BPPPBB,PBPBBB,PPBPPB,6,B
BPBPBP,BPBPPP,PBPBPB,6,P
PPPPPP,BPBPPP,BPPBPB,6,P
BPPPBB,PBPBBB,BPBBBB,6,B
BBBPPP,PBPBBB,BBBPBP,6,B
BBBPBP,PBPBBB,BBPPBB,6,B
BBPBPP,PBPBBB,PPPPBB,6,B
BBBBBB,BPBPPP,PPBBBP,6,P
PPPBPB,PBPBBB,PBBBBP,6,B
PPBBPP,BPBPPP,BPPPBP,6,P
PPBBPP,BPBPPP,PBBBBP,6,P
BPPBPP,BPBPPP,BPPPBB,6,P
PPPBBB,PBPBBB,PPBPBB,6,B
BPBBBP,PBPBBB,BPPBPP,6,B
PBPBBB,BPBPPP,PPBPPP,6,P
PPBBBP,PBPBBB,PBPPPB,6,B
PPBPBB,BPBPPP,BPBBPP,6,P
PPBPBP,PBPBBB,PBBPBP,6,B
BPBPBB,PBPBBB,PBPPBB,6,B
BPBPPB,BPBPPP,PPPBPP,6,P
PBBPPB,PBPBBB,BBBPBP,6,B
PBBBBB,BPBPPP,BPPPPP,6,P
PPPPPB,BPBPPP,PPPPPP,6,P
PPPPPP,PBPBBB,PBBPBB,6,B
BPPPBP,PBPBBB,BPBBBP,6,B
PBPPBB,PBPBBB,BBPPBB,6,B
PBBPPP,BPBPPP,BBBBBB,6,P
PPPBBB,PBPBBB,PPBPBP,6,B
BBBPPB,PBPBBB,BBBBPP,6,B
BPBPBP,PBPBBB,BPPBBP,6,B
PPBPBP,PBPBBB,PBBPBB,6,B
PPBBPB,PBPBBB,PBBPPB,6,B
BBPBBP,PBPBBB,PBPBPP,6,B
BPBPPB,BPBPPP,BBBPPP,6,P
BBBPBB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PBPBBP,6,B
BPBBPB,BPBPPP,PBBPPP,6,P
PBBPPB,PBPBBB,BBPPPB,6,B
PPPPBB,BPBPPP,BBPPBB,6,P
BPPPPP,BPBPPP,PPBBPP,6,P
PBBPPB,PBPBBB,BBPPBP,6,B
PBBPPB,BPBPPP,BPPBPP,6,P
BPPBPP,BPBPPP,BPPBBB,6,P
BBPBPB,PBPBBB,PPBPBB,6,B
BPBBBP,PBPBBB,BPPBPP,6,B
PPBBBP,PBPBBB,BPBPBP,6,B
PBBBBP,BPBPPP,PPPBPP,6,P
PPBPBP,PBPBBB,BPPPPP,6,B
BBBBPP,BPBPPP,BBBBPB,6,P
BBBPBB,BPBPPP,PBPPBB,6,P
PBPBPB,PBPBBB,PPPBPP,6,B
PPBPPB,BPBPPP,BBPPBB,6,P
PBPBPB,PBPBBB,PPPBPP,6,B
PPBPPB,BPBPPP,BBPPBB,6,P
PBPPBP,PBPBBB,PPPPBP,6,B
BBBPPP,PBPBBB,PPPPPB,6,B
BPPPPP,BPBPPP,PPBBBB,6,P
BBPBBB,PBPBBB,BBBPPP,6,B
BBBBPP,PBPBBB,BBBBPB,6,B
PPBBPB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PBBBPB,6,P
PPBPBP,PBPBBB,PBPPBB,6,B
BPPBBB,BPBPPP,BBPBBB,6,P
BBBPBP,PBPBBB,BPBPBP,6,B
BPPBBB,BPBPPP,BPBPBP,6,P
BPBBBP,PBPBBB,BPBPBP,6,B
BPBPBP,PBPBBB,BPBPBP,6,B
BBBBPB,PBPBBB,PBBPPB,6,B
BPBBBB,PBPBBB,BPBPPB,6,B
BBBPBP,PBPBBB,BPPBPP,6,B
BPBPBP,PBPBBB,BPBBBP,6,B
BPPPBB,BPBPPP,BPBPBP,6,P
PBPBPB,BPBPPP,PPPBBP,6,P
BPPBPB,BPBPPP,BBBBBP,6,P
BPPBBB,PBPBBB,BPBBBB,6,B
PBBBBB,BPBPPP,PPBPPP,6,P
BPBPBB,PBPBBB,PPBBPP,6,B
PPBBPP,PBPBBB,PPBBBP,6,B
PPPBBB,BPBPPP,PPBPBP,6,P
BPPPPP,BPBPPP,BBPBPB,6,P
BPBPPB,PBPBBB,PBPBBP,6,B
BPBBPP,PBPBBB,BBBPBP,6,B
BBBBPP,PBPBBB,PPBPPB,6,B
BBPPBP,PBPBBB,BBPBPP,6,B
