before,clash_cut,after,pattern
BPBBBB,BBPPBB,BBBBPB,2-2-2(t-cut)
PPPBBP,BBPPBB,BBBPPB,2-2-2(t-cut)
BPPBPB,BBPPBB,BBBBPB,2-2-2(t-cut)
PPPPBP,BBPPBB,PBBPBB,2-2-2(t-cut)
PPBPPB,BBPPBB,PBBPPP,2-2-2(t-cut)
BBPBBP,PPBBPP,BBPPPP,2-2-2(t-cut)
PBBBBP,BBPPBB,PBPBPB,2-2-2(t-cut)
BBBBBP,BBPPBB,BPBPBB,2-2-2(t-cut)
BBBBPB,BBPPBB,PPBPBB,2-2-2(t-cut)
BBPBBB,PPBBPP,BPBBPB,2-2-2(t-cut)
BPPPBB,BBPPBB,PBBBBP,2-2-2(t-cut)
PBPPPP,PPBBPP,BBPBBB,2-2-2(t-cut)
PPPPPP,BBPPBB,PBBBBP,2-2-2(t-cut)
BBPPBP,PPBBPP,BPPBPB,2-2-2(t-cut)
BBBPPB,BBPPBB,PPBPPB,2-2-2(t-cut)
BPPBBB,PPBBPP,BPPBBB,2-2-2(t-cut)
PPBBBP,PPBBPP,PBPBPP,2-2-2(t-cut)
PPBPBB,BBPPBB,BPPBBB,2-2-2(t-cut)
BBBPPB,BBPPBB,BPBBBP,2-2-2(t-cut)
PBPPPP,PPBBPP,BPPPBP,2-2-2(t-cut)
PBPBPP,PPBBPP,BPPPPP,2-2-2(t-cut)
BPBBPP,PPBBPP,BPPPPP,2-2-2(t-cut)
BBPBPP,PPBBPP,BPPPPB,2-2-2(t-cut)
PPBPBP,BBPPBB,BBBPBP,2-2-2(t-cut)
PBPBPB,BBPPBB,PBBPPP,2-2-2(t-cut)
PBPPPB,BBPPBB,PBPPPP,2-2-2(t-cut)
PPPPBP,BBPPBB,PPPBBP,2-2-2(t-cut)
PPBPBB,PPBBPP,PBBPBB,2-2-2(t-cut)
PBBPBB,BBPPBB,PBPPPB,2-2-2(t-cut)
PBPBPB,PPBBPP,BBBPPB,2-2-2(t-cut)
PBPBPP,BBPPBB,BPPBPB,2-2-2(t-cut)
PBBPBP,BBPPBB,BPBBBP,2-2-2(t-cut)
BBBPPB,PPBBPP,PBBPBB,2-2-2(t-cut)
PBBBPB,BBPPBB,BBBBPB,2-2-2(t-cut)
PPBBBP,BBPPBB,BPPBBP,2-2-2(t-cut)
PBBPPB,BBPPBB,PBPPBP,2-2-2(t-cut)
BPBPBP,BBPPBB,PBBPPB,2-2-2(t-cut)
PBBBBB,BBPPBB,PBPBBP,2-2-2(t-cut)
PBBPBP,BBPPBB,BBBBPP,2-2-2(t-cut)
PPPBBP,BBPPBB,PBPPPP,2-2-2(t-cut)
BPPPPB,BBPPBB,PBBPBB,2-2-2(t-cut)
BPPBPB,PPBBPP,PBBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PPBPBB,2-2-2(t-cut)
PPPBPB,PPBBPP,BBPPPB,2-2-2(t-cut)
PBPBPP,BBPPBB,PPPBBB,2-2-2(t-cut)
PBPPBB,PPBBPP,PBBBBP,2-2-2(t-cut)
BPPPPP,PPBBPP,PBBPBB,2-2-2(t-cut)
PBPBPP,PPBBPP,BPPBPP,2-2-2(t-cut)
BPPPBP,PPBBPP,PPBBPB,2-2-2(t-cut)
BBPBBP,PPBBPP,PBPPPB,2-2-2(t-cut)
PBBPBB,BBPPBB,BPBBBB,2-2-2(t-cut)
PPPPBB,BBPPBB,PPPBPB,2-2-2(t-cut)
PPBBBB,PPBBPP,PBPBPB,2-2-2(t-cut)
BBBBBP,BBPPBB,PPBBPB,2-2-2(t-cut)
BBBPBB,PPBBPP,BBPBPP,2-2-2(t-cut)
BPBBPP,BBPPBB,PBPPPP,2-2-2(t-cut)
PBPBPP,PPBBPP,PBBBPP,2-2-2(t-cut)
BPBBPP,PPBBPP,BBBPPP,2-2-2(t-cut)
BBPPPP,BBPPBB,BPPPBP,2-2-2(t-cut)
PPBBBP,PPBBPP,PBPPBB,2-2-2(t-cut)
PPPBBP,BBPPBB,PPBBPP,2-2-2(t-cut)
PBBPBB,PPBBPP,BBPPPP,2-2-2(t-cut)
BPBBPP,BBPPBB,PPPPBB,2-2-2(t-cut)
BBPPBB,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PBPBPP,2-2-2(t-cut)
PPPBPB,PPBBPP,PBPBPP,2-2-2(t-cut)
PPPBBP,BBPPBB,PBPPBB,2-2-2(t-cut)
PPPBBB,BBPPBB,BBBPBB,2-2-2(t-cut)
PBPBPP,PPBBPP,PPPBPP,2-2-2(t-cut)
BBPBPB,PPBBPP,PBPBPB,2-2-2(t-cut)
PPPBBP,BBPPBB,BPBPPB,2-2-2(t-cut)
PBPPPP,BBPPBB,PBPBBB,2-2-2(t-cut)
BBBBPB,BBPPBB,BPPPBP,2-2-2(t-cut)
BBPBBP,PPBBPP,BBPPBB,2-2-2(t-cut)
PBBPPP,BBPPBB,PPBBPB,2-2-2(t-cut)
BPPPBB,PPBBPP,BBPBPP,2-2-2(t-cut)
PPBBPP,BBPPBB,PBPPBB,2-2-2(t-cut)
PPPPPB,BBPPBB,BBBBPP,2-2-2(t-cut)
PPBBBB,BBPPBB,PBBPBP,2-2-2(t-cut)
PBPBBP,PPBBPP,BBPBBP,2-2-2(t-cut)
PBBPPP,BBPPBB,PBBPPP,2-2-2(t-cut)
BBPBBB,PPBBPP,BBPBBP,2-2-2(t-cut)
PBBBPP,BBPPBB,PBBPBP,2-2-2(t-cut)
PPBBPB,BBPPBB,BPBBBP,2-2-2(t-cut)
PBBBPB,BBPPBB,PPPBBB,2-2-2(t-cut)
BBPBBB,PPBBPP,PBBBPB,2-2-2(t-cut)
BBPPBP,PPBBPP,BPBPPP,2-2-2(t-cut)
BPBPBP,BBPPBB,PPBPPB,2-2-2(t-cut)
BPBPBB,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBPPB,PPBBPP,PPPBPB,2-2-2(t-cut)
BPPPBB,PPBBPP,BBBPPP,2-2-2(t-cut)
PPBBPP,BBPPBB,BPPPBP,2-2-2(t-cut)
BBBBBP,BBPPBB,PPBPPP,2-2-2(t-cut)
BBBPBB,PPBBPP,BPPPPP,2-2-2(t-cut)
PBBBBB,BBPPBB,BPPPPB,2-2-2(t-cut)
PPPPPB,BBPPBB,BPPPBB,2-2-2(t-cut)
PPPBBB,PPBBPP,BPPBBP,2-2-2(t-cut)
BBBPPP,PPBBPP,PPPBPP,2-2-2(t-cut)
PBBBPP,PPBBPP,BPBPBP,2-2-2(t-cut)
BBBPPB,PPBBPP,BBBPPP,2-2-2(t-cut)
BPPBPP,BBPPBB,BPPPPP,2-2-2(t-cut)
PBBBBP,BBPPBB,PBPPBB,2-2-2(t-cut)
BBPBBP,BBPPBB,PBPBBB,2-2-2(t-cut)
PBPBPP,PPBBPP,BBBPBB,2-2-2(t-cut)
PBPPPP,BBPPBB,BPBBBB,2-2-2(t-cut)
PPBPPB,BBPPBB,BBPBBB,2-2-2(t-cut)
BBBPBB,BBPPBB,PPBPBP,2-2-2(t-cut)
BPBBBB,PPBBPP,BPBPPP,2-2-2(t-cut)
BPBBPP,PPBBPP,BBPPBB,2-2-2(t-cut)
BBPPPP,BBPPBB,PPBBBB,2-2-2(t-cut)
PPPPBB,PPBBPP,BBBBBP,2-2-2(t-cut)
PPBBPP,BBPPBB,BBBPPB,2-2-2(t-cut)
BPPPBP,BBPPBB,BPBPPP,2-2-2(t-cut)
BPPBPB,BBPPBB,PPBBPB,2-2-2(t-cut)
PBPBBB,PPBBPP,BBPBPB,2-2-2(t-cut)
PBBBPP,BBPPBB,PBPBBB,2-2-2(t-cut)
BBBPPB,BBPPBB,BBBBPP,2-2-2(t-cut)
PPBBBB,BBPPBB,PBBPPP,2-2-2(t-cut)
PPPPPB,PPBBPP,BPPPBB,2-2-2(t-cut)
PBBPBB,BBPPBB,BPBPBP,2-2-2(t-cut)
BBPPPB,PPBBPP,PPPPBB,2-2-2(t-cut)
BBPPPP,PPBBPP,BPBBBB,2-2-2(t-cut)
PBPBBB,PPBBPP,BPPBPB,2-2-2(t-cut)
BPBBBB,BBPPBB,PBBBPB,2-2-2(t-cut)
BBPBBP,BBPPBB,PBPPBB,2-2-2(t-cut)
PPBBPB,PPBBPP,PBPBBP,2-2-2(t-cut)
PBBBPB,BBPPBB,PPBBPP,2-2-2(t-cut)
BBPBBB,PPBBPP,BBPPPB,2-2-2(t-cut)
PBBBPP,BBPPBB,PPPBBP,2-2-2(t-cut)
BBPPPB,PPBBPP,PBBPBP,2-2-2(t-cut)
PBPBPB,PPBBPP,BPPBPB,2-2-2(t-cut)
PPPBBB,PPBBPP,BBPBPB,2-2-2(t-cut)
PBBBPP,BBPPBB,PBPBPP,2-2-2(t-cut)
BPPBPP,BBPPBB,BPBBPP,2-2-2(t-cut)
BBBBPB,BBPPBB,BBBBBB,2-2-2(t-cut)
BPBPPP,PPBBPP,BPBPBP,2-2-2(t-cut)
PBPPBB,BBPPBB,PBPPPP,2-2-2(t-cut)
BPBPPP,PPBBPP,BBPBBP,2-2-2(t-cut)
BPPPPP,BBPPBB,PBBPPP,2-2-2(t-cut)
BPBPPP,PPBBPP,PBBBBP,2-2-2(t-cut)
BPPBPP,PPBBPP,BPBPPB,2-2-2(t-cut)
BBPBPB,BBPPBB,BPPPBP,2-2-2(t-cut)
PBPBPB,PPBBPP,PPBBPB,2-2-2(t-cut)
BBBPPB,PPBBPP,PBBBBB,2-2-2(t-cut)
BBBBPB,PPBBPP,PPPPBB,2-2-2(t-cut)
BPBBPB,PPBBPP,PBPBBP,2-2-2(t-cut)
BBBPBP,BBPPBB,BBPBBP,2-2-2(t-cut)
PBPBPB,PPBBPP,BPBBPB,2-2-2(t-cut)
BPBBPB,BBPPBB,BBPBPB,2-2-2(t-cut)
PBBBPB,BBPPBB,BPBBBB,2-2-2(t-cut)
BBBBPP,PPBBPP,BBPPPP,2-2-2(t-cut)
BBPPPP,BBPPBB,PPPPPB,2-2-2(t-cut)
PPPPBB,PPBBPP,PPPBBB,2-2-2(t-cut)
BPBBBP,PPBBPP,BBPPPB,2-2-2(t-cut)
BPPPBB,PPBBPP,PPPPBP,2-2-2(t-cut)
BBBPBP,BBPPBB,BPPBPB,2-2-2(t-cut)
PPBPPB,BBPPBB,PPBPPB,2-2-2(t-cut)
BPPBBB,PPBBPP,BPPBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,PBBBBB,2-2-2(t-cut)
BPBBBB,BBPPBB,BBBBBP,2-2-2(t-cut)
PBBBBP,BBPPBB,PBBPBP,2-2-2(t-cut)
PBPPPB,BBPPBB,BPBPPP,2-2-2(t-cut)
PBBPBP,PPBBPP,PBPBBB,2-2-2(t-cut)
BBPBPB,BBPPBB,BPPPPP,2-2-2(t-cut)
PPPPPB,PPBBPP,BBPPBP,2-2-2(t-cut)
PPPBPP,BBPPBB,PPBPPP,2-2-2(t-cut)
PBPPBB,PPBBPP,BPPPPP,2-2-2(t-cut)
PBBPBP,PPBBPP,PPPPBP,2-2-2(t-cut)
BBBPBP,BBPPBB,BPBPBB,2-2-2(t-cut)
PBPPPB,PPBBPP,BBBPBB,2-2-2(t-cut)
PPPBPP,BBPPBB,BPBBBB,2-2-2(t-cut)
BPPBPP,PPBBPP,BPPPBB,2-2-2(t-cut)
BBPPBB,BBPPBB,BBPPPP,2-2-2(t-cut)
PBPPBP,BBPPBB,BPPPPB,2-2-2(t-cut)
PPPBPB,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,BPBPPB,2-2-2(t-cut)
PBPPBB,BBPPBB,BBBPBB,2-2-2(t-cut)
BBBBBP,BBPPBB,PPPPPP,2-2-2(t-cut)
BBBPBB,PPBBPP,PPPPPP,2-2-2(t-cut)
PPBBBP,PPBBPP,BPBBBP,2-2-2(t-cut)
PBPBBB,BBPPBB,BPPPBP,2-2-2(t-cut)
PPPBPB,PPBBPP,BPPBPP,2-2-2(t-cut)
BBBBPB,BBPPBB,BBBBBP,2-2-2(t-cut)
BBPBPP,BBPPBB,BPBBBP,2-2-2(t-cut)
BPPBBB,BBPPBB,PPPPPB,2-2-2(t-cut)
PBBBBB,PPBBPP,PPPBPP,2-2-2(t-cut)
PPPBBB,BBPPBB,BBBPBP,2-2-2(t-cut)
BPBPPP,PPBBPP,BBBBPP,2-2-2(t-cut)
BPPPPP,BBPPBB,BBPPBP,2-2-2(t-cut)
PBPBBP,BBPPBB,PPPBPB,2-2-2(t-cut)
PBBPBB,PPBBPP,PBPBBP,2-2-2(t-cut)
BPPPBP,BBPPBB,BPPBPB,2-2-2(t-cut)
PPBBBB,BBPPBB,BBBBBB,2-2-2(t-cut)
BPBPPP,BBPPBB,PBBPPP,2-2-2(t-cut)
BPPPPP,PPBBPP,PPPBBB,2-2-2(t-cut)
PPBPBP,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PBPPPB,2-2-2(t-cut)
BPBBBB,BBPPBB,PBBBBB,2-2-2(t-cut)
BPBPBB,BBPPBB,PBBPBP,2-2-2(t-cut)
BPBPPP,PPBBPP,BPBPPB,2-2-2(t-cut)
PBBBPP,PPBBPP,BBPBPP,2-2-2(t-cut)
BBPPPP,BBPPBB,PBPPPP,2-2-2(t-cut)
PPBBPP,PPBBPP,PBPPPB,2-2-2(t-cut)
PPPPBB,BBPPBB,BPBPBB,2-2-2(t-cut)
BBBBPB,BBPPBB,BBPBPB,2-2-2(t-cut)
BBBBPB,BBPPBB,PPPPPB,2-2-2(t-cut)
BBPBBB,PPBBPP,PPPBBB,2-2-2(t-cut)
PPPPPP,PPBBPP,BBPBBP,2-2-2(t-cut)
PBPBPB,PPBBPP,BPPBPP,2-2-2(t-cut)
BBBPBP,BBPPBB,PPPPPB,2-2-2(t-cut)
BPBPBB,PPBBPP,PPPBBB,2-2-2(t-cut)
BBBBBP,BBPPBB,PBPBBP,2-2-2(t-cut)
PBBPBP,PPBBPP,BPBPPB,2-2-2(t-cut)
PBBBBB,PPBBPP,BPBPPP,2-2-2(t-cut)
PBBBBB,PPBBPP,BPBPPP,2-2-2(t-cut)
BBPPPB,BBPPBB,BBBPBP,2-2-2(t-cut)
BPBPBP,BBPPBB,BBBBBP,2-2-2(t-cut)
PPBBBB,BBPPBB,BBPPBB,2-2-2(t-cut)
BBPPBB,BBPPBB,PPBPPB,2-2-2(t-cut)
PPBBBB,PPBBPP,BPPBBB,2-2-2(t-cut)
PPPBPB,PPBBPP,BPBBPB,2-2-2(t-cut)
BPBPBP,BBPPBB,BPPPPP,2-2-2(t-cut)
PPPBPB,PPBBPP,BBBBBP,2-2-2(t-cut)
PBPBPP,BBPPBB,BBBPPB,2-2-2(t-cut)
PPPBPB,PPBBPP,PPPBBP,2-2-2(t-cut)
PPPPPB,PPBBPP,PPBBBP,2-2-2(t-cut)
PPBPPB,BBPPBB,PPBPPP,2-2-2(t-cut)
BPPBBB,PPBBPP,BPPPPB,2-2-2(t-cut)
PPPPPP,PPBBPP,PBPBPP,2-2-2(t-cut)
PBPBBP,BBPPBB,BPBBPB,2-2-2(t-cut)
BPPPPB,BBPPBB,BPBBBP,2-2-2(t-cut)
PBPBBP,BBPPBB,PBPPBP,2-2-2(t-cut)
PBBBBP,PPBBPP,BPBBPP,2-2-2(t-cut)
BBBPBB,BBPPBB,BBPPBP,2-2-2(t-cut)
PBPPBP,BBPPBB,PPBBBB,2-2-2(t-cut)
PPBPBB,PPBBPP,BBBBPP,2-2-2(t-cut)
PBBPBB,BBPPBB,PPPBBB,2-2-2(t-cut)
BPBBBB,PPBBPP,PBBBPP,2-2-2(t-cut)
PPBPPB,PPBBPP,PBBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PPBBPB,2-2-2(t-cut)
BPPBPP,PPBBPP,PBBPBB,2-2-2(t-cut)
PBBBBP,BBPPBB,PBBBPP,2-2-2(t-cut)
PPPPPB,PPBBPP,PPBPPB,2-2-2(t-cut)
PBPBBP,BBPPBB,BPBPBB,2-2-2(t-cut)
PBPPPB,PPBBPP,BBPPBB,2-2-2(t-cut)
PPPBPP,BBPPBB,PPBBBB,2-2-2(t-cut)
PBPPBB,PPBBPP,BBBBBB,2-2-2(t-cut)
PPBBPP,BBPPBB,BBBBPB,2-2-2(t-cut)
BBBBBP,BBPPBB,PBBPPB,2-2-2(t-cut)
PBBBBB,BBPPBB,BBPPBB,2-2-2(t-cut)
BBPPBB,BBPPBB,BPBBPP,2-2-2(t-cut)
PPBBBP,BBPPBB,BPBBBP,2-2-2(t-cut)
BPBPPB,PPBBPP,BPBPPP,2-2-2(t-cut)
PPBBBP,PPBBPP,BBPBBP,2-2-2(t-cut)
BBBPPP,BBPPBB,PBBPBB,2-2-2(t-cut)
BPPBBP,BBPPBB,PBPPBB,2-2-2(t-cut)
PPBBPB,BBPPBB,PPPBBB,2-2-2(t-cut)
BBPBBB,PPBBPP,PBBBBP,2-2-2(t-cut)
PPPBPB,PPBBPP,BBPBPB,2-2-2(t-cut)
PBPBPP,BBPPBB,PBPBPP,2-2-2(t-cut)
PBPPPB,PPBBPP,PBPPPB,2-2-2(t-cut)
PBBPBP,BBPPBB,PPBPPB,2-2-2(t-cut)
BPBPBB,PPBBPP,BPPBBP,2-2-2(t-cut)
BPPBBP,BBPPBB,BBPPPP,2-2-2(t-cut)
BPBPBP,BBPPBB,PPPPPP,2-2-2(t-cut)
BPBPBB,PPBBPP,PPPPBB,2-2-2(t-cut)
BBPBPB,BBPPBB,PBPBBP,2-2-2(t-cut)
PPPPPB,BBPPBB,PPBBBB,2-2-2(t-cut)
PPPBBB,PPBBPP,BBBBPP,2-2-2(t-cut)
PBBBPP,BBPPBB,BBPPPP,2-2-2(t-cut)
PPBPPB,BBPPBB,BBBPPB,2-2-2(t-cut)
BPPBBB,BBPPBB,PBBPPB,2-2-2(t-cut)
BPPBBP,BBPPBB,PBBBBP,2-2-2(t-cut)
PBBPBB,BBPPBB,BBBPPP,2-2-2(t-cut)
PPPBPP,PPBBPP,BPBPBP,2-2-2(t-cut)
PBPBPB,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,BPPPPB,2-2-2(t-cut)
PPBPBB,BBPPBB,PPBPBB,2-2-2(t-cut)
BPBBBB,PPBBPP,BPBBPP,2-2-2(t-cut)
BBPPBP,BBPPBB,BPBPPP,2-2-2(t-cut)
PBBBBB,BBPPBB,BPBBBP,2-2-2(t-cut)
PBPPPB,PPBBPP,PPBBBP,2-2-2(t-cut)
BPBBPB,BBPPBB,BBPBPP,2-2-2(t-cut)
PBPBPB,BBPPBB,BPBBPB,2-2-2(t-cut)
BBBBPB,BBPPBB,PBPBPB,2-2-2(t-cut)
PBPPPB,BBPPBB,PPBBPB,2-2-2(t-cut)
PPPBBB,PPBBPP,BBPBPP,2-2-2(t-cut)
PBBBPP,BBPPBB,PBPPPP,2-2-2(t-cut)
BPBBBP,PPBBPP,BPPBPP,2-2-2(t-cut)
BPPBPP,PPBBPP,BBPBPP,2-2-2(t-cut)
PBPPPP,BBPPBB,PBPPBP,2-2-2(t-cut)
PBPBBP,PPBBPP,BPPBBP,2-2-2(t-cut)
PPBPBP,BBPPBB,PBPPBP,2-2-2(t-cut)
BPBPBB,PPBBPP,BPBBPB,2-2-2(t-cut)
BBBBPB,PPBBPP,BPPBBB,2-2-2(t-cut)
PPBBBP,PPBBPP,PBBBBP,2-2-2(t-cut)
PBBBPB,PPBBPP,PBPPPB,2-2-2(t-cut)
BPPBBP,BBPPBB,BPBPBB,2-2-2(t-cut)
BPBPPB,BBPPBB,PBPPPB,2-2-2(t-cut)
BPPBPP,PPBBPP,PBBBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,BBPBPP,2-2-2(t-cut)
BBPPPB,PPBBPP,BBPPPP,2-2-2(t-cut)
