before,red_not_tidt,after,length
BPPPPP,BPBBBPBPBBB,PPPBPP,11
BPPPPP,BPBPBBBPBBBBBBBB,PPPPPB,16
BBPBPP,BBPBBBBPBPBPBBBBPBB,PPBPBB,19
BPBBPP,BBBPBBPBPBPBB,PPPPPB,13
BBPBPP,BPBBBPBBPBBBPB,PPPPPB,14
BBBBPP,BPBPBBBBBB,PPBBBB,10
PBPPPP,BPBPBBPBBBBPBBBB,PPPPBB,16
PBBPPP,BBBPBBPBBPBBPBBBBBBB,PPBPBP,20
PBPPPP,BPBBBPBPBBBBB,PPPPBP,13
BBBPPP,BPBPBBPBBBBPBBBB,PPBBPP,16
PPPBPP,BPBBPBBBBB,PPPBPB,10
PBBPPP,BBBPBPBPBB,PPBPPP,10
PPPBPP,BBBPBPBPBPBPB,PPPBPP,13
PBBBPP,BPBPBBPBBBB,PPPPPP,11
BPPPPP,BBBBBBPBBBBPB,PPBBPB,13
PBPBPP,BBPBBPBBBPBPBBB,PPBBBB,15
PPBBPP,BBBBBPBBBBPBPBBB,PPBBBB,16
BBBBPP,BBBBBPBBBPBB,PPBBBP,12
BPPPPP,BBPBPBBBBBPBBBBB,PPPBBB,16
PBPPPP,BPBBPBBBBPBPB,PPPBPP,13
BBBBPP,BPBPBPBBBBBBBBBPBBB,PPBBPB,19
BPPPPP,BBBBPBBBBPB,PPPPBB,11
BBBBPP,BPBPBBBBBPB,PPBBPP,11
BPBBPP,BBBPBPBBBBBBBB,PPBBPP,14
PPBBPP,BBBBBBPBPBBBPB,PPPBBB,14
BBBBPP,BPBPBPBBBBBPBB,PPBPBB,14
BPBBPP,BBPBBPBBBBBBB,PPPBPB,13
BPPBPP,BPBBBBBBBBBPBB,PPPPBP,14
PPPBPP,BBPBPBBPBBBPBBBBPBB,PPBBPB,19
BBBBPP,BPBPBBPBBBBBBBBBPBB,PPBBBP,19
BPBBPP,BBBPBPBBPB,PPPBBB,10
PPBBPP,BPBBPBBBPBBB,PPPBBB,12
BBPPPP,BBBPBPBPBBBBBB,PPPPBB,14
BBPPPP,BBBBPBPBBBB,PPPPBB,11
BPPPPP,BPBBBBBPBPB,PPBBBB,11
PBPPPP,BPBBBPBBBBBPBBB,PPBBBP,15
BPPBPP,BPBBBBPBBBBB,PPPBPB,12
BPBPPP,BBBBBBBBBPBPB,PPPBPP,13
PBBPPP,BPBBPBBPBB,PPPPBB,10
BPBBPP,BBBBBPBPBBPBBB,PPBPBB,14
PBBBPP,BPBBBBBBBPBB,PPPPPP,12
PPBPPP,BPBPBBPBBBBPBB,PPPPPB,14
BBPPPP,BBPBPBBPBPBB,PPBBBP,12
BPBBPP,BBBPBBBPBBPBBB,PPBPPB,14
BBPPPP,BBBBBPBBPBPB,PPPBBB,12
BPBPPP,BBPBBBBBPB,PPPPBB,10
PBBBPP,BBBBBBPBPBPB,PPPPPB,12
BPBBPP,BPBBBBBBBBPBB,PPBPBB,13
BPBBPP,BPBBPBBBPB,PPBPBP,10
BBPPPP,BPBBBPBBBBB,PPBPPB,11
BBBBPP,BPBPBBPBBBB,PPPBPP,11
PPBPPP,BPBBPBPBBBBB,PPBBPB,12
BBPPPP,BBBBBBBBBBBBB,PPPPBP,13
PPPBPP,BPBBPBBPBB,PPPPPB,10
PBBBPP,BBPBBPBBPBPBBPBBBBB,PPBPBP,19
BBPPPP,BBPBPBBPBB,PPBPPB,10
PBBPPP,BPBPBPBBPBBBBBBBBPBB,PPBBPP,20
PPPBPP,BBBPBBBPBPBPB,PPBBPB,13
BBBPPP,BPBBBBBBBBBBBBPBB,PPBPBP,17
BPBPPP,BPBPBBBPBPBPBBPBB,PPPPPP,17
BPBPPP,BBBBBBPBBBPB,PPPBPB,12
PPBBPP,BBPBPBBBPBPBBB,PPBPBP,14
PBPBPP,BBPBPBBBPBBPBB,PPBPBB,14
PPPBPP,BBBBPBBBBPBPBPBB,PPBBPP,16
BPPPPP,BPBBPBPBPBB,PPPPPB,11
BBPPPP,BBBPBBBPBPBBPB,PPBPBB,14
BBBPPP,BPBPBBBBBBPBBPB,PPBPPP,15
BPBPPP,BPBBPBBBBBPBB,PPBBPP,13
PBPPPP,BBBPBBBBBBB,PPBBBP,11
PBPBPP,BPBPBBBBBB,PPPBPB,10
PPPPPP,BBBPBBBBPBB,PPBBPB,11
BBBPPP,BBPBBPBBPBB,PPBBPB,11
PPBBPP,BBBPBBBBBPBB,PPPBPB,12
PPBPPP,BBPBBBPBPB,PPBBPB,10
BBPPPP,BPBBPBBBPBB,PPBPBB,11
PBBPPP,BBBBPBBBBPBBBBBBPBBPB,PPBBBP,21
PPBBPP,BPBBBBBBBPBPBPBPB,PPPPBP,17
BBPPPP,BPBBBBBPBB,PPPBPP,10
BPPBPP,BPBPBBBBPBBPBBBPBBBBBB,PPBBPB,22
BPBBPP,BPBBBBPBPB,PPBBBP,10
BPBPPP,BBBPBBBBPBBPBPBBBPBB,PPPBPP,20
BBBBPP,BPBPBPBPBPBPBB,PPBPPB,14
PBPBPP,BPBBBBPBPB,PPBPBP,10
PBPPPP,BBBPBPBPBPB,PPBBPP,11
PBBPPP,BPBPBBBPBBBBB,PPPPBB,13
BPBPPP,BBPBBPBBBPBPBBPBB,PPPPPP,17
PBBPPP,BBBBPBBBPB,PPBBBB,10
BPPPPP,BBBBBBPBBPBB,PPPPPP,12
PBBPPP,BPBBPBBPBBBBBBBBBPBBPBPBBB,PPBBBP,26
PPPPPP,BPBBPBBBPBB,PPPBBP,11
PBBPPP,BPBBPBPBPBPBBBPBB,PPBPBB,17
BPBBPP,BPBBPBBBBBBBPB,PPPBPB,14
PPBPPP,BBPBBBBPBBBPBPBPBPBPBB,PPPPPB,22
PPBPPP,BBPBBBBPBPBPB,PPBBBB,13
BPBBPP,BBBBPBBPBBB,PPBPBP,11
BPPPPP,BBPBPBPBPBPB,PPBBPB,12
BBBPPP,BBPBBBPBPBPBPB,PPBBPP,14
PBBBPP,BBBBPBPBPB,PPPBBP,10
BPPBPP,BBBPBBBBPBBBB,PPBPBB,13
PBPBPP,BBBBPBBBBBPBBBPBB,PPPBBB,17
BBPPPP,BBPBPBBPBBPBBBPBBBPBPBB,PPBBBP,23
PPPBPP,BBBBBBBPBPB,PPPBBB,11
PPBPPP,BPBBPBBPBBBBPBBBBPB,PPPPPB,19
PPPPPP,BBBBBBBBBPB,PPBBPB,11
PPPPPP,BBBBPBBBBPBPBB,PPBBBP,14
PBBBPP,BPBPBPBPBBB,PPPBPB,11
PPBPPP,BBBPBBBPBBB,PPBPBP,11
PBBBPP,BPBPBBPBBBB,PPPPBP,11
BBPPPP,BPBBBPBBPBBPBBPBPB,PPPPBP,18
BBPBPP,BPBBBBPBPB,PPBPPP,10
BBBBPP,BPBBBPBBBBB,PPBPPP,11
PPBPPP,BPBBPBPBBPBBBBB,PPPPBB,15
BBBBPP,BBBBBBBBBBPBBBPBBB,PPBPBB,18
PBBBPP,BPBBBBBBBB,PPPPBB,10
BPPPPP,BPBBBBBBBBBPBBB,PPBPPP,15
BPPPPP,BBBPBPBBPB,PPPBPB,10
PPBPPP,BBBBBPBPBBB,PPPPBB,11
BBBBPP,BBPBBBBBBBPBPBBBPBPBBBB,PPBBPB,23
PBBBPP,BBBBPBPBBPBPBBBBPBBB,PPBBPP,20
PPPPPP,BPBBPBPBBPBBPBBBPBB,PPPBPP,19
PBPPPP,BPBBBBPBBPBBBB,PPPBPP,14
BPBPPP,BPBBBPBPBB,PPBBPP,10
PPPPPP,BPBBBBBPBBPB,PPPBBP,12
BPBBPP,BPBBBBBBPBB,PPBPPB,11
BPBBPP,BPBBBBBBPBB,PPBPPB,11
BPPBPP,BBPBPBBBBBB,PPPBBB,11
BBBPPP,BBBBPBBBPB,PPPBBB,10
PBBBPP,BBBBBPBPBPBB,PPBBBB,12
PPBBPP,BPBBPBPBBBPBPBPBB,PPBBBP,17
PPPBPP,BBBPBBBBBPB,PPBPPB,11
PBBBPP,BPBBBBPBBBPBPBBPBPB,PPPBBB,19
PBBBPP,BBPBBBBBBB,PPBPPB,10
BPPPPP,BBPBBBBBPBBBPBBPB,PPBPBB,17
BBPBPP,BPBBPBPBPB,PPPBBP,10
BBBPPP,BBPBPBBBBPBBBB,PPBPBP,14
BPPPPP,BBPBPBBBBPBB,PPPPPP,12
PPPPPP,BPBBBPBBPBBBB,PPBBPP,13
PBBBPP,BBPBPBPBBBBB,PPPPPB,12
PPBPPP,BBBPBBPBBB,PPPPBB,10
PPPPPP,BBPBPBBBPB,PPPPPB,10
BBBPPP,BPBBBBPBBPBBBPB,PPBPPP,15
BBPPPP,BPBBBPBBBBPBB,PPBBPB,13
PBPPPP,BBBBPBPBBPBB,PPBBBP,12
BPPPPP,BBBPBBBBBB,PPPBBB,10
BBBBPP,BPBPBBBPBB,PPPBBB,10
BPBPPP,BBBPBBBBBBPBB,PPBBBB,13
BPBPPP,BBBBPBPBPBBPBBBPBPBPBB,PPBBPB,22
BBBPPP,BBPBBBPBBBPB,PPPPBB,12
BPBBPP,BPBPBPBBPBB,PPPPPP,11
BPPPPP,BPBBPBPBBBB,PPPPBB,11
PPPPPP,BPBBPBBBPBPB,PPPPPP,12
PPPPPP,BBBBBBPBPBBB,PPBBPB,12
PPPBPP,BPBBBPBPBPBPB,PPBPBP,13
PPBBPP,BPBBBPBPBPB,PPBPBP,11
BPPBPP,BBBBPBPBBPBB,PPBPBP,12
BBPPPP,BBBBBPBBPBPBBB,PPPBBB,14
BPPPPP,BPBPBBPBBBBBB,PPPPBB,13
PPPBPP,BPBBPBBBBPBBPB,PPBBBP,14
PPBPPP,BBBPBBBBBBB,PPBBBP,11
PBBBPP,BPBPBBPBBB,PPBBBB,10
PPPPPP,BPBBBPBBPBPBBBBPBBB,PPPPBB,19
PPBPPP,BPBPBPBPBB,PPPPPP,10
BBPBPP,BPBPBBPBBB,PPBPPB,10
PPBBPP,BPBBPBBBBBBBPB,PPBBPP,14
PBBPPP,BPBPBBBBBPB,PPPBPP,11
BBBPPP,BPBBBBPBPBB,PPPPBB,11
BPBPPP,BPBBBBBBBPB,PPPBPB,11
BBPPPP,BBBPBBBPBBBBBBPBB,PPPPBP,17
BBPPPP,BBPBBBBBBBBB,PPBBBB,12
PBPPPP,BBBBPBBPBBBB,PPPBBP,12
BBPBPP,BBPBBBBBBBBBB,PPPPBP,13
BPPPPP,BPBBBBPBBB,PPPPBP,10
PBBBPP,BBBBPBPBPB,PPPPPP,10
PBBPPP,BBPBPBBBPBBPB,PPPBPB,13
PPBPPP,BBBPBBBBBPBBBBB,PPBBBB,15
BBPBPP,BBPBPBPBBBBBPBBBPBPB,PPBPPB,20
BPPPPP,BPBBPBPBBPB,PPPPBB,11
BPBBPP,BPBPBBBBPBPBBPBB,PPPPBP,16
BPPPPP,BPBBBBBBPBPBB,PPBPBP,13
BPBBPP,BPBPBBBPBPB,PPPPPB,11
BBBPPP,BBBBBBPBBBBPBBPBB,PPBBPB,17
BPPPPP,BPBBBBPBBBPBBBBBB,PPBPBB,17
BPBBPP,BPBBPBBBBBB,PPBBBP,11
BBPPPP,BBPBBPBPBBB,PPPPPP,11
BBPPPP,BPBPBPBPBPB,PPPPBP,11
PBBPPP,BBPBPBBBBPBBBB,PPPPBP,14
BBPPPP,BPBBBBBBPB,PPBPPB,10
BBBPPP,BPBPBPBBBPBBBB,PPPBPB,14
PPPBPP,BBBBBBPBPBBPBB,PPBBPP,14
PBPBPP,BPBBBPBBPB,PPBPPB,10
BPBBPP,BPBPBBBBBBPB,PPPBPP,12
PPPPPP,BPBBBPBBPBBB,PPPBBB,12
BBBPPP,BBBPBBBBPBBBBPBB,PPPPPB,16
BBPBPP,BBPBPBBBBB,PPBBBP,10
PBBBPP,BPBPBBBBBBB,PPPPBB,11
PBPBPP,BPBBBPBBPBB,PPBBBB,11
PPPBPP,BBPBPBPBBBPBB,PPBPBB,13
PPBPPP,BBPBBBBBBBB,PPBPPP,11
PPPPPP,BBBBBBPBBBPB,PPPBPB,12
BPBPPP,BPBBBPBPBBPB,PPBBPP,12
PBPBPP,BPBPBPBPBPBBPBBPB,PPPPBB,17
BBPBPP,BBPBPBBPBBBBPBB,PPPPPB,15
BBBBPP,BBBBBBPBBPBPBBPBBBBBBPB,PPBBBP,23
PBBPPP,BBBBPBPBPBPBBB,PPBPBB,14
PBBBPP,BPBBBBPBPB,PPPPPP,10
PPPBPP,BBBPBPBBPBPBPBPBPBBPBBBB,PPPPBP,24
BPBBPP,BBBPBBBBBB,PPBPBP,10
BPBPPP,BBBBPBBBBBPBBBPB,PPPPBP,16
PPBPPP,BPBPBPBPBBB,PPPBPP,11
PPBPPP,BPBPBPBPBBB,PPPBPP,11
PBBBPP,BBPBBBPBBBPBPBBBBBB,PPPBBP,19
BBBPPP,BPBBBBBBBPB,PPBPPP,11
PPBBPP,BBPBPBPBBBPB,PPPPBB,12
BBBPPP,BBBBPBBBBPB,PPBBPB,11
BPBPPP,BBPBBBBPBB,PPBPPP,10
PPPPPP,BBBBBPBBBPBBBPBBBPB,PPBPBB,19
BBPBPP,BPBBBBPBPB,PPBBBB,10
BPBBPP,BBBPBBPBBBPBBBBPBBBB,PPBBPP,20
PBBBPP,BPBBBBPBPB,PPBPBB,10
PBPBPP,BPBBBBPBPBPBBBPBB,PPBBBB,17
PBPBPP,BPBBBBPBBB,PPPPBP,10
BPBPPP,BPBPBPBBPB,PPPPPP,10
PPBBPP,BBBPBPBBBBPBBBBBB,PPBBBB,17
BBBPPP,BBBBBPBBBBBBPB,PPPPPB,14
BBBPPP,BBBBPBBPBBPBBBBBBBB,PPPPPP,19
PPPPPP,BPBPBBPBPBBB,PPBBPP,12
PBPBPP,BPBPBBBPBPBB,PPPBPP,12
PBBPPP,BPBBBBBBPB,PPBBBB,10
BBPBPP,BBBBPBBPBPBBBPB,PPBPBB,15
PBBBPP,BBPBBPBBBPBBBBB,PPPPBB,15
PBBPPP,BBPBBBBPBBPBPBBBB,PPPPBB,17
PBBPPP,BPBBBPBPBBBBPBPBB,PPPPBB,17
PBBBPP,BBBBBPBBBBBBPB,PPPPBP,14
PBPBPP,BPBPBBPBBPBBBBPB,PPBPPP,16
PPPPPP,BPBBBBBBBB,PPPPBP,10
BPPPPP,BPBPBBPBBBBBPB,PPPBPP,14
PPBBPP,BBPBBBPBBBBB,PPBPPB,12
BPPBPP,BBPBPBBBBBBPB,PPPBBP,13
BPBPPP,BBPBBBPBBPB,PPPPBP,11
PBBPPP,BPBPBBBPBB,PPBPBP,10
PPPBPP,BPBPBPBBPBBBBPBBBPB,PPBPBP,19
PBPBPP,BBBBBPBBBBPBPBBBBPBBB,PPPBBP,21
BBPPPP,BBPBBBBBBPBBPBBBPB,PPPBPB,18
BPBBPP,BPBPBPBPBBBPB,PPPPBB,13
BBPPPP,BPBPBBBBBPB,PPBPBP,11
PBPBPP,BBBPBBBPBBBB,PPBPBB,12
BPPPPP,BBPBPBBPBBBBBPBBBBPB,PPBPBB,20
BBPBPP,BPBBPBBBPBBPBBBB,PPPPPP,16
BPPPPP,BBPBBPBBBB,PPPPPP,10
BBBPPP,BBBPBBPBPBBBPBBBPBB,PPPPPP,19
BBPBPP,BBPBBBBBBBB,PPBPPB,11
BPPBPP,BBPBPBBBBB,PPPBBP,10
BPBPPP,BPBPBPBBBBBPB,PPBPPB,13
BPPPPP,BBBPBPBBBPB,PPBPPB,11
BPPBPP,BBPBBBPBBPB,PPPPPP,11
PPBBPP,BPBBBPBPBB,PPBPBP,10
BPPPPP,BBBBBBBBPB,PPPPPP,10
PPPBPP,BBPBBBBBPB,PPBPPP,10
PBPPPP,BPBPBPBBPB,PPPBBP,10
BPBPPP,BBPBPBPBPBBBBB,PPBBBP,14
PPBBPP,BPBPBBPBPBBB,PPPBBP,12
BBPPPP,BBBBPBBPBPBBBBPBBBPBB,PPBPBP,21
PBPBPP,BBBBBPBBPBPBBB,PPPPPB,14
BBPBPP,BPBPBPBBBB,PPBBBB,10
BBBBPP,BBBBPBBBBPBB,PPPPBP,12
PPBBPP,BBBBBPBBBPBBBB,PPPPBP,14
BPPBPP,BBPBBBBBPB,PPBBPP,10
PPBBPP,BBBBBPBBPB,PPPBPB,10
BBPBPP,BBBBPBBPBBBBBPBBBBBPB,PPPPPP,21
PPPPPP,BPBBBBBBBBB,PPBPBB,11
PPPPPP,BBBPBPBBPBBBPBBBBB,PPBBPB,18
BPPBPP,BPBPBBPBPB,PPBPPP,10
PPBPPP,BBBPBPBPBBB,PPPPPB,11
PBPPPP,BPBPBPBBBPBB,PPBPBB,12
BPPPPP,BBPBPBPBPBBBPBBPBB,PPBBPB,18
PBBBPP,BPBBBPBPBBBPBPBBPBPBPBBBBBBB,PPPPPP,28
BPPBPP,BPBBPBPBPB,PPPBPB,10
PBBBPP,BBBBPBBPBB,PPPPPP,10
PPBBPP,BBBPBBBBBBBPBPB,PPPBPP,15
BBBPPP,BBBPBBBBBBBBPB,PPPBBP,14
BPBPPP,BBPBBBPBPB,PPBBPB,10
BBBPPP,BBBPBBBBPBB,PPBBBB,11
BPPBPP,BBBBBBBPBPBBB,PPBBBP,13
PPPPPP,BBPBPBBBPBBPBPB,PPBBPP,15
BBPPPP,BBPBPBPBBB,PPPBPB,10
BBPPPP,BPBBPBBBPBBBB,PPPPBB,13
PBBPPP,BPBPBBPBPBPBBPBB,PPPBPP,16
PPPPPP,BPBPBBBPBBPB,PPBBPB,12
PBPPPP,BBBPBPBBBPB,PPPPPP,11
PPPPPP,BBBPBBBBBB,PPBPPB,10
PPPPPP,BPBBBPBPBPB,PPBPBB,11
PBPBPP,BPBBPBPBBPB,PPPBPP,11
BBBBPP,BPBBBPBBPB,PPBPPB,10
BPPBPP,BPBBBBPBPBBBB,PPPPPP,13
BPBPPP,BBBBBBPBBPBPBBB,PPPBPP,15
BPPPPP,BBBBPBPBPBPBB,PPBBPP,13
PPBBPP,BPBPBBBPBBB,PPPPPB,11
BBPPPP,BPBBBBBPBBBB,PPBBBP,12
PBBPPP,BBPBBBBPBB,PPBPBP,10
BBBPPP,BBBPBBBBBPB,PPPBBP,11
BPBPPP,BBPBPBPBPB,PPPBBP,10
PBPPPP,BBBBPBPBBBB,PPBBBP,11
BPBPPP,BBBBPBBBBBPBB,PPBBBB,13
BBBBPP,BBBPBBBPBBB,PPBBPB,11
BBBBPP,BBBPBBPBBBBBPBPBBPB,PPBBPP,19
BPBPPP,BBBBBPBPBB,PPBPBP,10
PBPBPP,BBPBPBBPBBPB,PPBBPP,12
PPPBPP,BPBBBBBPBPBB,PPPBBB,12
BPBBPP,BBPBPBPBPB,PPPPBP,10
BBBPPP,BPBPBBBBBB,PPBBBB,10
PBBBPP,BPBBPBPBBBPBBPB,PPPBBP,15
PBBPPP,BPBBPBBBBPBPB,PPBPPB,13
PPBBPP,BPBBPBPBBBB,PPBBPB,11
PBBPPP,BBBBPBBBBB,PPPPPB,10
BPPBPP,BBBBBBPBPB,PPBBBB,10
PBPBPP,BBBBPBBBBPBPB,PPBBBP,13
PBPBPP,BBBPBBPBBB,PPPPPB,10
PPBBPP,BPBBBBBPBB,PPBBBP,10
BPPPPP,BPBPBBBBBPB,PPBPPP,11
PBBPPP,BBPBBPBBBB,PPPBBP,10
PPPBPP,BPBBBBPBBBBB,PPBPBP,12
PPPBPP,BPBBPBBPBPBPBBBBBPBPBBBBPBB,PPPBBP,27
BPBPPP,BBBPBPBPBPB,PPBPBB,11
BBBPPP,BPBPBPBPBBBBBPBPBPB,PPBPBP,19
BBPPPP,BBPBBBBBBPBBBB,PPBBPP,14
PBPBPP,BBBBBBBBBPBBBBPBBPB,PPPBBP,19
BBPPPP,BPBBBPBBPBBB,PPPBPB,12
PPPPPP,BBPBBBBBPB,PPPBBB,10
PPBPPP,BBPBBPBBBB,PPBPPP,10
BPPPPP,BPBBBBBBPBBBPBB,PPBBPP,15
PPPPPP,BBBBBBPBPBPBPBBBB,PPBPBB,17
BPBPPP,BBBBBPBBBPBPBBPBB,PPBBPB,17
PPBPPP,BBBPBBPBBB,PPBBPP,10
BPPPPP,BBPBBBPBPBPBBBB,PPBBBB,15
BBPPPP,BBBPBBBPBPBBBBBB,PPPPBB,16
BBPPPP,BBBBBBBPBPB,PPPBBP,11
BBPPPP,BBPBBBBPBBB,PPBBPP,11
PBPPPP,BBBPBPBBPBPBPBBBBBPB,PPBBBP,20
BBPBPP,BBBBBBPBPB,PPBBBB,10
PPPPPP,BPBPBPBPBBB,PPPPPP,11
BPPPPP,BBPBPBBPBBBBB,PPPBBP,13
BBBBPP,BPBPBBBPBPB,PPPPBP,11
BBPBPP,BBBBPBPBPBPB,PPPPPB,12
PBPPPP,BBPBPBBBBBPB,PPPBBB,12
PBPPPP,BBBBBBPBBBPBPB,PPBPPB,14
BPPBPP,BBPBPBBBPBPB,PPBPPP,12
BBPPPP,BPBBBPBBBBBBBPBBPB,PPBBPB,18
PBBPPP,BPBBBBBBPBBB,PPPPBP,12
PPPPPP,BBBBPBPBBBPBBPBB,PPBBPB,16
BBPPPP,BBPBPBBBBBBBPBBB,PPBPPB,16
PBBBPP,BBBBBBPBPBB,PPPPPB,11
BBPPPP,BPBPBBPBPBPBB,PPBPPB,13
BBPPPP,BBBPBPBPBBPBBBB,PPBPPB,15
PBBBPP,BBPBBBBPBB,PPPBBB,10
BBPBPP,BBBBBBPBBBPBPBB,PPPBPP,15
PBBPPP,BBBBBBBBBB,PPBPBB,10
PPBBPP,BPBBBBBPBPB,PPPBPP,11
PBPPPP,BPBBPBBPBPB,PPBPBB,11
PBPBPP,BPBBBBPBPBPBBPBB,PPBBPP,16
PPPBPP,BBBBBPBBBPBBBBBB,PPBBBB,16
BBPBPP,BBBBPBBBPBPBBPBB,PPBPPB,16
BBBPPP,BBBBPBBBBBB,PPBBBB,11
BBBBPP,BBBBBPBPBPBB,PPPBBB,12
PBBPPP,BBBPBBBBPBPB,PPPBBP,12
BPPPPP,BPBPBBPBBBB,PPPPBP,11
PPBBPP,BPBBBBBBBBBBBBBPBPBPB,PPPPBB,21
PBBBPP,BBPBBBBBBBBBBPBPBB,PPBPPP,18
BBBPPP,BBPBPBBBBBB,PPBPBB,11
PPBBPP,BBPBBBBPBPBPBPBPBBPB,PPBPBB,20
BBPPPP,BBBPBBPBPBB,PPPPBB,11
PPPPPP,BPBPBBBBBPBPBPB,PPBBPP,15
BPBPPP,BBBPBBBPBPBBPBB,PPBBPB,15
BBPPPP,BBBPBBBBPBPBBBBBPB,PPBBBB,18
BBPPPP,BBBBPBBPBBB,PPPBBB,11
BBBPPP,BBBBPBPBBB,PPPPPB,10
BBBPPP,BPBPBBBPBBPBPBPB,PPPPPB,16
BBPPPP,BPBBBPBBBBB,PPBBBB,11
PBPBPP,BPBPBBBPBBB,PPPBPB,11
PPPPPP,BBPBBPBPBBPBPBBPBBB,PPBBPB,19
BBBPPP,BBPBBBBBBBPB,PPBPPP,12
PBBPPP,BBPBBPBBBBPBBBBB,PPBBPP,16
PBBBPP,BBPBBBBBPB,PPPBPP,10
PBBBPP,BPBBBPBBPBPBBBB,PPPBPP,15
PPBBPP,BPBPBBBBBBBPBB,PPBPPB,14
BPBPPP,BPBBBBBBPBB,PPBBPP,11
BBBBPP,BBPBBBBBPB,PPBPPB,10
PPBBPP,BPBBPBBBBBPBBPB,PPBBBP,15
BPPPPP,BBPBPBBBBBPBBPBBPB,PPBPBP,18
BPBBPP,BPBBPBBPBPBBBPBPBBPB,PPBBBP,20
PPBPPP,BBPBBPBBBBBBB,PPPPBB,13
PPPPPP,BBBPBBBBBBB,PPBBBP,11
PPPBPP,BPBPBPBBBPBBPBPB,PPBPPB,16
BPPPPP,BPBBBBBBPB,PPPBBP,10
BPPPPP,BBBBBBPBPB,PPPPPB,10
BPPBPP,BBPBBBBBPBB,PPBPBP,11
BBBBPP,BPBPBPBBBBPBBBPB,PPPBPP,16
PPPPPP,BBPBPBBBPBBPBPB,PPPBPB,15
PPBPPP,BPBBPBPBPBBBPBBBBBBB,PPPPPP,20
PBBPPP,BPBBBPBPBBPBBPBB,PPPBBP,16
PBBPPP,BBPBBBPBBBBB,PPPBBP,12
PPBBPP,BBBBPBBBBPBB,PPBBPB,12
BPBPPP,BPBBBPBPBPB,PPBPBP,11
PPPBPP,BBPBPBBBPB,PPPPBP,10
BPBBPP,BPBBBBBBPB,PPBPBB,10
BBPBPP,BPBBPBBBBPBBBBBPBPB,PPPBPB,19
BBPBPP,BPBPBPBPBB,PPPPPB,10
BPBBPP,BBBPBPBPBBBBB,PPBBPP,13
BPPPPP,BPBPBBBBBPBBB,PPBPBP,13
PPPPPP,BBPBBBBPBPBBBB,PPBBBP,14
PBBBPP,BBPBBPBBBPB,PPBBBB,11
BPPBPP,BPBBBBBPBBPB,PPPBPB,12
BPBPPP,BPBBPBBBBPBPBB,PPPPBB,14
PPBBPP,BPBPBBPBBBPBBBBPB,PPPBBB,17
PBBPPP,BPBBBPBBPB,PPBPBP,10
BBBBPP,BBPBBBBBPBPBBBPB,PPPBBP,16
PPPBPP,BPBBBPBBPBB,PPPBPB,11
BBBBPP,BPBBBBPBBBBBPBBBPBB,PPBBBB,19
BPBBPP,BBBBPBBBBPB,PPBPPB,11
BPBBPP,BPBPBBBBBBB,PPBPBB,11
PPBPPP,BPBBPBBBBPBPBB,PPBPPP,14
PPBPPP,BBBPBPBBPBPB,PPPPBP,12
BBBPPP,BPBBBBBBBPBPBBBPBBB,PPBBPP,19
BBBPPP,BPBPBBBBBBB,PPPPBP,11
PPBBPP,BPBBPBBBBBBPBPB,PPBPBP,15
PBPPPP,BBPBBBBPBBB,PPPBBB,11
