before,pingpong,after,length
PBPPBB,BPBPBP,PPBPPP,6
PBPPPP,PBPBPBP,PPBPPB,7
PPBPPP,PBPBPB,BPPBBB,6
PBPPPP,PBPBPB,BBPPBB,6
PPPBPP,PBPBPBP,PBBBPP,7
BBPPPB,BPBPBP,PBBBBP,6
PPPBPP,PBPBPB,BPBBBB,6
BBBBPB,BPBPBP,PPBBBB,6
PPPBBB,BPBPBP,PPBBPB,6
PBBBBB,BPBPBPBP,PPPPBB,8
PPBBBB,BPBPBP,PBBBBB,6
PPBBBB,BPBPBP,PPPPBB,6
BPPPPB,BPBPBP,PPPBBP,6
BBBBBP,PBPBPB,BPBBBB,6
BBBBBP,PBPBPBP,PPPPPP,7
BPBPPB,BPBPBPBP,PPBPBP,8
PPBBPP,PBPBPBPB,BPBBBB,8
BBBPBB,BPBPBP,PPPBBP,6
BBPBBP,PBPBPBP,PBBBBP,7
BBBPBB,BPBPBPBP,PBBPBB,8
BPPPPB,BPBPBP,PPBPPP,6
PBPBPP,PBPBPB,BBPBPB,6
BPBPBB,BPBPBPB,BPBBPP,7
BPBBBB,BPBPBP,PPBBBB,6
PPBBPP,PBPBPB,BPPPBP,6
BPBBPP,PBPBPB,BBPPPB,6
PPBPBP,PBPBPB,BPPPPB,6
PPPBPB,BPBPBP,PBPBBP,6
BBBBBB,BPBPBPB,BPBBBP,7
BBPBBB,BPBPBPB,BPPBBP,7
PPPBPB,BPBPBPB,BPPPPP,7
PBBBPP,PBPBPB,BBBBBP,6
PBPBBP,PBPBPB,BPPPBP,6
PPBPBB,BPBPBP,PBPBBB,6
PPPPPB,BPBPBP,PBBBBP,6
PBPPBB,BPBPBP,PBBBPB,6
PPPBBP,PBPBPBP,PPBPPB,7
PPBPBP,PBPBPB,BBBBBP,6
PPPPPP,PBPBPBP,PBPPBP,7
PBPBBB,BPBPBP,PPBBBB,6
PBBPBB,BPBPBP,PBBPBB,6
BBPPBB,BPBPBP,PBBPPP,6
BBBBBB,BPBPBPBPBP,PPPBPB,10
BBPPBP,PBPBPB,BBBPBB,6
PBPBBB,BPBPBP,PBBBPB,6
BBBBBP,PBPBPBPBPBPBPB,BPPBPP,14
BBPBBP,PBPBPBP,PBPBBB,7
PBPBBB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPB,BBBBPP,6
BBPBBB,BPBPBPB,BPBBBP,7
BBPBBB,BPBPBPB,BBBPBP,7
PBPBBB,BPBPBP,PPPBPP,6
PPPPBB,BPBPBPBPBP,PBBPPB,10
PBBPPB,BPBPBP,PPPBBB,6
PPBPPP,PBPBPBPBP,PBPPBP,9
BPBBPP,PBPBPB,BBPBBB,6
PPPBBP,PBPBPBP,PBBBBP,7
PBPBBP,PBPBPB,BPPPBP,6
BBBBBP,PBPBPBPB,BPPBPB,8
PBPBBP,PBPBPB,BPPBPB,6
PBPBBP,PBPBPB,BPBPPB,6
PPBPBP,PBPBPBP,PPBPBP,7
BBBPBB,BPBPBP,PPPPPB,6
PBBBBP,PBPBPBPBP,PPPBBB,9
PPPBPB,BPBPBPBPB,BBPBBP,9
BBBPBB,BPBPBPBPBPB,BPPPPP,11
BBPBBB,BPBPBPBP,PBBBBP,8
BBPPBP,PBPBPBP,PPPPBB,7
PPPPPB,BPBPBPBPBPBP,PBBPBP,12
PBBPBB,BPBPBPBPBP,PBBPPB,10
BPPBBB,BPBPBPBP,PPBBPB,8
BBPPPB,BPBPBPBP,PPPPPB,8
BBBBBB,BPBPBP,PPBBBP,6
PBBPBP,PBPBPBPB,BBBBBB,8
BBBBBP,PBPBPB,BPPPPP,6
PPBBBP,PBPBPBPBPB,BBPPPB,10
BPBBBP,PBPBPB,BPBBBB,6
BPBBPB,BPBPBP,PPPBPB,6
BBBPPP,PBPBPBP,PPPPBP,7
PBPPBB,BPBPBPBPBPB,BPPBPP,11
PPBBBB,BPBPBPB,BBBBBP,7
PBPBBB,BPBPBP,PBPPPB,6
BBPPPB,BPBPBPB,BPPBPP,7
BPBBBB,BPBPBPB,BBPBBP,7
BPBBPP,PBPBPB,BBBBPP,6
PPBBBP,PBPBPB,BBBBBB,6
PPPPPP,PBPBPBPBP,PBBPPB,9
PPBPPP,PBPBPBP,PPPBPP,7
PPPBPB,BPBPBP,PPPPBP,6
PPBBBB,BPBPBPB,BPPBBB,7
PPBPBP,PBPBPBP,PBBBBP,7
BPBPBB,BPBPBPB,BPPBBB,7
BBBPPP,PBPBPBPBP,PPPBBB,9
BBPBPB,BPBPBP,PPBBBP,6
PPBPPB,BPBPBP,PBPBPP,6
BBPBPP,PBPBPBP,PBBBPP,7
BPPBPB,BPBPBP,PBBBPB,6
BPPBPB,BPBPBPBP,PPBBPB,8
PPPPBB,BPBPBP,PPPBBP,6
PBBBBP,PBPBPB,BBPPBP,6
BBBPPB,BPBPBPB,BPPPPP,7
BBBPPB,BPBPBPB,BBBBPP,7
PPPBPP,PBPBPBPBP,PBPPBB,9
PBPBPP,PBPBPBP,PPBBBP,7
PPPBBB,BPBPBPB,BPBBBP,7
PBBPBB,BPBPBPB,BPPBBP,7
PBBPBP,PBPBPB,BBBPPP,6
PBPBBP,PBPBPBPB,BPBBPP,8
PBBPPB,BPBPBP,PPBBBP,6
PBBPBB,BPBPBP,PPPPPP,6
PPBBBB,BPBPBP,PBBPPB,6
BBPPPP,PBPBPBPBP,PBBPBB,9
PPPBBP,PBPBPBP,PPBPBB,7
PPBPBB,BPBPBPBP,PBPBPB,8
BPBPBP,PBPBPBPBP,PBBPPP,9
BBPPPP,PBPBPB,BPBBBB,6
BBBPBP,PBPBPBPBPBP,PBBBBB,11
PPBBBP,PBPBPB,BPBBBP,6
BBBPBP,PBPBPB,BBPPBB,6
BBBPPB,BPBPBPBP,PBBBBP,8
BBBBPP,PBPBPBP,PBPBBP,7
PBPPBP,PBPBPBP,PPBPPP,7
PPPBPP,PBPBPBPBPB,BPPPPP,10
PBBPBP,PBPBPB,BPBBBP,6
PPBPBP,PBPBPB,BPPPBB,6
PPBPBB,BPBPBP,PPPBPB,6
BPBPPP,PBPBPB,BPPBBP,6
BPBBPP,PBPBPB,BBBBPB,6
BBPBPP,PBPBPB,BPBPBB,6
BPBBBP,PBPBPB,BBPBBP,6
PPPPBP,PBPBPBP,PPBPBB,7
PPPPPP,PBPBPBPB,BPPPBP,8
BBPPPP,PBPBPB,BBPPBP,6
BPPBBB,BPBPBPBP,PPPPPB,8
BPPPPP,PBPBPB,BPPPPP,6
PBBPPP,PBPBPB,BPBPPP,6
BPBPPP,PBPBPBP,PBPBBB,7
PPPBBP,PBPBPB,BPPPPP,6
PPPBBP,PBPBPBP,PBPPPB,7
BPBPPB,BPBPBPB,BBBBPB,7
BBBPBB,BPBPBP,PBPPBP,6
BBPBBP,PBPBPB,BBBPBP,6
BPPBBP,PBPBPBP,PBBBPP,7
PPBPPB,BPBPBPB,BPPPPB,7
BBPBBP,PBPBPB,BBPBPB,6
BPBPBB,BPBPBP,PPPPBB,6
PPBPPB,BPBPBP,PPPPBB,6
BBPBPP,PBPBPB,BPPPPP,6
BBBPPP,PBPBPBPBPBPBP,PPPBPB,13
BPBPPP,PBPBPB,BPPBPB,6
PBPBBP,PBPBPB,BPPPBB,6
BPPPBP,PBPBPBP,PBBBPB,7
BBBBPP,PBPBPBPB,BBPBBB,8
PPPBBB,BPBPBP,PPBBPP,6
PBPBBP,PBPBPB,BBBBBP,6
BPBBBP,PBPBPB,BBBBBB,6
BBBBBP,PBPBPBPBP,PBPBBB,9
PPBPPB,BPBPBPB,BBPBBP,7
PPBPBB,BPBPBP,PPPPPP,6
PBPPBB,BPBPBP,PBBPBP,6
BPBBBB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPBPBPBPB,BPBBPB,12
PBPBBP,PBPBPB,BBBBPP,6
PPPBBP,PBPBPB,BBBBPP,6
PPBBBP,PBPBPB,BBPPBB,6
BBBPPB,BPBPBP,PBPPBP,6
PPPBBB,BPBPBPBPB,BBPPBP,9
PBPBBB,BPBPBP,PPPPPB,6
BBPBPB,BPBPBPBPBPB,BPBBBB,11
BPPBPP,PBPBPBPBPB,BBPPPB,10
BPPBPP,PBPBPBPBPB,BBPPPB,10
PBBPPB,BPBPBPB,BBPBPP,7
PBPBBB,BPBPBP,PBBBBP,6
PBPBBB,BPBPBP,PBPBBB,6
PBPBBB,BPBPBPB,BBPBBP,7
PBBPBP,PBPBPBP,PBPBBB,7
BPPBPP,PBPBPBP,PBPBBB,7
BBPBPP,PBPBPBPB,BPBPPP,8
PPPPPP,PBPBPB,BPBPBB,6
PBPPPB,BPBPBPBP,PBPBPB,8
BPBPBP,PBPBPB,BBPBPB,6
BBBPBP,PBPBPB,BPPPPB,6
PPBBPP,PBPBPB,BPBBPP,6
PPBPBB,BPBPBP,PBPPPP,6
PBPPBB,BPBPBP,PPBPPP,6
PPBPPP,PBPBPB,BPPPBB,6
PBPPPP,PBPBPBP,PBBPPB,7
PPBPBP,PBPBPB,BPBBPB,6
PBPPPP,PBPBPB,BPBBBB,6
PPPPBP,PBPBPBPB,BBPPPP,8
PPPBPB,BPBPBPB,BPBBPB,7
BPPBPP,PBPBPB,BBPPBP,6
PPBBPP,PBPBPB,BBPBBP,6
BBPBBP,PBPBPB,BPPBPB,6
PBPBBP,PBPBPBP,PPBBBP,7
BPBPPB,BPBPBP,PPPPPP,6
PPPPBP,PBPBPBPB,BPBBBB,8
BPBPPP,PBPBPBP,PBBBBB,7
BPBPPP,PBPBPBP,PPPBPP,7
PBPBBP,PBPBPBPBPB,BBPBPP,10
PBBPPP,PBPBPB,BBBBPB,6
PBPPBP,PBPBPBP,PPBPPP,7
BPBPPB,BPBPBP,PPBBBB,6
PPPBBP,PBPBPBP,PPPBBP,7
PBBPPB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPB,BPPPPB,6
BBPBPP,PBPBPBPB,BBBBPB,8
PBPBBP,PBPBPB,BPPBBB,6
PPBBPP,PBPBPBP,PPPBBB,7
BPBPPP,PBPBPBPB,BPBPPP,8
PBPPPB,BPBPBPBPB,BBBBPP,9
BPPBBP,PBPBPB,BPBPBB,6
PPBPPB,BPBPBP,PPPPBB,6
BPPBPB,BPBPBP,PBBBBB,6
PBBPBP,PBPBPBPB,BBBPPB,8
PPBPPB,BPBPBPBP,PPBPPP,8
BBBPPB,BPBPBPBP,PPPPBB,8
PBPPBP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBP,PBPPPB,6
BPPPBB,BPBPBPB,BBPPPP,7
PPBPPP,PBPBPBPB,BBPBBP,8
PBBPPP,PBPBPB,BPBBBP,6
PBBPBP,PBPBPBPB,BBPPPP,8
PBPPPP,PBPBPBP,PPPBBB,7
PBPBPP,PBPBPBP,PPPPBB,7
PPPPPB,BPBPBPBPB,BBPBBP,9
PBBPPB,BPBPBP,PPBPPP,6
PBBPPP,PBPBPBP,PBPBPP,7
BBPBPB,BPBPBPB,BBBBBB,7
BPPBPB,BPBPBPBP,PPBPBP,8
PBPBPP,PBPBPBP,PBBPPB,7
BPPBPP,PBPBPBPB,BPPBBB,8
PBPPBB,BPBPBPBP,PBPPBB,8
BBBBBB,BPBPBP,PPBPPB,6
PPPPPP,PBPBPB,BBBPBP,6
PBBPBB,BPBPBP,PBBPBB,6
PBPBPP,PBPBPB,BPPBBB,6
BBPBPP,PBPBPB,BPBBBP,6
PPPPPP,PBPBPBP,PPBPBB,7
PBBBPB,BPBPBP,PBBPPP,6
BPPPPB,BPBPBPB,BBPPPB,7
PPPPPP,PBPBPB,BPPPPP,6
PPPPBB,BPBPBP,PPBBPP,6
BPBBPP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBPB,BPBBPP,7
BPPPBP,PBPBPBP,PPBPBP,7
PBPBPP,PBPBPB,BPPBPP,6
BBBPBP,PBPBPBP,PBPPBB,7
PBPPBP,PBPBPBPB,BPPPPB,8
BBPPBP,PBPBPB,BPBBPP,6
BPPPPP,PBPBPB,BBPBBP,6
BPPPBP,PBPBPB,BBPPBB,6
PPBPBB,BPBPBPBP,PBPBBP,8
PBPPBP,PBPBPB,BBBPBB,6
BPBPPB,BPBPBP,PPPPBP,6
PPPPPB,BPBPBPBP,PBPPPP,8
PBBPBP,PBPBPBPBPBP,PPBBBB,11
PPPBBB,BPBPBPBPB,BPPBBP,9
PPPBBP,PBPBPB,BBPBBB,6
PPPBPP,PBPBPB,BBPPPP,6
PPPPPB,BPBPBPB,BPPPPB,7
BBPBBP,PBPBPBP,PPPBBP,7
PBPPPB,BPBPBPBPBP,PPBBPP,10
PPBBBP,PBPBPBPBP,PPBBBB,9
BPPBBB,BPBPBPBP,PBBPBP,8
PBBBPP,PBPBPB,BPBPPP,6
PBBPPB,BPBPBPBPBP,PPPBPB,10
PBBBPP,PBPBPB,BBBBBP,6
BPPPBB,BPBPBP,PPPBBB,6
BBPBBP,PBPBPBP,PBBBPB,7
BBPBBB,BPBPBP,PBPPBB,6
PBBBBB,BPBPBP,PBBBBP,6
BBPBBB,BPBPBP,PBBBPB,6
PBPPPP,PBPBPB,BBBBPB,6
BPBBPB,BPBPBPB,BBBBPB,7
PBPBBB,BPBPBPBPB,BPBPPB,9
BPPPBB,BPBPBPBPBP,PBPBBB,10
PPBBBP,PBPBPBP,PPPPBB,7
PBBBPP,PBPBPBPBPB,BBBBPB,10
BPBBBB,BPBPBPBP,PBPBPP,8
PBBPBP,PBPBPBP,PBBBBB,7
BBPPBB,BPBPBP,PBBBPP,6
BPPBBP,PBPBPB,BBBPPB,6
PBBBBB,BPBPBPBPB,BBBPPB,9
PBBPBB,BPBPBPB,BBBPPB,7
BBBBBB,BPBPBP,PPBBPP,6
BBPBPB,BPBPBPB,BBBBPB,7
PPBPBP,PBPBPB,BBBPBB,6
PBBBBB,BPBPBP,PBBBBP,6
PPPPPP,PBPBPBPBPB,BBPPPP,10
BBBBBP,PBPBPB,BBPBPB,6
BPBPBB,BPBPBP,PPPBPB,6
BBPPBP,PBPBPBP,PBPBPB,7
BPPBBB,BPBPBPBPBP,PPPPBP,10
PBPPBB,BPBPBP,PBBPPB,6
BBBPBB,BPBPBP,PBPPBB,6
BPBPBB,BPBPBP,PBPPPB,6
BBBBBP,PBPBPB,BPPBPP,6
BBPPPP,PBPBPB,BPPBBB,6
PPBPBP,PBPBPBP,PPBBBP,7
PBBPPP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBPB,BPPBPP,7
BBBPPB,BPBPBPBPB,BBBBPP,9
PPPPBB,BPBPBPB,BPBBBB,7
BBPPPB,BPBPBPB,BPPPPP,7
BPBBBP,PBPBPBP,PPPBBB,7
BPBBBB,BPBPBP,PPBPPP,6
BPBBPB,BPBPBP,PBPBBB,6
PBPBBB,BPBPBPB,BPBBPP,7
BBPBPP,PBPBPB,BPPBBP,6
PPPPBB,BPBPBP,PPPPBP,6
PPBBBB,BPBPBPB,BPPPBB,7
BBPBBB,BPBPBP,PPBBPB,6
PBPPPP,PBPBPB,BPBBBB,6
BBBBBB,BPBPBPBP,PPPBBB,8
BBPBBB,BPBPBPBPBPB,BPBPPB,11
BPPPPP,PBPBPB,BBBBPB,6
BPBBBB,BPBPBPBP,PBBPPB,8
BBBPPB,BPBPBP,PBPPPB,6
BBBBPP,PBPBPB,BBPBBP,6
PBBBPB,BPBPBPBP,PPPPBB,8
PBBPBP,PBPBPB,BPBBPP,6
BBPPPB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPB,BBPBBB,6
BPBBBB,BPBPBPBPBP,PPBBPP,10
BBPPBB,BPBPBP,PPBBPP,6
PPPPBB,BPBPBP,PBBPPB,6
BPPBBP,PBPBPB,BBBBBB,6
PBBBPP,PBPBPB,BPBBBB,6
PBPPPP,PBPBPBP,PPPPPB,7
PBBBBP,PBPBPB,BBPPBP,6
BPBPPB,BPBPBP,PPPBBB,6
PPPPBP,PBPBPBPB,BBPBBP,8
PBBBPB,BPBPBP,PBPPBP,6
PBPPBP,PBPBPBPBP,PPPBBB,9
PBBBBB,BPBPBP,PPPPBB,6
BBBPPB,BPBPBPBP,PPPBPP,8
BBPBBP,PBPBPB,BPPBBB,6
BBBPPB,BPBPBPBP,PPBPPP,8
BBBBBP,PBPBPBPB,BBBPBB,8
PBBBPB,BPBPBP,PPBPBB,6
PPPBPB,BPBPBPB,BBPBBB,7
PBBPPP,PBPBPB,BBPPPP,6
BBBPPB,BPBPBPBP,PBBPPP,8
PPBPBB,BPBPBPBP,PBPBPP,8
PBPBPP,PBPBPBP,PBPBBP,7
PPPPBP,PBPBPB,BPPBPP,6
PBBPBP,PBPBPBPB,BPPPPP,8
BPBBBB,BPBPBP,PPBPBB,6
PPPPBB,BPBPBP,PPBPBP,6
PBBPBP,PBPBPBPBPB,BPPPPP,10
BBPPBB,BPBPBPB,BBBBPP,7
PBPPPP,PBPBPB,BBBBPB,6
BBBPBP,PBPBPB,BBBBPB,6
BPPBBP,PBPBPB,BPBBBP,6
PBBBBB,BPBPBP,PBBBBP,6
PBBPBP,PBPBPBP,PPPBPB,7
BPBBPP,PBPBPBP,PBBBPP,7
PBPBBP,PBPBPB,BBBBBB,6
PPPBPB,BPBPBP,PPBBPP,6
BBPBPB,BPBPBP,PPPBPB,6
BPBPPP,PBPBPB,BPBBBP,6
BPPPBP,PBPBPB,BPBBBP,6
PBBBPP,PBPBPB,BBBBBB,6
BBPBBP,PBPBPB,BPPBBB,6
PBBBBB,BPBPBP,PBPBPP,6
BBBPPP,PBPBPB,BPPBBP,6
BPPBPB,BPBPBP,PBPBBP,6
BPBBPB,BPBPBP,PBPPBP,6
PBPPBP,PBPBPBP,PBPBBB,7
BBPBBB,BPBPBPB,BBBBPB,7
BPPPBB,BPBPBPBP,PPBBBB,8
BPPBBB,BPBPBP,PBPBPP,6
BBBBBP,PBPBPB,BBBBPB,6
BBPBBP,PBPBPB,BBPBBB,6
PPPPBB,BPBPBP,PBPBPP,6
PPBPBP,PBPBPB,BPPBBB,6
BPPPBP,PBPBPB,BBPPPB,6
BPPPPP,PBPBPB,BPPBPP,6
PPBPBB,BPBPBPB,BPBPPB,7
PBPBPB,BPBPBPB,BPBPPP,7
BPPPBB,BPBPBP,PPBBPB,6
BBBPPP,PBPBPBPB,BBBBPB,8
PBPBBP,PBPBPBPB,BPBBPP,8
BBBPBP,PBPBPB,BBPPPB,6
BPPBBP,PBPBPB,BBPBPP,6
PBBBPB,BPBPBPBPB,BBBBPB,9
PBBBPP,PBPBPBPB,BPPBPB,8
BBBPBP,PBPBPBP,PBPPPP,7
BPBPPP,PBPBPBP,PPPPBP,7
BPBPPP,PBPBPB,BBPPBB,6
PBPPBB,BPBPBPBP,PPPPBB,8
BPPBBP,PBPBPBPB,BPBBPB,8
BPPBPP,PBPBPBPBP,PBBBPB,9
BPBPBB,BPBPBPB,BPPPPB,7
BBPPBP,PBPBPB,BPPBPB,6
BBPPBP,PBPBPB,BBBPBP,6
PBPBBB,BPBPBP,PBBBBB,6
BBBPPP,PBPBPBP,PPBBPB,7
BBBBBP,PBPBPBPBP,PBPPBP,9
PPBBPB,BPBPBP,PPBPPB,6
PPBPPB,BPBPBP,PPPPBP,6
PBBPBB,BPBPBPBPB,BBPBPB,9
BPPBPB,BPBPBP,PBPPPP,6
BPBBBB,BPBPBP,PPBBBB,6
PPBPBB,BPBPBPB,BBPBPB,7
PBPBPP,PBPBPB,BBPPBP,6
BBBPBB,BPBPBPBP,PBBBBP,8
PBPPBB,BPBPBPBP,PBBPBB,8
PBPBBB,BPBPBPB,BPBBPB,7
BBBBBB,BPBPBP,PPBPBB,6
BBBPPB,BPBPBPBPB,BBPBPB,9
BPPPBP,PBPBPBP,PBBPBB,7
PBBPPP,PBPBPB,BBPBBB,6
PBPPPP,PBPBPBPB,BBBPPP,8
BBBBBP,PBPBPB,BPBPBB,6
PPBBPP,PBPBPB,BPPPBP,6
PBPPBP,PBPBPB,BBBPPP,6
PPBPPB,BPBPBPBP,PBBPPP,8
BPBBBP,PBPBPBP,PPBBPP,7
BBBPBP,PBPBPB,BPBBPP,6
PBBPBP,PBPBPB,BPBPBB,6
PPBBPB,BPBPBPBP,PPBBPP,8
PPBBBP,PBPBPBP,PPBPBB,7
BPBPPP,PBPBPB,BPBBBP,6
BPBPBB,BPBPBPB,BPPPBP,7
BPBBPP,PBPBPB,BPBBPP,6
BPBBPP,PBPBPBP,PBPPPB,7
PBBPBB,BPBPBPBP,PPPBPP,8
BPPBBB,BPBPBP,PPPPPB,6
BPBPBP,PBPBPBPBP,PBPPPB,9
BPBPPB,BPBPBPB,BBPBBP,7
PBBPBB,BPBPBPB,BPPBPP,7
BPPPPP,PBPBPB,BBPPBP,6
BPBBPP,PBPBPBPB,BPBBPB,8
PBPPBB,BPBPBPB,BBBPBP,7
PBPBBB,BPBPBP,PBBBPP,6
BBPBBP,PBPBPBPB,BPPPBP,8
BPPBBB,BPBPBP,PBBPPP,6
BBBPBP,PBPBPB,BPPPBB,6
PBPPPB,BPBPBPBP,PBBBPB,8
PPPPBP,PBPBPB,BBBBBB,6
BBBBBP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBP,PBBBPB,6
BBPBPP,PBPBPB,BPBBBP,6
BBBPBB,BPBPBPB,BBPPPB,7
PBBBBB,BPBPBPBP,PPBPBB,8
BBBBPB,BPBPBPB,BBPBBP,7
PBBBBB,BPBPBP,PBBPPP,6
PPPPPP,PBPBPB,BPPBBP,6
PBBPPB,BPBPBPBP,PPBBPB,8
PPPPBP,PBPBPB,BPBPBB,6
BBPBPB,BPBPBPB,BBBBPB,7
PPPBPB,BPBPBP,PBBPPB,6
BBBBPP,PBPBPB,BPPPBP,6
PBPPPB,BPBPBPBPBP,PBBBPP,10
BBPPBP,PBPBPBPBP,PBBPBP,9
PBBPPB,BPBPBP,PBBBPB,6
PBPPBB,BPBPBPB,BBBPPP,7
PBPBBP,PBPBPB,BBBPPP,6
PBBBPB,BPBPBP,PPBPBB,6
PPPBBB,BPBPBPB,BPPBPB,7
PBPBBP,PBPBPBPB,BPBPBB,8
BPPPBB,BPBPBPB,BPPPBP,7
BPBBPP,PBPBPBP,PPPPPB,7
BPPPBB,BPBPBPBP,PPPBBP,8
BPBBBB,BPBPBP,PPBBPP,6
BPBPPP,PBPBPBP,PBBPPB,7
PBPPBP,PBPBPB,BPPBPP,6
BPPBPP,PBPBPB,BPBPPB,6
PBBPBP,PBPBPB,BBPBPB,6
BPBPBB,BPBPBPBP,PBPBPP,8
BPBPPP,PBPBPB,BPBPBB,6
BPBBPB,BPBPBP,PBBBBP,6
BBBBPP,PBPBPBPB,BPPPBB,8
BPBPPB,BPBPBP,PBBPBB,6
BBPPPP,PBPBPB,BPBPBP,6
BBPBPB,BPBPBPB,BPBPBB,7
PBBPBP,PBPBPB,BBBPPP,6
BPPPPB,BPBPBPB,BPPPBP,7
BBBBPB,BPBPBP,PBBBBB,6
PPBBBB,BPBPBP,PBPPPB,6
PBBBBB,BPBPBPBP,PPPBPB,8
BPBPPP,PBPBPBPBP,PBBPPP,9
PBPPPB,BPBPBPBPBPBP,PPPBBP,12
PPBBBP,PBPBPB,BPBBPB,6
BPBPBB,BPBPBPBP,PPPBPB,8
BBBPPP,PBPBPB,BPBPPP,6
PPBPBB,BPBPBPBP,PPPBBB,8
BBBBPP,PBPBPB,BPBPBB,6
BBPPPB,BPBPBP,PBPPBB,6
BPPPBB,BPBPBPB,BBBBPB,7
PBBBPP,PBPBPB,BPPBPP,6
PBPPPP,PBPBPBPB,BPBBPB,8
BPBBPB,BPBPBPB,BBPPPB,7
PPPPBP,PBPBPB,BPBPPB,6
BBPBPB,BPBPBP,PBBPPP,6
BBPPPP,PBPBPB,BPPBPP,6
PPPBPP,PBPBPB,BPPPBP,6
BBBPBB,BPBPBPB,BBPBPP,7
BBBPPP,PBPBPBPBPBPBPBP,PPPPPB,15
BPPPPB,BPBPBP,PPBBBP,6
BBPPPB,BPBPBP,PPPBBB,6
PBBPBP,PBPBPBPB,BPBBBP,8
PPBPPP,PBPBPBP,PBPPPB,7
BBPBBB,BPBPBP,PBBBBP,6
PPBBPB,BPBPBPBPB,BBBPPP,9
PPBBBP,PBPBPB,BPPPBB,6
PPBBBB,BPBPBP,PBBBPP,6
BPBBBP,PBPBPBP,PPBBPP,7
PPBBBB,BPBPBPBP,PBPPBB,8
