before,bantai,after,pattern,direction
PPPPPB,PBBPPP,BBPBBB,1-2-3,ขึ้น
BPPPBB,PBBBPPPPPP,BBBBPB,1-3-6,ขึ้น
PBBPBB,PBBPPPP,BBPPPB,1-2-4,ขึ้น
BPBBPP,BBBPPB,PBBBBP,3-2-1,ลง
PPBBBP,BBBPPB,PBBPBB,3-2-1,ลง
BPBBPP,BPPPBBBB,PBBBPP,1-3-4,ขึ้น
PBBBBP,BBBPPB,PBPPBB,3-2-1,ลง
BPPPPB,PPPPPBBBPP,BPPBPB,5-3-2,ลง
PBPPBB,PPPPBBP,BPPPPB,4-2-1,ลง
PBPPPP,BPPBBB,PBPBPP,1-2-3,ขึ้น
PBPPBP,BBBPPB,PPPPPP,3-2-1,ลง
BBBBBB,PBBPPPP,BBPBPP,1-2-4,ขึ้น
PPPPBB,PPPPBBBP,BBBPBB,4-3-1,ลง
PPPPBB,PPPPBBBP,BBBPBB,4-3-1,ลง
BBBBPB,PBBBPPPP,BPBBPP,1-3-4,ขึ้น
BBBPBP,BBBPPB,PBBBBB,3-2-1,ลง
PPPPBP,BBBBBPPPPB,PBPPBB,5-4-1,ลง
PPPPBP,BPPBBB,PPBPBB,1-2-3,ขึ้น
PPBPPB,PPPPBBBP,BPPPPB,4-3-1,ลง
PPPPBP,BBBBPPB,PBPPBP,4-2-1,ลง
PBPBBP,BBBBPPB,PBBBBB,4-2-1,ลง
BBPPBP,BBBBBPPPB,PPPPBB,5-3-1,ลง
PBPBBP,BPPBBBB,PPBBPP,1-2-4,ขึ้น
BBBBPP,BBPPPPBBBBBBB,PBBPPP,2-4-7,ขึ้น
BBBBBB,PBBPPPP,BBPPPP,1-2-4,ขึ้น
PBPPPB,PPPBBP,BBBPBP,3-2-1,ลง
PBBBPB,PPPPBBP,BBPPPP,4-2-1,ลง
PBBBBP,BBBPPB,PPPPBB,3-2-1,ลง
PBPBBP,BBBPPB,PBPPBB,3-2-1,ลง
BBPPBP,BPPBBB,PPBPBP,1-2-3,ขึ้น
BPBBPP,BBBPPB,PBPBPP,3-2-1,ลง
BPBPBP,BBBBBBBBBPPPPB,PBBBBB,9-4-1,ลง
BPBBBB,PBBPPP,BBPPPB,1-2-3,ขึ้น
BPBPBP,BBBBBBBBBPPPPB,PBBBBB,9-4-1,ลง
BPBBBB,PBBPPP,BBPPPB,1-2-3,ขึ้น
PPPBBP,BPPBBBB,PBBBBB,1-2-4,ขึ้น
BBPBBP,BBBBBPPB,PPPBBP,5-2-1,ลง
PPPBPB,PPPPPBBP,BPPBBP,5-2-1,ลง
PBPBPB,PBBPPPP,BBBPBB,1-2-4,ขึ้น
BBPPPB,PBBBPPPP,BBBPPP,1-3-4,ขึ้น
BBPPBB,PPPPBBBP,BBBPBB,4-3-1,ลง
PBBBPB,PPPBBP,BBBBPB,3-2-1,ลง
PBBBBP,BPPBBBBB,PBBBPB,1-2-5,ขึ้น
BBPPPB,PPPBBP,BPBPBP,3-2-1,ลง
BPBPBP,BPPPBBBBB,PPBPBB,1-3-5,ขึ้น
PBBBBP,BBBBPPPB,PBBPBP,4-3-1,ลง
BPPPBP,BBBBPPB,PPPPBB,4-2-1,ลง
BBBPPB,PPPPBBP,BPBPPP,4-2-1,ลง
BBPBPB,PPPPPBBBP,BPPBBP,5-3-1,ลง
BPBBPP,BPPPPPBBBBBB,PBPBPB,1-5-6,ขึ้น
PBPBPB,PBBBPPPP,BPBPBB,1-3-4,ขึ้น
BBPBBB,PBBPPP,BBBPBP,1-2-3,ขึ้น
PPBBBP,BPPBBBBBBB,PBPBBP,1-2-7,ขึ้น
BBBBBP,BBBBBPPB,PPPBBB,5-2-1,ลง
BBBBPB,PBBPPPPPP,BPBPBB,1-2-6,ขึ้น
PBBBBP,BBBBPPB,PBPBBP,4-2-1,ลง
BPBBBP,BBBPPB,PPPBBP,3-2-1,ลง
PBBPBB,PBBBBPPPPPP,BPPPBB,1-4-6,ขึ้น
PPPPPP,BPPPBBBB,PBBPBB,1-3-4,ขึ้น
PBBPPB,PPPPPBBBPP,BPBBBP,5-3-2,ลง
PBPPBB,PPPBBP,BBPBPP,3-2-1,ลง
PPBPBP,BPPBBBB,PBPPBB,1-2-4,ขึ้น
BPPBBP,BPPBBB,PBBBBP,1-2-3,ขึ้น
PPBBBB,PPPBBBBPPPPPP,BPPPPP,3-4-6,ขึ้น
PPPPPB,PPPPPPPPPPBBBBP,BBPPBB,10-4-1,ลง
PBPBBP,BPPPBBBB,PBBPPP,1-3-4,ขึ้น
PPBBBB,PBBPPP,BPPPBP,1-2-3,ขึ้น
BBPPBB,PBBPPP,BPBPBB,1-2-3,ขึ้น
BPBPBB,PBBPPPP,BPPBPP,1-2-4,ขึ้น
PBPPBP,BPPBBBB,PPPBBB,1-2-4,ขึ้น
PBPPPP,BPPBBB,PBBBBP,1-2-3,ขึ้น
BPPBBP,BPPBBB,PBBBPB,1-2-3,ขึ้น
PPBBBB,PPBBBPPPP,BBBBBB,2-3-4,ขึ้น
PBBPBB,PBBPPP,BBPPBP,1-2-3,ขึ้น
PBBPPP,BBBBBBPPB,PPBPBB,6-2-1,ลง
PPBPPB,PBBPPPPP,BBBBPP,1-2-5,ขึ้น
PPBBBB,PPPPPPBBP,BPPPPB,6-2-1,ลง
PBPPPP,BPPBBBB,PPPBBB,1-2-4,ขึ้น
PPBBBP,BBBBBBBPPB,PPPBBP,7-2-1,ลง
BBBPPB,PPPBBP,BBPBPP,3-2-1,ลง
BBPPPP,BPPBBBBB,PPPPBB,1-2-5,ขึ้น
BPBPBP,BPPBBBB,PBBBPB,1-2-4,ขึ้น
PPBBBP,BPPPBBBB,PPBBBP,1-3-4,ขึ้น
BPBPBP,BPPBBBB,PBBBPB,1-2-4,ขึ้น
PPBBBP,BPPPBBBB,PPBBBP,1-3-4,ขึ้น
BPBPBP,BPPBBBB,PBBBPB,1-2-4,ขึ้น
PPBBBP,BPPPBBBB,PPBBBP,1-3-4,ขึ้น
BBPBBP,BPPBBBB,PPPBBB,1-2-4,ขึ้น
PBBPBP,BPPBBBBB,PPBPPP,1-2-5,ขึ้น
PPBPPP,BBBPPB,PPPPPB,3-2-1,ลง
PPPPPB,PPPPBBBPP,BBPBPP,4-3-2,ลง
PBPPPP,BBBBPPB,PPPBPP,4-2-1,ลง
BPPPPP,BBBBBPPPB,PPBPPP,5-3-1,ลง
PBPBPP,BBPPPPBBBBB,PBBBBB,2-4-5,ขึ้น
BBPPBP,BPPBBBB,PPBBBB,1-2-4,ขึ้น
BPPBBP,BBBBBPPPPB,PBPBBP,5-4-1,ลง
BPBBPB,PBBPPPPPP,BBPPBB,1-2-6,ขึ้น
BPPBBP,BPPPBBBBB,PPBBPP,1-3-5,ขึ้น
PBBPBP,BPPBBB,PPBPBB,1-2-3,ขึ้น
BBBPPB,PBBBPPPPPP,BPBPPB,1-3-6,ขึ้น
BPPPBP,BPPBBB,PPPBPP,1-2-3,ขึ้น
BBBPPP,BPPBBBBB,PPBPBP,1-2-5,ขึ้น
PBBBPB,PBBPPP,BBBBBB,1-2-3,ขึ้น
PBPPBP,BPPBBB,PPBBBB,1-2-3,ขึ้น
PBBBPP,BBBBBBBBPPB,PBPBBB,8-2-1,ลง
PPBPBP,BBBBPPPB,PPBBBB,4-3-1,ลง
PPPBPP,BBBBBBPPPPPBBB,PPBPBP,6-5-3,ลง
BBPPBP,BBBBBBPPB,PBBPBB,6-2-1,ลง
BPBBPP,BPPPBBBB,PBPPPB,1-3-4,ขึ้น
PPBBBB,PPPPBBP,BBPBPB,4-2-1,ลง
PBBPBP,BPPBBB,PBPBPP,1-2-3,ขึ้น
BPPPBB,PPPPBBBPP,BPBPPB,4-3-2,ลง
BPPPPP,BPPBBB,PBPBBP,1-2-3,ขึ้น
PBBBBP,BBBBBPPB,PBPPBB,5-2-1,ลง
BBPPBP,BPPBBB,PPPBPP,1-2-3,ขึ้น
BBPBPB,PBBBPPPP,BPPPBP,1-3-4,ขึ้น
BPPPBP,BBBPPB,PBPBPP,3-2-1,ลง
PPBBPB,PPPBBP,BPPPPP,3-2-1,ลง
PPBBPB,PPPPPPBBBBBPPPP,BPBPPP,6-5-4,ลง
BBBBBP,BBBBBBBBBBPPB,PBPBPB,10-2-1,ลง
PBBBBP,BBBBPPB,PPPBPP,4-2-1,ลง
PBPPPB,PPPPBBBP,BBPBPB,4-3-1,ลง
BBPBPB,PBBPPP,BPBPBP,1-2-3,ขึ้น
PBPBPB,PBBBPPPP,BPPPPP,1-3-4,ขึ้น
BBBPPP,BBBPPB,PBPBPP,3-2-1,ลง
PBPBBP,BBBBBBPPPPPB,PBBPPP,6-5-1,ลง
PPPPPB,PBBPPP,BPBPBB,1-2-3,ขึ้น
PPPBBB,PPPPPBBP,BBPBPP,5-2-1,ลง
BPBBPB,PPPPPBBBBPPP,BBBBBB,5-4-3,ลง
PBPBPB,PBBPPP,BBPPBB,1-2-3,ขึ้น
BBPPBB,PPPPPPBBBBPP,BPBPBP,6-4-2,ลง
PPBPBP,BPPBBB,PPPBPB,1-2-3,ขึ้น
PPPPPB,PBBPPPP,BPPPBP,1-2-4,ขึ้น
BPBBPB,PBBPPPP,BBBBPB,1-2-4,ขึ้น
PPPPBB,PPPBBP,BPPPBP,3-2-1,ลง
BBBPBB,PBBPPPP,BPPBBP,1-2-4,ขึ้น
BPPPPB,PBBPPP,BBBBPB,1-2-3,ขึ้น
BBBBBB,PBBPPP,BBPPBP,1-2-3,ขึ้น
PPBBPP,BBPPPBBBBB,PBBBBB,2-3-5,ขึ้น
PBPBPB,PBBPPP,BPBPBB,1-2-3,ขึ้น
PPBPBP,BBBPPB,PPBBPB,3-2-1,ลง
PPPPPP,BPPBBB,PPPPPP,1-2-3,ขึ้น
BPPBBB,PPPPPPBBBBP,BPBBBB,6-4-1,ลง
PPPBPP,BPPBBBBB,PBPPBB,1-2-5,ขึ้น
PPBBBP,BBBPPB,PBPPBP,3-2-1,ลง
BPPBPB,PPPPBBP,BBBPPB,4-2-1,ลง
BPBPPB,PPPBBP,BPPPPP,3-2-1,ลง
PPBBPB,PPPPPPBBP,BPPPPB,6-2-1,ลง
PPPPBB,PPPPPPPPBBBBP,BBPPBP,8-4-1,ลง
BBPPBB,PPPPPBBBBPP,BBPBPP,5-4-2,ลง
BPPBPB,PPPPPBBBPP,BBBBPB,5-3-2,ลง
PPPBBB,PPPPBBP,BBPPPB,4-2-1,ลง
PBBPBB,PPPBBP,BBBBBB,3-2-1,ลง
BBBBBB,PPPPPPBBP,BBPBBP,6-2-1,ลง
BBPBPP,BPPBBB,PPBBBP,1-2-3,ขึ้น
BPPBBB,PPBBBPPPPP,BPPBPP,2-3-5,ขึ้น
BBPPBB,PBBPPPP,BPPPBB,1-2-4,ขึ้น
BPPPPB,PPPBBP,BPPPBP,3-2-1,ลง
BPBBPP,BBPPPBBBBBB,PBPPBB,2-3-6,ขึ้น
PPBPPB,PPPBBP,BPPPBB,3-2-1,ลง
PBBPBP,BPPBBBBBB,PBBPBP,1-2-6,ขึ้น
BPBBPB,PBBPPPPPPPP,BBBPPB,1-2-8,ขึ้น
PPPPPP,BBBPPB,PBPBPP,3-2-1,ลง
BPPPBP,BBBBBBPPB,PPBBBB,6-2-1,ลง
BPBBPP,BPPBBB,PBBBBB,1-2-3,ขึ้น
PPBBBP,BBBBBPPPBB,PPPBBP,5-3-2,ลง
BPPBPB,PBBPPP,BBBPBP,1-2-3,ขึ้น
PBPPPB,PPPBBP,BPBBBP,3-2-1,ลง
BPBBBP,BBBBBBBBBPPPPB,PBBPBB,9-4-1,ลง
PPBPBB,PBBPPPPPP,BPBBBB,1-2-6,ขึ้น
PPPPBP,BBBBBPPPPB,PBPPBP,5-4-1,ลง
BBPBPB,PPPPPPBBP,BPPBPB,6-2-1,ลง
PBBPBB,PBBBPPPP,BBPPPP,1-3-4,ขึ้น
PBPPBB,PBBPPPP,BBBPPP,1-2-4,ขึ้น
BPBBPP,BBBBPPB,PBBBBP,4-2-1,ลง
BPBBBP,BBBBBBPPPPB,PBPBBP,6-4-1,ลง
PPPBPB,PBBPPP,BPBBBB,1-2-3,ขึ้น
BPBBPP,BBBBBBBBPPB,PPPBBB,8-2-1,ลง
BBBBBP,BBBPPB,PBPBPP,3-2-1,ลง
PBPPPP,BPPBBBBB,PBBPBP,1-2-5,ขึ้น
PPPPBP,BBBBPPPBB,PBPPBB,4-3-2,ลง
PPPBBP,BPPBBB,PPPBPB,1-2-3,ขึ้น
BPBBBB,PBBPPP,BPPPBB,1-2-3,ขึ้น
BBPPPB,PPPBBP,BBBBPP,3-2-1,ลง
PBBPPB,PPPPPPPPBBBPP,BPPBBP,8-3-2,ลง
PBPBBP,BPPBBBB,PPPBBB,1-2-4,ขึ้น
PBPPBP,BBBPPB,PPBBPB,3-2-1,ลง
PBPPBB,PBBPPPP,BBBBBB,1-2-4,ขึ้น
PPPBPP,BPPBBBB,PPPPBB,1-2-4,ขึ้น
PPBBBB,PPPPBBP,BBPBPP,4-2-1,ลง
PPPPPB,PPPBBP,BBBPPB,3-2-1,ลง
PPPBBP,BBBPPB,PBPBPP,3-2-1,ลง
PPBPBP,BPPBBB,PPPBBP,1-2-3,ขึ้น
BPPBBB,PPPBBP,BBBBBP,3-2-1,ลง
PBPPBP,BPPBBB,PPPPPB,1-2-3,ขึ้น
BBBBBP,BPPBBBBBBB,PBPBBB,1-2-7,ขึ้น
BBBBPP,BBBBBPPPB,PBPBPP,5-3-1,ลง
PBBPBP,BPPBBB,PPBBBB,1-2-3,ขึ้น
PBBBPP,BBBBPPB,PPPBPB,4-2-1,ลง
PPBBPB,PPPPPBBP,BBPPBP,5-2-1,ลง
BPBBPP,BPPBBBB,PBBPPP,1-2-4,ขึ้น
PPBBBB,PBBPPPP,BBPBBB,1-2-4,ขึ้น
PBPPPB,PBBPPPP,BPPPBB,1-2-4,ขึ้น
BPBBBB,PBBPPPPPP,BBBBBP,1-2-6,ขึ้น
PPPPPP,BBBBBPPPPB,PBBBPP,5-4-1,ลง
PBBPBP,BPPBBB,PPPPPP,1-2-3,ขึ้น
PBPPPP,BPPBBBBB,PBBBPP,1-2-5,ขึ้น
BBBPPP,BPPBBB,PPPPBP,1-2-3,ขึ้น
BPBBPB,PPPBBP,BBBPPB,3-2-1,ลง
PBBBBP,BPPBBB,PPBPPP,1-2-3,ขึ้น
BBBPPB,PPPPBBP,BBPBBP,4-2-1,ลง
BBPBBP,BBBBPPB,PPBBPB,4-2-1,ลง
PPPPPB,PBBBBPPPPPPPP,BPPBPB,1-4-8,ขึ้น
PBBBPB,PBBPPPPPPP,BBPBBP,1-2-7,ขึ้น
PBPBBP,BPPBBBBBBBB,PBBPBP,1-2-8,ขึ้น
BBPPBB,PPPPPPBBP,BBPPPP,6-2-1,ลง
BPPPPB,PPPBBP,BPPBPP,3-2-1,ลง
PPBPBP,BBBPPB,PPBPPB,3-2-1,ลง
PBBBBB,PPPPPBBBPP,BPBPBB,5-3-2,ลง
BBPPPB,PPPPPPBBBPP,BBBBPB,6-3-2,ลง
PPBBBP,BBBPPB,PBBBBP,3-2-1,ลง
BBPBBB,PPPBBP,BBBBBP,3-2-1,ลง
PPBPPB,PPPPBBBP,BPBBBB,4-3-1,ลง
BBBPBP,BBBBBBBBBBPPB,PBPBPP,10-2-1,ลง
PPPPBP,BBBPPB,PBBBBB,3-2-1,ลง
BBBPBB,PBBPPPP,BPBPPP,1-2-4,ขึ้น
PBBBBP,BBBBBBBPPB,PPPPBB,7-2-1,ลง
BBBPPB,PPPPBBP,BPPPPB,4-2-1,ลง
PBPPBB,PBBPPPP,BPBPBP,1-2-4,ขึ้น
BPBBPP,BPPBBBBBB,PPPBPB,1-2-6,ขึ้น
BPBBBB,PBBBPPPPP,BBBPBB,1-3-5,ขึ้น
PPPBBB,PBBPPPP,BPPPPP,1-2-4,ขึ้น
PPPBPB,PBBPPP,BPPBPP,1-2-3,ขึ้น
PPBPPB,PPPPPPBBBP,BPPPPP,6-3-1,ลง
PBBBPB,PPPPPPPBBBPP,BBBBBP,7-3-2,ลง
PBPBBP,BBBPPB,PBBPBB,3-2-1,ลง
PPBPBB,PBBPPP,BBPPPB,1-2-3,ขึ้น
PBBPPP,BBPPPBBBB,PBBBBB,2-3-4,ขึ้น
BPBPBP,BPPBBBB,PBPBPB,1-2-4,ขึ้น
BPBPBP,BBBBBBBPPPPBB,PPPPPP,7-4-2,ลง
BPBPBP,BPPBBBB,PBPBPB,1-2-4,ขึ้น
BPBPBP,BBBBBBBPPPPBB,PPPPPP,7-4-2,ลง
BPPBPB,PPPPPBBBP,BBPBBP,5-3-1,ลง
BPBPBP,BPPPPBBBBBBB,PPPBBB,1-4-7,ขึ้น
BBBPBB,PBBPPPPP,BBPBPP,1-2-5,ขึ้น
BPPPPP,BPPPPBBBBBBB,PPPPBB,1-4-7,ขึ้น
PPPPBB,PPPBBP,BPBPPP,3-2-1,ลง
BBPPBP,BBBBBPPB,PBBPBB,5-2-1,ลง
PPBBPB,PBBPPPPPPP,BPPBPP,1-2-7,ขึ้น
PPPBPP,BPPPBBBB,PPBPBB,1-3-4,ขึ้น
PBBPPB,PPPBBP,BBBBBP,3-2-1,ลง
PBPPBP,BBBPPB,PBBBPB,3-2-1,ลง
PBPPBP,BBBPPB,PBBBPB,3-2-1,ลง
BPPPPB,PPPPPPPBBP,BPPBBB,7-2-1,ลง
BPPPPB,PPPPPPPBBP,BPPBBB,7-2-1,ลง
PPBPPB,PPPBBP,BBBBPP,3-2-1,ลง
BBBBPB,PPPPBBP,BPPPBB,4-2-1,ลง
PPPBPP,BPPBBB,PPPBPB,1-2-3,ขึ้น
PPPBPB,PBBPPP,BBPPPB,1-2-3,ขึ้น
BBPBBB,PBBBBPPPPP,BPBPBP,1-4-5,ขึ้น
BPBPBB,PBBPPPPPP,BBBPPB,1-2-6,ขึ้น
PPPPPP,BBBPPB,PBPPPP,3-2-1,ลง
BBBBPP,BBBPPB,PPPBPP,3-2-1,ลง
BBBBPP,BBBPPB,PPPBPP,3-2-1,ลง
PBBBPP,BBBBBBBBPPPB,PPPPBB,8-3-1,ลง
BBPPPB,PPPPBBBP,BBBBBP,4-3-1,ลง
BBBBPP,BBBBBBPPPB,PBPPBB,6-3-1,ลง
PPBPPP,BBBPPB,PBPBBP,3-2-1,ลง
BBPBPB,PBBPPPPP,BPBPPB,1-2-5,ขึ้น
PPBBPB,PPPPPPBBBP,BBPPBP,6-3-1,ลง
BBPBBP,BBBPPB,PBBBPB,3-2-1,ลง
PPPPBP,BPPBBB,PBBPBB,1-2-3,ขึ้น
PBPPBP,BBBPPB,PBBPPP,3-2-1,ลง
BBBPPB,PBBPPP,BBPBBP,1-2-3,ขึ้น
BBPPPP,BPPBBBBBBBBBBBBB,PPPBBB,1-2-13,ขึ้น
BBBPPP,BPPBBB,PBPPBP,1-2-3,ขึ้น
BBBPBP,BPPBBBBB,PPPPBP,1-2-5,ขึ้น
PPBPBB,PBBPPPPPP,BPBPBB,1-2-6,ขึ้น
PPPPPP,BPPBBBB,PPBPPP,1-2-4,ขึ้น
BBBPPB,PPPPPBBBP,BPBPBP,5-3-1,ลง
BPPBPB,PPPPBBP,BPBBBP,4-2-1,ลง
BBBPBP,BBBBPPB,PPPPPP,4-2-1,ลง
BBBBPP,BBBBBBBBPPB,PPBPPP,8-2-1,ลง
BBPBPP,BPPBBBB,PPPPBB,1-2-4,ขึ้น
PPBBBB,PPPPBBP,BBBBPP,4-2-1,ลง
PBPPPP,BBBBPPPB,PBPBPP,4-3-1,ลง
PBPBBP,BBBBBBPPPB,PBPBPB,6-3-1,ลง
BPBBBP,BPPBBBBBB,PBPBPP,1-2-6,ขึ้น
BPBBBP,BBBBPPB,PPPBPP,4-2-1,ลง
PPPBPP,BPPBBBBB,PBPBBB,1-2-5,ขึ้น
PBPPBP,BBBPPB,PBPPBB,3-2-1,ลง
BBBPPB,PPPBBBBPPPPPPP,BPPBBP,3-4-7,ขึ้น
PBPPBB,PBBPPPPP,BPBBBP,1-2-5,ขึ้น
PPBPBP,BBBPPB,PPPPBB,3-2-1,ลง
PBPPPP,BBBBBBBBBBBBBPPPPPPPPB,PPBBBB,13-8-1,ลง
BPPBPP,BPPPPBBBBB,PBBPPP,1-4-5,ขึ้น
PBBBBB,PBBPPPP,BBPBPP,1-2-4,ขึ้น
PBPBBP,BPPPBBBBB,PPPBPP,1-3-5,ขึ้น
BPPBBB,PBBPPP,BPPPPB,1-2-3,ขึ้น
PBPBPB,PBBPPP,BBPBPB,1-2-3,ขึ้น
PPBBPB,PBBPPP,BBBBPB,1-2-3,ขึ้น
PBPPPB,PPPBBP,BBBPBB,3-2-1,ลง
BBPPBB,PPPPBBP,BPPPPP,4-2-1,ลง
PPBBPB,PPPPBBBP,BBBBPP,4-3-1,ลง
PPBBBP,BBBBPPB,PPBBBB,4-2-1,ลง
PPPBBB,PPPPBBBP,BPBPPB,4-3-1,ลง
PPPBBB,PPPPPPPPPBBBP,BBBPBB,9-3-1,ลง
BPBBBP,BBBBPPPB,PBBPPB,4-3-1,ลง
BPPPBP,BBBBBPPPBB,PPBPPB,5-3-2,ลง
BPPPBB,PPPPPBBBBP,BBPPBP,5-4-1,ลง
PBBBPP,BBBBBBBBBPPPB,PPPPBP,9-3-1,ลง
BBPBPB,PPPPPBBBP,BPBBPP,5-3-1,ลง
PPBBPB,PBBPPPP,BBPPBB,1-2-4,ขึ้น
PBBBPB,PPPPBBBPP,BPPBBP,4-3-2,ลง
PBPPBB,PPBBBPPPPP,BBPPPP,2-3-5,ขึ้น
PPPPBB,PPPPPPPBBP,BBBPPP,7-2-1,ลง
PBBBPB,PPPPBBBPP,BPPBBP,4-3-2,ลง
PBPPBB,PPBBBPPPPP,BBPPPP,2-3-5,ขึ้น
PPPPBB,PPPPPPPBBP,BBBPPP,7-2-1,ลง
PBPPBB,PPPPBBP,BBBPBP,4-2-1,ลง
PBBBPB,PBBBPPPPP,BBBPBP,1-3-5,ขึ้น
BBBPBP,BPPBBB,PPPBPP,1-2-3,ขึ้น
PBPPBB,PPPPBBP,BBBPBP,4-2-1,ลง
PBBBPB,PBBBPPPPP,BBBPBP,1-3-5,ขึ้น
BBBPBP,BPPBBB,PPPBPP,1-2-3,ขึ้น
PPPBPP,BPPBBBBB,PBBPPB,1-2-5,ขึ้น
BPBBPB,PBBBPPPP,BPBPPP,1-3-4,ขึ้น
PPPPBP,BPPPBBBB,PPPBBP,1-3-4,ขึ้น
PBPBBP,BPPBBBB,PPPBBP,1-2-4,ขึ้น
BPPBBB,PBBPPP,BPBPBP,1-2-3,ขึ้น
PBPBPB,PPPPPBBBP,BPBBBP,5-3-1,ลง
PBBBPB,PBBBPPPP,BPBBBP,1-3-4,ขึ้น
PPPBPB,PPPPPBBBPP,BPBPBP,5-3-2,ลง
BBPBPB,PBBPPP,BPPPPB,1-2-3,ขึ้น
BPBPPP,BPPBBB,PPPPBP,1-2-3,ขึ้น
BPPPBP,BBBBPPB,PBPPBP,4-2-1,ลง
BPPBPB,PPPBBP,BPPPPP,3-2-1,ลง
BPPPBP,BBBPPB,PBBBPP,3-2-1,ลง
BBPPBP,BBBPPB,PPBBPP,3-2-1,ลง
PPBBPP,BPPBBB,PBPBPP,1-2-3,ขึ้น
BBBPBP,BPPBBB,PBBBPB,1-2-3,ขึ้น
BPPBPP,BPPBBB,PBPBPB,1-2-3,ขึ้น
PBPBBP,BBBPPB,PPBBPB,3-2-1,ลง
PBPPBB,PPPPPBBBBP,BPPPBP,5-4-1,ลง
PBPBPB,PPPPBBBPP,BPPBPB,4-3-2,ลง
BPPBPB,PBBBPPPPPP,BBBBPB,1-3-6,ขึ้น
BPPPBP,BPPPBBBBB,PBBBBB,1-3-5,ขึ้น
PPPBPB,PPPPPPBBP,BBPPPP,6-2-1,ลง
PBBPBB,PPPPBBP,BPPPPP,4-2-1,ลง
PPPBPB,PPPPPPBBP,BBPPPP,6-2-1,ลง
PBBPBB,PPPPBBP,BPPPPP,4-2-1,ลง
BBPBBB,PPPBBP,BBBBPB,3-2-1,ลง
PPBPPB,PBBBPPPP,BBBPBB,1-3-4,ขึ้น
PPBBBP,BBBBPPB,PPPPBB,4-2-1,ลง
PPBBBB,PBBPPP,BPBPPB,1-2-3,ขึ้น
BPPPPB,PBBPPPP,BBBBBB,1-2-4,ขึ้น
BBBBBP,BBBBBBPPB,PPBPBB,6-2-1,ลง
PBPPBP,BBBBBPPB,PBPBBP,5-2-1,ลง
PPPBBB,PPPPPPPPPBBP,BPBPBB,9-2-1,ลง
BBPBPB,PBBPPP,BBPBBP,1-2-3,ขึ้น
PBBPBP,BBBPPB,PPPBBB,3-2-1,ลง
BBPPPB,PBBPPP,BBBBBP,1-2-3,ขึ้น
PBPPBP,BBBBBPPB,PBBBBB,5-2-1,ลง
PBPPBB,PBBBPPPP,BBBPBP,1-3-4,ขึ้น
BPPPPB,PBBBBPPPPPPP,BBBBPB,1-4-7,ขึ้น
PBPBPB,PPPBBP,BBBBPP,3-2-1,ลง
BPBBBB,PPPPPPBBP,BBPPPP,6-2-1,ลง
BBPPBB,PBBBPPPP,BPBBPB,1-3-4,ขึ้น
BPBBBP,BBBPPB,PBBPPB,3-2-1,ลง
BBPPBP,BBBPPB,PBPPPP,3-2-1,ลง
BBPPBP,BPPPPBBBBBBBB,PPPPPB,1-4-8,ขึ้น
PPBPPB,PPPPPPPPPBBP,BBPBBP,9-2-1,ลง
PBBBPB,PBBPPP,BPBBPP,1-2-3,ขึ้น
BBPPPB,PBBPPPPPPPPPPPP,BPBPBB,1-2-12,ขึ้น
PBBBPP,BBBPPB,PPBBBP,3-2-1,ลง
PBBBPP,BBBBBPPB,PPBBPP,5-2-1,ลง
PPBPPP,BPPPBBBBBBB,PBBBPP,1-3-7,ขึ้น
BBBBBB,PBBBPPPP,BPBBPB,1-3-4,ขึ้น
PBBBBP,BPPBBBB,PPPPPB,1-2-4,ขึ้น
BPPBBB,PPPBBP,BPBPBP,3-2-1,ลง
PPPPPP,BPPBBB,PPBBBB,1-2-3,ขึ้น
PPPBBB,PBBPPP,BPBBPB,1-2-3,ขึ้น
BBPPBP,BBBBBBPPPB,PPPPPP,6-3-1,ลง
PPPPPB,PBBPPPPP,BPBBBP,1-2-5,ขึ้น
PPPPPB,PBBBPPPPPP,BPPBPB,1-3-6,ขึ้น
BBBBPB,PPPBBP,BBPBBB,3-2-1,ลง
BPBBPB,PPPPPBBP,BPBBPB,5-2-1,ลง
BPPPBP,BPPPBBBBB,PBBBPP,1-3-5,ขึ้น
PBPBBP,BPPPBBBBBB,PBBBPP,1-3-6,ขึ้น
PBBBPP,BBBPPB,PPBPBB,3-2-1,ลง
PBBBBP,BPPBBBBBB,PPPPPB,1-2-6,ขึ้น
BPPPPP,BBBBBBPPB,PBPPBB,6-2-1,ลง
BPPPBB,PPPPPBBBBPP,BBPPPP,5-4-2,ลง
BBPBPB,PBBPPP,BPBBPP,1-2-3,ขึ้น
PBBPPB,PBBPPPP,BBPPBB,1-2-4,ขึ้น
BPBBBB,PBBPPP,BBPPBP,1-2-3,ขึ้น
PPPBPB,PBBPPPPP,BBPBPB,1-2-5,ขึ้น
PPBBPB,PBBPPPPPPP,BPPPBB,1-2-7,ขึ้น
PPPPPB,PPPBBP,BBBPPB,3-2-1,ลง
PPPBBP,BBBPPB,PBPBPB,3-2-1,ลง
BBBPBB,PBBBPPPP,BPBBBP,1-3-4,ขึ้น
PPPPBP,BBBPPB,PPPPPP,3-2-1,ลง
BBBPPB,PPPPPPBBBP,BBBPBB,6-3-1,ลง
BBBPBB,PBBBPPPP,BPBBBP,1-3-4,ขึ้น
PPPPBP,BBBPPB,PPPPPP,3-2-1,ลง
