before,dejavu,after,cycles,length
BPPBBB,BPBPBPBP,PPPPPB,2,8
PBPBBP,PBPBPBPB,PPBPBB,2,8
BBBPPP,PBPBPBPBPBPB,PPPPBP,3,12
BBBBPP,PBPBPBPB,BBPBBB,2,8
BBBBBP,PBPBPBPB,PPBPBB,2,8
BPBPBP,PBPBPBPBPBPB,BPBBPB,3,12
PPPBBB,BPBPBPBP,BBBPPB,2,8
BBPBPB,BPBPBPBP,BPBBPB,2,8
BPPBPP,PBPBPBPB,PBBBPP,2,8
BPPBPP,PBPBPBPB,PBBBPP,2,8
BBPBPP,PBPBPBPB,BPBPPP,2,8
PBPPPB,BPBPBPBP,PBPBPB,2,8
PPPPBP,PBPBPBPB,BBPPPP,2,8
PPPPBP,PBPBPBPB,BPBBBB,2,8
PBPBBP,PBPBPBPB,PBBBPB,2,8
BBPBPP,PBPBPBPB,BBBBPB,2,8
BPBPPP,PBPBPBPB,BPBPPP,2,8
PBPPPB,BPBPBPBP,BBBBBP,2,8
PBBPBP,PBPBPBPB,BBBPPB,2,8
PPBPPB,BPBPBPBP,PPBPPP,2,8
BBBPPB,BPBPBPBP,PPPPBB,2,8
PPBPPP,PBPBPBPB,BBPBBP,2,8
PBBPBP,PBPBPBPB,BBPPPP,2,8
PPPPPB,BPBPBPBP,BBBPBB,2,8
BPPBPB,BPBPBPBP,PPBPBP,2,8
BPPBPP,PBPBPBPB,BPPBBB,2,8
PBPPBB,BPBPBPBP,PBPPBB,2,8
PBPPBP,PBPBPBPB,BPPPPB,2,8
PPBPBB,BPBPBPBP,PBPBBP,2,8
PPPPPB,BPBPBPBP,PBPPPP,2,8
PBBPBP,PBPBPBPB,PBPPPB,2,8
PPPBBB,BPBPBPBP,BBPPBB,2,8
PBPPPB,BPBPBPBP,BPPPBB,2,8
PPBBBP,PBPBPBPB,PPPBBB,2,8
BPPBBB,BPBPBPBP,PBBPBP,2,8
PBBPPB,BPBPBPBP,BPPPPB,2,8
PBPBBB,BPBPBPBP,BBPBPP,2,8
BPPPBB,BPBPBPBP,BPPBPB,2,8
PBBBPP,PBPBPBPB,PBBBBB,2,8
BPBBBB,BPBPBPBP,PBPBPP,2,8
PBBBBB,BPBPBPBP,BBBBPP,2,8
PPPPPP,PBPBPBPB,PBBBPP,2,8
BPPBBB,BPBPBPBP,BPPPPP,2,8
BBBPPB,BPBPBPBP,BBBBBP,2,8
BBBBBB,BPBPBPBP,PPPBBB,2,8
BBPBBB,BPBPBPBP,BPBBPB,2,8
BPBBBB,BPBPBPBP,PBBPPB,2,8
PBBBPB,BPBPBPBP,PPPPBB,2,8
BPBBBB,BPBPBPBP,BPPPBB,2,8
PPPPBP,PBPBPBPB,BBPBBP,2,8
PBPPBP,PBPBPBPB,PPPPBB,2,8
BBBPPB,BPBPBPBP,PPPBPP,2,8
BBBPPB,BPBPBPBP,PPBPPP,2,8
BBBBBP,PBPBPBPB,BBBPBB,2,8
BBBPPB,BPBPBPBP,PBBPPP,2,8
PPBPBB,BPBPBPBP,PBPBPP,2,8
PBBPBP,PBPBPBPB,BPPPPP,2,8
PBBPBP,PBPBPBPB,PBBPPP,2,8
BPPPBB,BPBPBPBP,PPBBBB,2,8
BBBPPP,PBPBPBPB,BBBBPB,2,8
PBPBBP,PBPBPBPB,BPBBPP,2,8
PBBBPB,BPBPBPBP,BBBBBP,2,8
PBBBPP,PBPBPBPB,BPPBPB,2,8
PBPPBB,BPBPBPBP,PPPPBB,2,8
BPPBBP,PBPBPBPB,BPBBPB,2,8
BPPBPP,PBPBPBPB,PPBBBP,2,8
BBBBBP,PBPBPBPB,PPBPPB,2,8
PBBPBB,BPBPBPBP,BBBPBP,2,8
BBBPBB,BPBPBPBP,PBBBBP,2,8
PBPPBB,BPBPBPBP,PBBPBB,2,8
BBBPPB,BPBPBPBP,BBBPBP,2,8
PBPPPP,PBPBPBPB,BBBPPP,2,8
PPBPPB,BPBPBPBP,PBBPPP,2,8
PPBBPB,BPBPBPBP,PPBBPP,2,8
PBBPBB,BPBPBPBP,PPPBPP,2,8
BPBPBP,PBPBPBPB,PPBPPP,2,8
BPBBPP,PBPBPBPB,BPBBPB,2,8
BBPBBP,PBPBPBPB,BPPPBP,2,8
PBPPPB,BPBPBPBP,PBBBPB,2,8
PBBBBB,BPBPBPBP,PPBPBB,2,8
PBBPPB,BPBPBPBP,PPBBPB,2,8
PBPPPB,BPBPBPBP,BPPBBB,2,8
BBPPBP,PBPBPBPB,PPBBPB,2,8
PBPBBP,PBPBPBPB,BPBPBB,2,8
BPPPBB,BPBPBPBP,PPPBBP,2,8
BPBPBB,BPBPBPBP,PBPBPP,2,8
BBBBPP,PBPBPBPB,BPPPBB,2,8
PBBBBB,BPBPBPBP,PPPBPB,2,8
BPBPPP,PBPBPBPB,PPBBPP,2,8
PBPPPB,BPBPBPBPBPBP,PPPBBP,3,12
BPBPBB,BPBPBPBP,PPPBPB,2,8
PPBPBB,BPBPBPBP,PPPBBB,2,8
PBPPPP,PBPBPBPB,BPBBPB,2,8
BBBPPP,PBPBPBPBPBPB,PBPPPP,3,12
PBBPBP,PBPBPBPB,BPBBBP,2,8
PPBBPB,BPBPBPBP,BBBBPP,2,8
PPBBBB,BPBPBPBP,PBPPBB,2,8
PBPBPB,BPBPBPBP,BPBBBB,2,8
PBPPBP,PBPBPBPB,BBPBBB,2,8
BPPPBB,BPBPBPBP,BBPBBP,2,8
BPPPBP,PBPBPBPB,PBBBBB,2,8
BPBPBP,PBPBPBPB,PPBPPB,2,8
PBBBPP,PBPBPBPB,BBPBPP,2,8
PPBPBB,BPBPBPBP,PBPBBB,2,8
BBPPBB,BPBPBPBP,BBBBBP,2,8
BBPBBP,PBPBPBPB,BBPBPP,2,8
BPPPPP,PBPBPBPB,BBBBPB,2,8
PPBPPP,PBPBPBPB,PBBPPP,2,8
BBBBPP,PBPBPBPB,BBBPBP,2,8
PBBPBP,PBPBPBPB,PBBPPB,2,8
BBBBPB,BPBPBPBP,BBPBPB,2,8
BBPPPP,PBPBPBPB,BBBBPB,2,8
PPPBBP,PBPBPBPB,BPBBPP,2,8
PPPPBB,BPBPBPBP,PPPBBP,2,8
BPBBPB,BPBPBPBP,PBBBPP,2,8
PPPPBB,BPBPBPBP,PBBBBP,2,8
BPPBPB,BPBPBPBP,BBPBBB,2,8
PBBBBP,PBPBPBPB,BBPBPP,2,8
BPBPPP,PBPBPBPB,BBPPBP,2,8
BPBBBB,BPBPBPBP,PPPBPB,2,8
BPBPBP,PBPBPBPB,BPBPBP,2,8
PBPBPB,BPBPBPBP,PPPBBB,2,8
BPBPBB,BPBPBPBP,PBBBPP,2,8
BPBPBB,BPBPBPBP,BBPBBB,2,8
PBBBPB,BPBPBPBP,BBPPPB,2,8
PBBBBB,BPBPBPBP,BBBPPP,2,8
BPPBBP,PBPBPBPB,BBBPBB,2,8
PBPPPB,BPBPBPBP,PPBBBB,2,8
BBPPPB,BPBPBPBP,BBBBBP,2,8
BPPBBP,PBPBPBPB,BPBPPB,2,8
BBPBBB,BPBPBPBP,PPBPBB,2,8
BBPPBP,PBPBPBPB,PPBBPB,2,8
PBBBPB,BPBPBPBPBPBP,BPPBBB,3,12
BBBBBP,PBPBPBPB,PPBBBB,2,8
PPPPBB,BPBPBPBP,PPBPPP,2,8
BPBPBB,BPBPBPBP,BPPBPP,2,8
PBBPBB,BPBPBPBP,BPBBBP,2,8
BPPPPB,BPBPBPBP,PPBPBB,2,8
PBBPPB,BPBPBPBP,PBBPBB,2,8
PBPPPP,PBPBPBPB,BBBPBB,2,8
PBBPPB,BPBPBPBP,PPBBPB,2,8
BPPPBP,PBPBPBPB,BPPBBP,2,8
PBBPBB,BPBPBPBP,PPPBPB,2,8
PBBBBP,PBPBPBPB,BBPBBP,2,8
BPBBPB,BPBPBPBP,BPPPBP,2,8
PPPPBB,BPBPBPBP,PBBPPP,2,8
BPPPPB,BPBPBPBP,PPPPPB,2,8
PPPBPB,BPBPBPBP,BPPBBB,2,8
BBBPPP,PBPBPBPB,BPPPBB,2,8
PPBPPP,PBPBPBPB,BBBPPP,2,8
BBBBPB,BPBPBPBP,PPPPBB,2,8
PBBPBP,PBPBPBPB,PBBPBB,2,8
PBPBPP,PBPBPBPB,BBBPPB,2,8
BPPBPB,BPBPBPBP,BBPBBB,2,8
PBPBBB,BPBPBPBP,PPBBBP,2,8
PBBBBP,PBPBPBPB,PBPPPB,2,8
BBBBPP,PBPBPBPB,BPBBPP,2,8
PBBBBP,PBPBPBPB,PPPPBP,2,8
BPBPPP,PBPBPBPB,PPBPPB,2,8
PBPBPP,PBPBPBPB,BBBBPB,2,8
BPBBBB,BPBPBPBP,BPPPPP,2,8
BBBBBB,BPBPBPBP,PPPBBB,2,8
BPPPBP,PBPBPBPB,BPPPBB,2,8
PBPBPB,BPBPBPBP,BPPPPP,2,8
BPPPBB,BPBPBPBP,PPBBPB,2,8
PBPPPB,BPBPBPBP,PBBPBP,2,8
BPBPBB,BPBPBPBPBPBP,BPPBBP,3,12
PBPPPP,PBPBPBPB,PPPPBB,2,8
BPBPPB,BPBPBPBPBPBP,BPPBPP,3,12
PPPPBP,PBPBPBPB,PPPPPB,2,8
BBBBPP,PBPBPBPB,PPBPPP,2,8
PBPBBB,BPBPBPBPBPBP,PBBPPB,3,12
BBPPBP,PBPBPBPB,PBBPBP,2,8
PBBBBP,PBPBPBPB,PPBBPP,2,8
PPBPPB,BPBPBPBP,BBPPPP,2,8
PBBBBP,PBPBPBPB,BBPBPB,2,8
BPBPBB,BPBPBPBP,PPBPPP,2,8
PBBPPP,PBPBPBPB,PBPPBP,2,8
PPPBBB,BPBPBPBP,BBBBPP,2,8
BBPBBP,PBPBPBPB,BPBPBB,2,8
BBBBBP,PBPBPBPB,PPBPPB,2,8
BPBBBP,PBPBPBPB,BBBPBP,2,8
BPBPPP,PBPBPBPB,PPPPBB,2,8
PPPPPP,PBPBPBPB,PPPBBB,2,8
PBBPPP,PBPBPBPB,PBBBPP,2,8
PPPBPP,PBPBPBPB,PPBPBB,2,8
PBBBBB,BPBPBPBP,PBBBBB,2,8
PBPBPP,PBPBPBPB,BBPPBB,2,8
BPBPBB,BPBPBPBP,PPBBBB,2,8
PPPBPB,BPBPBPBP,PPBPPB,2,8
BPPPPP,PBPBPBPB,BPBPBP,2,8
BPPBBP,PBPBPBPB,BBPPPB,2,8
PBBPPB,BPBPBPBP,PBBPPP,2,8
BBBBBB,BPBPBPBP,PBBBPP,2,8
BBPPBB,BPBPBPBP,BBPBPB,2,8
BBBPPB,BPBPBPBP,BPPPBP,2,8
PPBPBP,PBPBPBPB,PBPPPP,2,8
PPBPPB,BPBPBPBP,PPBBPP,2,8
PBBPPP,PBPBPBPB,BPBBPP,2,8
BBPBBB,BPBPBPBP,BBBBBP,2,8
BPPBBP,PBPBPBPB,PPBPBP,2,8
PPBBBB,BPBPBPBP,BPPBBB,2,8
BPPPBB,BPBPBPBP,PBPPBP,2,8
PBPPBB,BPBPBPBP,BPPPPB,2,8
BPBBBB,BPBPBPBP,BBBBPB,2,8
BPBPBP,PBPBPBPBPBPB,BBPBBP,3,12
BBPBBP,PBPBPBPB,BPBPPB,2,8
PPPBPP,PBPBPBPB,BBPPBB,2,8
PBBPPP,PBPBPBPB,PBPPPB,2,8
BBPPPP,PBPBPBPB,BBBPPB,2,8
BBBBBP,PBPBPBPB,BBBBBP,2,8
BPBBPB,BPBPBPBP,PPPPBB,2,8
BPBBPB,BPBPBPBP,BBPPBB,2,8
BBPBPB,BPBPBPBP,BPPBPP,2,8
PBBBPB,BPBPBPBP,PPPPBP,2,8
BBPBBB,BPBPBPBP,PPBPBB,2,8
BBPBPB,BPBPBPBP,PBBBBP,2,8
BPBBPP,PBPBPBPB,BPPBPB,2,8
BPPBPB,BPBPBPBP,BPPBBB,2,8
BBPBBB,BPBPBPBP,BBBBBB,2,8
PPPBPP,PBPBPBPB,BPPBBB,2,8
BBBPPP,PBPBPBPB,PBBBBP,2,8
BBBPBP,PBPBPBPB,PPBPPP,2,8
BBPPPB,BPBPBPBP,PPBPBP,2,8
PBBBPP,PBPBPBPB,PBBBBB,2,8
BPBBBB,BPBPBPBP,BBPPPB,2,8
BBBBPB,BPBPBPBP,BBPPBB,2,8
BPBPBP,PBPBPBPB,BBPPPP,2,8
PPBPBB,BPBPBPBP,PPBBBP,2,8
BBBBPB,BPBPBPBP,BPPPPB,2,8
PBPPPB,BPBPBPBP,PBPBPB,2,8
BPBPBP,PBPBPBPB,BPPBBB,2,8
BPBPBP,PBPBPBPB,PPPPBP,2,8
PBBBPP,PBPBPBPB,PBBPBB,2,8
BPBBBB,BPBPBPBP,PBPPPB,2,8
BBBBPP,PBPBPBPB,PPBPBB,2,8
BBPBBP,PBPBPBPB,BBBBPP,2,8
PBPBPB,BPBPBPBP,PPPPPB,2,8
PPBBPP,PBPBPBPB,BBPBPP,2,8
PBBBPB,BPBPBPBP,PBPPPP,2,8
PBPBBB,BPBPBPBP,PBBBBB,2,8
PBBPPB,BPBPBPBP,PPBBPP,2,8
PBBPPB,BPBPBPBP,PPPPBP,2,8
BBPBBP,PBPBPBPB,PPPPPB,2,8
PPBPBB,BPBPBPBP,PPPPPB,2,8
PBPBBP,PBPBPBPB,BBPPBP,2,8
BPBBBP,PBPBPBPB,BPPPBP,2,8
PBBPPB,BPBPBPBP,PPBPPP,2,8
BPBPBB,BPBPBPBP,PPPBBB,2,8
BPPBPP,PBPBPBPB,BBPPPP,2,8
BBBBBP,PBPBPBPB,BPPBPB,2,8
BBPBBP,PBPBPBPBPBPB,BBPPPB,3,12
PBBPBB,BPBPBPBP,BPBBPB,2,8
BPBBPB,BPBPBPBP,BBBPPB,2,8
PPBBBB,BPBPBPBP,BPBBBP,2,8
PPBPPP,PBPBPBPB,BPBPPB,2,8
BBBBPB,BPBPBPBPBPBP,PBPBBP,3,12
BBPBBP,PBPBPBPB,BBPBBB,2,8
PBPPPB,BPBPBPBP,PBPPPB,2,8
BBPPPP,PBPBPBPB,PPPBPP,2,8
BPBBBB,BPBPBPBP,BBPBPP,2,8
PBPBBB,BPBPBPBP,BBBPBB,2,8
PBBPBP,PBPBPBPB,BBPBBP,2,8
BBBPBB,BPBPBPBP,BBBPPP,2,8
BBPBPB,BPBPBPBP,BBBBPB,2,8
BBPBBP,PBPBPBPB,BBPBPB,2,8
BPBPBB,BPBPBPBP,PBPBBB,2,8
BBPPBP,PBPBPBPB,BBPBPP,2,8
BPBBPB,BPBPBPBP,BBBPBB,2,8
PPBBBB,BPBPBPBP,PBBBBB,2,8
BBBBPP,PBPBPBPBPBPB,BBBBBP,3,12
PPBBPP,PBPBPBPB,BBPPBP,2,8
PBBBBB,BPBPBPBP,PBBPBP,2,8
BPBBBB,BPBPBPBP,BBPBBB,2,8
PPBPBP,PBPBPBPBPBPB,PPPPBP,3,12
BPBPPP,PBPBPBPB,PBBBPP,2,8
BPBBPP,PBPBPBPB,BBBBBB,2,8
PBBPBB,BPBPBPBP,PPBPBB,2,8
BPBBBP,PBPBPBPB,BBPBBB,2,8
PPBBBB,BPBPBPBP,BPBBBB,2,8
BBBPBP,PBPBPBPBPBPB,PBBBPP,3,12
BBBPPP,PBPBPBPB,BPPBBP,2,8
PBPPPP,PBPBPBPB,BBBPPB,2,8
BBBBPB,BPBPBPBP,PBBBPB,2,8
PPBPBB,BPBPBPBP,PBBPBB,2,8
PBBPBB,BPBPBPBP,PPBBPP,2,8
PPPPBB,BPBPBPBP,PBBPBP,2,8
BBBBBP,PBPBPBPB,BBPBBP,2,8
BPBPBP,PBPBPBPB,BPPBPP,2,8
PBBPBB,BPBPBPBP,PBBBBB,2,8
BBBBPB,BPBPBPBP,BPPBBP,2,8
BPPPBB,BPBPBPBP,PPBPBB,2,8
BBBBPB,BPBPBPBP,PBPBBP,2,8
PBPPPP,PBPBPBPB,PBBPBP,2,8
PBPBPB,BPBPBPBP,PPPBBB,2,8
PBBPPB,BPBPBPBP,PPPBBP,2,8
BBPBPP,PBPBPBPB,BBPBPB,2,8
BBPPBB,BPBPBPBP,PPPBBB,2,8
PPBPPB,BPBPBPBP,PBPBBP,2,8
BPBPPB,BPBPBPBP,PBBPPP,2,8
BBPBBB,BPBPBPBP,BBPPBB,2,8
PPBBBB,BPBPBPBP,BBPPBP,2,8
BPBBBB,BPBPBPBP,PBPPPB,2,8
PBBPBB,BPBPBPBP,PBPBBP,2,8
PPPBPB,BPBPBPBP,BPPPPP,2,8
BBPBBB,BPBPBPBP,BBBPBB,2,8
BPPBBP,PBPBPBPB,BPBPBB,2,8
BBBPPP,PBPBPBPB,BBBPBP,2,8
PPPBBP,PBPBPBPB,BPBBPB,2,8
BPPPBP,PBPBPBPB,BPPBBB,2,8
BBPBPP,PBPBPBPB,BPPBBB,2,8
PBBBPP,PBPBPBPBPBPB,BPPPPP,3,12
PBPPBP,PBPBPBPB,PPPPPP,2,8
BPBBPP,PBPBPBPB,PPBPPB,2,8
PPBPBB,BPBPBPBP,PBBPBP,2,8
PPPPPB,BPBPBPBP,PBPBBB,2,8
BPPPPB,BPBPBPBP,BPBBPB,2,8
PBBPBP,PBPBPBPB,PPBBBB,2,8
PBBBBB,BPBPBPBP,BBPPPB,2,8
PBPBBP,PBPBPBPB,PBBPBP,2,8
BPBBBB,BPBPBPBP,BBPPBB,2,8
BPPBBB,BPBPBPBP,BBPPBB,2,8
PBBPBP,PBPBPBPB,PPPPPP,2,8
BPBBPP,PBPBPBPB,BPBBPB,2,8
PBPBBP,PBPBPBPB,BBBPPB,2,8
PPPPBB,BPBPBPBP,BBPBBP,2,8
BPBBBB,BPBPBPBP,BBPBBB,2,8
BPPBBP,PBPBPBPBPBPB,PPPPBB,3,12
PPPPBB,BPBPBPBP,PBPBBB,2,8
PPPBBP,PBPBPBPB,BBBPPP,2,8
PPBBPP,PBPBPBPB,PBPPPB,2,8
BBBPPP,PBPBPBPB,PPBPBP,2,8
BPBPBP,PBPBPBPB,BPBPBP,2,8
BPBBPP,PBPBPBPB,BPPPBB,2,8
PPPPBB,BPBPBPBP,PBPBPB,2,8
BPPBBP,PBPBPBPB,BBPPBP,2,8
BPBBBP,PBPBPBPB,PPPBPB,2,8
PBPBBP,PBPBPBPB,BPPBBB,2,8
BBPBBB,BPBPBPBP,BBBBPB,2,8
BPPBPP,PBPBPBPB,PPPPBB,2,8
PPPBBB,BPBPBPBP,BBBBBP,2,8
BPBBPB,BPBPBPBP,BBBPBP,2,8
PBBBPB,BPBPBPBP,BBBBPB,2,8
BBPBPB,BPBPBPBP,PPBPPP,2,8
PBBPPP,PBPBPBPB,BPBPBP,2,8
PBBPBB,BPBPBPBP,PPPPPB,2,8
PPBBPP,PBPBPBPB,BPBPBP,2,8
BBBBPB,BPBPBPBP,PBBPBP,2,8
PBBPPP,PBPBPBPB,BBPBPB,2,8
PPBPBB,BPBPBPBP,PBPPPB,2,8
BPBPPB,BPBPBPBPBPBPBPBP,PPPBBB,4,16
BPBBPB,BPBPBPBP,BBPPBB,2,8
BPBPPP,PBPBPBPBPBPB,PPPBBB,3,12
BBBBBP,PBPBPBPB,PPBBPB,2,8
BPPBBB,BPBPBPBP,PBPBPB,2,8
BPBPBP,PBPBPBPB,BPBBPP,2,8
PPBBBP,PBPBPBPB,PBPPBP,2,8
BBBPBB,BPBPBPBP,PBPBBB,2,8
PPBPBB,BPBPBPBP,PPPPBB,2,8
PBPBPP,PBPBPBPBPBPB,PPPBPB,3,12
PBPBBP,PBPBPBPB,PPBPBP,2,8
PPBBBB,BPBPBPBP,BBPPPB,2,8
PPBPBP,PBPBPBPB,PBBBPP,2,8
BBBBPB,BPBPBPBP,PBBBBP,2,8
BPPBBB,BPBPBPBPBPBP,BPPBPB,3,12
BPPPPB,BPBPBPBP,BPPPBP,2,8
BBPBPB,BPBPBPBP,PPBBPB,2,8
BBPBPB,BPBPBPBP,PBBBPB,2,8
PBBPBP,PBPBPBPB,BPBPBP,2,8
PBPBPB,BPBPBPBP,BBPPPP,2,8
BBBBBB,BPBPBPBP,PBPBPB,2,8
BPBBPP,PBPBPBPB,BPBPBB,2,8
BBBBBP,PBPBPBPB,BBBPPP,2,8
BPBPBB,BPBPBPBP,PPBBBB,2,8
BBBPBP,PBPBPBPB,PPBBPP,2,8
BPPBBB,BPBPBPBP,BPPBPB,2,8
BPPBPP,PBPBPBPBPBPB,PPBPPP,3,12
PPPPBB,BPBPBPBP,PBPBBB,2,8
BBBPPB,BPBPBPBP,PPPBBB,2,8
PBBPPP,PBPBPBPB,BBBPBP,2,8
BPPBPP,PBPBPBPB,PBBBBB,2,8
PPBBBP,PBPBPBPB,BPPPPB,2,8
PPBBBB,BPBPBPBP,BBPBBP,2,8
BBPPPB,BPBPBPBP,PBPPBB,2,8
BBPPPP,PBPBPBPBPBPB,BPPPBP,3,12
PPPBBP,PBPBPBPB,BBBPBP,2,8
BPPPBP,PBPBPBPB,PBBPPB,2,8
BPBPPB,BPBPBPBP,PBBPPB,2,8
BPPPPP,PBPBPBPB,BPPBPP,2,8
BBBPBP,PBPBPBPB,PPPPBP,2,8
PBPBBB,BPBPBPBP,PBPPPP,2,8
BBPPBB,BPBPBPBP,BBBPPP,2,8
BBBBBB,BPBPBPBPBPBP,PBBBBP,3,12
BBBBBB,BPBPBPBP,PBPPBB,2,8
BPBBPP,PBPBPBPB,BBPBPP,2,8
BBPBBB,BPBPBPBP,PPPPPP,2,8
BPPBBB,BPBPBPBP,PPBPPB,2,8
PPPBPB,BPBPBPBP,BBBBBB,2,8
BBBPPB,BPBPBPBP,PBBPPB,2,8
BBPBBB,BPBPBPBP,PBPPBB,2,8
BBBBBB,BPBPBPBP,BBPBPP,2,8
PBBBPB,BPBPBPBPBPBP,BBBBPB,3,12
BPBBPP,PBPBPBPB,PPBBPB,2,8
PBBPPB,BPBPBPBP,PPBBBB,2,8
PPPBPB,BPBPBPBP,BBBPBP,2,8
BPPBPB,BPBPBPBP,BBPPPB,2,8
BBBBBP,PBPBPBPB,BPBPPB,2,8
PPBBPB,BPBPBPBP,BBPBBB,2,8
BBBBBP,PBPBPBPB,BBPPPB,2,8
PBPBPP,PBPBPBPB,PBBPPB,2,8
BPBBBB,BPBPBPBP,PBPBPB,2,8
PBBPBP,PBPBPBPBPBPB,BBBBPP,3,12
BPPPBB,BPBPBPBP,BPPPPB,2,8
BPBBPP,PBPBPBPB,BPPPPP,2,8
PPBBPB,BPBPBPBP,BPPPBP,2,8
PBBPBP,PBPBPBPB,PBBPPP,2,8
PBBPBP,PBPBPBPB,BBPPPB,2,8
PBBBPB,BPBPBPBP,PPPBPP,2,8
PPPBBB,BPBPBPBP,BBBBPP,2,8
BBPBPB,BPBPBPBP,BPPBBP,2,8
BBBPPB,BPBPBPBP,PPBPBB,2,8
BBPBPP,PBPBPBPB,PBPPBB,2,8
PBPBPB,BPBPBPBP,BBPBPP,2,8
PPPPPP,PBPBPBPB,BBPBPP,2,8
BBBBPP,PBPBPBPB,PBBBBB,2,8
BPBBBP,PBPBPBPB,PPBPPB,2,8
PBBBPB,BPBPBPBP,PPPBPP,2,8
PBBBBB,BPBPBPBP,PPPBBB,2,8
PBBBPP,PBPBPBPB,BBPBBB,2,8
BBBPPP,PBPBPBPBPBPB,BPBBPB,3,12
PPPPPP,PBPBPBPB,BBBPBB,2,8
BBPBPB,BPBPBPBP,PBBPPP,2,8
PBBBBB,BPBPBPBP,PPPBBP,2,8
BPPBPB,BPBPBPBP,PBBBBP,2,8
BBBPPB,BPBPBPBP,PPBBPB,2,8
BBPBBB,BPBPBPBP,BPPPPP,2,8
PBPBBB,BPBPBPBP,BPPBBB,2,8
BBBBPB,BPBPBPBP,BPPPPP,2,8
BPBBPB,BPBPBPBP,PBBBBB,2,8
PPPPPP,PBPBPBPB,BBBBBB,2,8
BBBBPP,PBPBPBPB,PBBPPP,2,8
BPPBBP,PBPBPBPB,PPPBPP,2,8
BBPBBB,BPBPBPBP,BPPPBB,2,8
BPBBPB,BPBPBPBP,PPBBPB,2,8
BBBBPP,PBPBPBPB,BBBBPP,2,8
BBBPBP,PBPBPBPB,BBBBBP,2,8
PPPPBP,PBPBPBPB,BPBPBP,2,8
PBPBPB,BPBPBPBP,BBBPPB,2,8
BPBBBP,PBPBPBPB,BBPPPP,2,8
PBBPBB,BPBPBPBP,PPPPPB,2,8
BPBPPP,PBPBPBPB,PPBPBP,2,8
BPPPBB,BPBPBPBP,PBPPBP,2,8
BPBPPB,BPBPBPBP,BBBBBP,2,8
PBBBPB,BPBPBPBPBPBP,BPBBPB,3,12
PBPBBB,BPBPBPBP,PBPBPB,2,8
BPBPBP,PBPBPBPB,BBBPPB,2,8
BBPBBB,BPBPBPBP,BBBBBB,2,8
PPBBPB,BPBPBPBP,PPBBBB,2,8
BBBPBP,PBPBPBPB,PPPBBB,2,8
PBBBBB,BPBPBPBP,PPPPBB,2,8
