before,lukku,after,pairs,length
PPBPBB,BBPP,BPBPBB,2,4
PBBBPP,PPBB,PBPPPB,2,4
PBPBBB,PPBB,BBBPBP,2,4
BPBPBP,BBPP,PPPPBP,2,4
PPPPPB,PPBB,PBBPPB,2,4
BPPBBP,BBPPBB,PBPBBP,3,6
PPPBBB,PPBBPP,PPBPPP,3,6
BBBPPP,BBPP,BPPPPP,2,4
BBPBPP,PPBB,PBBPBP,2,4
BBPBBB,PPBB,PBPBBB,2,4
BBPPPP,PPBBPP,PPPPPP,3,6
PBBPBP,BBPP,BPBBPP,2,4
BBPPBP,BBPP,BPPPBP,2,4
PPBPBP,BBPP,BPBBBB,2,4
PBPPPB,PPBB,BPPBPB,2,4
BPPPBP,BBPPBBPPBB,BBBPPB,5,10
BPPPPP,BBPPBB,PBPBPB,3,6
BBBBBB,BBPP,PBPPBP,2,4
PPBPPB,PPBBPPBB,PBBPPP,4,8
BPPBBP,BBPP,PPBBBB,2,4
PBBBPB,PPBBPPBBPPBB,BPPPBB,6,12
PBBPBP,BBPP,PBBPPP,2,4
PBBPPP,BBPP,PPBPBP,2,4
PPPBBB,PPBB,PBBBPP,2,4
PPBBBP,BBPP,BPPPBB,2,4
PBBPBB,BBPPBB,BPBPBB,3,6
BPPPBB,BBPP,PBPBPP,2,4
PPBBPP,PPBBPP,PPPPBB,3,6
BBPPPP,PPBB,PBPBBP,2,4
PBBPBP,BBPPBB,BBBBPP,3,6
PPBBBB,BBPP,PBPBPP,2,4
BBPBBP,BBPPBB,BPBPBB,3,6
BBBPBP,BBPPBBPPBB,PBPBBP,5,10
PBPBPB,PPBBPPBB,PBPPPB,4,8
BBBPBP,BBPP,PBBBBP,2,4
BBBBPB,PPBBPP,PBPPPP,3,6
PPPBPP,PPBB,BBBBBB,2,4
BBBPPP,BBPPBB,BBBBBB,3,6
BBBPPP,BBPPBB,BBPBPB,3,6
BPBBBP,BBPP,PPPPPB,2,4
PBPPPP,PPBB,BBPPPP,2,4
PPPPBB,BBPP,PPBPBB,2,4
PBPPPP,PPBB,BBPBPB,2,4
BBBPBP,BBPPBB,BBPBPP,3,6
PBPPBP,BBPPBB,BPPPBP,3,6
BPPPBP,BBPPBBPP,BPPBPP,4,8
PPBPBP,BBPP,BPBBBP,2,4
PBPBBP,BBPP,BPBBBP,2,4
PPPBPP,PPBB,BBBBPB,2,4
BBBBPB,PPBB,BPBPBB,2,4
BBBBBB,PPBB,BPBBBB,2,4
PBBBPB,PPBB,BBPBBP,2,4
BBPBPB,PPBBPP,PBBPBB,3,6
PBBPBB,BBPP,BPBPPP,2,4
BPBPPB,PPBB,BBPBPP,2,4
PPPPPP,BBPP,BPBBPB,2,4
BPBPPB,PPBB,BPBPBB,2,4
BBPBPP,PPBBPP,BPPPPP,3,6
BPBPBB,BBPPBB,BPPPPB,3,6
PBBBPP,PPBB,BPPPPB,2,4
BBPBBB,PPBB,PBBPBP,2,4
BPBPPP,BBPP,BPBBPB,2,4
BBPBBB,PPBBPP,BPBPPP,3,6
BBPPPB,PPBB,PBBPPP,2,4
BBPBBP,BBPP,BPBPBP,2,4
BBBBPP,PPBB,PBBPBB,2,4
PBBPPP,BBPP,PPPBPB,2,4
BBBBBB,BBPP,PPPBBB,2,4
BBBPBP,BBPP,PBPPBP,2,4
BPBBPB,PPBB,PBBBBP,2,4
PBBBBP,BBPP,BPBBPP,2,4
BBPPBP,BBPP,BPPBBP,2,4
PPBPPB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PBBBBP,2,4
BPPPBB,BBPP,PBPPPB,2,4
BBBBBP,BBPP,PPBPBB,2,4
PPPPBP,BBPPBB,BBBPBP,3,6
BPBBBP,BBPPBB,BPBBPB,3,6
BPBPBP,BBPP,PPPBPP,2,4
BBBBBB,PPBBPP,BPPBPP,3,6
BBPBBP,BBPPBB,PBBBPB,3,6
BPBPPB,PPBB,BBBPBP,2,4
BPPBPP,PPBB,BBBBBP,2,4
BPBBBB,BBPPBB,BBPBPB,3,6
BBPBPB,PPBBPP,PPBBBP,3,6
PPBBPP,PPBB,BPPPBP,2,4
BBBBPB,PPBBPP,BPPPPP,3,6
PBBPBB,BBPP,PPPPPB,2,4
PBBBBP,BBPP,PPBPBP,2,4
PPPBPB,PPBBPP,PPBPBB,3,6
PPPPBP,BBPP,PPBBPB,2,4
BPBBPP,PPBB,PBPBPB,2,4
BPPBPB,PPBB,BPPBPB,2,4
PBPPBP,BBPPBB,BPBBBP,3,6
PPPBBB,PPBB,PBPBPP,2,4
BBPBPB,PPBB,BBPPPB,2,4
PPPPBP,BBPP,PBPBBB,2,4
BPBPBP,BBPPBBPPBB,PBBPBP,5,10
BBBPBB,BBPPBBPP,PBPBBP,4,8
BPPPBP,BBPP,BPBBPB,2,4
PBBPBP,BBPP,PBPBPB,2,4
PPPBBB,PPBB,BBPPPB,2,4
BBPPBB,BBPP,PBBBPP,2,4
BPPPBP,BBPP,PPPBPP,2,4
BPBBBP,BBPP,PBBBPB,2,4
BPBPBP,BBPP,BPPPBB,2,4
BBPBPB,PPBB,BPPBBB,2,4
BPPBBB,PPBB,BPBPPP,2,4
BBPBPP,PPBBPP,PPBPBB,3,6
PBBPBP,BBPP,PPBPPB,2,4
BPPPPB,PPBB,BPBPBP,2,4
PBPPPB,PPBB,BPBBBP,2,4
BBBBBB,BBPP,PPPPPB,2,4
PPBBBP,BBPPBB,BPPPBP,3,6
BBPPPB,PPBB,BPBPBB,2,4
BPBPPB,PPBB,BPPPPP,2,4
BBBBBP,BBPP,PPPPPB,2,4
PBBPBB,BBPP,PPPPPB,2,4
BBBBPB,PPBB,PBPBPP,2,4
BBPBPB,PPBBPP,PPPPBB,3,6
BBPPPP,PPBB,BBPBBB,2,4
PPPBPB,PPBB,BBBPPP,2,4
BBBBPP,PPBB,PBBPBP,2,4
BPBBPB,PPBB,BBBPPP,2,4
PPPBPB,PPBBPP,PPBPBP,3,6
BPBPPP,BBPP,BPPBBB,2,4
PBPBPB,PPBB,BPPBPP,2,4
PBPPPP,PPBBPP,PPBBBP,3,6
PPBBPP,PPBB,BPPPBB,2,4
PBPBPB,PPBB,PBBPBB,2,4
PBPBBB,PPBB,BBPPBB,2,4
BBPPBB,BBPPBBPP,PPPPBP,4,8
PPBBBP,BBPP,PBPBPP,2,4
PPPBPB,PPBBPPBB,BBBPBB,4,8
PBPBBB,PPBB,BBBBBP,2,4
PBBBPB,PPBB,BPBPPB,2,4
PBBBPB,PPBB,BBBBPP,2,4
PPBBBB,BBPPBB,BBBPBB,3,6
BPBBBP,BBPPBB,BPBPPB,3,6
BPBPBB,BBPP,PPPPPB,2,4
PBPPPP,PPBB,BPPPBP,2,4
PBPPPB,PPBB,BBBBPB,2,4
BBBBBP,BBPP,BPBPPB,2,4
BPPBPB,PPBBPP,PPPBBP,3,6
BPBPBP,BBPP,BPBPPP,2,4
PBPBBP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,BBPPBP,2,4
PPPPBB,BBPP,BPBPBP,2,4
BBPBPP,PPBB,BPBBBP,2,4
BPBBPB,PPBBPP,BPBPPB,3,6
BPPBPB,PPBB,BBBBBB,2,4
BBBBPB,PPBBPP,PPBBBB,3,6
PPBBPP,PPBB,BBBPPP,2,4
BPBPBB,BBPP,PPBPBP,2,4
BBPPBP,BBPPBB,BPBPBB,3,6
BBBBBB,BBPPBBPP,PPBBBB,4,8
PBBBBB,PPBB,PBBPBP,2,4
BPPBBP,BBPP,PBPBPB,2,4
BPBPBB,BBPPBB,BBBPPB,3,6
BPBBPP,PPBBPP,PBBBPP,3,6
PPBBBB,BBPP,BPBPBP,2,4
BBBBBP,BBPP,BPBBBP,2,4
PPBPBP,BBPP,BPPPPB,2,4
BBBPPP,BBPP,PPPPBP,2,4
BPBBBB,BBPPBB,BBBBPB,3,6
BBBPBP,BBPP,PPPBBB,2,4
PPBBBB,BBPP,PPBBPB,2,4
BBBBPP,PPBB,PBBPPB,2,4
PPPBBP,BBPPBB,BBBPPB,3,6
PBPBBB,PPBB,BBBBPB,2,4
PPPPBP,BBPPBB,PBBPBB,3,6
PBPPPB,PPBB,BPPBBP,2,4
BPPBBB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PBBPPB,2,4
BBBBBP,BBPP,PPBPPB,2,4
BPPPPB,PPBB,BBPPPB,2,4
PBPPBB,BBPP,PBBBPP,2,4
PBPPPB,PPBB,PBPBBP,2,4
PBBBBP,BBPPBB,PBPBPB,3,6
BPBPBP,BBPP,BPBBPP,2,4
BBPPBP,BBPP,PPBPBP,2,4
BBBBBP,BBPPBB,BPBPBB,3,6
BBPBBB,PPBBPP,BPBBPB,3,6
PBBBPP,PPBB,PBPBBP,2,4
PBBBPP,PPBB,BPBPBP,2,4
BPBBBB,BBPP,PPBBBB,2,4
BBBBPP,PPBB,BBPBPB,2,4
BPBPBB,BBPP,PPBBBB,2,4
BBBBPP,PPBB,BBBPPP,2,4
BBPBPB,PPBB,PBBBPP,2,4
BPPPBB,BBPPBB,PBBBBP,3,6
PBBPBB,BBPP,PBBPPB,2,4
BPBBBB,BBPP,BPPBBB,2,4
BBBPPB,PPBB,BBBPPP,2,4
BBPBPB,PPBB,BBBPBB,2,4
PBPPPP,PPBBPPBB,PBBBBP,4,8
BBBBPB,PPBB,BPPBPB,2,4
PPPBPP,PPBB,BPPBPP,2,4
PPBPPP,BBPP,BPPBPB,2,4
BPPBBB,PPBB,BPPBBP,2,4
BPPBBB,PPBBPP,BPPBBB,3,6
PBBPPB,PPBB,BPPPBB,2,4
BBBPPP,BBPP,PBPBPP,2,4
PPBPBB,BBPPBB,BPPBBB,3,6
BPPBBB,PPBB,BPBBBP,2,4
PBPPPP,PPBB,BPBBBP,2,4
PBPPPB,PPBB,BPBPPB,2,4
PBPPPP,PPBBPP,BPPPBP,3,6
PPBPPB,PPBB,BPBPBP,2,4
PBPBPP,PPBBPP,BPPPPP,3,6
BBPBBP,BBPP,PBBPBB,2,4
PPPPBP,BBPP,PBPBBP,2,4
BBPBBP,BBPP,PPBBPP,2,4
BPBBPP,PPBBPP,BPPPPP,3,6
BBPBPP,PPBBPP,BPPPPB,3,6
PPBPBP,BBPPBB,BBBPBP,3,6
BBBBBP,BBPP,PPPPBP,2,4
BPBBBP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,BPBPPP,2,4
PBPBBB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PBBBBB,2,4
PBPBPB,PPBB,BPPPBP,2,4
BBPPPB,PPBB,PBPPBP,2,4
PBPPBP,BBPP,PBBBBB,2,4
PPPBBB,PPBB,PBPPPP,2,4
PPPPBP,BBPPBBPP,PBBPBB,4,8
PBBPBB,BBPPBB,PBPPPB,3,6
PPPBPP,PPBB,PBPBBB,2,4
PBPBPB,PPBBPPBB,BPPBPB,4,8
PPBPBB,BBPP,BPBPPB,2,4
BPPBPB,PPBB,BPPPBB,2,4
BBPBPB,PPBB,BBPPBP,2,4
PBPPBB,BBPP,BPPPBB,2,4
BPBBBB,BBPP,BPPPPB,2,4
PBBBBP,BBPP,PPPBPP,2,4
PBPPBP,BBPP,PPPPBP,2,4
BBBBBP,BBPP,PPBBPB,2,4
BPBBPP,PPBB,PBPBBP,2,4
PBBPBP,BBPPBB,BPBBBP,3,6
BBBPPB,PPBBPP,PBBPBB,3,6
BPBBPP,PPBB,BBBPBB,2,4
BBPBPP,PPBB,BPBBBB,2,4
BBPBBB,PPBB,BBBBPB,2,4
PPBBPB,PPBB,BPBBPP,2,4
PPBBBP,BBPPBB,BPPBBP,3,6
BPPBBB,PPBB,PBPPBP,2,4
BPBPBP,BBPPBB,PBBPPB,3,6
BPPBBP,BBPP,BPBBBB,2,4
BBBBBP,BBPP,BPBBPP,2,4
BBPPBP,BBPP,BPBBPB,2,4
PBPPPP,PPBB,BBBPBP,2,4
BBPBPB,PPBB,BBBPBP,2,4
PPPBBP,BBPP,PPBBPB,2,4
BPBBPP,PPBB,PBPBPP,2,4
BBBBBB,PPBB,PBPBBP,2,4
PBBPBP,BBPPBB,BBBBPP,3,6
PPBBBB,BBPP,PPBPBB,2,4
BBBPPB,PPBB,PBBBPB,2,4
BPBBBP,BBPP,PPBBPB,2,4
BBPBPB,PPBB,BBPBPP,2,4
BBPBPP,PPBB,PBBPPB,2,4
PPPBBP,BBPPBB,PBPPPP,3,6
PPBPBB,BBPP,PBBBPB,2,4
PBBPBB,BBPP,PBPPPB,2,4
PBPBBP,BBPP,PPBBBB,2,4
BPBBPP,PPBB,BBBBBB,2,4
BBPBBP,BBPP,PPPBBB,2,4
BPPBPP,PPBB,BPPBBP,2,4
PPPBBB,PPBB,PBBPBB,2,4
BPPBPB,PPBBPP,PBBPPP,3,6
PBBPPP,BBPP,PPBPBB,2,4
BBBBPP,PPBB,BBBPBP,2,4
PPPBPB,PPBBPPBBPP,PBBBBP,5,10
PBBBBP,BBPP,PPPPPB,2,4
PPPPPP,BBPP,PBBPBB,2,4
PBPBPP,PPBBPP,BPPBPP,3,6
PPBPPP,BBPP,PPBBPB,2,4
PPBBPP,PPBB,PBBPPP,2,4
PPPBBP,BBPP,PBBPPP,2,4
PBBPPP,BBPP,PBPPPB,2,4
BPBBPP,PPBB,PBPBBP,2,4
PBPBBP,BBPP,BPPBPP,2,4
PBPPPP,PPBB,BPPPBP,2,4
PPBPBB,BBPP,PPPBBB,2,4
PBBPBB,BBPPBB,BPBBBB,3,6
BPBPPB,PPBB,PBPPPB,2,4
PBBBPB,PPBB,PBPBPB,2,4
PPPPBB,BBPPBBPP,PBPBPB,4,8
BBBBBP,BBPPBBPPBB,PBPPPP,5,10
PBPBPP,PPBBPP,PBBBPP,3,6
PPBPBP,BBPP,PPBBPP,2,4
BPBBPP,PPBBPPBB,BPPPBP,4,8
PBPBBP,BBPP,BPBPBP,2,4
PBPBPB,PPBB,BBPBPP,2,4
BBBPPP,BBPP,PBPPBB,2,4
BBPPPB,PPBB,BPBBBP,2,4
PBPBPB,PPBB,PBBBBP,2,4
PBBPBB,BBPP,PBBPBP,2,4
PPPBPB,PPBB,BPPPBP,2,4
BBBBBP,BBPP,BPBPPP,2,4
BPPPBB,BBPP,BPPPPB,2,4
PPBBBP,BBPP,BPBPPP,2,4
PBBBBP,BBPP,BPPPPP,2,4
BPBBBP,BBPP,PPPPPB,2,4
PPPBBP,BBPPBBPPBBPP,PPBBPP,6,12
PPBBPP,PPBBPP,PBPBPP,3,6
PPPBPB,PPBBPP,PBPBPP,3,6
PPPBBP,BBPPBB,PBPPBB,3,6
PPBBPB,PPBB,BPPBPP,2,4
BPPBPP,PPBB,PBPBPP,2,4
PBBBBB,PPBB,BBBPBB,2,4
PBPBBP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,BPBBBP,2,4
PBPBPP,PPBBPP,PPPBPP,3,6
BBPBPB,PPBBPP,PBPBPB,3,6
PPBPBP,BBPP,PBPBPB,2,4
PPPBBP,BBPPBB,BPBPPB,3,6
PPBPBP,BBPP,PPBBBB,2,4
BBBPPB,PPBB,BBBPBP,2,4
BBPBBB,PPBB,BPPPBP,2,4
PPPBPB,PPBB,BPBBPP,2,4
PPBBBP,BBPP,PPBBPB,2,4
BPBBPP,PPBB,PBBPPP,2,4
PPPBBP,BBPP,PBBPPB,2,4
PBBPPP,BBPPBBPPBB,PBPPBB,5,10
BPBPBB,BBPP,PPPBBB,2,4
PPPBBB,PPBB,BBBBPP,2,4
PPBBBB,BBPPBB,PBBPBP,3,6
BPBBPB,PPBB,BPBPBB,2,4
BPPBPB,PPBB,PBPBBP,2,4
PBBPBP,BBPP,BPPBBB,2,4
PBBPPB,PPBB,BPPPBP,2,4
BPBBPB,PPBB,PBPBPB,2,4
BBPBPB,PPBB,PBPBBB,2,4
BBPBBP,BBPP,BPBBPP,2,4
BBPPBP,BBPP,PBBPPB,2,4
PBBPPP,BBPPBB,PBBPPP,3,6
BPPBBP,BBPP,PPPBBP,2,4
PPPBBP,BBPP,BPBPBB,2,4
BBPBBB,PPBBPPBB,PBBPBP,4,8
BPBBPB,PPBB,BPBPBB,2,4
BBBPBP,BBPP,BPPBPP,2,4
PBPPBB,BBPP,PBBPBP,2,4
PPPBPB,PPBB,PBPPPP,2,4
PPBBBB,BBPP,PPPBBP,2,4
BBPBBB,PPBB,BPBBBP,2,4
BBPBBB,PPBBPP,PBBBPB,3,6
BBPBBP,BBPP,PPBPPB,2,4
PBBPBP,BBPP,PBPPBP,2,4
PPPPPB,PPBB,BBBBBB,2,4
PPPPPP,PPBB,BBPBBB,2,4
BBBPBB,BBPP,BPPPBB,2,4
PPBPPP,BBPP,BPBPPP,2,4
BBPPPB,PPBB,BBPBBB,2,4
BPBPBP,BBPPBBPP,BPPBBP,4,8
PBBPPB,PPBBPP,PPPBPB,3,6
BBBPBB,BBPP,PPBBBP,2,4
BBBBPP,PPBB,BPBBBP,2,4
BPPBPP,PPBB,PBPBBB,2,4
BPPPPB,PPBB,BPBPPP,2,4
BBBBBP,BBPPBBPP,BPPPPP,4,8
BPPBPP,PPBB,BPBBBB,2,4
BBBBBB,PPBB,BPPPPB,2,4
PPPBBB,PPBB,BPPPBB,2,4
PPPBBB,PPBBPP,BPPBBP,3,6
PBBPPB,PPBB,PBPPPB,2,4
BBPPBP,BBPP,BPBPBB,2,4
PPBPBP,BBPP,PBPPPP,2,4
BPBBBB,BBPP,BPBBBP,2,4
BPBBBB,BBPP,BPBBPB,2,4
BPBPBP,BBPP,BPPPPP,2,4
PPPPPP,PPBB,PBBPPB,2,4
PPPBBP,BBPP,BPBPPB,2,4
BPPBPB,PPBB,BBPBPB,2,4
BBPBPB,PPBB,BBPPPP,2,4
PBPPBB,BBPP,PPPBBP,2,4
BPPPPP,BBPP,PPPBPP,2,4
PPPPPB,PPBB,BPBPBP,2,4
BBPBPB,PPBB,BPBBBB,2,4
PBBBPP,PPBBPP,BPBPBP,3,6
PPBPBB,BBPP,BPBPPB,2,4
PPBPPB,PPBB,BBPPBP,2,4
PBPPBB,BBPP,BPPPPP,2,4
BBBBPB,PPBB,BPPPBB,2,4
BBBPPB,PPBBPPBB,BPPPPP,4,8
PPBBBP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,BPBBBB,2,4
PBBBBP,BBPPBB,PBPPBB,3,6
PPBBPB,PPBB,BPBPBP,2,4
BBPPPB,PPBB,BBPBPP,2,4
PPPBPP,PPBB,BPPPPP,2,4
PPPPPB,PPBB,BBBBPP,2,4
PPBBBB,BBPP,PBBPBB,2,4
BBPBBP,BBPPBB,PBPBBB,3,6
PBPBPP,PPBBPPBB,BPBBBB,4,8
BBBBBP,BBPP,PBPBBP,2,4
BPPPBP,BBPP,PPPPPP,2,4
PPPPPP,PPBB,BPPBBB,2,4
BBBPPB,PPBB,BPPBBB,2,4
BPPBBB,PPBB,BBPBBB,2,4
BBBPBB,BBPPBBPP,BPBPPP,4,8
BBPBPB,PPBB,PBBPPB,2,4
BPBBPP,PPBBPPBBPPBB,BBBPPB,6,12
BPPPBP,BBPPBB,BPBPPP,3,6
PBBBBP,BBPP,PPBPBB,2,4
BPBBBP,BBPP,BPBBBP,2,4
PBPBBB,PPBBPPBB,PBPBBB,4,8
BPPBBB,PPBB,BPPBBB,2,4
BPPBBB,PPBB,BBBBPP,2,4
PPBBBB,BBPPBB,PBBPPP,3,6
BPPBBP,BBPP,PBBBBP,2,4
BPBBPB,PPBB,BPPBBP,2,4
PPBBPB,PPBB,BBPPPP,2,4
PBPPBB,BBPP,PPPBPP,2,4
PPPPPB,PPBBPP,BPPPBB,3,6
PBBPBB,BBPPBB,BPBPBP,3,6
BBPPPB,PPBBPP,PPPPBB,3,6
BBPPPP,PPBBPP,BPBBBB,3,6
BBPBPP,PPBB,BPPPPB,2,4
BBBBBP,BBPP,PBPPPP,2,4
PBPBBB,PPBBPP,BPPBPB,3,6
BPBBBB,BBPPBB,PBBBPB,3,6
BBPBBP,BBPPBB,PBPPBB,3,6
PPBBPB,PPBBPP,PBPBBP,3,6
BPPPBP,BBPP,BPBBBB,2,4
BBPBPB,PPBB,BPBBBP,2,4
BPBBBP,BBPP,PBPPPP,2,4
PPBBBB,BBPP,BPBPBP,2,4
BPBPBP,BBPP,BPPBBP,2,4
PBBPPB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PBPPBB,2,4
BBPPPB,PPBBPP,PBBPBP,3,6
PPPPPP,PPBB,BPBBPP,2,4
PPBBBP,BBPP,PBPBBB,2,4
BPPPPB,PPBB,PBPPBP,2,4
PPBBBB,BBPP,BPBPPP,2,4
PBPBPP,PPBB,BPBPBP,2,4
PBPBPB,PPBBPP,BPPBPB,3,6
PPPBBB,PPBBPPBB,PBPBPP,4,8
PBPBPP,PPBB,BPPPBP,2,4
BPPBPB,PPBB,PBPBBB,2,4
PPBBBP,BBPP,PBPBPB,2,4
BBBBPP,PPBB,BBPBBB,2,4
BBPBBB,PPBB,BBBBBB,2,4
PBPBBP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,PBPBBB,2,4
BPBPBB,BBPP,BPBBPB,2,4
BPPPPP,BBPP,BPBPBP,2,4
PBPBPB,PPBB,BBPPBB,2,4
PBPPBB,BBPPBB,PBPPPP,3,6
BPPPPP,BBPPBB,PBBPPP,3,6
BPPPPP,BBPP,PBBBBP,2,4
PBBBPB,PPBB,BBBPPP,2,4
BBPBBP,BBPP,PPPPBP,2,4
PPPPBP,BBPP,BPBPBB,2,4
PPBPBP,BBPP,PBPBBB,2,4
PBBPBP,BBPP,BPPPPB,2,4
BPPBPP,PPBBPP,BPBPPB,3,6
PBBBBP,BBPP,PBPPPB,2,4
BPBBBB,BBPP,BPBPBP,2,4
BPBPBP,BBPP,BPBPBB,2,4
PPBPBP,BBPP,BPBPBB,2,4
BPBBPB,PPBB,BBBBBB,2,4
PPBPPP,BBPP,PPPPPP,2,4
BPBBPB,PPBB,BPPPPB,2,4
PBBBPP,PPBB,PBBPBP,2,4
PBPBBB,PPBB,BPPPBP,2,4
PBPBPP,PPBB,BBPPPB,2,4
PPPPBB,BBPP,PBPBPP,2,4
BBPBPP,PPBB,PBBPBP,2,4
PBPPPP,PPBB,BBBPPP,2,4
PPBPBB,BBPP,BPBPBP,2,4
PBPBPP,PPBB,BPPPPP,2,4
PPPPPB,PPBB,BPBBPB,2,4
PBPBPB,PPBBPP,PPBBPB,3,6
PPBBPP,PPBB,PBPPPP,2,4
BPBBBP,BBPP,PBBPBP,2,4
PBBPBP,BBPP,PBBBPB,2,4
BBBPPB,PPBBPP,PBBBBB,3,6
BBBBPB,PPBBPP,PPPPBB,3,6
BBPPPP,PPBB,BPBPPB,2,4
PPBPPB,PPBB,BPPPBB,2,4
BPBBPB,PPBBPP,PBPBBP,3,6
BPBBBP,BBPP,BPBBPB,2,4
PPBBBB,BBPP,PPPPBP,2,4
PPPPPB,PPBB,BPPBPP,2,4
BPBPBP,BBPP,PPPBBP,2,4
PBPBPB,PPBB,BBPBBB,2,4
BBBPBP,BBPPBB,BBPBBP,3,6
PBPBPP,PPBB,BBPPPP,2,4
PPPPBB,BBPP,PPBBPB,2,4
BBBBPP,PPBB,PBPPBB,2,4
PPBBPB,PPBB,BBBPBB,2,4
PBPBPB,PPBB,PBPPPP,2,4
BBPBPP,PPBB,PBBPPP,2,4
PBPBPB,PPBBPP,BPBBPB,3,6
BBPBBB,PPBB,BBPBPB,2,4
BBPBBB,PPBB,BPBBBB,2,4
BBBPBB,BBPP,PPBBPP,2,4
BBBBPP,PPBBPPBBPP,PPPBBB,5,10
PPBPPB,PPBB,BPBBBB,2,4
BBBPBB,BBPP,BPBBBP,2,4
PPPBBP,BBPP,BPBPPB,2,4
BPPBPB,PPBB,BBPBBB,2,4
BPBBBP,BBPP,PBBBBB,2,4
PPPPPP,PPBB,BPPPPB,2,4
PBBBPP,PPBB,PBPBBP,2,4
BBBPBP,BBPPBB,BPPBPB,3,6
BPBPPB,PPBB,BPPBBP,2,4
BPPBBB,PPBBPP,BPPBBB,3,6
PBBPPB,PPBB,BBBBBB,2,4
BBBBBB,BBPPBB,PBBBBB,3,6
BPBBBB,BBPPBB,BBBBBP,3,6
